depth	min	max	median	mean
30	-33	-29	-31	-31
30.5	-28	-24	-26	-26
31	-23	-20	-22	-22
31.5	-18	-16	-17	-17
32	-14	-11	-13	-12
32.5	-9	-7	-8	-8
33	-5	-2	-3	-3
33.5	0	2	1	1
34	4	7	6	6
34.5	8	12	10	10
35	13	17	15	15
35.5	17	22	19	19
36	21	27	24	24
36.5	25	31	28	28
37	29	36	33	33
37.5	34	41	37	37
38	38	46	42	42
38.5	42	51	46	46
39	46	56	51	51
39.5	50	61	55	55
40	54	66	60	60
40.5	64	113	86	86
41	68	164	111	113
41.5	72	216	137	139
42	77	268	162	166
42.5	81	320	188	192
43	85	371	213	219
43.5	90	423	239	245
44	94	474	264	272
44.5	98	526	290	298
45	103	578	315	325
45.5	107	629	341	351
46	112	681	366	378
46.5	117	732	392	404
47	122	784	417	431
47.5	126	836	443	457
48	131	887	468	483
48.5	135	939	494	510
49	139	991	519	536
49.5	144	1042	545	563
50	148	1094	570	589
50.5	189	1103	594	612
51	225	1113	620	635
51.5	259	1121	647	658
52	287	1128	669	680
52.5	316	1139	692	703
53	341	1150	716	726
53.5	361	1163	740	748
54	373	1172	765	771
54.5	390	1184	788	794
55	402	1197	813	817
55.5	415	1210	842	839
56	426	1225	868	862
56.5	436	1237	894	885
57	447	1252	922	908
57.5	456	1267	949	930
58	468	1282	976	953
58.5	476	1298	1005	976
59	483	1316	1032	998
59.5	492	1338	1058	1021
60	498	1365	1083	1044
60.5	556	1370	1101	1066
61	612	1375	1120	1087
61.5	670	1379	1140	1109
62	727	1386	1159	1131
62.5	784	1389	1178	1153
63	842	1398	1196	1174
63.5	899	1406	1215	1196
64	955	1414	1233	1218
64.5	1009	1423	1251	1240
65	1064	1434	1270	1261
65.5	1117	1447	1288	1283
66	1166	1460	1305	1305
66.5	1209	1475	1322	1327
67	1257	1489	1341	1348
67.5	1290	1509	1363	1370
68	1305	1535	1385	1392
68.5	1314	1562	1407	1414
69	1320	1597	1427	1435
69.5	1325	1642	1445	1457
70	1329	1692	1464	1479
70.5	1345	1704	1480	1494
71	1356	1722	1498	1510
71.5	1364	1742	1516	1525
72	1371	1764	1532	1541
72.5	1376	1790	1549	1557
73	1382	1812	1564	1572
73.5	1388	1838	1579	1588
74	1394	1875	1593	1603
74.5	1399	1912	1607	1619
75	1404	1948	1621	1634
75.5	1408	1985	1635	1650
76	1412	2026	1647	1665
76.5	1416	2068	1659	1681
77	1419	2109	1672	1696
77.5	1422	2148	1683	1712
78	1425	2189	1696	1727
78.5	1430	2232	1709	1743
79	1433	2271	1721	1758
79.5	1436	2314	1735	1774
80	1438	2358	1748	1789
80.5	1458	2365	1764	1805
81	1477	2370	1782	1820
81.5	1490	2375	1800	1835
82	1501	2383	1818	1850
82.5	1511	2391	1834	1865
83	1521	2397	1851	1880
83.5	1526	2407	1865	1896
84	1537	2418	1882	1911
84.5	1543	2431	1900	1926
85	1551	2441	1919	1941
85.5	1559	2457	1934	1956
86	1566	2466	1952	1971
86.5	1573	2481	1970	1987
87	1582	2499	1985	2002
87.5	1588	2513	2002	2017
88	1595	2535	2017	2032
88.5	1600	2560	2034	2047
89	1606	2576	2050	2063
89.5	1611	2597	2066	2078
90	1615	2626	2082	2093
90.5	1647	2633	2103	2111
91	1676	2636	2120	2129
91.5	1699	2644	2139	2147
92	1718	2649	2157	2165
92.5	1733	2657	2177	2183
93	1752	2664	2197	2200
93.5	1768	2668	2217	2218
94	1787	2676	2238	2236
94.5	1802	2685	2260	2254
95	1813	2693	2280	2272
95.5	1824	2703	2301	2290
96	1840	2719	2323	2308
96.5	1850	2731	2344	2326
97	1858	2741	2363	2344
97.5	1872	2752	2385	2362
98	1886	2768	2405	2380
98.5	1898	2786	2427	2398
99	1906	2798	2445	2415
99.5	1914	2821	2464	2433
100	1924	2849	2484	2451
100.5	1961	2852	2496	2467
101	2002	2855	2510	2482
101.5	2037	2858	2524	2498
102	2070	2863	2538	2514
102.5	2096	2870	2551	2529
103	2126	2873	2566	2545
103.5	2155	2878	2580	2560
104	2188	2886	2594	2576
104.5	2219	2890	2608	2591
105	2245	2899	2623	2607
105.5	2271	2907	2639	2623
106	2293	2915	2653	2638
106.5	2311	2922	2667	2654
107	2333	2929	2683	2669
107.5	2350	2938	2699	2685
108	2368	2947	2715	2701
108.5	2383	2959	2731	2716
109	2399	2972	2746	2732
109.5	2409	2992	2762	2747
110	2424	3007	2778	2763
110.5	2452	3011	2787	2773
111	2478	3014	2797	2783
111.5	2496	3018	2806	2793
112	2514	3023	2816	2803
112.5	2537	3029	2826	2813
113	2555	3034	2834	2823
113.5	2573	3039	2844	2834
114	2601	3046	2852	2844
114.5	2619	3053	2861	2854
115	2648	3060	2869	2864
115.5	2679	3068	2879	2874
