C:\Data\BAS2023_Mo_batch\MI1C__rep1     2023-08-23  re-evaluated data
peakarea
filename	position (mm)	sample surface	validity	E-gain	E-offset	F-slope	F-offset	cps	MSE	Mg	Al	Si	P	S	Cl	Ar	K	Ca	Fe	Ni	Cu	Zn	Se	Br	Rb	Sr	Y	Zr	Tc	Rh	Pd	Ag	Cd	In	Sb	Te	I	Dy	Tm	Yb	Lu	Hf	Pb	Fe a*2	Fe a+b	Fe X1	Fe X2	Fe X3	W La	W Lb1	W lb2	W La in	W Lb1 in	W Lb2 in	Mo inc	Mo coh	Dt	
C:\Data\BAS2023_Mo_batch\MI1C__rep1\XRF data\L000000.spe	1121.00	9.33	0	0.017518	-0.011353	0.009900	0.089277	2249	1.51	0.000	0.013	0.028	0.021	0.018	0.013	0.249	0.000	0.000	0.000	0.044	0.000	0.000	0.000	0.084	0.074	0.038	0.000	0.160	0.019	0.011	0.033	0.000	0.041	0.010	0.012	0.000	0.000	0.017	0.058	0.026	0.055	0.046	0.028	0.065	0.000	0.011	0.032	0.031	0.035	0.030	0.000	0.000	0.048	0.021	10.112	1.350	0.199	
C:\Data\BAS2023_Mo_batch\MI1C__rep1\XRF data\L000001.spe	1122.00	9.50	1	0.017514	-0.011353	0.009914	0.089277	5861	2.86	0.000	0.030	0.060	0.045	0.090	0.044	0.705	0.000	0.025	0.017	0.105	0.039	0.000	0.000	0.155	0.145	0.229	0.245	0.259	0.055	0.020	0.069	0.000	0.135	0.051	0.021	0.030	0.014	0.036	0.099	0.109	0.096	0.073	0.000	0.064	0.000	0.046	0.039	0.069	0.000	0.000	0.000	0.000	0.000	0.000	27.834	3.598	0.218	
C:\Data\BAS2023_Mo_batch\MI1C__rep1\XRF data\L000002.spe	1123.00	6.62	0	0.017524	-0.011353	0.009914	0.089277	26782	1.94	0.000	0.056	0.043	0.104	0.084	0.047	0.211	0.000	0.148	1.069	0.753	0.314	0.052	0.000	1.341	0.198	0.381	0.557	1.354	0.127	0.150	0.130	0.212	0.041	0.147	0.075	0.078	0.077	0.236	0.537	0.328	0.751	0.636	0.000	0.435	0.000	0.261	0.289	0.398	0.565	0.289	0.168	0.575	0.194	0.493	146.610	19.541	0.333	
C:\Data\BAS2023_Mo_batch\MI1C__rep1\XRF data\L000003.spe	1124.00	4.40	1	0.017530	-0.011353	0.009943	0.089277	40984	1.23	0.000	0.031	0.042	0.086	0.071	0.076	0.325	0.000	0.277	3.293	1.115	0.618	0.000	0.000	3.053	0.203	0.133	0.046	1.844	0.060	0.059	0.057	0.000	0.108	0.108	0.097	0.034	0.000	0.526	0.776	0.359	0.959	1.149	0.000	0.483	0.130	0.343	0.149	0.763	1.334	0.386	0.000	1.240	0.000	0.528	216.502	28.373	0.384	
C:\Data\BAS2023_Mo_batch\MI1C__rep1\XRF data\L000004.spe	1125.00	4.44	1	0.017531	-0.011353	0.009929	0.089277	42419	1.29	0.000	0.057	0.035	0.110	0.131	0.020	0.323	0.000	0.313	4.226	0.918	0.648	0.161	0.000	3.050	0.609	0.382	0.239	1.899	0.119	0.104	0.102	0.000	0.194	0.221	0.052	0.116	0.053	0.534	0.687	0.570	0.944	1.064	0.000	0.474	0.228	0.352	0.270	0.637	1.054	0.685	0.065	1.369	0.380	0.224	225.730	30.452	0.389	
C:\Data\BAS2023_Mo_batch\MI1C__rep1\XRF data\L000005.spe	1126.00	4.48	1	0.017533	-0.011353	0.009892	0.089277	42707	1.19	0.000	0.000	0.076	0.073	0.128	0.016	0.192	0.024	0.281	5.139	1.089	0.822	0.266	0.000	3.148	0.000	0.468	0.000	1.662	0.102	0.111	0.116	0.073	0.092	0.088	0.084	0.019	0.019	0.822	0.638	0.214	0.972	1.131	0.000	0.598	0.969	0.386	0.512	0.827	1.579	0.750	0.069	1.445	0.594	0.229	223.883	29.865	0.392	
C:\Data\BAS2023_Mo_batch\MI1C__rep1\XRF data\L000006.spe	1127.00	4.49	1	0.017534	-0.011353	0.009909	0.089277	43093	1.21	0.000	0.169	0.039	0.190	0.142	0.086	0.177	0.000	0.362	6.038	1.173	0.809	0.000	0.000	3.436	0.370	0.261	0.228	1.686	0.110	0.105	0.158	0.110	0.079	0.096	0.132	0.042	0.042	0.926	0.657	0.370	1.013	1.091	0.135	0.000	0.149	0.376	0.346	0.747	1.284	0.879	0.000	1.446	0.349	0.685	228.832	30.285	0.394	
C:\Data\BAS2023_Mo_batch\MI1C__rep1\XRF data\L000007.spe	1128.00	4.52	1	0.017532	-0.011353	0.009949	0.089277	43237	1.34	0.000	0.000	0.000	0.110	0.101	0.026	0.324	0.000	0.397	5.936	1.121	0.766	0.019	0.161	2.886	0.910	0.166	0.000	1.449	0.107	0.077	0.079	0.000	0.149	0.156	0.067	0.039	0.017	0.757	0.781	0.739	1.102	1.341	0.000	0.276	0.000	0.618	0.277	0.758	1.367	0.903	0.552	1.644	0.172	0.952	231.063	30.692	0.397	
C:\Data\BAS2023_Mo_batch\MI1C__rep1\XRF data\L000008.spe	1129.00	4.51	1	0.017530	-0.011353	0.010029	0.089277	43550	1.28	0.000	0.000	0.078	0.078	0.049	0.074	0.420	0.000	0.363	5.900	1.124	0.861	0.145	0.000	2.807	0.000	0.738	0.298	1.987	0.054	0.084	0.075	0.000	0.199	0.098	0.108	0.022	0.042	0.609	0.870	0.526	0.979	0.895	0.000	0.291	1.028	0.546	0.331	0.869	1.108	0.365	0.000	1.559	0.030	0.498	234.977	30.983	0.398	
C:\Data\BAS2023_Mo_batch\MI1C__rep1\XRF data\L000009.spe	1130.00	4.55	1	0.017530	-0.011353	0.010009	0.089277	43190	1.28	0.000	0.077	0.050	0.183	0.206	0.110	0.256	0.000	0.267	5.858	1.060	0.707	0.135	0.497	3.188	0.073	0.623	0.272	2.254	0.062	0.059	0.142	0.061	0.098	0.131	0.078	0.131	0.038	0.881	0.790	0.301	0.888	1.167	0.000	0.681	0.634	0.221	0.518	0.773	1.375	0.760	0.051	1.308	0.382	0.764	229.752	31.328	0.395	
