\\Mac\Home\Documents\Steve\23-10_Manchester2_Mo\Campbell\MST1A__rep1\XRF data     26/02/2025  re-evaluated data
peakarea
filename	position (mm)	sample surface	validity	E-gain	E-offset	F-slope	F-offset	cps	MSE	Mg	Al	Si	P	S	Cl	Ar	K	Ca	Ti	V	Cr	Mn	Fe	Co	Ni	Cu	Zn	As	Se	Br	Rb	Sr	Y	Zr	Sn	I	Cs	Ba	Ta	W	Ir	Pt	Au	Hg	Pb	Th	U	Fe a*2	Fe a+b	Fe X1	Fe X2	Fe X3	W La	W Lb1	W lb2	W La in	W Lb1 in	W Lb2 in	Mo inc	Mo coh	Dt	
\\Mac\Home\Documents\Steve\23-10_Manchester2_Mo\Campbell\MST1A__rep1\XRF data\L000000.spe	176.00	5.46	1	0.017526	-0.012928	0.010011	0.091030	62944	1.28	26	0	0	0	0	0	126	0	142	49	0	10	8	328	41	177	82	0	0	0	3215	139	295	0	0	0	0	0	0	29	608	35	83	0	0	59	120	0	21	41	0	20	0	0	0	198	85	71	113	72125	9601	0.373	
\\Mac\Home\Documents\Steve\23-10_Manchester2_Mo\Campbell\MST1A__rep1\XRF data\L000001.spe	177.00	5.52	1	0.017526	-0.012928	0.010011	0.091030	63751	1.24	19	25	14	0	4	0	171	12	187	25	0	41	0	361	20	188	158	60	43	0	3239	19	279	31	0	14	9	11	7	0	159	0	0	0	0	34	190	14	0	0	0	41	0	0	265	476	338	447	562	72040	9783	0.375	
\\Mac\Home\Documents\Steve\23-10_Manchester2_Mo\Campbell\MST1A__rep1\XRF data\L000002.spe	178.00	5.55	1	0.017526	-0.012928	0.010011	0.091030	63345	2.00	0	20	13	0	13	0	154	15	185	10	0	12	0	440	185	189	169	0	0	137	2836	0	267	41	0	26	0	11	0	0	0	32	0	67	0	208	196	0	0	212	0	0	0	997	936	698	280	316	506	71218	9498	0.371	
\\Mac\Home\Documents\Steve\23-10_Manchester2_Mo\Campbell\MST1A__rep1\XRF data\L000003.spe	179.00	5.60	1	0.017526	-0.012928	0.010011	0.091030	54852	1.27	51	31	0	4	33	0	187	10	174	26	10	0	0	255	0	204	154	36	0	28	2565	250	280	7	0	13	0	0	0	0	0	12	0	214	0	76	7	68	53	0	0	0	78	292	56	599	190	94	232	67500	9033	0.355	
\\Mac\Home\Documents\Steve\23-10_Manchester2_Mo\Campbell\MST1A__rep1\XRF data\L000004.spe	180.00	5.52	1	0.017526	-0.012928	0.010011	0.091030	58789	1.51	0	41	15	7	0	0	169	12	206	17	12	42	0	287	132	181	79	5	131	0	2995	66	329	140	0	16	14	16	9	0	553	0	176	0	0	0	24	0	0	50	0	0	0	0	0	227	246	194	34	68836	9661	0.365	
\\Mac\Home\Documents\Steve\23-10_Manchester2_Mo\Campbell\MST1A__rep1\XRF data\L000005.spe	181.00	5.48	1	0.017526	-0.012928	0.010011	0.091030	62383	1.20	11	18	25	22	23	0	193	10	215	64	0	7	0	274	0	171	106	0	0	0	3378	122	124	0	0	0	11	8	0	33	65	0	0	0	0	80	62	111	0	0	0	0	106	31	252	580	154	41	260	70173	9563	0.372	
\\Mac\Home\Documents\Steve\23-10_Manchester2_Mo\Campbell\MST1A__rep1\XRF data\L000006.spe	182.00	5.49	1	0.017526	-0.012928	0.010011	0.091030	63727	1.20	0	43	30	0	0	0	178	28	245	44	0	23	0	279	56	209	127	0	0	0	3500	273	152	0	59	0	18	0	0	50	97	0	0	0	0	171	73	112	0	0	0	0	0	69	268	455	176	207	343	70432	9571	0.377	
\\Mac\Home\Documents\Steve\23-10_Manchester2_Mo\Campbell\MST1A__rep1\XRF data\L000007.spe	183.00	5.48	1	0.017526	-0.012928	0.010011	0.091030	64072	1.34	23	34	8	31	0	0	166	17	231	4	0	46	8	230	73	153	103	22	0	0	3902	205	230	45	0	0	4	0	21	52	12	0	0	0	0	8	0	0	167	60	0	0	0	107	301	719	205	103	340	70661	9872	0.375	
\\Mac\Home\Documents\Steve\23-10_Manchester2_Mo\Campbell\MST1A__rep1\XRF data\L000008.spe	184.00	5.49	1	0.017526	-0.012928	0.010011	0.091030	62254	1.15	0	27	6	0	10	0	161	8	242	37	0	21	0	187	0	211	100	61	0	0	3521	197	244	0	0	0	0	0	0	77	570	96	0	70	0	216	170	76	0	0	50	0	148	0	0	176	152	170	294	70033	9524	0.372	
\\Mac\Home\Documents\Steve\23-10_Manchester2_Mo\Campbell\MST1A__rep1\XRF data\L000009.spe	185.00	5.49	1	0.017526	-0.012928	0.010011	0.091030	62517	1.29	7	47	0	34	29	0	173	37	246	24	16	0	0	151	27	191	7	64	74	0	3300	287	163	0	0	0	5	0	0	232	601	0	23	0	36	0	0	0	123	0	0	0	0	0	0	0	0	119	0	69838	9269	0.373	
