# A tibble: 49 × 9
   position       Ca        Ti     Mn         Fe       Sr       Zr    `Mo inc`   `Mo coh`
      <dbl>    (err)     (err)  (err)      (err)    (err)    (err)       (err)      (err)
 1       18     0(0)      0(0)   2(3)      10(6)     0(0)     0(0)    4070(60)    570(10)
 2       19     0(0)      0(0)   0(0)    25.5(7)   40(20)     0(0)  13300(200)   1760(10)
 3       20     6(8)    10(10)   6(1)     374(4)   90(40)     0(0) 36000(1000)   4770(10)
 4       21    68(7)   150(30)  8(10)   2200(20)   10(20)  150(70)  57600(300)  8500(400)
 5       22   90(10)   250(10)   4(6)   3570(80) 100(100) 100(200)  65200(300)  9300(300)
 6       23   101(3)   270(20)   4(5)   4810(80)     0(0)   20(20)  68200(500)   9680(50)
 7       24   100(9)    186(9)   0(0)    4761(1)  150(90)   50(30)  69500(500) 10000(300)
 8       25  150(20)   170(20)   0(0)  6100(200)  150(60)   70(70)   70650(50) 10100(200)
 9       26   106(5)   250(10)   2(4)  6100(100)  120(60)    88(9)  70200(500)  9900(200)
10       27 106.5(7)    298(4)   0(0)   6220(10)   40(50)     0(0)  71400(200) 10200(200)
11       28  130(20)    310(7)   0(0)  6600(100)  120(20)  80(100)  71800(400)  10120(80)
12       29  170(20)   560(50)  7(10)   8170(20)     0(0)  180(30)  71500(800)  10350(10)
13       30   258(2)  1240(30)   0(0)  10590(30)  80(100)   30(50)  70500(400)  9900(200)
14       31  260(30)  1840(30)  9(10) 11700(300)  140(90) 100(200)  70600(300)  10180(40)
15       32  400(20)  2010(40) 10(10)  12110(30)  180(30)  140(10)  71100(200)   9960(60)
16       33   297(8)  2270(10)  8(10)  12200(20)  150(70) 300(100)  70200(400) 10000(300)
17       34   350(2)  2530(40)   0(0)  13430(30)    88(8) 100(100)  70200(400) 10300(100)
18       35  360(50) 2600(200)  7(10) 14600(200) 100(100)  270(60)  70500(400) 10200(200)
19       36  320(20) 2300(200)   0(0)  14720(90)  170(50)   10(20)   70880(90)  10270(60)
20       37   342(5)   2233(6)  8(10)  11880(30)   80(50)   20(30)  70600(400) 10100(100)
21       38  260(10)  2000(40)   6(8)  11430(90) 100(200)  90(100)  71800(200) 10100(100)
22       39  250(10)  1570(50)  7(10) 11200(300)   80(40)   20(30)  72200(200)  10170(50)
23       40  360(20) 1600(100)  11(0) 12100(300)  110(50)  70(100)  72500(400)  10220(40)
24       41  430(60)  1470(40)  14(6) 13300(200)  130(30)  110(30)  72500(700)  10030(60)
25       42  150(40)   650(50)   6(9)   8740(10)  100(40)   207(7)  72600(100) 10100(100)
26       43 151.5(7)   540(10)   0(0)   8610(70)  130(40) 200(200)  72400(300) 10200(100)
27       44  120(20)   500(10)   2(3)  8700(200)  70(100)  80(100)   73560(90)  10220(80)
28       45  160(20)   640(30)   0(0)   8940(40)  80(100)     0(0)  72600(600)  10150(90)
29       46  230(30)   860(20)   4(6)  10210(20)   30(30)  230(20)  72400(700) 10400(200)
30       47  170(10)   800(80)   0(0)   9940(70)   40(50)  150(80)  71900(800)  10370(20)
31       48   182(4)   940(10)   4(5)   10963(3)  190(10)     0(0)  71200(300) 10000(100)
32       49  210(40)  1190(90) 20(30)  11150(30)  210(40)    9(10)  71500(300) 10300(300)
33       50   156(4)   950(30)   0(0)  10390(50)  140(70)     0(0)  71300(200)  9900(100)
34       51  180(10)    876(7)   0(0)  10750(80) 228.5(7)   50(10)  71400(400) 10000(100)
35       52  220(10)   920(10)  20(9)  11030(20)  180(60) 100(100)   72030(20)  10200(30)
36       53  170(20)   700(50)   0(0)  9300(200)  120(10)    23(7)  71000(600)  9900(300)
37       54   215(3)   740(40)   0(0)  10230(20)  100(50)   40(50)  70700(300)  9900(500)
38       55  140(20)    715(7)   0(0)   9780(70) 200(200)     0(0)  70900(200) 10000(300)
39       56   183(7)   790(30)   2(4)  11600(40) 100(100)   30(40)  70900(100)   9840(90)
40       57   158(7)    656(5)   0(0) 12000(100)   123(1)     0(0)  71100(400) 10000(300)
41       58  130(10)   540(60)   5(7)  10920(80)   80(50)     0(0)  71400(200)  10080(50)
42       59   150(8)   800(30)   0(0)  11750(60) 200(100) 200(100)   71690(30)  10210(40)
43       60  150(30)   620(20) 20(30) 12000(100) 100(100) 100(200)  71000(200) 10100(100)
44       61  130(20)   450(30)   0(0)   9760(70)  150(60)   20(30)   70540(10) 10100(200)
45       62   163(7)   660(70)   5(7)  11200(30) 100(100)  170(20)  71200(300) 10100(100)
46       63  140(30)   690(30)   0(0)  10870(20)  90(100)  190(40)  70800(300)  9900(200)
47       64  140(30)    631(8)   0(0)  10490(20)     0(0)  210(20)  71000(300) 10100(200)
48       65   178(8)   680(10)   2(3)  10440(70)  150(20)  70(100)   70220(20)  9800(300)
49       66  130(10)   480(30)   0(0)  9500(200)  180(70)  90(100) 71000(1000)  10030(30)
