"Location","Site","Section","sample","min_depth","max_depth","midpoint","Zn","Zn_sd","Zn_ICP","Zn_ICP_sd","Zn_fit_OLS","Zn_lwr_OLS","Zn_upr_OLS","Zn_fit_WLS","Zn_lwr_WLS","Zn_upr_WLS"
"Bird Island","BI10","BI10.1",1,0,1.1,0.6,-2.0253472433689,-0.101267362168445,-0.468515677217699,-0.0234257838608849,-1.07282592612575,-2.11932829834282,-0.0263235539086877,-1.14797220887878,-2.40169349684219,0.105749079084624
"Bird Island","BI10","BI10.1",4,3.9,5,4.5,-5.46325522784534,-0.273162761392267,-0.824728511639977,-0.0412364255819989,-1.71563217174679,-2.76374618911396,-0.667518154379617,-1.62300315766391,-2.29985749642969,-0.946148818898122
"Bird Island","BI10","BI10.1",10,11.7,12.8,12.3,-2.32230891462388,-0.116115445731194,-1.22441044399362,-0.0612205221996812,-1.1283506283152,-2.17451699404109,-0.0821842625893019,-1.18900471617276,-2.3926050077775,0.0145955754319733
"Bird Island","BI10","BI10.1",22,26.7,27.8,27.2,-0.169000707340877,-0.00845003536704383,-0.375443324260563,-0.0187721662130282,-0.725733696553614,-1.77636479681833,0.324897403711098,-0.891472599155322,-2.45904597749782,0.676100779187178
"Bird Island","BI10","BI10.1",30,36.3,37.2,36.7,-0.835512314516237,-0.0417756157258118,-1.03108390301738,-0.0515541951508691,-0.850355363510905,-1.89910279015035,0.198392063128537,-0.983567455260386,-2.43836537932928,0.471230468808503
"Bird Island","BI10","BI10.1",34,40.9,41.9,41.4,-1.8213905021736,-0.09106952510868,-0.909626728365094,-0.0454813364182547,-1.03469091271968,-2.08147604067039,0.0120942152310268,-1.11979060404276,-2.40795234303083,0.168371134945312
"Bird Island","BI10","BI10.2",45,44,45,44.5,0.425795914009926,0.0212897957004963,-1.65726410096228,-0.0828632050481138,-0.614521009999755,-1.66721035028885,0.438168330289339,-0.809286919768243,-2.47756429821339,0.858990458676903
"Bird Island","BI10","BI10.2",51,51.9,52.9,52.4,-3.17821653417188,-0.158910826708594,0.175033506879896,0.00875167534399479,-1.28838480200582,-2.33408541807173,-0.242684185939908,-1.30726925682428,-2.36660694599974,-0.247931567648827
"Bird Island","BI10","BI10.2",54,55.3,56.3,55.8,-1.680358771198,-0.0840179385598998,-1.34328981062406,-0.0671644905312028,-1.0083213653347,-2.05532674802606,0.0386840173566634,-1.10030362612576,-2.41228752625204,0.211680274000517
"Bird Island","BI10","BI10.2",62,64.4,65.4,64.9,0.907825166802316,0.0453912583401158,0.453266322576737,0.0226633161288369,-0.524393113713382,-1.57901000699786,0.530223779571097,-0.742682806356806,-2.49260791526742,1.00724230255381
"Bird Island","BI10","BI10.2",67,70.1,71.2,70.6,-0.234541713135998,-0.0117270856567999,0.327338358359992,0.0163669179179996,-0.737988290934738,-1.78841431623876,0.312437734369282,-0.900528689751048,-2.45700882399757,0.655951444495475
"Bird Island","BI10","BI10.2",71,74.7,75.8,75.2,-2.46434432773946,-0.123217216386973,0.315867057635071,0.0157933528817535,-1.15490784016098,-2.20094524355815,-0.108870436763812,-1.20863037728936,-2.38826919865923,-0.0289915559194964
