"rowname","vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se","Q0.25","Q0.75"
"Location*",1,271,2.32841328413284,0.973293792408745,2,2.28571428571429,1.4826,1,4,3,-0.0183905805177212,-1.11519023296979,0.0591233873450183,1,3
"Site*",2,271,2.61992619926199,1.32476748277657,2,2.52534562211982,1.4826,1,5,4,0.317704174566853,-1.1107287016413,0.0804738935326432,1,4
"Section*",3,271,20.3874538745387,10.559937805508,21,20.4792626728111,11.8608,1,39,38,-0.0865240558296376,-0.955534412685858,0.641470538581382,13,29
"sample",4,271,170.520295202952,130.085664629638,150,156.861751152074,140.847,1,529,528,0.774760582516524,-0.100952080317009,7.90214136565899,61,254
"min_depth",5,271,184.70295202952,129.004087469529,169.1,175.114746543779,148.40826,0,503.9,503.9,0.519694466442244,-0.621830743654591,7.83644023216832,70,275.55
"max_depth",6,271,185.862730627306,128.97429795031,170.2,176.271889400922,148.70478,1.1,505.1,504,0.519904406039894,-0.622587007633141,7.83463064774752,71.05,276.65
"midpoint",7,271,185.282287822878,128.987626954445,169.6,175.692626728111,148.55652,0.6,504.5,503.9,0.519827008091315,-0.622184213561235,7.83544032708643,70.5,276.1
"SH20_age",8,271,3856.46453196636,2728.51988376018,3699.925,3686.70390170645,3273.0517816332,-55.49090909,10924.02,10979.51090909,0.431621644018714,-0.679728603345187,165.745779151533,1457.1688815,5679.026894
"kcps",9,271,24605.3700318819,10428.9829061787,22053.5,21889.7903864055,2067.609245058,13682.1,62434.66667,48752.56667,2.49257553823785,4.97763478298516,633.515594968092,20301.32792,23326.9303
"cps",10,271,82781.5509941697,79739.0731706545,55564,58080.1258994931,5617.76907505799,38366.3,343976.8571,305610.5571,2.57591454985427,4.74186317481401,4843.80373775309,52502.68718,61276.71212
"MSE",11,271,1.45049135111439,0.321669279517664,1.344166667,1.35683135210138,0.0570095000706002,1.240909091,2.833333333,1.592424242,2.67442664835022,5.86330783651072,0.0195400171646517,1.31,1.398181818
"K",12,271,-1.51550903779035,0.746243729585304,-1.46372476790299,-1.49523467146087,0.69291746414634,-3.93078082274659,0.61100972135866,4.54179054410525,-0.2630010674237,0.328420904068379,0.045331078264531,-1.94078501018888,-1.00228074389331
"Ca",13,271,0.704135009837621,0.41274803813982,0.682716565447336,0.686776134925432,0.375739784078973,-0.448890635987314,2.3649939921748,2.81388462816211,0.477077007404054,0.909720034930106,0.025072657737232,0.430622563279604,0.932852272429189
"Ti",14,271,-0.245096360113008,0.731239200254509,-0.238379590749736,-0.240975134260911,0.735669850746108,-2.11060390826737,1.72844015804289,3.83904406631026,0.00072145581183428,-0.320468855520724,0.0444196180184332,-0.746940031842848,0.217720946326918
"Mn",15,271,-0.831777644191079,0.402394169795914,-0.777600091177208,-0.819683656425844,0.381228592617606,-1.90666297531279,1.48297682963062,3.38963980494342,0.296240759410425,3.0575169018428,0.0244437050269705,-1.09171015562739,-0.553714446624258
"Fe",16,271,3.77749284583793,0.725415761284798,3.66996632473881,3.76934982057515,0.774269838465368,2.25388480137725,5.79074521919997,3.53686041782272,0.134575488900825,-0.722416881738546,0.0440658692936682,3.24958602162998,4.31685224504521
