"Location","Site","Section","sample","min_depth","max_depth","midpoint","Cu","Cu_sd","Cu_ICP","Cu_ICP_sd","fit","lwr","upr"
"Bird Island","BI10","BI10.1",1,0,1.1,0.6,0.372548029465538,0.0186274014732769,-2.12531618636997,-0.106265809318499,-1.85891126085326,-3.21834489559599,-0.499477626110542
"Bird Island","BI10","BI10.1",4,3.9,5,4.5,0.835770609178151,0.0417885304589076,-2.17090670474982,-0.108545335237491,-1.74433855148765,-3.10673194759012,-0.381945155385192
"Bird Island","BI10","BI10.1",10,11.7,12.8,12.3,0.477548835722825,0.0238774417861413,-2.09689470641358,-0.104844735320679,-1.83294053449978,-3.19286886583364,-0.473012203165927
"Bird Island","BI10","BI10.1",22,26.7,27.8,27.2,-0.208258084684681,-0.0104129042342341,-1.86135317033261,-0.0930676585166307,-2.00256688782116,-3.36113613572711,-0.643997639915217
"Bird Island","BI10","BI10.1",30,36.3,37.2,36.7,-0.217303929711652,-0.0108651964855826,-2.29698600257009,-0.114849300128505,-2.00480427222044,-3.3633851559786,-0.646223388462278
"Bird Island","BI10","BI10.1",34,40.9,41.9,41.4,0.281854028858014,0.0140927014429007,-2.10946612672938,-0.105473306336469,-1.88134336547834,-3.24043303370961,-0.522253697247065
"Bird Island","BI10","BI10.2",45,44,45,44.5,-0.199713714900078,-0.00998568574500391,-3.28717186323751,-0.164358593161876,-2.00045353748178,-3.35901250160485,-0.641894573358714
"Bird Island","BI10","BI10.2",51,51.9,52.9,52.4,0.465200545852097,0.0232600272926048,-1.43919851548374,-0.0719599257741872,-1.8359947401635,-3.1958595261336,-0.476129954193404
"Bird Island","BI10","BI10.2",54,55.3,56.3,55.8,0.618021690848657,0.0309010845424329,-2.87738168075736,-0.143869084037868,-1.79819621004549,-3.15894805560838,-0.437444364482602
"Bird Island","BI10","BI10.2",62,64.4,65.4,64.9,-0.416226885536692,-0.0208113442768346,-0.44052288966772,-0.022026144483386,-2.05400554824207,-3.41303686384542,-0.694974232638709
"Bird Island","BI10","BI10.2",67,70.1,71.2,70.6,0.0166962423086744,0.000834812115433722,-1.63981914139546,-0.0819909570697731,-1.94692705536063,-3.30545458834952,-0.588399522371738
"Bird Island","BI10","BI10.2",71,74.7,75.8,75.2,0.481847500148355,0.0240923750074177,-1.10084599198705,-0.0550422995993527,-1.83187730992599,-3.19182809818259,-0.471926521669382
"Bird Island","BI10","BI10.2",81,86.5,87.5,87,0.290058309718202,0.0145029154859101,-1.62204439811832,-0.0811022199059159,-1.87931413217298,-3.23843173690259,-0.520196527443366
"Bird Island","BI10","BI10.3",88,84.8,85.8,85.3,0.327176862904184,0.0163588431452092,-1.06551795879486,-0.0532758979397432,-1.87013329040812,-3.22938519158922,-0.510881389227023
"Bird Island","BI10","BI10.3",95,93,94,93.5,-0.313228524284527,-0.0156614262142264,-1.57964606443596,-0.078982303221798,-2.02853010333565,-3.3872817375426,-0.669778469128693
"Bird Island","BI10","BI10.3",98,96.3,97.3,96.8,-0.515232028670134,-0.0257616014335067,-1.67315492911032,-0.0836577464555159,-2.07849331716077,-3.4378874532098,-0.719099181111738
"Bird Island","BI10","BI10.3",104,103.2,104.2,103.7,-0.241807094058949,-0.0120903547029474,-1.32002689646471,-0.0660013448232353,-2.01086484450308,-3.36948111404286,-0.652248574963304
"Bird Island","BI10","BI10.3",114,114.9,115.9,115.4,0.35587050855854,0.017793525427927,-0.695703770737642,-0.0347851885368821,-1.8630362513859,-3.22240083733661,-0.503671665435183
"Bird Island","BI10","BI10.3",120,121.8,122.7,122.3,0.585451512524099,0.0292725756262049,0.00793031335121253,0.000396515667560627,-1.80625206426892,-3.16679650338049,-0.445707625157345
"Bird Island","BI10","BI10.4",135,129.4,130.4,129.9,0.116765720503409,0.00583828602517043,-0.154838744258429,-0.00774193721292145,-1.92217603556214,-3.28083802857958,-0.563514042544698
"Bird Island","BI10","BI10.4",145,141,142,141.5,0.288790259451242,0.0144395129725621,-1.09512188719655,-0.0547560943598275,-1.87962776963596,-3.23874101518621,-0.520514524085715
"Bird Island","BI10","BI10.4",155,152.7,153.8,153.2,0.338366039771679,0.016918301988584,-0.847155394083254,-0.0423577697041627,-1.86736577784413,-3.22666070094949,-0.508070854738766
"Bird Island","BI10","BI10.4",165,164.8,165.8,165.3,-0.0281194822802275,-0.00140597411401137,-0.840453530858274,-0.0420226765429137,-1.95801170281352,-3.31650956403033,-0.599513841596711
"Bird Island","BI10","BI10.4",168,168.4,170,169.2,-0.144278725426963,-0.00721393627134815,-2.09151305849895,-0.104575652924947,-1.98674233855549,-3.34525126750231,-0.628233409608678
"Bird Island","BI10","BI10.5",181,174.6,175.6,175.1,-0.0428107172761561,-0.00214053586380781,-1.08319265479248,-0.054159632739624,-1.96164540866278,-3.32013765610501,-0.603153161220546
"Bird Island","BI10","BI10.5",191,186.6,187.6,187.1,0.220579208554619,0.0110289604277309,-1.80298447800585,-0.0901492239002924,-1.89649897853677,-3.25540000545222,-0.537597951621311
"Bird Island","BI10","BI10.5",194,190.3,191.3,190.8,0.338356349301554,0.0169178174650777,-2.16242190382251,-0.108121095191126,-1.86736817466904,-3.22666306000613,-0.508073289331949
"Bird Island","BI10","BI10.5",197,194,195,194.5,0.0774048118385858,0.00387024059192929,-1.19367513015904,-0.059683756507952,-1.9319114978352,-3.29050936278675,-0.573313632883652
"Bird Island","BI10","BI10.5",202,199.9,200.8,200.3,-0.0917713380273095,-0.00458856690136548,-0.52020035502762,-0.026010017751381,-1.97375524790067,-3.33224344919376,-0.615267046607582
"Bird Island","BI10","BI10.6",218,209.5,210.5,210,-0.460253054725434,-0.0230126527362717,-2.06152070582245,-0.103076035291123,-2.06489490836366,-3.42407619446376,-0.705713622263553
"Bird Island","BI10","BI10.6",228,221.4,222.4,221.9,-0.197808201999483,-0.00989041009997417,-1.05295225548103,-0.0526476127740515,-1.99998223106169,-3.35853899542987,-0.6414254666935
"Bird Island","BI10","BI10.6",239,234.2,235.2,234.7,-0.0733738888808059,-0.00366869444404029,-0.47969291655899,-0.0239846458279495,-1.96920485315213,-3.32769192931399,-0.610717776990263
"Bird Island","BI10","BI10.6",247,243.9,245,244.5,0.205230661669436,0.0102615330834718,-0.278331566861719,-0.013916578343086,-1.90029526282531,-3.25915456521886,-0.541435960431754
"Bird Island","BI10","BI10.7",259,250.7,251.7,251.2,0.324260864990412,0.0162130432495206,-0.894622417170144,-0.0447311208585072,-1.87085452852586,-3.23009541100155,-0.511613646050173
"Bird Island","BI10","BI10.7",271,265,266,265.5,0.0165008016581766,0.000825040082908828,-0.122807639357244,-0.00614038196786218,-1.94697539532899,-3.30550275789237,-0.588448032765612
"Bird Island","BI10","BI10.7",280,275.9,276.9,276.4,-0.104853169918736,-0.00524265849593681,-1.00729598009005,-0.0503647990045025,-1.97699088663874,-3.335481825499,-0.618499947778478
"Bird Island","BI10","BI10.8",300,289.7,290.8,290.3,0.0048137132958025,0.000240685664790125,-0.596804139959854,-0.0298402069979927,-1.94986606050145,-3.30838388518042,-0.591348235822479
"Bird Island","BI10","BI10.8",303,293.4,294.4,293.9,-0.00797825066875785,-0.000398912533437892,-0.462628806483747,-0.0231314403241873,-1.95303000378426,-3.31153886206883,-0.594521145499684
"Bird Island","BI10","BI10.8",311,303.1,304,303.6,-0.526870486197603,-0.0263435243098801,-1.25713100769457,-0.0628565503847283,-2.08137195406268,-3.44081478917988,-0.721929118945478
"Bird Island","BI10","BI10.8",318,311.7,312.8,312.2,-0.103318998964094,-0.00516594994820471,-0.757900174947881,-0.037895008747394,-1.9766114273235,-3.33510196178306,-0.618120892863937
"Bird Island","BI10","BI10.8",326,321.7,322.8,322.2,0.0215049844245417,0.00107524922122708,-1.57782899496413,-0.0788914497482064,-1.94573766901164,-3.30426950846327,-0.587205829559997
"Bird Island","BI10","BI10.9",342,332.1,333.1,332.6,-0.1855601040643,-0.00927800520321498,-0.705229190540346,-0.0352614595270173,-1.99695280670616,-3.35549624717829,-0.638409366234038
