"Location","Site","Section","sample","min_depth","max_depth","midpoint","Ni","Ni_sd","Ni_ICP","Ni_ICP_sd","fit","lwr","upr"
"Bird Island","BI10","BI10.1",1,0,1.1,0.6,1.0469251071856,0.0523462553592799,-2.69682577915677,-0.134841288957839,-2.54989689048782,-3.60452266702954,-1.49527111394611
"Bird Island","BI10","BI10.1",4,3.9,5,4.5,1.71690984368362,0.0858454921841812,-2.25605975114237,-0.112802987557118,-2.44339096880493,-3.50152189626681,-1.38526004134306
"Bird Island","BI10","BI10.1",10,11.7,12.8,12.3,1.46841526678044,0.0734207633390219,-2.59085511869527,-0.129542755934763,-2.48289357611001,-3.53949966849522,-1.42628748372479
"Bird Island","BI10","BI10.1",22,26.7,27.8,27.2,0.635902625004203,0.0317951312502102,-2.84227683421096,-0.142113841710548,-2.61523618243339,-3.66866862422847,-1.56180374063831
"Bird Island","BI10","BI10.1",30,36.3,37.2,36.7,0.220364318891147,0.0110182159445574,-3.24466623455077,-0.162233311727539,-2.68129334444942,-3.73426246816103,-1.62832422073781
"Bird Island","BI10","BI10.1",34,40.9,41.9,41.4,0.745959817026433,0.0372979908513217,-3.02769785887376,-0.151384892943688,-2.59774064554187,-3.65142103012186,-1.54406026096188
"Bird Island","BI10","BI10.2",45,44,45,44.5,0.234404000246008,0.0117202000123004,-3.57338527707074,-0.178669263853537,-2.6790614888244,-3.73203405567926,-1.62608892196953
"Bird Island","BI10","BI10.2",51,51.9,52.9,52.4,1.09767768217277,0.0548838841086383,-2.59428410995075,-0.129714205497537,-2.54182887119974,-3.59665260030339,-1.48700514209609
"Bird Island","BI10","BI10.2",54,55.3,56.3,55.8,1.24625574778027,0.0623127873890134,-3.54267311860907,-0.177133655930454,-2.51820976025984,-3.57367680526757,-1.46274271525211
"Bird Island","BI10","BI10.2",62,64.4,65.4,64.9,-0.0144467192770221,-0.000722335963851104,-2.20585954150495,-0.110292977075248,-2.71862071129682,-3.77165886157562,-1.66558256101801
"Bird Island","BI10","BI10.2",67,70.1,71.2,70.6,0.367518977292721,0.018375948864636,-3.45451060807485,-0.172725530403743,-2.65790050925602,-3.710948164009,-1.60485285450304
"Bird Island","BI10","BI10.2",71,74.7,75.8,75.2,0.632363863223625,0.0316181931611812,-2.73083618048623,-0.136541809024312,-2.61579873119685,-3.66922407037973,-1.56237339201398
"Bird Island","BI10","BI10.2",81,86.5,87.5,87,0.508633945775557,0.0254316972887779,-3.44988878635606,-0.172494439317803,-2.63546778957934,-3.68867887545765,-1.58225670370104
"Bird Island","BI10","BI10.3",88,84.8,85.8,85.3,0.842926872309269,0.0421463436154635,-2.89972105920762,-0.144986052960381,-2.58232601736727,-3.63626826529822,-1.52838376943632
"Bird Island","BI10","BI10.3",95,93,94,93.5,0.391321288609161,0.0195660644304581,-2.84369058443919,-0.14218452922196,-2.65411671095908,-3.70718588403155,-1.60104753788661
"Bird Island","BI10","BI10.3",98,96.3,97.3,96.8,0.281099387960412,0.0140549693980206,-2.83997552874376,-0.141998776437188,-2.67163843119945,-3.72462859488451,-1.61864826751438
"Bird Island","BI10","BI10.3",104,103.2,104.2,103.7,0.495638879240976,0.0247819439620488,-2.76581280485718,-0.138290640242859,-2.63753358520602,-3.69072601515464,-1.58434115525739
"Bird Island","BI10","BI10.3",114,114.9,115.9,115.4,0.872775178265411,0.0436387589132706,-2.68068793572493,-0.134034396786246,-2.57758110130672,-3.63161213641801,-1.52355006619544
