"Location","Site","Section","sample","min_depth","max_depth","midpoint","Zn","Zn_sd","Zn_ICP","Zn_ICP_sd","fit","lwr","upr"
"Bird Island","BI10","BI10.1",1,0,1.1,0.6,-2.02534724333283,-0.101267362166642,-0.468515677217699,-0.0234257838608849,-1.08431940344943,-2.21852978375455,0.0498909768556972
"Bird Island","BI10","BI10.1",4,3.9,5,4.5,-5.46325522691564,-0.273162761345782,-0.824728511639977,-0.0412364255819989,-1.59394343119709,-2.72910715525426,-0.458779707139914
"Bird Island","BI10","BI10.1",10,11.7,12.8,12.3,-2.32230891470943,-0.116115445735472,-1.22441044399362,-0.0612205221996812,-1.12834001242917,-2.26220141914206,0.00552139428372578
"Bird Island","BI10","BI10.1",22,26.7,27.8,27.2,-0.169000707249376,-0.00845003536246878,-0.375443324260563,-0.0187721662130282,-0.809140776466992,-1.94737352971774,0.329091976783758
"Bird Island","BI10","BI10.1",30,36.3,37.2,36.7,-0.835512314516237,-0.0417756157258118,-1.03108390301738,-0.0515541951508691,-0.907942236965047,-2.04436648472042,0.228482010790329
"Bird Island","BI10","BI10.1",34,40.9,41.9,41.4,-1.8213905024329,-0.0910695251216449,-0.909626728365094,-0.0454813364182547,-1.05408553556231,-2.1885827636794,0.080411692554782
"Bird Island","BI10","BI10.2",45,44,45,44.5,0.425795914009926,0.0212897957004963,-1.65726410096228,-0.0828632050481138,-0.720970106610678,-1.86115949046523,0.419219277243875
"Bird Island","BI10","BI10.2",51,51.9,52.9,52.4,-3.17821653417442,-0.158910826708721,0.175033506879896,0.00875167534399479,-1.25521690689366,-2.38852862577552,-0.12190518801179
"Bird Island","BI10","BI10.2",54,55.3,56.3,55.8,-1.68035877121448,-0.084017938560724,-1.34328981062405,-0.0671644905312027,-1.03317946150594,-2.16789748446328,0.101538561451393
"Bird Island","BI10","BI10.2",62,64.4,65.4,64.9,0.907825166935652,0.0453912583467826,0.453266322576737,0.0226633161288369,-0.649515695805826,-1.79152669490595,0.4924953032943
"Bird Island","BI10","BI10.2",67,70.1,71.2,70.6,-0.234541713399256,-0.0117270856699628,0.327338358359992,0.0163669179179996,-0.818856356900278,-1.95689324740661,0.319180533606055
"Bird Island","BI10","BI10.2",71,74.7,75.8,75.2,-2.46434432767037,-0.123217216383518,0.315867057635071,0.0157933528817535,-1.14939486892376,-2.28311817027411,-0.0156715675734096
"Bird Island","BI10","BI10.2",81,86.5,87.5,87,-0.559361567164994,-0.0279680783582497,-1.08875874826682,-0.0544379374133409,-0.867006570041233,-2.00413075364039,0.270117613557925
"Bird Island","BI10","BI10.3",88,84.8,85.8,85.3,-0.935864416935486,-0.0467932208467743,-0.501829499903644,-0.0250914749951822,-0.922818098352863,-2.05900532601785,0.213369129312121
"Bird Island","BI10","BI10.3",95,93,94,93.5,-3.28180980874554,-0.164090490437277,-0.530321057526555,-0.0265160528763277,-1.27057322884486,-2.40386439930904,-0.137282058380676
"Bird Island","BI10","BI10.3",98,96.3,97.3,96.8,-2.62907499737764,-0.131453749868882,-0.874900624940047,-0.0437450312470024,-1.17381399468009,-2.3074004824289,-0.0402275069312792
"Bird Island","BI10","BI10.3",104,103.2,104.2,103.7,-1.672153521755,-0.0836076760877498,-0.462279231238962,-0.0231139615619481,-1.03196314265792,-2.16669457613927,0.102768290823437
"Bird Island","BI10","BI10.3",114,114.9,115.9,115.4,-4.10800715297528,-0.205400357648764,-0.857796409816268,-0.0428898204908134,-1.39304597107398,-2.5265287445846,-0.259563197563364
"Bird Island","BI10","BI10.3",120,121.8,122.7,122.3,-0.823584702431988,-0.0411792351215994,0.333205891113354,0.0166602945556677,-0.906174127480787,-2.04262716163604,0.230278906674468
"Bird Island","BI10","BI10.4",135,129.4,130.4,129.9,-0.470683163866361,-0.0235341581933181,0.334532170981399,0.0167266085490699,-0.853861178925737,-1.99122495530134,0.283502597449864
"Bird Island","BI10","BI10.4",145,141,142,141.5,0.463340348387709,0.0231670174193855,-1.18926388153614,-0.0594631940768072,-0.71540464471976,-1.85572834039793,0.424919050958414
"Bird Island","BI10","BI10.4",155,152.7,153.8,153.2,0.884796990141574,0.0442398495070787,-0.0828511002206056,-0.00414255501103028,-0.652929316026474,-1.79484850188103,0.488989869828079
"Bird Island","BI10","BI10.4",165,164.8,165.8,165.3,-0.388260047818238,-0.0194130023909119,0.093235247557558,0.0046617623778779,-0.841643050755773,-1.97923597580389,0.295949874292342
"Bird Island","BI10","BI10.4",168,168.4,170,169.2,-0.764827665660627,-0.0382413832830313,-0.619586956009441,-0.0309793478004721,-0.897464180070638,-2.03406092573396,0.239132565592685
"Bird Island","BI10","BI10.5",181,174.6,175.6,175.1,-0.432930255114827,-0.0216465127557414,-0.251623598370358,-0.0125811799185179,-0.848264813488086,-1.98573277678544,0.289203149809267
"Bird Island","BI10","BI10.5",191,186.6,187.6,187.1,-1.85829911179806,-0.092914955589903,-0.629099535708045,-0.0314549767854023,-1.0595567448713,-2.19399921917145,0.0748857294288476
"Bird Island","BI10","BI10.5",194,190.3,191.3,190.8,-2.5752722710496,-0.12876361355248,-1.13501573372021,-0.0567507866860106,-1.16583845774715,-2.29946687089238,-0.0322100446019185
"Bird Island","BI10","BI10.5",197,194,195,194.5,-1.31526305708905,-0.0657631528544526,-0.164578660590369,-0.00822893302951846,-0.979058888984946,-2.11443365571919,0.156315877749298
"Bird Island","BI10","BI10.5",202,199.9,200.8,200.3,-1.92374960478333,-0.0961874802391665,-0.238185594128208,-0.0119092797064104,-1.06925890793457,-2.20360737759708,0.0650895617279417
"Bird Island","BI10","BI10.6",218,209.5,210.5,210,1.0091054047425,0.0504552702371251,-0.0578833912614944,-0.00289416956307472,-0.634502250719789,-1.77692274595362,0.507918244514045
"Bird Island","BI10","BI10.6",228,221.4,222.4,221.9,1.27373523952026,0.0636867619760132,0.838469398445124,0.0419234699222562,-0.595274405499483,-1.73880857031042,0.548259759311456
"Bird Island","BI10","BI10.6",239,234.2,235.2,234.7,-1.14576744709101,-0.0572883723545506,-0.892467951631096,-0.0446233975815548,-0.953933424352024,-2.08965479902676,0.181787950322709
"Bird Island","BI10","BI10.6",247,243.9,245,244.5,-0.694710932398161,-0.0347355466199081,0.407013315612795,0.0203506657806398,-0.887070309092018,-2.02384269568764,0.249702077503602
"Bird Island","BI10","BI10.7",259,250.7,251.7,251.2,-5.93120122644005,-0.296560061322002,-0.995585725289888,-0.0497792862644944,-1.66331018742932,-2.79944764170534,-0.527172733153299
"Bird Island","BI10","BI10.7",271,265,266,265.5,-0.0895333415765095,-0.00447666707882547,0.653124182436912,0.0326562091218456,-0.797360798886994,-1.93583629575018,0.341114697976198
"Bird Island","BI10","BI10.7",280,275.9,276.9,276.4,0.617852812448894,0.0308926406224447,0.410896480386628,0.0205448240193314,-0.692500231731366,-1.83339015702312,0.44838969356039
"Bird Island","BI10","BI10.8",300,289.7,290.8,290.3,0.435003567860565,0.0217501783930283,0.344877945161354,0.0172438972580677,-0.719605194674734,-1.85982739953158,0.420617010182113
"Bird Island","BI10","BI10.8",303,293.4,294.4,293.9,0.452519977751778,0.0226259988875889,-0.213731243816044,-0.0106865621908022,-0.717008620419964,-1.85729347582359,0.42327623498366
"Bird Island","BI10","BI10.8",311,303.1,304,303.6,-1.30166422401306,-0.065083211200653,-0.315528491906316,-0.0157764245953158,-0.977043043267739,-2.11244464339656,0.158358556861085
"Bird Island","BI10","BI10.8",318,311.7,312.8,312.2,-2.97499862355783,-0.148749931177892,-0.257649018564532,-0.0128824509282266,-1.22509256074668,-2.35847344031447,-0.0917116811788918
"Bird Island","BI10","BI10.8",326,321.7,322.8,322.2,-1.78987427158445,-0.0894937135792227,-0.187466382293693,-0.00937331911468467,-1.04941367448252,-2.18395865162417,0.0851313026591378
"Bird Island","BI10","BI10.9",342,332.1,333.1,332.6,-0.646357684303623,-0.0323178842151811,-0.00826935348290858,-0.000413467674145429,-0.879902584660098,-2.01679872189439,0.25699355257419
"Bird Island","BI10","BI10.9",348,339.5,340.5,340,0.0311874262896636,0.00155937131448318,0.556399550831748,0.0278199775415874,-0.779465554381748,-1.91832083917796,0.359389730414466
"Bird Island","BI10","BI10.9",361,355.7,356.7,356.2,-2.76868450398739,-0.138434225199369,-1.07566209825523,-0.0537831049127616,-1.19450924289792,-2.32799942760804,-0.0610190581878036
"Bird Island","BI10","BI10.9",365,360.7,361.7,361.2,-0.368461797485145,-0.0184230898742573,-0.0354590544710291,-0.00177295272355146,-0.838708224074754,-1.97635711735183,0.29894066920232
"Bird Island","BI10","BI10.9",372,369.1,371,370.1,-0.978841834283746,-0.0489420917141873,-0.364480064642598,-0.0182240032321299,-0.929188927541952,-2.06527747605317,0.206899620969261
"Bird Island","BI10","BI10.10",379,367.3,368.4,367.9,-1.84634277370303,-0.0923171386851516,-0.500617095138496,-0.0250308547569248,-1.05778437713889,-2.19224445099973,0.0766756967219526
"Bird Island","BI10","BI10.10",386,375.7,376.6,376.1,-1.98905515585452,-0.0994527577927261,-0.155941896981779,-0.00779709484908897,-1.0789395852913,-2.21319819907782,0.0553190284952298
"Bird Island","BI10","BI10.10",390,380.5,381.5,381,-2.08785618810235,-0.104392809405117,-1.03653308873166,-0.0518266544365829,-1.09358552120354,-2.22771567606632,0.0405446336592314
"Bird Island","BI10","BI10.10",392,382.9,384,383.4,-1.02808042671321,-0.0514040213356604,-0.400161210290325,-0.0200080605145163,-0.936487892468982,-2.07246547151572,0.199489686577758
"Bird Island","BI10","BI10.10",396,387.7,388.8,388.2,-2.02401828131993,-0.101200914065997,-1.21493915652886,-0.0607469578264431,-1.08412240254743,-2.21833452764134,0.0500897225464716
"Bird Island","BI10","BI10.10",403,396.3,397.4,396.8,-1.24009409884221,-0.0620047049421105,-1.03467360426011,-0.0517336802130053,-0.967916093003702,-2.10344131377556,0.167609127768158
"Bird Island","BI10","BI10.10",410,404.6,405.6,405.1,0.303250551548709,0.0151625275774354,-0.421715277759381,-0.0210857638879691,-0.739135822940932,-1.87889572911306,0.400624083231191
"Bird Island","BI10","BI10.11",422,409.9,410.9,410.4,-3.67274477887037,-0.183637238943518,-1.16474216499625,-0.0582371082498127,-1.32852412660414,-2.46182722006732,-0.195221033140958
"Bird Island","BI10","BI10.11",424,412.2,413.2,412.7,-1.46645666165946,-0.0733228330829729,-0.866234187642122,-0.0433117093821061,-1.00147132529761,-2.13655922431603,0.133616573720804
"Bird Island","BI10","BI10.11",427,415.8,416.8,416.3,-1.67182810524919,-0.0835914052624593,-0.906858332572691,-0.0453429166286346,-1.03191490399906,-2.16664687061555,0.10281706261743
"Bird Island","BI10","BI10.11",439,430.3,431.3,430.8,-1.9610756411919,-0.0980537820595949,-1.03058791025578,-0.0515293955127888,-1.07479199523802,-2.20908862487215,0.0595046343961156
"Bird Island","BI10","BI10.11",443,435.2,436.3,435.7,-2.38148698201676,-0.119074349100838,-0.834030080954017,-0.0417015040477009,-1.13711237200351,-2.27091397198353,-0.00331077202348373
"Bird Island","BI10","BI10.11",449,442.8,443.8,443.3,-1.25834326833313,-0.0629171634166563,-1.38650136476128,-0.0693250682380641,-0.970621289100695,-2.10610950539827,0.164866927196881
"Bird Island","BI10","BI10.12",461,447.5,448.7,448.1,-2.45083885930475,-0.122541942965238,-1.6093002351383,-0.0804650117569148,-1.14739286328022,-2.28112849412991,-0.0136572324305311
"Bird Island","BI10","BI10.12",465,452.8,453.9,453.4,-2.9324302023841,-0.146621510119205,-1.30977624339934,-0.0654888121699669,-1.21878235978813,-2.35218256751417,-0.0853821520620883
"Bird Island","BI10","BI10.12",469,458.3,459.3,458.8,-2.46256345279597,-0.123128172639799,-1.43073656048752,-0.071536828024376,-1.14913087796451,-2.28285579547117,-0.0154059604578451
"Bird Island","BI10","BI10.12",475,466.1,467.2,466.6,-2.93869802108971,-0.146934901054485,-1.83688035556811,-0.0918440177784057,-1.21971148035482,-2.35310873691917,-0.0863142237904748
"Bird Island","BI10","BI10.12",479,471.4,472.4,471.9,-2.83645979370199,-0.141822989685099,-1.87477506420038,-0.0937387532100192,-1.2045560260844,-2.33800595998309,-0.0711060921857127
"Bird Island","BI10","BI10.12",484,478.2,479.2,478.7,-2.54360639475827,-0.127180319737913,-1.47338203882678,-0.0736691019413392,-1.16114441372538,-2.29479875363972,-0.0274900738110282
"Bird Island","BI10","BI10.13",506,473.4,474.5,474,-1.81250625020797,-0.0906253125103987,-0.308535200923883,-0.0154267600461942,-1.0527685636061,-2.18727915916401,0.0817420319517965
"Bird Island","BI10","BI10.13",519,491,492,491.5,-1.2703974731303,-0.063519873656515,-0.255625868130085,-0.0127812934065042,-0.972408164267037,-2.10787210589574,0.163055777361668
"Bird Island","BI10","BI10.13",522,494.8,495.8,495.3,-1.77094441774829,-0.0885472208874145,-1.1821031059347,-0.059105155296735,-1.04660757600556,-2.18118167349713,0.087966521486021
"Bird Island","BI10","BI10.13",525,498.7,499.7,499.2,-0.754535824215756,-0.0377267912107878,-1.76447639248263,-0.0882238196241313,-0.895938551777175,-2.03256079588317,0.240683692328819
"Bird Island","BI10","BI10.13",529,503.9,505.1,504.5,0.0961774505861078,0.00480887252930539,-0.2768614912041,-0.013843074560205,-0.769831649663084,-1.9088968979961,0.369233598669935
"Isla Hermite","HER42PB","HER42PB_1A",3,2.5,3.7,3.1,-2.81015007242519,-0.140507503621259,-1.39659266208127,-0.0698296331040635,-1.20065596064052,-2.33412101490007,-0.067190906380973
"Isla Hermite","HER42PB","HER42PB_1A",5,5.3,6.5,5.9,-3.46858363556269,-0.173429181778135,-1.6430775328143,-0.0821538766407151,-1.29825995878497,-2.43153917889921,-0.164980738670723
"Isla Hermite","HER42PB","HER42PB_1A",7,8.1,9.3,8.7,-3.30979939435953,-0.165489969717977,-1.67472084332347,-0.0837360421661734,-1.27472231178242,-2.40800963466053,-0.141434988904311
"Isla Hermite","HER42PB","HER42PB_1A",9,10.9,12.1,11.5,-6.93320221277895,-0.346660110638948,-1.7921083512701,-0.0896054175635052,-1.81184347595934,-2.95074162090217,-0.672945331016508
"Isla Hermite","HER42PB","HER42PB_1A",13,16.3,17.5,16.9,-3.87116885917839,-0.19355844295892,-1.83704450052838,-0.0918522250264189,-1.35793785131451,-2.4913011130343,-0.224574589594724
"Isla Hermite","HER42PB","HER42PB_1A",16,20.5,21.6,21.1,-4.55720443733246,-0.227860221866623,-2.00223670361556,-0.100111835180778,-1.45963348022216,-2.5934854410011,-0.325781519443217
"Isla Hermite","HER42PB","HER42PB_1A",20,26.1,27.3,26.7,-3.08776278227427,-0.154388139113714,-1.70142174339584,-0.0850710871697922,-1.24180834401519,-2.37514612722125,-0.108470560809137
"Isla Hermite","HER42PB","HER42PB_1A",25,33.1,34.1,33.6,-3.34391357803302,-0.167195678901651,-1.84243702718981,-0.0921218513594905,-1.27977928473516,-2.4130628985518,-0.146495670918525
