"Location","Site","Section","sample","min_depth","max_depth","midpoint","Zr","Zr_sd","Zr_ICP","Zr_ICP_sd","fit","lwr","upr"
"Bird Island","BI10","BI10.1",1,0,1.1,0.6,2.57023163829936,0.128511581914968,-2.53655606047204,-0.126827803023602,-1.41474843417776,-3.5759164653645,0.746419597008982
"Bird Island","BI10","BI10.1",4,3.9,5,4.5,3.0422195705464,0.15211097852732,-2.60300239378037,-0.130150119689019,-1.28566191365389,-3.45190320742285,0.880579380115079
"Bird Island","BI10","BI10.1",10,11.7,12.8,12.3,3.03735679368394,0.151867839684197,-1.99850429196811,-0.0999252145984056,-1.28699186067662,-3.45316782259705,0.879184101243807
"Bird Island","BI10","BI10.1",22,26.7,27.8,27.2,2.05475542327411,0.102737771163705,-1.22212235350002,-0.0611061176750009,-1.55572879927659,-3.71429573147662,0.602838132923445
"Bird Island","BI10","BI10.1",30,36.3,37.2,36.7,1.53514754982736,0.0767573774913682,-1.82009667345778,-0.091004833672889,-1.69783915387977,-3.85690084635507,0.461222538595531
"Bird Island","BI10","BI10.1",34,40.9,41.9,41.4,2.04218603007241,0.10210930150362,-2.00936004344459,-0.100468002172229,-1.55916647029029,-3.71770842089733,0.599375480316751
"Bird Island","BI10","BI10.2",45,44,45,44.5,1.60786003739299,0.0803930018696493,-1.70262676036083,-0.0851313380180417,-1.67795262420984,-3.83675671415324,0.480851465733566
"Bird Island","BI10","BI10.2",51,51.9,52.9,52.4,2.46830948255626,0.123415474127813,-3.01416138859216,-0.150708069429608,-1.44262367324697,-3.60303349022152,0.717786143727573
"Bird Island","BI10","BI10.2",54,55.3,56.3,55.8,2.58143427522234,0.129071713761117,-1.93440279436772,-0.0967201397183862,-1.41168456469662,-3.57294325630519,0.74957412691195
"Bird Island","BI10","BI10.2",62,64.4,65.4,64.9,1.45981034288287,0.0729905171441434,-2.40519514667373,-0.120259757333686,-1.71844353218273,-3.8778367377773,0.440949673411827
"Bird Island","BI10","BI10.2",67,70.1,71.2,70.6,1.77580863348593,0.0887904316742965,-1.82438996985932,-0.091219498492966,-1.63201945851788,-3.79046280092754,0.526423883891786
"Bird Island","BI10","BI10.2",71,74.7,75.8,75.2,1.99791730384215,0.0998958651921075,-1.53930605365897,-0.0769653026829483,-1.57127376254643,-3.72974231619819,0.587194791105323
"Bird Island","BI10","BI10.2",81,86.5,87.5,87,1.91818639267004,0.0959093196335018,-1.63119509332246,-0.0815597546661232,-1.59307979867199,-3.75147348040769,0.565313883063705
"Bird Island","BI10","BI10.3",88,84.8,85.8,85.3,2.27911354692316,0.113955677346158,-2.08620169698765,-0.104310084849382,-1.49436788821422,-3.65368879468708,0.66495301825865
"Bird Island","BI10","BI10.3",95,93,94,93.5,1.81762098406153,0.0908810492030764,-2.17037390076363,-0.108518695038182,-1.62058397366335,-3.77898835098614,0.537820403659428
"Bird Island","BI10","BI10.3",98,96.3,97.3,96.8,1.6950046776508,0.0847502338825398,-2.03657707680575,-0.101828853840288,-1.65411896740503,-3.81269505502473,0.504457120214674
"Bird Island","BI10","BI10.3",104,103.2,104.2,103.7,1.93816802861039,0.0969084014305196,-1.85175219215958,-0.0925876096079788,-1.58761491348809,-3.7460204367917,0.570790609815509
"Bird Island","BI10","BI10.3",114,114.9,115.9,115.4,2.2211893414288,0.11105946707144,-2.33916200513029,-0.116958100256514,-1.51020989100819,-3.66928028209363,0.648860500077254
"Bird Island","BI10","BI10.3",120,121.8,122.7,122.3,2.30684353960204,0.115342176980102,-2.38965829631518,-0.119482914815759,-1.48678386323284,-3.64623845394242,0.672670727476738
"Bird Island","BI10","BI10.4",135,129.4,130.4,129.9,1.72157582367414,0.0860787911837071,-2.13141320226489,-0.106570660113244,-1.64685188163409,-3.80537596379785,0.511672200529658
"Bird Island","BI10","BI10.4",145,141,142,141.5,2.04551695492608,0.102275847746304,-2.53058073781212,-0.126529036890606,-1.55825547772012,-3.71680387012928,0.600292914689045
"Bird Island","BI10","BI10.4",155,152.7,153.8,153.2,1.85868706498453,0.0929343532492266,-0.997695272118208,-0.0498847636059104,-1.60935259011364,-3.76773843205968,0.549033251832397
"Bird Island","BI10","BI10.4",165,164.8,165.8,165.3,1.6712984226864,0.0835649211343201,-3.28381052656104,-0.164190526328052,-1.66060251869719,-3.81923191380127,0.498026876406888
"Bird Island","BI10","BI10.4",168,168.4,170,169.2,1.69667894596669,0.0848339472983343,-2.79044588301262,-0.139522294150631,-1.65366106274994,-3.8122336318225,0.504911506322614
"Bird Island","BI10","BI10.5",181,174.6,175.6,175.1,1.68009905480839,0.0840049527404196,-2.88952645913735,-0.144476322956868,-1.6581955864402,-3.81680443145206,0.500413258571665
"Bird Island","BI10","BI10.5",191,186.6,187.6,187.1,1.74221670016632,0.0871108350083162,-2.40318398504885,-0.120159199252443,-1.64120669720268,-3.79969603013577,0.517282635730422
"Bird Island","BI10","BI10.5",194,190.3,191.3,190.8,1.93144161488729,0.0965720807443645,-1.90581804757175,-0.0952909023785876,-1.58945455658868,-3.74785557669173,0.568946463514366
"Bird Island","BI10","BI10.5",197,194,195,194.5,1.57752124714132,0.0788760623570658,-2.53082096802294,-0.126541048401147,-1.68625014328378,-3.84515426742232,0.472653980854761
"Bird Island","BI10","BI10.5",202,199.9,200.8,200.3,1.40521923839117,0.0702609619195585,-3.0780598948426,-0.15390299474213,-1.73337394723983,-3.8930484467921,0.426300552312442
"Bird Island","BI10","BI10.6",218,209.5,210.5,210,1.21268764615384,0.0606343823076919,-2.790776767058,-0.1395388383529,-1.78603044888918,-3.94697229551637,0.37491139773801
"Bird Island","BI10","BI10.6",228,221.4,222.4,221.9,1.44559295031117,0.0722796475155583,-3.04596092589338,-0.152298046294669,-1.7223319234161,-3.88179506443873,0.437131217606534
"Bird Island","BI10","BI10.6",239,234.2,235.2,234.7,1.45452325172288,0.0727261625861442,-2.53762529816972,-0.126881264908486,-1.71988952720698,-3.87930846665211,0.439529412238145
"Bird Island","BI10","BI10.6",247,243.9,245,244.5,1.94230024429679,0.0971150122148395,-3.4332944283463,-0.171664721417315,-1.58648477157436,-3.74489332148294,0.571923778334225
"Bird Island","BI10","BI10.7",259,250.7,251.7,251.2,2.43091585607243,0.121545792803622,-2.37189054892373,-0.118594527446187,-1.45285065746156,-3.61301241324201,0.70731109831889
"Bird Island","BI10","BI10.7",271,265,266,265.5,1.51300752551698,0.075650376275849,-3.33148400960014,-0.166574200480007,-1.70389434831861,-3.86304664396523,0.455257947328009
"Bird Island","BI10","BI10.7",280,275.9,276.9,276.4,1.59041834260983,0.0795209171304913,-3.23323578032908,-0.161661789016454,-1.68272284721295,-3.84158314308218,0.476137448656282
