"Location","Site","Section","sample","min_depth","max_depth","midpoint","K","K_sd","K_ICP","K_ICP_sd","K_fit_OLS","K_lwr_OLS","K_upr_OLS","K_fit_WLS","K_lwr_WLS","K_upr_WLS"
"Bird Island","BI10","BI10.1",1,0,1.1,0.6,-1.9488071662526,-0.0974403583126302,3.88560818306249,0.194280409153125,2.87770652466144,1.49781171936264,4.25760132996023,2.69279039149426,0.937530007688775,4.44805077529974
"Bird Island","BI10","BI10.1",4,3.9,5,4.5,-1.41510004784291,-0.0707550023921457,3.84280155325921,0.192140077662961,3.1219314613762,1.74224033267601,4.50162259007639,3.15810896913689,1.72702126046945,4.58919667780434
"Bird Island","BI10","BI10.1",10,11.7,12.8,12.3,-1.50286800878217,-0.0751434004391084,3.48328739754594,0.174164369877297,3.08176875046868,1.70224518863731,4.46129231230005,3.0815874813431,1.59724493360603,4.56593002908017
"Bird Island","BI10","BI10.1",22,26.7,27.8,27.2,-2.25119580767718,-0.112559790383859,3.71602440999666,0.185801220499833,2.73933316543918,1.35802514531542,4.12064118556294,2.42914943998841,0.489945565155652,4.36835331482118
"Bird Island","BI10","BI10.1",30,36.3,37.2,36.7,-1.87135890763456,-0.093567945381728,4.17695845215305,0.208847922607653,2.91314692897162,1.53346318669172,4.29283067125151,2.76031453029239,1.05213941638671,4.46848964419807
"Bird Island","BI10","BI10.1",34,40.9,41.9,41.4,-2.27486482954897,-0.113743241477449,3.95572221585921,0.19778611079296,2.72850219622527,1.34704402616793,4.1099603662826,2.40851333600615,0.454905449394717,4.36212122261758
"Bird Island","BI10","BI10.2",45,44,45,44.5,-2.46910073848453,-0.123455036924226,5.30133208664817,0.265066604332409,2.63961964073515,1.25671297578203,4.02252630568826,2.23916656554835,0.167326161320442,4.31100696977627
"Bird Island","BI10","BI10.2",51,51.9,52.9,52.4,-2.04323660159734,-0.102161830079867,2.95242175786957,0.147621087893478,2.83449551608467,1.45426007109387,4.21473096107547,2.61046102202071,0.797775813404923,4.4231462306365
"Bird Island","BI10","BI10.2",54,55.3,56.3,55.8,-2.4385107820685,-0.121925539103425,4.67895935429177,0.233947967714589,2.65361763684971,1.27096465233343,4.03627062136599,2.26583676446208,0.212619813269132,4.31905371565503
"Bird Island","BI10","BI10.2",62,64.4,65.4,64.9,-2.04657148258175,-0.102328574129088,2.52756423061713,0.126378211530856,2.83296947105122,1.45272032340899,4.21321861869344,2.607553468378,0.792839940752625,4.42226699600338
"Bird Island","BI10","BI10.2",67,70.1,71.2,70.6,-1.82219523789155,-0.0911097618945773,3.71797430931724,0.185898715465862,2.93564427577004,1.55606255317073,4.31522599836936,2.80317843089892,1.12488624116664,4.4814706206312
"Bird Island","BI10","BI10.2",71,74.7,75.8,75.2,-1.89997793716592,-0.0949988968582961,2.9583811143827,0.147919055719135,2.90005083106503,1.52029627024324,4.27980539188682,2.73536270623816,1.00978985275108,4.46093555972525
"Bird Island","BI10","BI10.2",81,86.5,87.5,87,-2.33270430992222,-0.116635215496111,4.27103361378416,0.213551680689208,2.70203478939011,1.32018559000865,4.08388398877156,2.35808533193706,0.36927537803693,4.34689528583719
"Bird Island","BI10","BI10.3",88,84.8,85.8,85.3,-3.24094639010343,-0.162047319505172,3.36097883746032,0.168048941873016,2.28642226165224,0.893974066835371,3.67887045646911,1.56622421873996,-0.975824527677709,4.10827296515763
"Bird Island","BI10","BI10.3",95,93,94,93.5,-1.62698889034496,-0.0813494445172478,3.24345655081456,0.162172827540728,3.0249709049856,1.64554921747616,4.40439259249504,2.97337128921764,1.41367431506283,4.53306826337245
"Bird Island","BI10","BI10.3",98,96.3,97.3,96.8,-1.37516982393783,-0.0687584911968917,3.41336143836337,0.170668071918168,3.14020357368245,1.7604100254001,4.5199971219648,3.19292258572838,1.78605430166359,4.59979086979318
"Bird Island","BI10","BI10.3",104,103.2,104.2,103.7,-1.90267718029194,-0.0951338590145969,2.97663487229103,0.148831743614552,2.89881565458173,1.51905398037102,4.27857732879244,2.73300934063972,1.00579550803026,4.46022317324918
"Bird Island","BI10","BI10.3",114,114.9,115.9,115.4,-2.39792571452057,-0.119896285726028,3.01234257472727,0.150617128736364,2.6721894062932,1.28985825246145,4.05452056012496,2.30122131387788,0.272711171546112,4.32973145620965
"Bird Island","BI10","BI10.3",120,121.8,122.7,122.3,-2.50322687353934,-0.125161343676967,2.39380124185013,0.119690062092506,2.62400348556953,1.24080255365532,4.00720441748374,2.20941330935897,0.11679528758593,4.302031331132
"Bird Island","BI10","BI10.4",135,129.4,130.4,129.9,-3.06128811016661,-0.15306440550833,2.90038607996047,0.145019303998024,2.36863407883503,0.978943448822987,3.75832470884708,1.72286131874909,-0.709695903054427,4.15541854055261
"Bird Island","BI10","BI10.4",145,141,142,141.5,-2.72347131625032,-0.136173565812516,3.79643507242245,0.189821753621123,2.52321939776657,1.13783418461298,3.90860461092015,2.01739070504868,-0.209353172047644,4.244134582145
"Bird Island","BI10","BI10.4",155,152.7,153.8,153.2,-3.72809331906089,-0.186404665953044,3.56897883394509,0.178448941697255,2.06350331642637,0.6619616868456,3.46504494600713,1.14149966801464,-1.69753486422047,3.98053420024975
"Bird Island","BI10","BI10.4",165,164.8,165.8,165.3,-1.95704532858453,-0.0978522664292267,3.03431219864733,0.151715609932366,2.87393673294467,1.49401585326995,4.25385761261938,2.68560785664236,0.925338314198044,4.44587739908667
"Bird Island","BI10","BI10.4",168,168.4,170,169.2,-2.30898011157902,-0.115449005578951,4.33522772336146,0.216761386168073,2.71289100741516,1.33120633593167,4.09457567889864,2.37876954214895,0.404399084213144,4.35314000008476
"Bird Island","BI10","BI10.5",181,174.6,175.6,175.1,-1.86598638242392,-0.0932993191211962,2.59592211413292,0.129796105706646,2.91560540213846,1.53593401660332,4.29527678767361,2.76499862706219,1.06008932344156,4.46990793068282
"Bird Island","BI10","BI10.5",191,186.6,187.6,187.1,-2.78363967910204,-0.139181983955102,4.16652105560504,0.208326052780252,2.49568629186856,1.10961868222182,3.8817539015153,1.96493223849369,-0.298461768540011,4.2283262455274
"Bird Island","BI10","BI10.5",194,190.3,191.3,190.8,-2.99257183675162,-0.149628591837581,4.50873572223171,0.225436786111585,2.40007871756509,1.01135715166276,3.78880028346742,1.78277237764905,-0.607912251834276,4.17345700713237
"Bird Island","BI10","BI10.5",197,194,195,194.5,-3.06446291199678,-0.153223145599839,3.40491487755924,0.170245743877962,2.36718128619032,0.977444736226602,3.75691783615405,1.72009333192457,-0.714398555517346,4.15458521936649
"Bird Island","BI10","BI10.5",202,199.9,200.8,200.3,-2.82260527478513,-0.141130263739257,3.0286140115163,0.151430700575815,2.47785559444764,1.09132649247541,3.86438469641987,1.93095964390983,-0.356171094404659,4.21809038222432
"Bird Island","BI10","BI10.6",218,209.5,210.5,210,-2.53487530948756,-0.126743765474378,4.3728658015614,0.21864329007807,2.60952112811174,1.22603668618181,3.99300557004168,2.18182026311307,0.0699319685771802,4.29370855764897
