"Location","Site","Section","sample","min_depth","max_depth","midpoint","Rb","Rb_sd","Rb_ICP","Rb_ICP_sd","Rb_fit_OLS","Rb_lwr_OLS","Rb_upr_OLS","Rb_fit_WLS","Rb_lwr_WLS","Rb_upr_WLS"
"Bird Island","BI10","BI10.1",1,0,1.1,0.6,-0.839723577744537,-0.0419861788872269,-2.77198839105349,-0.138599419552675,-2.92071387567793,-4.36365113207903,-1.47777661927683,-2.91910059709086,-4.35418741278883,-1.48401378139289
"Bird Island","BI10","BI10.1",4,3.9,5,4.5,0.27573350247518,0.013786675123759,-2.92921135759837,-0.146460567879918,-2.282379993352,-3.7337187714088,-0.831041215295196,-2.27178462665646,-3.67834629542242,-0.865222957890506
"Bird Island","BI10","BI10.1",10,11.7,12.8,12.3,-0.435822186164613,-0.0217911093082307,-2.37826768433896,-0.118913384216948,-2.68957639138021,-4.13414320920612,-1.24500957355431,-2.68471074392066,-4.10793665703028,-1.26148483081104
"Bird Island","BI10","BI10.1",22,26.7,27.8,27.2,-0.370384560583944,-0.0185192280291972,-1.85048611823537,-0.0925243059117683,-2.65212891417305,-4.0971111659689,-1.2071466623772,-2.64673633786164,-4.06820239390463,-1.22527028181865
"Bird Island","BI10","BI10.1",30,36.3,37.2,36.7,-1.29078024510822,-0.064539012255411,-1.76646475756258,-0.088323237878129,-3.17883654012912,-4.62185903013784,-1.7358140501204,-3.18085534277585,-4.63117992987052,-1.73053075568117
"Bird Island","BI10","BI10.1",34,40.9,41.9,41.4,-2.95175148921969,-0.147587574460984,-2.28394595510923,-0.114197297755461,-4.12934753825427,-5.58991527233276,-2.66877980417577,-4.14474111822304,-5.66819124152092,-2.62129099492516
"Bird Island","BI10","BI10.2",45,44,45,44.5,-1.28783272785235,-0.0643916363926175,-0.8774587514868,-0.04387293757434,-3.17714978752651,-4.62016519258023,-1.73413438247278,-3.17914485563413,-4.62936317671336,-1.72892653455489
"Bird Island","BI10","BI10.2",51,51.9,52.9,52.4,-0.90953299282445,-0.0454766496412225,-3.19879095169139,-0.159939547584569,-2.96066316260351,-4.40348205782335,-1.51784426738366,-2.95961201619361,-4.39692111332489,-1.52230291906234
"Bird Island","BI10","BI10.2",54,55.3,56.3,55.8,-0.903410489391616,-0.0451705244695808,-1.31385196862518,-0.0656925984312589,-2.95715948554131,-4.39998683437498,-1.51433213670763,-2.95605903838623,-4.39317122360177,-1.51894685317068
"Bird Island","BI10","BI10.2",62,64.4,65.4,64.9,-0.373035287080188,-0.0186517643540094,-2.9686961989637,-0.148434809948185,-2.65364582465337,-4.09861042903989,-1.20868122026685,-2.64827459300807,-4.06981105207998,-1.22673813393617
"Bird Island","BI10","BI10.2",67,70.1,71.2,70.6,-1.20419256746874,-0.0602096283734368,-1.82641050004624,-0.0913205250023122,-3.1292856883668,-4.57213583150479,-1.6864355452288,-3.13060725383295,-4.5778464914047,-1.6833680162612
"Bird Island","BI10","BI10.2",71,74.7,75.8,75.2,-1.16733665746836,-0.058366832873418,-2.57554472711918,-0.128777236355959,-3.10819444556204,-4.5509937130352,-1.66539517808889,-3.10921923310925,-4.55516811325111,-1.66327035296739
"Bird Island","BI10","BI10.2",81,86.5,87.5,87,-0.879365445859559,-0.043968272292978,-1.38478940475059,-0.0692394702375293,-2.94339941690156,-4.38626355084248,-1.50053528296064,-2.94210534983639,-4.37844793613361,-1.50576276353917
"Bird Island","BI10","BI10.3",88,84.8,85.8,85.3,-0.651304420045331,-0.0325652210022666,-2.08879233356822,-0.104439616678411,-2.81288872079611,-4.25638580641404,-1.36939163517817,-2.80975821890589,-4.23909929423534,-1.38041714357643
