"Location","Site","Section","sample","min_depth","max_depth","midpoint","Zn","Zn_sd","Zn_ICP","Zn_ICP_sd","Zn_fit_OLS","Zn_lwr_OLS","Zn_upr_OLS","Zn_fit_WLS","Zn_lwr_WLS","Zn_upr_WLS"
"Bird Island","BI10","BI10.1",1,0,1.1,0.6,-2.02534724333283,-0.101267362166642,-0.468515677217699,-0.0234257838608849,-1.07282592610617,-2.11932829829321,-0.0263235539191329,-1.1479722088526,-2.40169349680557,0.105749079100364
"Bird Island","BI10","BI10.1",4,3.9,5,4.5,-5.46325522691564,-0.273162761345782,-0.824728511639977,-0.0412364255819989,-1.7156321716936,-2.76374618902973,-0.667518154357464,-1.6230031576417,-2.29985749642944,-0.94614881885396
"Bird Island","BI10","BI10.1",10,11.7,12.8,12.3,-2.32230891470943,-0.116115445735472,-1.22441044399362,-0.0612205221996812,-1.12835062832989,-2.17451699402559,-0.0821842626341776,-1.1890047161744,-2.39260500773799,0.0145955753891915
"Bird Island","BI10","BI10.1",22,26.7,27.8,27.2,-0.169000707249376,-0.00845003536246878,-0.375443324260563,-0.0187721662130282,-0.725733696451595,-1.77636479668725,0.324897403784058,-0.891472599052667,-2.45904597745784,0.676100779352502
"Bird Island","BI10","BI10.1",30,36.3,37.2,36.7,-0.835512314516237,-0.0417756157258118,-1.03108390301738,-0.0515541951508691,-0.850355363451873,-1.8991027900616,0.198392063157856,-0.983567455195083,-2.43836537928825,0.471230468898078
"Bird Island","BI10","BI10.1",34,40.9,41.9,41.4,-1.8213905024329,-0.0910695251216449,-0.909626728365094,-0.0454813364182547,-1.03469091274741,-2.08147604066769,0.012094215172876,-1.11979060404983,-2.40795234298455,0.168371134884887
"Bird Island","BI10","BI10.2",45,44,45,44.5,0.425795914009926,0.0212897957004963,-1.65726410096228,-0.0828632050481138,-0.614521009891752,-1.66721035015192,0.438168330368418,-0.809286919656182,-2.47756429816897,0.858990458856607
"Bird Island","BI10","BI10.2",51,51.9,52.9,52.4,-3.17821653417442,-0.158910826708721,0.175033506879896,0.00875167534399479,-1.28838480203822,-2.33408541807408,-0.242684186002366,-1.30726925684618,-2.36660694596529,-0.247931567727074
"Bird Island","BI10","BI10.2",54,55.3,56.3,55.8,-1.68035877121448,-0.084017938560724,-1.34328981062405,-0.0671644905312027,-1.00832136531155,-2.05532674797288,0.038684017349778,-1.10030362609406,-2.41228752621283,0.211680274024713
"Bird Island","BI10","BI10.2",62,64.4,65.4,64.9,0.907825166935652,0.0453912583467826,0.453266322576737,0.0226633161288369,-0.524393113561732,-1.57901000681826,0.530223779694798,-0.742682806208452,-2.49260791522588,1.00724230280898
