"Location","Site","Section","sample","min_depth","max_depth","midpoint","SH20_age","Co","Co_sd","Co_ICP","Co_ICP_sd","fit","lwr","upr"
"Bird Island","BI10","BI10.1",1,0,1.1,0.6,-55.4909090909091,68.9090909090909,58.9108725880962,0.738789575,0.008034972,3.01413494406231,-10.4012450310862,16.4295149192108
"Bird Island","BI10","BI10.1",4,3.9,5,4.5,5.21666666666667,81.5833333333333,41.3047616302689,0.761205508,0.003005595,4.10860909171322,-9.30160941697929,17.5188276004057
"Bird Island","BI10","BI10.1",10,11.7,12.8,12.3,132.083333333333,33.0833333333333,34.6579607366654,1.745989306,0.00454165,-0.0795699239838273,-13.517199610744,13.3580597627763
"Bird Island","BI10","BI10.1",22,26.7,27.8,27.2,382.866666666667,50.1666666666667,34.2234192365758,1.171208352,0.012269219,1.39564777054864,-12.0299625561043,14.8212580972016
"Bird Island","BI10","BI10.1",30,36.3,37.2,36.7,541.72,144.2,53.0236844354588,14.98993637,0.050641414,9.51582165596539,-3.88974056675746,22.9213838786882
"Bird Island","BI10","BI10.1",34,40.9,41.9,41.4,618.7,258.181818181818,60.4480242552528,4.788646274,0.037728077,19.3586311215342,5.87273650301341,32.844525740055
"Bird Island","BI10","BI10.2",45,44,45,44.5,670.06,189.9,73.9541149031689,6.375776882,0.021747503,13.4622088934366,0.0381593022704969,26.8862584846028
"Bird Island","BI10","BI10.2",51,51.9,52.9,52.4,800.245454545455,61.5454545454545,35.16920140226,17.04437568,0.072771457,2.37825396885807,-11.0407759932605,15.7972839309766
"Bird Island","BI10","BI10.2",54,55.3,56.3,55.8,856.145454545455,34.9090909090909,34.7000130992902,5.701846016,0.226259322,0.0780919227489128,-13.3581307691634,13.5143146146612
"Bird Island","BI10","BI10.2",62,64.4,65.4,64.9,1005.71818181818,73.2727272727273,18.1333444741499,1.54911114,0.010688746,3.3909532997389,-10.0224895113805,16.8043961108583
"Bird Island","BI10","BI10.2",67,70.1,71.2,70.6,1100.56666666667,64.75,34.1097826543541,4.068857773,0.02443965,2.65497994880806,-10.7624028043148,16.0723627019309
"Bird Island","BI10","BI10.2",71,74.7,75.8,75.2,1174.81666666667,94.75,37.8204490142088,2.041238975,0.011991471,5.24560614408459,-8.16075346362298,18.6519657517922
"Bird Island","BI10","BI10.2",81,86.5,87.5,87,1349.67272727273,73.1818181818182,50.7303029397976,2.439569014,0.01043611,3.38310291732897,-10.0303785368354,16.7965843714933
"Bird Island","BI10","BI10.3",88,84.8,85.8,85.3,1324,54.3636363636364,34.6562338613783,2.601276107,0.027240957,1.75807375847369,-11.6649766590639,15.1811241760113
"Bird Island","BI10","BI10.3",95,93,94,93.5,1444.54545454545,60.0909090909091,38.7232605689514,5.745017677,0.069473871,2.25264785029921,-11.167159663365,15.6724553639634
