"Location","Site","Section","sample","min_depth","max_depth","midpoint","SH20_age","Sr","Sr_sd","Sr_ICP","Sr_ICP_sd","fit","lwr","upr"
"Bird Island","BI10","BI10.1",1,0,1.1,0.6,-55.4909090909091,28.7272727272727,47.4027233586656,26.58846642,0.463509298,63.966349617833,-31.2491102818813,159.181809517547
"Bird Island","BI10","BI10.1",4,3.9,5,4.5,5.21666666666667,2.08333333333333,7.21687836487032,25.05462045,0.186955871,59.0977071911787,-36.1355862925197,154.331000674877
"Bird Island","BI10","BI10.1",10,11.7,12.8,12.3,132.083333333333,10.25,24.8344518763753,46.4043754,0.519109914,60.5900007754645,-34.6377379964046,155.817739547334
"Bird Island","BI10","BI10.1",22,26.7,27.8,27.2,382.866666666667,248.083333333333,60.5436857053473,121.9608593,0.839622095,104.049244546401,8.9489041184576,199.149584974344
"Bird Island","BI10","BI10.1",30,36.3,37.2,36.7,541.72,349.4,106.557444080125,150.558177,2.59385652,122.562821482878,27.4965302586224,217.629112707133
"Bird Island","BI10","BI10.1",34,40.9,41.9,41.4,618.7,148.181818181818,98.6679463471478,145.2111951,2.397227724,85.7942580009675,-9.35149436866568,180.940010370601
"Bird Island","BI10","BI10.2",45,44,45,44.5,670.06,369.7,85.4375015240185,165.8736664,2.61051165,126.272236963817,31.2113127662578,221.333161161376
"Bird Island","BI10","BI10.2",51,51.9,52.9,52.4,800.245454545455,301.636363636364,99.87519484564,110.8952002,2.069414432,113.834980490109,18.7541447717602,208.915816208457
"Bird Island","BI10","BI10.2",54,55.3,56.3,55.8,856.145454545455,142,97.4546048168069,153.965778,1.949345735,84.6646554362391,-10.4842928272693,179.813603699748
"Bird Island","BI10","BI10.2",62,64.4,65.4,64.9,1005.71818181818,578.818181818182,175.582925241504,97.81476508,1.178390202,164.48436607624,69.450429754509,259.518302397972
"Bird Island","BI10","BI10.2",67,70.1,71.2,70.6,1100.56666666667,449,84.3693179904983,168.0404108,1.955006557,140.762712216943,45.7180958338248,235.807328600062
"Bird Island","BI10","BI10.2",71,74.7,75.8,75.2,1174.81666666667,402.333333333333,105.814875508068,114.9998151,1.529219743,132.235320306739,37.1820052859501,227.288635327527
"Bird Island","BI10","BI10.2",81,86.5,87.5,87,1349.67272727273,395.090909090909,102.365477135072,209.897137,2.629036009,130.911913380415,35.8570180792525,225.966808681577
"Bird Island","BI10","BI10.3",88,84.8,85.8,85.3,1324,379.727272727273,88.6353100170478,130.9618352,0.711514938,128.104518771016,33.0460663288957,223.162971213137
"Bird Island","BI10","BI10.3",95,93,94,93.5,1444.54545454545,657.636363636364,307.69929240324,119.867266,2.07053159,178.886798776528,83.8496423538919,273.923955199164
"Bird Island","BI10","BI10.3",98,96.3,97.3,96.8,1492.28181818182,687.090909090909,135.948118446306,112.4064678,0.932757371,184.26902276141,89.2287810100609,279.30926451276
"Bird Island","BI10","BI10.3",104,103.2,104.2,103.7,1595.6,547.272727272727,137.91380707463,127.1397723,0.326624311,158.720070635641,63.6853684860716,253.75477278521
"Bird Island","BI10","BI10.3",114,114.9,115.9,115.4,1769.91818181818,219.727272727273,87.0759334249032,94.40874214,1.478332239,98.8677465074569,3.75571044487276,193.979782570041
"Bird Island","BI10","BI10.3",120,121.8,122.7,122.3,1872.71,143.2,55.8684963900845,91.74775016,0.40610632,84.8839312282158,-10.2643931404287,180.03225559686
"Bird Island","BI10","BI10.4",135,129.4,130.4,129.9,1986.59090909091,263.818181818182,93.684383097524,100.7977844,1.025597866,106.924470682358,11.8302116367267,202.01872972799
"Bird Island","BI10","BI10.4",145,141,142,141.5,2162.97272727273,395.090909090909,90.5179038041144,91.25190224,0.699750267,130.911913380415,35.8570180792525,225.966808681577
"Bird Island","BI10","BI10.4",155,152.7,153.8,153.2,2335.40833333333,209.333333333333,95.655949140974,121.0153008,1.039947828,96.9684637638202,1.85190352510458,192.085024002536
"Bird Island","BI10","BI10.4",165,164.8,165.8,165.3,2517.27272727273,341.181818181818,66.8966638657238,85.39705279,1.57965392,121.061114543886,25.9925123724697,216.129716715302
"Bird Island","BI10","BI10.4",168,168.4,170,169.2,2576.01176470588,306.823529411765,104.520473648777,121.2110164,1.417347214,114.782830393038,19.7037043858818,209.861956400194
