"Location","Site","Section","sample","min_depth","max_depth","midpoint","SH20_age","Zn","Zn_sd","Zn_ICP","Zn_ICP_sd","fit","lwr","upr"
"Bird Island","BI10","BI10.1",1,0,1.1,0.6,-55.4909090909091,8,18.1548891486563,22.90793616,0.057813095,42.1898786030519,-40.6526021845657,125.03235939067
"Bird Island","BI10","BI10.1",4,3.9,5,4.5,5.21666666666667,0.181818181818182,0.603022689155525,12.50967591,0.167196198,38.6440903050326,-44.2098041202559,121.497984730321
"Bird Island","BI10","BI10.1",10,11.7,12.8,12.3,132.083333333333,4.33333333333333,12.7017059221718,13.94648753,0.043639925,40.5269313780119,-42.3205820558144,123.374444811838
"Bird Island","BI10","BI10.1",22,26.7,27.8,27.2,382.866666666667,90.9166666666667,60.6247149321633,83.1136075,1.204215632,79.7951624420263,-3.08464557644315,162.674970460496
"Bird Island","BI10","BI10.1",30,36.3,37.2,36.7,541.72,74.1,26.9132350753718,90.06087679,0.829001857,72.1682817599107,-10.6805598228647,155.017123342686
"Bird Island","BI10","BI10.1",34,40.9,41.9,41.4,618.7,17.4545454545455,19.2216733733754,83.32372544,0.676115824,46.477808637866,-36.354306129479,129.309923405211
"Bird Island","BI10","BI10.2",45,44,45,44.5,670.06,265.8,53.0509189364331,63.36397587,0.318454995,159.110186225415,75.2092016992509,243.011170751579
"Bird Island","BI10","BI10.2",51,51.9,52.9,52.4,800.245454545455,3.27272727272727,10.8544084047995,154.2471074,0.912951267,40.0459135856449,-42.8031610631989,122.894988234489
"Bird Island","BI10","BI10.2",54,55.3,56.3,55.8,856.145454545455,13,22.2126090318089,56.72463202,1.511547748,44.4575339099248,-38.3789960636736,127.294063883523
"Bird Island","BI10","BI10.2",62,64.4,65.4,64.9,1005.71818181818,495.454545454545,70.3311646944136,109.0593506,0.741410788,263.265655974908,176.161719110005,350.369592839811
"Bird Island","BI10","BI10.2",67,70.1,71.2,70.6,1100.56666666667,121.083333333333,57.9018893290952,261.6355831,2.462160119,93.4766827934922,10.5115537878009,176.441811799184
"Bird Island","BI10","BI10.2",71,74.7,75.8,75.2,1174.81666666667,10,20.1629723638519,140.4650062,0.492872097,43.0969407258011,-39.7430334642744,125.936914915877
"Bird Island","BI10","BI10.2",81,86.5,87.5,87,1349.67272727273,73.3636363636364,45.6141923687633,67.51751759,0.138761249,71.8343179783531,-11.0134394951157,154.682075451822
"Bird Island","BI10","BI10.3",88,84.8,85.8,85.3,1324,36.4545454545455,39.9734002465731,65.03458094,0.286572998,55.0948988039828,-27.7277659844549,137.91756359242
"Bird Island","BI10","BI10.3",95,93,94,93.5,1444.54545454545,5.09090909090909,10.0145348913921,71.97280393,0.774294779,40.8705155154168,-41.9759117444048,123.716942775238
"Bird Island","BI10","BI10.3",98,96.3,97.3,96.8,1492.28181818182,11.3636363636364,33.3114776834434,41.79884834,0.244174097,43.71539217313,-39.1229695011024,126.553753847362
"Bird Island","BI10","BI10.3",104,103.2,104.2,103.7,1595.6,24.7272727272727,30.6074857153962,45.72842227,0.254790732,49.7762163569537,-33.0504853822259,132.602918096133
"Bird Island","BI10","BI10.3",114,114.9,115.9,115.4,1769.91818181818,1.54545454545455,5.12569285782198,35.80217711,0.124414396,39.2625417523615,-43.5891767528369,122.11426025756
"Bird Island","BI10","BI10.3",120,121.8,122.7,122.3,1872.71,41.3,30.3938955859378,87.02811474,1.036590908,57.292462946825,-25.5302248515421,140.115150745192
"Bird Island","BI10","BI10.4",135,129.4,130.4,129.9,1986.59090909091,89.7272727272727,51.8981520077371,126.1466188,1.544773235,79.2557353463005,-3.62149173498953,162.132962427591
"Bird Island","BI10","BI10.4",145,141,142,141.5,2162.97272727273,198.090909090909,48.8517237064457,36.99629166,0.295665893,128.402010360708,45.0466087866954,211.75741193472
"Bird Island","BI10","BI10.4",155,152.7,153.8,153.2,2335.40833333333,335.916666666667,87.6101471222819,145.146567,1.516565475,190.910272478795,106.248700465342,275.571844492248
"Bird Island","BI10","BI10.4",165,164.8,165.8,165.3,2517.27272727273,107.363636363636,72.575853735623,148.0981288,0.616201008,87.2543740650881,4.33278381372956,170.175964316447
"Bird Island","BI10","BI10.4",168,168.4,170,169.2,2576.01176470588,68.8823529411765,47.6233692016603,148.2023206,1.199008089,69.8019167514446,-13.0397351274849,152.643568630374
"Bird Island","BI10","BI10.5",181,174.6,175.6,175.1,2667,107.454545454545,47.1346234446901,72.11422012,0.027502016,87.2956041615767,4.37375139924646,170.217456923907
"Bird Island","BI10","BI10.5",191,186.6,187.6,187.1,2847.45454545455,20.1818181818182,25.1110261909711,93.7163573,0.254401542,47.7147115325239,-35.1151123605299,130.544535425578
"Bird Island","BI10","BI10.5",194,190.3,191.3,190.8,2903.10909090909,7.72727272727273,12.1333499833386,75.23867924,0.271229161,42.0661883135861,-40.7766473263918,124.909023953564
"Bird Island","BI10","BI10.5",197,194,195,194.5,2954.41818181818,35.5454545454545,28.1011161214769,130.7729603,0.867339372,54.6825978390968,-28.1401727966457,137.505368474839
"Bird Island","BI10","BI10.5",202,199.9,200.8,200.3,3041.91111111111,22.1111111111111,13.6055544213057,90.27805952,0.945061034,48.5897058024486,-34.2386866431474,131.418098248045
"Bird Island","BI10","BI10.6",218,209.5,210.5,210,3183,572.545454545455,90.1591522102594,255.5835815,0.192255063,298.228777797239,209.609127454688,386.84842813979
"Bird Island","BI10","BI10.6",228,221.4,222.4,221.9,3362.6,641.909090909091,173.539882762122,399.0691035,1.143493468,329.687341418038,239.528997781173,419.845685054903
"Bird Island","BI10","BI10.6",239,234.2,235.2,234.7,3550.09090909091,49.1818181818182,27.4911556025504,48.4428199,0.895210879,60.8671123123863,-21.9577253285544,143.691949953327
"Bird Island","BI10","BI10.6",247,243.9,245,244.5,3699.925,52.4166666666667,45.5121528891576,232.0043335,1.25702578,62.3342165791056,-20.4922606221404,145.160693780352
"Bird Island","BI10","BI10.7",259,250.7,251.7,251.2,3790.45,0.181818181818182,0.603022689155525,29.80921049,0.499214017,38.6440903050326,-44.2098041202559,121.497984730321
