"Location","Site","Section","sample","min_depth","max_depth","midpoint","SH20_age","Fe","Fe_sd","Fe_ICP","Fe_ICP_sd","fit","lwr","upr"
"Bird Island","BI10","BI10.1",1,0,1.1,0.6,-55.4909090909091,5450.54545454545,835.921929804018,13959.03161,176.5369365,13789.7802680754,-23660.3823502222,51239.942886373
"Bird Island","BI10","BI10.1",4,3.9,5,4.5,5.21666666666667,5083.58333333333,710.068557296129,9355.988249,27.23893955,13439.4494116835,-24012.2338719733,50891.1326953402
"Bird Island","BI10","BI10.1",10,11.7,12.8,12.3,132.083333333333,1170,185.344887366033,3942.206507,48.5012016,9703.23544987393,-27769.9696532557,47176.4405530036
"Bird Island","BI10","BI10.1",22,26.7,27.8,27.2,382.866666666667,1496.25,127.306448454828,4568.280308,27.82191253,10014.6993184616,-27456.3412925277,47485.739929451
"Bird Island","BI10","BI10.1",30,36.3,37.2,36.7,541.72,7994.7,1003.56288071827,18556.10587,33.23324312,16218.6299753927,-21223.3367449266,53660.5966957121
"Bird Island","BI10","BI10.1",34,40.9,41.9,41.4,618.7,10621.2727272727,985.478979066433,34440.81517,173.6494448,18726.1625509125,-18711.6481944756,56163.9732963005
"Bird Island","BI10","BI10.2",45,44,45,44.5,670.06,6755.8,1156.0035370957,25853.87296,38.38777974,15035.8787515052,-22409.5665425064,52481.3240455168
"Bird Island","BI10","BI10.2",51,51.9,52.9,52.4,800.245454545455,1059.54545454545,180.112389155418,26327.35852,199.5705658,9597.78686740536,-27876.1662959518,47071.7400307625
"Bird Island","BI10","BI10.2",54,55.3,56.3,55.8,856.145454545455,848.818181818182,82.9202245315558,20544.92897,1107.050592,9396.61006562583,-28078.7916623197,46872.0117935714
"Bird Island","BI10","BI10.2",62,64.4,65.4,64.9,1005.71818181818,2591.36363636364,263.650250417963,2355.109726,9.689444316,11060.180788883,-26404.0867098394,48524.4482876053
"Bird Island","BI10","BI10.2",67,70.1,71.2,70.6,1100.56666666667,2063.41666666667,370.998764598123,6242.966621,15.13819392,10556.1611548877,-26911.2768839407,48023.5991937161
"Bird Island","BI10","BI10.2",71,74.7,75.8,75.2,1174.81666666667,1999.83333333333,256.157207885148,3694.801697,28.74082309,10495.4595120441,-26972.3722711737,47963.2912952619
"Bird Island","BI10","BI10.2",81,86.5,87.5,87,1349.67272727273,1678.18181818182,299.384975635658,6284.597012,38.94604963,10188.3857181861,-27281.4771145842,47658.2485509563
"Bird Island","BI10","BI10.3",88,84.8,85.8,85.3,1324,1101.81818181818,119.633455339063,3753.765384,11.81590071,9638.14373230074,-27835.5222249915,47111.809689593
"Bird Island","BI10","BI10.3",95,93,94,93.5,1444.54545454545,3160.36363636364,725.041553668102,11390.75321,93.133272,11603.3928692704,-25857.655068327,49064.4408068679
"Bird Island","BI10","BI10.3",98,96.3,97.3,96.8,1492.28181818182,3007.09090909091,344.68694624121,7073.372392,64.24483976,11457.0666881659,-26004.8283420571,48918.961718389
"Bird Island","BI10","BI10.3",104,103.2,104.2,103.7,1595.6,1610.09090909091,562.278837329924,1987.252608,27.50554815,10123.3807895697,-27346.9203938485,47593.6819729878
"Bird Island","BI10","BI10.3",114,114.9,115.9,115.4,1769.91818181818,7030.18181818182,810.668097088052,15892.74003,5.384076861,15297.8251808111,-22146.7658213854,52742.4161830075
"Bird Island","BI10","BI10.3",120,121.8,122.7,122.3,1872.71,1472,564.739664703028,4238.013215,41.30378848,9991.54836424477,-27479.6508162204,47462.7475447099
"Bird Island","BI10","BI10.4",135,129.4,130.4,129.9,1986.59090909091,15614.1818181818,1662.97924329691,3019.385269,15.63993365,23492.7856343186,-13949.1890393246,60934.7603079619
"Bird Island","BI10","BI10.4",145,141,142,141.5,2162.97272727273,2676.18181818182,426.882611072838,36760.73258,176.9107347,11141.154885544,-26322.6196909595,48604.9294620476
