"Location","Site","Section","sample","min_depth","max_depth","midpoint","SH20_age","Rb","Rb_sd","Rb_ICP","Rb_ICP_sd","fit","lwr","upr"
"Bird Island","BI10","BI10.1",1,0,1.1,0.6,-55.4909090909091,26.1818181818182,39.5495086741117,2.288761162,0.010158086,8.30901484519138,-17.609335295419,34.2273649858017
"Bird Island","BI10","BI10.1",4,3.9,5,4.5,5.21666666666667,56.5,72.0914822859249,1.525038372,0.011740776,10.2401993599403,-15.6625683121166,36.1429670319972
"Bird Island","BI10","BI10.1",10,11.7,12.8,12.3,132.083333333333,28.5833333333333,44.5593747575959,4.398970104,0.046912281,8.4619847330413,-17.4546228024428,34.3785922685254
"Bird Island","BI10","BI10.1",22,26.7,27.8,27.2,382.866666666667,74.3333333333333,79.603943864534,19.01381163,0.109765839,11.37613347981,-14.5239841604404,37.2762511200605
"Bird Island","BI10","BI10.1",30,36.3,37.2,36.7,541.72,47,37.4492248844278,43.16823811,0.83280191,9.63507557645822,-16.2710746778066,35.541225830723
"Bird Island","BI10","BI10.1",34,40.9,41.9,41.4,618.7,5.63636363636364,9.90224951486002,21.08188416,0.09353744,7.00032608856995,-18.9365020627775,32.9371542399173
"Bird Island","BI10","BI10.2",45,44,45,44.5,670.06,47.9,51.6041557327401,138.1998527,2.068052956,9.6924030927881,-16.213367976414,35.5981741619902
"Bird Island","BI10","BI10.2",51,51.9,52.9,52.4,800.245454545455,31.6363636363636,61.2360559266724,5.28425398,0.054223017,8.65645433809972,-17.2580640239241,34.5709727001235
"Bird Island","BI10","BI10.2",54,55.3,56.3,55.8,856.145454545455,28.2727272727273,36.0363452894183,58.41930414,1.652885172,8.44219998413958,-17.4746280147924,34.3590279830715
"Bird Island","BI10","BI10.2",62,64.4,65.4,64.9,1005.71818181818,137.636363636364,115.234780103294,3.560602291,0.038361736,15.4083618169519,-10.5213252703705,41.3380489042743
"Bird Island","BI10","BI10.2",67,70.1,71.2,70.6,1100.56666666667,45.9166666666667,52.9089412160748,30.36236272,0.256345549,9.56607023272782,-16.3405527487094,35.4726932141651
"Bird Island","BI10","BI10.2",71,74.7,75.8,75.2,1174.81666666667,36.5833333333333,51.9168186680006,7.795499709,0.115748702,8.97156265597354,-16.9398704895973,34.8829958015444
"Bird Island","BI10","BI10.2",81,86.5,87.5,87,1349.67272727273,53.2727272727273,38.7584594871646,50.21714125,0.70380336,10.0346309933028,-15.8691321672109,35.9383941538166
"Bird Island","BI10","BI10.3",88,84.8,85.8,85.3,1324,48.4545454545455,67.9711168605661,13.30255749,0.023181323,9.72772610790045,-16.1778174417343,35.6332696575352
"Bird Island","BI10","BI10.3",95,93,94,93.5,1444.54545454545,107.181818181818,83.2427993063883,10.28410137,0.050822268,13.4684913148803,-12.4393828786402,39.3763655084008
"Bird Island","BI10","BI10.3",98,96.3,97.3,96.8,1492.28181818182,179,105.165583723954,9.694363956,0.203712654,18.0431113048402,-7.9386648774112,44.0248874870915
"Bird Island","BI10","BI10.3",104,103.2,104.2,103.7,1595.6,59.5454545454545,72.5291164103957,6.266500548,0.095875453,10.4341864101474,-15.4677868436858,36.3361596639806
"Bird Island","BI10","BI10.3",114,114.9,115.9,115.4,1769.91818181818,32,44.2876958082039,6.037782671,0.042295483,8.67961697096028,-17.2346619725592,34.5938959144798
