"Location","Site","Section","sample","min_depth","max_depth","midpoint","SH20_age","Zn","Zn_sd","Zn_ICP","Zn_ICP_sd","fit","lwr","upr"
"Bird Island","BI10","BI10.1",1,0,1.1,0.6,-55.4909090909091,8,18.1548891486563,22.90793616,0.057813095,42.6457881616049,-40.6502417389017,125.941818062112
"Bird Island","BI10","BI10.1",4,3.9,5,4.5,5.21666666666667,0.181818181818182,0.603022689155525,12.50967591,0.167196198,39.2733954257941,-44.0331396406294,122.579930492218
"Bird Island","BI10","BI10.1",10,11.7,12.8,12.3,132.083333333333,4.33333333333333,12.7017059221718,13.94648753,0.043639925,41.064162111089,-42.2364950488554,124.364819271033
"Bird Island","BI10","BI10.1",22,26.7,27.8,27.2,382.866666666667,90.9166666666667,60.6247149321633,83.1136075,1.204215632,78.4121045312268,-4.92065185683838,161.744860919292
"Bird Island","BI10","BI10.1",30,36.3,37.2,36.7,541.72,74.1,26.9132350753718,90.06087679,0.829001857,71.158192326815,-12.145231681639,154.461616335269
"Bird Island","BI10","BI10.1",34,40.9,41.9,41.4,618.7,17.4545454545455,19.2216733733754,83.32372544,0.676115824,46.7240305397948,-36.5625100019048,130.010571081494
"Bird Island","BI10","BI10.2",45,44,45,44.5,670.06,265.8,53.0509189364331,63.36397587,0.318454995,153.848477931517,69.556354441687,238.140601421346
"Bird Island","BI10","BI10.2",51,51.9,52.9,52.4,800.245454545455,3.27272727272727,10.8544084047995,154.2471074,0.912951267,40.60666697251,-42.6954273297583,123.908761274778
"Bird Island","BI10","BI10.2",54,55.3,56.3,55.8,856.145454545455,13,22.2126090318089,56.72463202,1.511547748,44.802550957763,-38.4880220325517,128.093123948078
"Bird Island","BI10","BI10.2",62,64.4,65.4,64.9,1005.71818181818,495.454545454545,70.3311646944136,109.0593506,0.741410788,252.910553852509,165.6115089576,340.209598747418
"Bird Island","BI10","BI10.2",67,70.1,71.2,70.6,1100.56666666667,121.083333333333,57.9018893290952,261.6355831,2.462160119,91.4245734013805,8.01134855406161,174.837798248699
"Bird Island","BI10","BI10.2",71,74.7,75.8,75.2,1174.81666666667,10,20.1629723638519,140.4650062,0.492872097,43.5084932800682,-39.7852357408902,126.802222301027
"Bird Island","BI10","BI10.2",81,86.5,87.5,87,1349.67272727273,73.3636363636364,45.6141923687633,67.51751759,0.138761249,70.8405599877445,-12.4618339014547,154.142953876944
"Bird Island","BI10","BI10.3",88,84.8,85.8,85.3,1324,36.4545454545455,39.9734002465731,65.03458094,0.286572998,54.9197291651956,-28.3583876145799,138.197845944971
"Bird Island","BI10","BI10.3",95,93,94,93.5,1444.54545454545,5.09090909090909,10.0145348913921,71.97280393,0.774294779,41.3909443529311,-41.9087133851244,124.690602090987
"Bird Island","BI10","BI10.3",98,96.3,97.3,96.8,1492.28181818182,11.3636363636364,33.3114776834434,41.79884834,0.244174097,44.096701315384,-39.1955492170197,127.388951847788
"Bird Island","BI10","BI10.3",104,103.2,104.2,103.7,1595.6,24.7272727272727,30.6074857153962,45.72842227,0.254790732,49.8611400614793,-33.4204963396508,133.142776462609
"Bird Island","BI10","BI10.3",114,114.9,115.9,115.4,1769.91818181818,1.54545454545455,5.12569285782198,35.80217711,0.124414396,39.8616034611099,-43.442926095347,123.166133017567
"Bird Island","BI10","BI10.3",120,121.8,122.7,122.3,1872.71,41.3,30.3938955859378,87.02811474,1.036590908,57.0098283840179,-26.2684158314457,140.288072599481
"Bird Island","BI10","BI10.4",135,129.4,130.4,129.9,1986.59090909091,89.7272727272727,51.8981520077371,126.1466188,1.544773235,77.8990564115346,-5.43125984854562,161.229372671615
"Bird Island","BI10","BI10.4",145,141,142,141.5,2162.97272727273,198.090909090909,48.8517237064457,36.99629166,0.295665893,124.641988284634,40.8619555759653,208.422020993302
"Bird Island","BI10","BI10.4",155,152.7,153.8,153.2,2335.40833333333,335.916666666667,87.6101471222819,145.146567,1.516565475,184.093481542974,99.0876335772495,269.099329508698
