"Location","Site","Section","sample","min_depth","max_depth","midpoint","SH20_age","Zn","Zn_sd","Zn_ICP","Zn_ICP_sd","fit","lwr","upr"
"Bird Island","BI10","BI10.1",1,0,1.1,0.6,-55.4909090909091,0.00024401963353151,0.00045116253432748,22.90793616,0.057813095,40.4603172696311,-45.5429258017906,126.463560341053
"Bird Island","BI10","BI10.1",4,3.9,5,4.5,5.21666666666667,4.36205016357688e-05,6.8781673642158e-06,12.50967591,0.167196198,37.1174905987184,-48.896980087882,123.131961285319
"Bird Island","BI10","BI10.1",10,11.7,12.8,12.3,132.083333333333,0.00014128058408004,0.00029561425733865,13.94648753,0.043639925,38.7465432058329,-47.2621165124291,124.755202924095
"Bird Island","BI10","BI10.1",22,26.7,27.8,27.2,382.866666666667,0.00224088177878004,0.00150243372306399,83.1136075,1.204215632,73.7696633437721,-12.2702132787386,159.809539966283
"Bird Island","BI10","BI10.1",30,36.3,37.2,36.7,541.72,0.00192206755237007,0.00068825437485045,90.06087679,0.829001857,68.4515729457354,-17.5643507024778,154.467496593949
"Bird Island","BI10","BI10.1",34,40.9,41.9,41.4,618.7,0.0004543934025156,0.00046273970855714,83.32372544,0.676115824,43.9695293064692,-42.0248513408092,129.963909953748
"Bird Island","BI10","BI10.2",45,44,45,44.5,670.06,0.0062215480519825,0.00120715081507262,63.36397587,0.318454995,140.1705367417,53.2569590515167,227.084114431883
"Bird Island","BI10","BI10.2",51,51.9,52.9,52.4,800.245454545455,0.00011133573549777,0.00022458602331145,154.2471074,0.912951267,38.2470378559329,-47.7633350472448,124.257410759111
"Bird Island","BI10","BI10.2",54,55.3,56.3,55.8,856.145454545455,0.00031482941527166,0.00047245232307339,56.72463202,1.511547748,41.641484197468,-44.3584414252772,127.641409820213
"Bird Island","BI10","BI10.2",62,64.4,65.4,64.9,1005.71818181818,0.0125335571880242,0.00217606390566168,109.0593506,0.741410788,245.460176908315,155.061847742086,335.858506074544
"Bird Island","BI10","BI10.2",67,70.1,71.2,70.6,1100.56666666667,0.00280976720251222,0.00132902231636115,261.6355831,2.462160119,83.2591523907344,-2.84052611746023,169.358830898929
"Bird Island","BI10","BI10.2",71,74.7,75.8,75.2,1174.81666666667,0.00027883502816557,0.00047701828764814,140.4650062,0.492872097,41.0410674387567,-44.9605021208686,127.042636998382
"Bird Island","BI10","BI10.2",81,86.5,87.5,87,1349.67272727273,0.00176838678573613,0.00104577632939799,67.51751759,0.138761249,65.8880480409593,-20.1187849309938,151.894881012912
"Bird Island","BI10","BI10.3",88,84.8,85.8,85.3,1324,0.00093059017244887,0.00098391112873862,65.03458094,0.286572998,51.9128933723553,-34.0724934723898,137.8982802171
"Bird Island","BI10","BI10.3",95,93,94,93.5,1444.54545454545,0.00015978356015417,0.00023632924967785,71.97280393,0.774294779,39.0551884645561,-46.9524430000234,125.062819929136
"Bird Island","BI10","BI10.3",98,96.3,97.3,96.8,1492.28181818182,0.00033549558258846,0.00086490617897089,41.79884834,0.244174097,41.9862133120037,-44.0128080705882,127.985234694596
"Bird Island","BI10","BI10.3",104,103.2,104.2,103.7,1595.6,0.00058660780950772,0.00068365010436975,45.72842227,0.254790732,46.1749772133099,-39.8153666907132,132.165321117333
"Bird Island","BI10","BI10.3",114,114.9,115.9,115.4,1769.91818181818,7.55582317218063e-05,0.00010592546735103,35.80217711,0.124414396,37.6502388942328,-48.3622604311241,123.66273821959
"Bird Island","BI10","BI10.3",120,121.8,122.7,122.3,1872.71,0.00094986889981714,0.00068854146221613,87.02811474,1.036590908,52.2344788174531,-33.7508673121059,138.219824947012
"Bird Island","BI10","BI10.4",135,129.4,130.4,129.9,1986.59090909091,0.0022975403113231,0.00131464447775042,126.1466188,1.544773235,74.7147754903569,-11.3300770629051,160.759628043619
"Bird Island","BI10","BI10.4",145,141,142,141.5,2162.97272727273,0.00451160831447539,0.00110943761055828,36.99629166,0.295665893,111.647298611277,25.2386694114679,198.055927811087
"Bird Island","BI10","BI10.4",155,152.7,153.8,153.2,2335.40833333333,0.00813449589163818,0.00212432080717119,145.146567,1.516565475,172.080121369005,84.3747508643566,259.785491873654
"Bird Island","BI10","BI10.4",165,164.8,165.8,165.3,2517.27272727273,0.00270991921715367,0.00176361718559084,148.0981288,0.616201008,81.5936037162665,-4.49399790854446,167.681205341077
"Bird Island","BI10","BI10.4",168,168.4,170,169.2,2576.01176470588,0.00164156704737647,0.00114327957792373,148.2023206,1.199008089,63.7725877603858,-22.2279469479997,149.773122468771
"Bird Island","BI10","BI10.5",181,174.6,175.6,175.1,2667,0.00258581266198449,0.00114499098915124,72.11422012,0.027502016,79.5234016214268,-6.55012671635421,165.596929959208
"Bird Island","BI10","BI10.5",191,186.6,187.6,187.1,2847.45454545455,0.00057011530960963,0.00066307431507172,93.7163573,0.254401542,45.8998683941857,-40.090914450463,131.890651238834
"Bird Island","BI10","BI10.5",194,190.3,191.3,190.8,2903.10909090909,0.00024330335119228,0.00033226089320532,75.23867924,0.271229161,40.4483690756203,-45.5549092873608,126.451647438601
"Bird Island","BI10","BI10.5",197,194,195,194.5,2954.41818181818,0.00103882358203072,0.00081250623340573,130.7729603,0.867339372,53.7183180007526,-32.2671662435851,139.70380224509
"Bird Island","BI10","BI10.5",202,199.9,200.8,200.3,3041.91111111111,0.00069030966629078,0.00037956694395371,90.27805952,0.945061034,47.9048117160758,-38.0831941642157,133.892817596367
"Bird Island","BI10","BI10.6",218,209.5,210.5,210,3183,0.0159619018136803,0.00280590964046964,255.5835815,0.192255063,302.647859027046,209.363901681529,395.931816372563
