"Location","Site","Section","sample","min_depth","max_depth","midpoint","SH20_age","K","K_sd","K_ICP","K_ICP_sd","fit","lwr","upr"
"Bird Island","BI10","BI10.1",1,0,1.1,0.6,-55.4909090909091,0.00023594538466685,0.00024817350123192,1782.206118,520.9093274,3349.64799367195,-8127.93611474436,14827.2321020883
"Bird Island","BI10","BI10.1",4,3.9,5,4.5,5.21666666666667,0.00023606376341589,0.00018904686269951,1331.46149,522.7119355,3349.77008665638,-8127.81319909235,14827.3533724051
"Bird Island","BI10","BI10.1",10,11.7,12.8,12.3,132.083333333333,0.00024253764714235,0.00019265105664075,1545.22611,589.8765904,3356.4470940704,-8121.09130720182,14833.9854953426
"Bird Island","BI10","BI10.1",22,26.7,27.8,27.2,382.866666666667,0.00028135198395983,0.00021898165886552,4972.490853,1373.757336,3396.47926419442,-8080.79437556811,14873.7529039569
"Bird Island","BI10","BI10.1",30,36.3,37.2,36.7,541.72,0.00068103188149218,0.00058632330988239,16457.36219,3980.600316,3808.69946335441,-7666.28112730317,15283.680054012
"Bird Island","BI10","BI10.1",34,40.9,41.9,41.4,618.7,0.00028031161422581,0.00020114828208427,10808.43657,2190.076237,3395.40625196236,-8081.8743872704,14872.6868911951
"Bird Island","BI10","BI10.2",45,44,45,44.5,670.06,0.00034782295449194,0.00017397576328753,66668.75515,13007.37375,3465.03581877792,-8011.80170512065,14941.8733426765
"Bird Island","BI10","BI10.2",51,51.9,52.9,52.4,800.245454545455,0.00023478400268371,0.00017451398321709,2479.827204,632.4407929,3348.45017232705,-8129.14201073233,14826.0423553864
"Bird Island","BI10","BI10.2",54,55.3,56.3,55.8,856.145454545455,0.00014861022333656,0.00016005206239594,23399.21394,3611.164788,3259.57261630241,-8218.63729906896,14737.7825316738
"Bird Island","BI10","BI10.2",62,64.4,65.4,64.9,1005.71818181818,0.00066798055637961,0.00053966594535417,867.9986358,403.6307052,3795.23864165579,-7679.80435014671,15270.2816334583
"Bird Island","BI10","BI10.2",67,70.1,71.2,70.6,1100.56666666667,0.00057616747984756,0.00035925196423987,7766.606331,2010.436754,3700.54485063151,-7774.96092881832,15176.0506300813
"Bird Island","BI10","BI10.2",71,74.7,75.8,75.2,1174.81666666667,0.00042754755449013,0.00026353689230291,1973.319538,728.4065428,3547.26184688719,-7929.08141560838,15023.6051093828
"Bird Island","BI10","BI10.2",81,86.5,87.5,87,1349.67272727273,0.00031306089191432,0.00027903395004023,14359.67839,3663.807136,3429.18306649433,-8047.87980663491,14906.2459396236
"Bird Island","BI10","BI10.3",88,84.8,85.8,85.3,1324,0.00010282498003082,0.00011034564425372,3095.570446,982.5430133,3212.35082148459,-8266.20223292269,14690.9038758919
"Bird Island","BI10","BI10.3",95,93,94,93.5,1444.54545454545,0.00070921354630775,0.00046428493246785,3134.001598,945.8757012,3837.76535221862,-7637.08336977148,15312.6140742087
"Bird Island","BI10","BI10.3",98,96.3,97.3,96.8,1492.28181818182,0.00107166054501877,0.00063864808505811,3044.618396,864.5444411,4211.58443823234,-7261.91851432548,15685.0873907902
"Bird Island","BI10","BI10.3",104,103.2,104.2,103.7,1595.6,0.00045581977488401,0.00042433415053255,1424.582603,617.0473108,3576.42113258911,-7899.75440151169,15052.5966666899
"Bird Island","BI10","BI10.3",114,114.9,115.9,115.4,1769.91818181818,0.00021230386071863,0.0002044426169131,1716.680373,574.2556523,3325.26469651202,-8152.48509581208,14803.0144888361
"Bird Island","BI10","BI10.3",120,121.8,122.7,122.3,1872.71,0.00019011362607137,0.00020747012536857,683.2265993,330.288126,3302.37822410704,-8175.52959463611,14780.2860428502
"Bird Island","BI10","BI10.4",135,129.4,130.4,129.9,1986.59090909091,0.0001857107124786,0.00020408760947055,1641.390095,595.6836327,3297.83716530147,-8180.10229787949,14775.7766284824
"Bird Island","BI10","BI10.4",145,141,142,141.5,2162.97272727273,0.00019478958612746,0.0001565912796057,5412.77206,1133.053064,3307.20089644429,-8170.67342034298,14785.0752132316
"Bird Island","BI10","BI10.4",155,152.7,153.8,153.2,2335.40833333333,0.00010128225546983,0.00017860780287373,5594.694254,1512.473246,3210.75969260944,-8267.8051042085,14689.3244894274
"Bird Island","BI10","BI10.4",165,164.8,165.8,165.3,2517.27272727273,0.00057085093619506,0.00073960003653382,2804.420041,585.0799774,3695.06149583482,-7780.47235885899,15170.5953505286
"Bird Island","BI10","BI10.4",168,168.4,170,169.2,2576.01176470588,0.0003551814970829,0.00024307343519778,21023.43508,4080.69295,3472.6252419916,-8004.16534542775,14949.4158294109
"Bird Island","BI10","BI10.5",181,174.6,175.6,175.1,2667,0.00061988792851571,0.00063476788817649,1243.638909,437.7130837,3745.63706609849,-7729.64313892082,15220.9172711178
"Bird Island","BI10","BI10.5",191,186.6,187.6,187.1,2847.45454545455,0.00022751983392753,0.00023230912658657,11337.75217,2616.583382,3340.95808400864,-8136.68475529055,14818.6009233078
"Bird Island","BI10","BI10.5",194,190.3,191.3,190.8,2903.10909090909,0.00015310954613431,0.00013368050551674,21256.47654,4637.824269,3264.21310923495,-8213.96364486137,14742.3898633313
"Bird Island","BI10","BI10.5",197,194,195,194.5,2954.41818181818,0.00018647574637043,0.00021080672251852,4642.258304,1389.963814,3298.62620279173,-8179.30775509173,14776.5601606752
