"Location","Site","Section","sample","min_depth","max_depth","midpoint","SH20_age","Ni","Ni_sd","Ni_ICP","Ni_ICP_sd","fit","lwr","upr"
"Bird Island","BI10","BI10.1",1,0,1.1,0.6,-55.4909090909091,0.00450893053277884,0.00057683499573627,2.467420581,0.015066934,9.94202765683176,-12.6313149717161,32.5153702853796
"Bird Island","BI10","BI10.1",4,3.9,5,4.5,5.21666666666667,0.0052802979488925,0.00077036411883903,2.98969441,0.02200764,12.3316807236807,-10.2351117946875,34.8984732420488
"Bird Island","BI10","BI10.1",10,11.7,12.8,12.3,132.083333333333,0.00455771913945018,0.000553072701599,3.556521683,0.014282314,10.0931720286628,-12.4794296578942,32.6657737152198
"Bird Island","BI10","BI10.1",22,26.7,27.8,27.2,382.866666666667,0.00498750715164763,0.00045375518489297,7.052448962,0.06465722,11.4246312269487,-11.143348961649,33.9926114155464
"Bird Island","BI10","BI10.1",30,36.3,37.2,36.7,541.72,0.0055429821731947,0.00110850588104214,9.844407416,0.040880493,13.1454617430802,-9.4216177956408,35.7125412818013
"Bird Island","BI10","BI10.1",34,40.9,41.9,41.4,618.7,0.00560108761163499,0.00102107837763092,10.02079263,0.096502178,13.3254691380892,-9.24184667072849,35.892784946907
"Bird Island","BI10","BI10.2",45,44,45,44.5,670.06,0.00513846187609305,0.00087782711037007,9.325702706,0.028353619,11.8922805114411,-10.6748888858607,34.4594499087429
"Bird Island","BI10","BI10.2",51,51.9,52.9,52.4,800.245454545455,0.00520192819177737,0.00068536987485255,9.672030755,0.061309265,12.0888956040007,-10.4780590488462,34.6558502568476
"Bird Island","BI10","BI10.2",54,55.3,56.3,55.8,856.145454545455,0.00535975865958691,0.00069913629304489,6.289145655,1.766837081,12.5778455564676,-9.98889882516713,35.1445899381023
"Bird Island","BI10","BI10.2",62,64.4,65.4,64.9,1005.71818181818,0.00495008360595763,0.00063291643461578,7.635178907,0.081872982,11.3086951777168,-11.259551357459,33.8769417128925
"Bird Island","BI10","BI10.2",67,70.1,71.2,70.6,1100.56666666667,0.00514224228398752,0.00064210042543523,5.960197779,0.068926753,11.9039920034361,-10.6631625109707,34.4711465178428
"Bird Island","BI10","BI10.2",71,74.7,75.8,75.2,1174.81666666667,0.00537271189077345,0.00074831120051401,6.674238754,0.048794576,12.617973941442,-9.94877368971774,35.1847215726017
"Bird Island","BI10","BI10.2",81,86.5,87.5,87,1349.67272727273,0.00517244208084879,0.00101851741467572,6.367819135,0.01977015,11.9975492832488,-10.5694958512739,34.5645944177714
"Bird Island","BI10","BI10.3",88,84.8,85.8,85.3,1324,0.00536621615754094,0.00044972076339588,5.912256586,0.047824043,12.5978505235788,-9.96889508918945,35.1645961363471
