"Location","Site","Section","sample","min_depth","max_depth","midpoint","SH20_age","Ti","Ti_sd","Ti_ICP","Ti_ICP_sd","fit","lwr","upr"
"Bird Island","BI10","BI10.1",1,0,1.1,0.6,-55.4909090909091,0.00041653041441507,0.00045840985313136,134.9563972,2.246361623,1603.14268958968,-2859.17935489291,6065.46473407226
"Bird Island","BI10","BI10.1",4,3.9,5,4.5,5.21666666666667,0.00030033138284418,0.00027470288969218,79.78694045,0.954822132,1591.74861889416,-2870.58527812236,6054.08251591069
"Bird Island","BI10","BI10.1",10,11.7,12.8,12.3,132.083333333333,0.00030030613478015,0.00017708828837934,340.544392,4.893302391,1591.7461431573,-2870.58775644345,6054.08004275804
"Bird Island","BI10","BI10.1",22,26.7,27.8,27.2,382.866666666667,0.00077995570707258,0.00032750172106656,1070.668936,10.73236296,1638.77890291345,-2823.50659812703,6101.06440395393
"Bird Island","BI10","BI10.1",30,36.3,37.2,36.7,541.72,0.00195539237477893,0.0007082663310902,1962.99309,30.40726253,1754.03811212444,-2708.13466097583,6216.2108852247
"Bird Island","BI10","BI10.1",34,40.9,41.9,41.4,618.7,0.00081673095153514,0.00032789001516759,1538.231355,7.943023099,1642.38495478485,-2819.89689286963,6104.66680243934
"Bird Island","BI10","BI10.2",45,44,45,44.5,670.06,0.00091998934506041,0.00033533871981271,3006.601666,14.09773486,1652.51011176617,-2809.7615215159,6114.78174504823
"Bird Island","BI10","BI10.2",51,51.9,52.9,52.4,800.245454545455,0.00031948411466599,0.00029810848917945,301.0170716,3.519876752,1593.62666880077,-2868.70526898279,6055.95860658434
"Bird Island","BI10","BI10.2",54,55.3,56.3,55.8,856.145454545455,0.00020734774597755,0.00018731283635767,1904.013462,92.77560752,1582.63096862065,-2879.71247168163,6044.97440892294
"Bird Island","BI10","BI10.2",62,64.4,65.4,64.9,1005.71818181818,0.00167222491946768,0.00121836830504181,225.6496719,2.024591047,1726.27170167448,-2735.92746458443,6188.4708679334
"Bird Island","BI10","BI10.2",67,70.1,71.2,70.6,1100.56666666667,0.00093361206186661,0.00034405426113661,1442.000824,11.02828725,1653.84590773844,-2808.42438278863,6116.11619826552
"Bird Island","BI10","BI10.2",71,74.7,75.8,75.2,1174.81666666667,0.0010098614291523,0.00035701397184026,461.9149499,4.1315028,1661.32265405548,-2800.94014147993,6123.5854495909
"Bird Island","BI10","BI10.2",81,86.5,87.5,87,1349.67272727273,0.00069228380533842,0.00037477498795436,2197.326275,24.940646,1630.18210281224,-2832.11214083894,6092.47634646343
"Bird Island","BI10","BI10.3",88,84.8,85.8,85.3,1324,0.00058740414657649,0.00043687856703922,574.7925663,2.379383359,1619.89797023128,-2842.40679300062,6082.20273346318
"Bird Island","BI10","BI10.3",95,93,94,93.5,1444.54545454545,0.00270550582004988,0.00202114083558313,606.0238476,2.682720915,1827.59161347059,-2634.51358600674,6289.69681294792
"Bird Island","BI10","BI10.3",98,96.3,97.3,96.8,1492.28181818182,0.0021825654143377,0.00055941689753849,562.7226914,3.077677491,1776.31390597447,-2685.83804336163,6238.46585531057
"Bird Island","BI10","BI10.3",104,103.2,104.2,103.7,1595.6,0.00145324394032501,0.00178794946737132,441.0920959,6.868091078,1704.79919262176,-2757.42071644381,6167.01910168732
"Bird Island","BI10","BI10.3",114,114.9,115.9,115.4,1769.91818181818,0.00072614726011613,0.00050542468135648,354.6954517,1.783713254,1633.50263476948,-2828.78822652446,6095.79349606343
"Bird Island","BI10","BI10.3",120,121.8,122.7,122.3,1872.71,0.00037928779435652,0.0002763372528438,192.9637106,2.274240107,1599.49080850171,-2862.83502591802,6061.81664292144
"Bird Island","BI10","BI10.4",135,129.4,130.4,129.9,1986.59090909091,0.00105218752025319,0.00066220956371225,401.5251511,5.219646629,1665.47300253729,-2796.78564768641,6127.731652761
"Bird Island","BI10","BI10.4",145,141,142,141.5,2162.97272727273,0.00056422391686634,0.00046065749996003,523.0275133,1.869875762,1617.62499796563,-2844.68209924585,6079.93209517712
"Bird Island","BI10","BI10.4",155,152.7,153.8,153.2,2335.40833333333,0.00053862945838923,0.00032103129661226,1149.476822,20.0568356,1615.1152948695,-2847.19438317824,6077.42497291724
"Bird Island","BI10","BI10.4",165,164.8,165.8,165.3,2517.27272727273,0.00194712659632033,0.00152593593736331,253.7523195,4.53576382,1753.22759879367,-2708.94593786789,6215.40113545523
"Bird Island","BI10","BI10.4",168,168.4,170,169.2,2576.01176470588,0.00127198255804901,0.00090064521238579,1574.554031,8.965107785,1687.02533533484,-2775.21196279449,6149.26263346417
