"Location","Site","Section","sample","min_depth","max_depth","midpoint","SH20_age","K","K_sd","K_ICP","K_ICP_sd","fit","lwr","upr"
"Bird Island","BI10","BI10.1",1,0,1.1,0.6,-55.4909090909091,0.00023594538466685,0.00024817350123192,1782.206118,520.9093274,3468.70539261644,-8478.06455766715,15415.4753429
"Bird Island","BI10","BI10.1",4,3.9,5,4.5,5.21666666666667,0.00023606376341589,0.00018904686269951,1331.46149,522.7119355,3468.84451748686,-8477.92455409926,15415.613589073
"Bird Island","BI10","BI10.1",10,11.7,12.8,12.3,132.083333333333,0.00024253764714235,0.00019265105664075,1545.22611,589.8765904,3476.45296276808,-8470.26818391171,15423.1741094479
"Bird Island","BI10","BI10.1",22,26.7,27.8,27.2,382.866666666667,0.00028135198395983,0.00021898165886552,4972.490853,1373.757336,3522.06959264291,-8424.36954085085,15468.5087261367
"Bird Island","BI10","BI10.1",30,36.3,37.2,36.7,541.72,0.00068103188149218,0.00058632330988239,16457.36219,3980.600316,3991.79422145413,-7952.27168154361,15935.8601244519
"Bird Island","BI10","BI10.1",34,40.9,41.9,41.4,618.7,0.00028031161422581,0.00020114828208427,10808.43657,2190.076237,3520.84689595449,-8425.59967756952,15467.2934694785
"Bird Island","BI10","BI10.2",45,44,45,44.5,670.06,0.00034782295449194,0.00017397576328753,66668.75515,13007.37375,3600.18973867149,-8345.78762601599,15546.167103359
"Bird Island","BI10","BI10.2",51,51.9,52.9,52.4,800.245454545455,0.00023478400268371,0.00017451398321709,2479.827204,632.4407929,3467.34047603118,-8479.43809941596,15414.1190514783
"Bird Island","BI10","BI10.2",54,55.3,56.3,55.8,856.145454545455,0.00014861022333656,0.00016005206239594,23399.21394,3611.164788,3366.06456306429,-8581.376776758,15313.5059028866
"Bird Island","BI10","BI10.2",62,64.4,65.4,64.9,1005.71818181818,0.00066798055637961,0.00053966594535417,867.9986358,403.6307052,3976.45562453733,-7967.67249113523,15920.5837402099
"Bird Island","BI10","BI10.2",67,70.1,71.2,70.6,1100.56666666667,0.00057616747984756,0.00035925196423987,7766.606331,2010.436754,3868.55211585375,-8076.04281764032,15813.1470493478
"Bird Island","BI10","BI10.2",71,74.7,75.8,75.2,1174.81666666667,0.00042754755449013,0.00026353689230291,1973.319538,728.4065428,3693.88624022807,-8251.57257642038,15639.3450568765
"Bird Island","BI10","BI10.2",81,86.5,87.5,87,1349.67272727273,0.00031306089191432,0.00027903395004023,14359.67839,3663.807136,3559.33555250452,-8386.87996413389,15505.5510691429
"Bird Island","BI10","BI10.3",88,84.8,85.8,85.3,1324,0.00010282498003082,0.00011034564425372,3095.570446,982.5430133,3312.25536087624,-8635.55640247501,15260.0671242275
"Bird Island","BI10","BI10.3",95,93,94,93.5,1444.54545454545,0.00070921354630775,0.00046428493246785,3134.001598,945.8757012,4024.91478149857,-7919.0203062521,15968.8498692492
"Bird Island","BI10","BI10.3",98,96.3,97.3,96.8,1492.28181818182,0.00107166054501877,0.00063864808505811,3044.618396,864.5444411,4450.88136872101,-7491.80027077364,16393.5630082157
"Bird Island","BI10","BI10.3",104,103.2,104.2,103.7,1595.6,0.00045581977488401,0.00042433415053255,1424.582603,617.0473108,3727.1132259038,-8218.1709477683,15672.3973995759
"Bird Island","BI10","BI10.3",114,114.9,115.9,115.4,1769.91818181818,0.00021230386071863,0.0002044426169131,1716.680373,574.2556523,3440.92064254602,-8506.02649370689,15387.8677787989
"Bird Island","BI10","BI10.3",120,121.8,122.7,122.3,1872.71,0.00019011362607137,0.00020747012536857,683.2265993,330.288126,3414.84152323761,-8532.27500079719,15361.9580472724
"Bird Island","BI10","BI10.4",135,129.4,130.4,129.9,1986.59090909091,0.0001857107124786,0.00020408760947055,1641.390095,595.6836327,3409.66698990276,-8537.48349794324,15356.8174777488
"Bird Island","BI10","BI10.4",145,141,142,141.5,2162.97272727273,0.00019478958612746,0.0001565912796057,5412.77206,1133.053064,3420.33695499498,-8526.74362747382,15367.4175374638
"Bird Island","BI10","BI10.4",155,152.7,153.8,153.2,2335.40833333333,0.00010128225546983,0.00017860780287373,5594.694254,1512.473246,3310.44227063516,-8637.38219505359,15258.2667363239
"Bird Island","BI10","BI10.4",165,164.8,165.8,165.3,2517.27272727273,0.00057085093619506,0.00073960003653382,2804.420041,585.0799774,3862.30383689564,-8082.31969247299,15806.9273662643
"Bird Island","BI10","BI10.4",168,168.4,170,169.2,2576.01176470588,0.0003551814970829,0.00024307343519778,21023.43508,4080.69295,3608.83788111866,-8337.09000931818,15554.7657715555
"Bird Island","BI10","BI10.5",181,174.6,175.6,175.1,2667,0.00061988792851571,0.00063476788817649,1243.638909,437.7130837,3919.93466386004,-8024.43160640632,15864.3009341264
"Bird Island","BI10","BI10.5",191,186.6,187.6,187.1,2847.45454545455,0.00022751983392753,0.00023230912658657,11337.75217,2616.583382,3458.80324662913,-8488.02946245909,15405.6359557174
"Bird Island","BI10","BI10.5",194,190.3,191.3,190.8,2903.10909090909,0.00015310954613431,0.00013368050551674,21256.47654,4637.824269,3371.35240151732,-8576.05322153202,15318.7580245667
"Bird Island","BI10","BI10.5",197,194,195,194.5,2954.41818181818,0.00018647574637043,0.00021080672251852,4642.258304,1389.963814,3410.56609757139,-8536.57848042431,15357.7106755671
"Bird Island","BI10","BI10.5",202,199.9,200.8,200.3,3041.91111111111,0.00028949250476341,0.0001748270685633,2367.746797,501.3815099,3531.63675660687,-8414.74438759207,15478.0179008058
"Bird Island","BI10","BI10.6",218,209.5,210.5,210,3183,0.00046179802474125,0.0002168309342401,21467.56946,3376.49462,3734.1391764519,-8211.10868852144,15679.3870414252
"Bird Island","BI10","BI10.6",228,221.4,222.4,221.9,3362.6,0.00031733322050662,0.00025594739299673,3810.216932,970.2818044,3564.35661554664,-8381.82923731089,15510.5424684042
"Bird Island","BI10","BI10.6",239,234.2,235.2,234.7,3550.09090909091,0.00023487140472387,0.0002839481841374,2179.747422,564.4911449,3467.44319546021,-8479.33473059943,15414.2211215199
"Bird Island","BI10","BI10.6",247,243.9,245,244.5,3699.925,0.0001367957431886,0.00017668879217363,2601.638721,565.6764383,3352.1795707583,-8595.35613881984,15299.7152803364
"Bird Island","BI10","BI10.7",259,250.7,251.7,251.2,3790.45,0.00018056699343748,0.00017241488665416,2160.208858,504.1027803,3403.62182342774,-8543.56849140483,15350.8121382603
"Bird Island","BI10","BI10.7",271,265,266,265.5,3978.94545454545,0.00029339795098682,0.0002808937687192,2135.960113,544.2065152,3536.22664038376,-8410.12682566457,15482.5801064321
"Bird Island","BI10","BI10.7",280,275.9,276.9,276.4,4128.55454545455,0.0003231823950926,0.00017863041606281,1942.49545,493.2577849,3571.23087011439,-8374.91454980586,15517.3762900346
"Bird Island","BI10","BI10.8",300,289.7,290.8,290.3,4314.73333333333,0.00016454798541777,0.00021165394569504,643.1526044,288.8626367,3384.79545101712,-8562.51992259945,15332.1108246337
"Bird Island","BI10","BI10.8",303,293.4,294.4,293.9,4365.28181818182,0.00036822075947514,0.00080466276406978,661.9708417,325.0800747,3624.16230129837,-8321.67872664764,15570.0033292444
"Bird Island","BI10","BI10.8",311,303.1,304,303.6,4492.98,0.00103902961383652,0.00040043012878697,1745.183529,636.3270443,4412.53179914801,-7530.23007590701,16355.293674203
"Bird Island","BI10","BI10.8",318,311.7,312.8,312.2,4610.66666666667,0.00030452987113792,0.00023430523976916,543.4726901,321.6442737,3549.30945263731,-8396.96562759661,15495.5845328712
"Bird Island","BI10","BI10.8",326,321.7,322.8,322.2,4729.33333333333,0.00029607066666798,0.00024678648100741,2704.115972,923.7798793,3539.36775503327,-8406.96682253761,15485.7023326041
"Bird Island","BI10","BI10.9",342,332.1,333.1,332.6,4891.35454545455,0.00045225770362782,0.00041295973757659,473.7956247,223.0052862,3722.92689426955,-8222.37901644156,15668.2328049807
"Bird Island","BI10","BI10.9",348,339.5,340.5,340,5008.74545454545,0.00032878766087176,0.00049000380087992,519.5682507,257.8592821,3577.81847035088,-8368.28839707831,15523.9253377801
"Bird Island","BI10","BI10.9",361,355.7,356.7,356.2,5262.19090909091,0.00094278118107186,0.00052906054430443,2355.45594,816.8976853,4299.4156288498,-7643.62050002238,16242.451757722
"Bird Island","BI10","BI10.9",365,360.7,361.7,361.2,5341.56,0.00121358744451538,0.00060723138443718,1070.885179,427.93975,4617.6812518174,-7324.72648699315,16560.088990628
"Bird Island","BI10","BI10.9",372,369.1,371,370.1,5483.135,0.00041518723618952,0.00030834921678359,1739.758107,627.1074323,3679.35975050069,-8266.17693919168,15624.8964401931
"Bird Island","BI10","BI10.10",379,367.3,368.4,367.9,5447.30909090909,0.00064925705328726,0.00038601340722755,1447.271106,470.971649,3954.45078868143,-7989.76837993663,15898.6699572995
"Bird Island","BI10","BI10.10",386,375.7,376.6,376.1,5581.52,0.00063131710742029,0.00020379666110956,1334.018291,545.4493081,3933.36683008035,-8010.94157353856,15877.6752336993
"Bird Island","BI10","BI10.10",390,380.5,381.5,381,5660.04545454545,0.00048005197453462,0.00046398651955103,3262.422113,1005.382976,3755.59216881896,-8189.54617104499,15700.7305086829
"Bird Island","BI10","BI10.10",392,382.9,384,383.4,5698.00833333333,0.00084739823926741,0.00026854775056789,2439.861236,757.6437819,4187.31662859826,-7756.04667564755,16130.6799328441
"Bird Island","BI10","BI10.10",396,387.7,388.8,388.2,5774.45833333333,0.000172348131751,0.00016859596898757,4192.532888,1214.507924,3393.96258917862,-8553.29169542253,15341.2168737798
"Bird Island","BI10","BI10.10",403,396.3,397.4,396.8,5914.69166666667,0.0006076211164119,0.00036168097855275,2645.007056,831.194612,3905.51806748446,-8038.91119093589,15849.9473259048
"Bird Island","BI10","BI10.10",410,404.6,405.6,405.1,6045.02727272727,0.00043757936196949,0.00024682862559979,1279.071246,462.2106416,3705.67614278169,-8239.72015129118,15651.0724368546
"Bird Island","BI10","BI10.11",422,409.9,410.9,410.4,6127.60909090909,0.00111592805699044,0.0003161640096692,2999.419337,967.0211811,4502.90685400979,-7439.6762531402,16445.4899611598
"Bird Island","BI10","BI10.11",424,412.2,413.2,412.7,6161.61818181818,0.00117057241952479,0.00036715381114519,1873.201141,661.8703278,4567.12775445174,-7375.35010340327,16509.6056123067
"Bird Island","BI10","BI10.11",427,415.8,416.8,416.3,6233.21818181818,0.00060910337870572,0.00037879089395801,2896.949952,901.8791875,3907.2600993206,-8037.16149949234,15851.6816981335
