"Location","Site","Section","sample","min_depth","max_depth","midpoint","Sr","Sr_sd","Sr_ICP","Sr_ICP_sd","fit","lwr","upr"
"Bird Island","BI10","BI10.1",1,0,1.1,0.6,-7.14531261316221,-6.71350059661726,3.28047752852584,-0.76892883376751,3.83587698480325,3.07885541018787,4.59289855941864
"Bird Island","BI10","BI10.1",4,3.9,5,4.5,-9.18863245308603,-8.87372333501462,3.22105825962403,-1.67688267393337,3.00653555979956,2.23479156770613,3.77827955189299
"Bird Island","BI10","BI10.1",10,11.7,12.8,12.3,-8.17678378207948,-7.51504849222709,3.83739375220028,-0.65563963789172,3.4172240884892,2.65375217053943,4.18069600643897
"Bird Island","BI10","BI10.1",22,26.7,27.8,27.2,-5.10346956634338,-6.53714533374295,4.80370016784794,-0.174803375279016,4.66461900991164,3.91427915187847,5.41495886794481
"Bird Island","BI10","BI10.1",30,36.3,37.2,36.7,-4.69940871280571,-5.852392058504,5.01434956763412,0.953145772105413,4.82861898559515,4.07862682211147,5.57861114907883
"Bird Island","BI10","BI10.1",34,40.9,41.9,41.4,-5.61110495434336,-6.01535472015131,4.97818920065822,0.87431295469437,4.45858026461081,3.70734505277412,5.2098154764475
"Bird Island","BI10","BI10.2",45,44,45,44.5,-4.7510250936801,-6.26966517650603,5.11122645283105,0.959546236605112,4.80766896003797,4.0576504279772,5.55768749209875
"Bird Island","BI10","BI10.2",51,51.9,52.9,52.4,-5.01034336655924,-6.10874626831427,4.70858561298687,0.727265684166521,4.70241701574759,3.95218601056874,5.45264802092644
"Bird Island","BI10","BI10.2",54,55.3,56.3,55.8,-5.76461657956939,-6.15790508199093,5.03673035693971,0.667493795763234,4.39627305869421,3.64466676476615,5.14787935262228
"Bird Island","BI10","BI10.2",62,64.4,65.4,64.9,-4.22359937002681,-5.37698938688399,4.58307553783376,0.164149271467765,5.02174019484501,4.27174201061973,5.7717383790703
"Bird Island","BI10","BI10.2",67,70.1,71.2,70.6,-4.56137621890712,-6.22369518702921,5.12420449095423,0.670393547395899,4.88464353101871,4.13469590110092,5.6345911609365
"Bird Island","BI10","BI10.2",71,74.7,75.8,75.2,-4.62828626682757,-5.95703649532609,4.74493052053587,0.424757633429026,4.85748612109923,4.10752162731417,5.60745061488429
"Bird Island","BI10","BI10.2",81,86.5,87.5,87,-4.64514625219977,-5.98435612267026,5.34661758690507,0.966617242496849,4.85064300039883,4.10067285537475,5.60061314542292
"Bird Island","BI10","BI10.3",88,84.8,85.8,85.3,-4.66678470493162,-6.20523897950361,4.87490594640391,-0.340358866591808,4.84186039824675,4.09188217347572,5.59183862301778
"Bird Island","BI10","BI10.3",95,93,94,93.5,-4.03931769760471,-4.70518100993258,4.78638501391686,0.72780538107135,5.0965363289707,4.34641508221804,5.84665757572335
"Bird Island","BI10","BI10.3",98,96.3,97.3,96.8,-3.95739899655976,-5.48830377176127,4.7221214785087,-0.0696101644730695,5.12978544197378,4.37958785707067,5.87998302687689
"Bird Island","BI10","BI10.3",104,103.2,104.2,103.7,-4.37409423949972,-5.75844696169254,4.84528705056754,-1.11894466459632,4.96065742793513,4.21070974488982,5.71060511098044
"Bird Island","BI10","BI10.3",114,114.9,115.9,115.4,-5.26239047602626,-6.19806038657047,4.54763367627891,0.390914586845132,4.60011628688019,3.84955097709771,5.35068159666266
"Bird Island","BI10","BI10.3",120,121.8,122.7,122.3,-5.72465348496619,-6.6248489024658,4.51904296521713,-0.901140281741689,4.41249325544374,3.66098804131771,5.16399846956978
"Bird Island","BI10","BI10.4",135,129.4,130.4,129.9,-4.99523828934966,-6.02165071977948,4.61311637523697,0.0252757264488745,4.70854785538074,3.95833288537885,5.45876282538263
"Bird Island","BI10","BI10.4",145,141,142,141.5,-4.71022365563952,-6.18801117981943,4.51362383871107,-0.357031769021802,4.82422942311654,4.07423217266344,5.57422667356965
"Bird Island","BI10","BI10.4",155,152.7,153.8,153.2,-5.2838773461566,-6.07507434330064,4.79591699049481,0.039170546510341,4.59139520898304,3.84079557765342,5.34199484031266
"Bird Island","BI10","BI10.4",165,164.8,165.8,165.3,-4.75102725966474,-6.38770489804082,4.44731158954328,0.457205785071871,4.80766808090943,4.05764954763119,5.55768661418767
"Bird Island","BI10","BI10.4",168,168.4,170,169.2,-4.91619530682944,-5.96904778045982,4.79753296389401,0.348786965272573,4.74062977348236,3.99049133392479,5.49076821303993
"Bird Island","BI10","BI10.5",181,174.6,175.6,175.1,-4.83141147279923,-5.84638342849273,4.5572450961939,0.250544180160415,4.77504178493452,4.02497165718092,5.52511191268812
"Bird Island","BI10","BI10.5",191,186.6,187.6,187.1,-4.50117474366126,-6.14419631864108,4.78042419724919,1.08433708201752,4.90907806950466,4.15913801677113,5.6590181222382
"Bird Island","BI10","BI10.5",194,190.3,191.3,190.8,-5.16003735069749,-6.17758879329412,4.80019144329258,0.864790502392804,4.6416593116946,3.891244940261,5.39207368312821
"Bird Island","BI10","BI10.5",197,194,195,194.5,-4.92995734036352,-5.93679328001145,4.77825533569965,0.0968592974835245,4.7350440476067,3.98489317446347,5.48519492074993
"Bird Island","BI10","BI10.5",202,199.9,200.8,200.3,-4.64873791884697,-6.48993622263796,4.45197816032173,0.280656910686872,4.84918521690497,4.09921379509481,5.59915663871513
"Bird Island","BI10","BI10.6",218,209.5,210.5,210,-4.63619067653885,-5.70020961398362,4.71158837101642,0.314048937333415,4.85427788405005,4.10431081107509,5.60424495702502
"Bird Island","BI10","BI10.6",228,221.4,222.4,221.9,-4.64413630960968,-6.21817300941835,4.91382516980409,0.884159888396573,4.85105291528855,4.10108312467191,5.60102270590519
"Bird Island","BI10","BI10.6",239,234.2,235.2,234.7,-4.5088462439635,-5.98278489089563,4.76039101129108,0.30591569744853,4.90596436558604,4.15602374731085,5.65590498386122
"Bird Island","BI10","BI10.6",247,243.9,245,244.5,-5.28206168305712,-6.57851928036604,4.55468304015441,-0.35790029437403,4.59213214922745,3.84153545346713,5.34272884498778
"Bird Island","BI10","BI10.7",259,250.7,251.7,251.2,-4.86019941163718,-6.14080390888076,4.6180169814012,-0.208428346711881,4.7633573536711,4.01326563013225,5.51344907720994
"Bird Island","BI10","BI10.7",271,265,266,265.5,-5.2177093749042,-6.24706448082141,4.78497007688671,0.600669744396141,4.61825142527178,3.86775455822806,5.3687482923155
