"rowname","vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se","Q0.25","Q0.75"
"Location*",1,302,2.59271523178808,1.21302999652039,3,2.5,1.4826,1,5,4,0.346110177181079,-0.669548015644394,0.0698020325625391,2,3
"Site*",2,302,2.95695364238411,1.60609346048849,3,2.83057851239669,1.4826,1,6,5,0.419838374122104,-0.966263376108983,0.0924202932731141,2,4
"Section*",3,302,22.2615894039735,11.4770223193659,23,22.4545454545455,13.3434,1,42,41,-0.107835827667552,-1.01527583213109,0.660428421354295,14,32
"sample",4,302,158.12582781457,128.820475902594,133.5,142.648760330579,128.9862,1,529,528,0.90834417296975,0.100953820909897,7.41278540470417,51.25,235.25
"min_depth",5,302,172.009602649007,128.187921155131,152.5,160.180991735537,141.44004,0,503.9,503.9,0.663887348921364,-0.485159703854241,7.37638596923541,64.325,255.75
"max_depth",6,302,173.171854304636,128.157333884736,153.6,161.340495867769,141.44004,1.1,505.1,504,0.664152561420879,-0.485781633087555,7.37462586960867,65.4,256.9
"midpoint",7,302,172.591390728477,128.170212792321,153,160.762396694215,141.51417,0.6,504.5,503.9,0.664050985618281,-0.485413852214757,7.37536696746212,64.9,256.325
"SH20_age",8,302,3694.14353692009,2653.10379697197,3439.48423076923,3498.13723474195,2968.87959547553,-55.4909090909091,10924.02,10979.5109090909,0.547517494809204,-0.495313353019639,152.668967922692,1450.85716783216,5444.63758741259
"kcps",9,302,23971.6790807456,10081.3001472464,21784.9,21441.6189634604,2336.48731346153,13682.1,62434.6666666667,48752.5666666667,2.63181611710776,5.86170987458357,580.113635416594,19826.5144230769,23249.7232142857
"cps",10,302,80836.4186390073,75780.6031039537,55867.1666666666,57768.5825301111,6190.06278863636,38366.3,343976.857142857,305610.557142857,2.76734507989313,5.79749901833534,4360.68369343257,52876.5336538462,63211.262987013
"MSE",11,302,1.44111866438599,0.30630857556975,1.34569230769231,1.35441322168772,0.05737854545454,1.24090909090909,2.83333333333333,1.59242424242424,2.86560092187206,7.02079241201964,0.0176260778607591,1.31241258741258,1.3975
"K",12,302,-7.1666552025209,1.13532795835311,-7.16349044151081,-7.20463938355335,1.30063215002774,-9.85278794536697,-3.45092463321455,6.40186331215242,0.295341571756249,-0.29860825818575,0.065330782705663,-8.06572417446277,-6.39264485424228
"Ca",13,302,-4.90177661191803,0.954489547721818,-5.01950886121531,-4.9808897958486,0.698334675466997,-7.20097191024133,-1.43407704177132,5.76689486847,0.933396218109664,1.46468399045517,0.0549247015175208,-5.48508412763962,-4.54706455578583
"Ti",14,302,-5.69782029007373,1.47683013756878,-6.04086250278855,-5.89763923589014,1.14701002178305,-8.57125108413529,-1.21234771284215,7.35890337129313,1.2440508737705,1.45764791705511,0.084982024886128,-6.68713430538896,-5.20321943513832
"Mn",15,302,-6.46081236896223,1.0425416082101,-6.63975280376373,-6.49736723932502,0.792558907157653,-10.1870386287618,-3.34252560187168,6.84451302689008,0.198141402797911,0.744643775413663,0.0599915282332924,-7.08678999126045,-5.88118822232082
"Fe",16,302,-1.82531094766287,1.29300410959501,-1.92646333785524,-1.88035961104255,1.50619753628597,-4.28401056151352,1.39651859505224,5.68052915656576,0.315659579089937,-0.814596278740986,0.0744040256385623,-2.87389516747964,-0.8239561362971
"Co",17,302,-5.97927862224449,0.963832807168187,-6.06024759466523,-5.94551310612766,0.87440381069116,-9.40666402635771,-4.06780327898898,5.33886074736872,-0.471194646334453,0.731059922470702,0.0554623456829465,-6.49557467964122,-5.31583252309766
"Ni",18,302,-5.46475389932335,1.00702459701793,-5.2126445279315,-5.20006560502367,0.109107593848861,-9.93808282333377,-4.27180957115894,5.66627325217483,-2.84155783194703,6.95216411993074,0.0579477539005296,-5.27888049438754,-5.12288325511856
