"rowname","vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se","Q0.25","Q0.75"
"Location*",1,274,2.34671532846715,0.983493891025051,2,2.30909090909091,1.4826,1,4,3,-0.0195015437165497,-1.12121709029443,0.0594150388223495,1,3
"Site*",2,274,2.64598540145985,1.34063101421294,2,2.55909090909091,1.4826,1,5,4,0.306359233353162,-1.13561213439011,0.0809904814689679,1,4
"Section*",3,274,20.4197080291971,10.4061713122379,21,20.6772727272727,11.8608,1,37,36,-0.166226580168466,-1.0246462944214,0.628659799670157,13,29
"sample",4,274,154.021897810219,131.513113994115,120.5,136.704545454546,111.9363,1,529,528,1.02500511657579,0.222421730359234,7.94499777264949,50.25,212.5
"min_depth",5,274,166.277372262774,129.796788478363,139.05,152.617272727273,126.61404,0,503.9,503.9,0.805462158907555,-0.301679123273921,7.84131075630826,58.55,237.3
"max_depth",6,274,167.436496350365,129.765178381106,140.2,153.773636363636,126.68817,1.1,505.1,504,0.80570796050956,-0.302175022323679,7.83940112049575,59.775,238.55
"midpoint",7,274,166.857299270073,129.777743092578,139.6,153.195454545455,126.61404,0.6,504.5,503.9,0.805633956974691,-0.301805669555713,7.84016018247541,59.15,237.9
"SH20_age",8,274,3677.38358066514,2714.08949136984,3191.685,3461.12567135301,2972.3350125,-55.4909090909091,10924.02,10979.5109090909,0.601355335694682,-0.540852689242648,163.964142501179,1404.26923076923,5479.30894230769
"kcps",9,274,20883.9085905611,2461.75386551866,21505.9230769231,21100.9556256963,2365.89264545458,13682.1,25273.7692307692,11591.6692307692,-0.722934074905457,-0.407136777752714,148.719989850079,19054.4278846154,22851.5242424242
"cps",10,274,56782.0993932193,7165.57799977035,55431.625,56130.550002223,5085.66217499994,38366.3,90008.25,51641.95,1.06327986947398,2.02100262915152,432.888398114193,52466.5769230769,59817.8541666666
"MSE",11,274,1.34643492692665,0.0510481652338035,1.34145454545455,1.34362646259483,0.0492472027971979,1.24090909090909,1.515,0.27409090909091,0.551704493003698,0.0250818404453272,0.00308393244417101,1.30942307692308,1.37829545429545
"K",12,274,-7.09304652412002,1.11195473961295,-7.13912009236633,-7.14129610304687,1.32348217407707,-9.51698844350093,-3.45092463321455,6.06606381028638,0.383281044841221,-0.34466544737173,0.0671756424983387,-8.03198018610573,-6.25988898560049
