"Location","Site","Section","sample","min_depth","max_depth","midpoint","SH20_age","kcps","cps","MSE","K","Ca","Ti","Mn","Fe","Co","Ni","Cu","Zn","Rb","Sr","Zr","Mo_coh","coh_inc","K_sd","Ca_sd","Ti_sd","Mn_sd","Fe_sd","Co_sd","Ni_sd","Cu_sd","Zn_sd","Rb_sd","Sr_sd","Zr_sd","Mo_coh_sd","coh_inc_sd","K_ICP","Ca_ICP","Ti_ICP","Mn_ICP","Fe_ICP","Co_ICP","Ni_ICP","Cu_ICP","Zn_ICP","Rb_ICP","Sr_ICP","Zr_ICP","dry_mass_pc","K_ICP_sd","Ca_ICP_sd","Ti_ICP_sd","Mn_ICP_sd","Fe_ICP_sd","Co_ICP_sd","Ni_ICP_sd","Cu_ICP_sd","Zn_ICP_sd","Rb_ICP_sd","Sr_ICP_sd","Zr_ICP_sd","dry_mass_err"
"Bird Island","BI10","BI10.1",1,0,1.1,0.6,-55.4909090909091,20689.8181818182,52220.3636363636,1.32909090909091,-8.35191020062379,-6.80758541593921,-7.7835510752178,-7.72863474477024,-1.94334538537241,-6.32229598269348,-5.40169528600943,-6.07810102636568,-8.31826187061516,-7.29580572072543,-7.14531261316221,-3.87648529592211,-1.92157263009895,0.146376584727273,-8.3013824546649,-7.74113782174074,-7.68774689818009,-8.13700576348218,-3.68569455350129,-6.51209002195668,-7.45795430161441,-6.74793914681923,-7.70368289684979,-6.92404509418982,-6.71350059661726,-5.76236251241071,-5.55012163620065,0.00388698448403857,7.48560726800855,7.35055584285185,4.90495174256426,3.53646344341951,9.54388200499906,-0.302742141476696,0.903173305789281,1.47468289857608,3.13148340772836,0.828010693892561,3.28047752852584,1.06344302447402,12.51434728,6.25557599090682,3.16584007729043,0.809311850924935,-1.72242081593052,5.1735301264337,-4.82395176455293,-4.19525273760664,-3.7831798039682,-2.85053997187056,-4.58948524040541,-0.76892883376751,-2.46055523100737,1.251434728
"Bird Island","BI10","BI10.1",4,3.9,5,4.5,5.21666666666667,24515.9166666667,60507.1666666667,1.32166666666667,-8.35140860546614,-6.95635233262163,-8.11062408345963,-7.1447670687926,-2.18691153779199,-6.31632574152516,-5.24377275314157,-6.12049842736349,-10.0399832971249,-6.68078927258721,-9.18863245308603,-3.91870553060822,-1.92422296462355,0.145989151583333,-8.57351562284829,-8.22632137470304,-8.19982044547105,-7.77647713448398,-4.22616680559978,-6.99497985465426,-7.16864727328069,-6.834791407075,-11.8871583129826,-6.45409324349077,-8.87372333501462,-5.98429494092589,-5.62307419909688,0.00361351532498803,7.19403248256761,7.24247120132883,4.37935983755429,3.33468347892019,9.14377187171782,-0.272851907643074,1.09517117816603,1.18032422455858,2.52650241766842,0.422019571710031,3.22105825962403,0.748228535528028,10.48614151,6.25903051977997,2.83029653665937,-0.0462302050626054,-1.44966349692175,3.304647550641,-5.80727972726725,-3.81636561318177,-4.59026354410022,-1.78858731782453,-4.44468736795912,-1.67688267393337,-3.31608686015414,1.048614151
"Bird Island","BI10","BI10.1",10,11.7,12.8,12.3,132.083333333333,21782.6666666667,52798.3333333333,1.29166666666667,-8.32435361368831,-6.61499894187169,-8.11070815434533,-8.04695603047721,-3.58034100787613,-7.12736858521983,-5.39093296930901,-6.38277834996271,-8.8647626869153,-7.29543309223325,-8.17678378207948,-3.82246228744961,-1.93825101985481,0.143955505083333,-8.55463000213814,-7.93194069902791,-8.63886214534896,-8.2127902101657,-5.33451816528914,-7.14327617959414,-7.50002109745376,-6.67457525312098,-8.12645513819053,-6.88134320869064,-7.51504849222709,-5.87878745637831,-5.80548318846083,0.00301099939000146,7.34292552813836,7.84267996218333,5.83054549007266,3.6160372217274,8.27949587269265,0.557321332541838,1.26878301189716,1.76274342417884,2.6352276865988,1.48137044625347,3.83739375220028,1.86113383862431,13.6157151,6.37991334620736,3.49737575689997,1.58786741113314,-1.00492444322772,3.88158857289427,-5.39446489683244,-4.24873329038062,-3.90820335957217,-3.13178283662553,-3.05947578279728,-0.65563963789172,-2.53974814739952,1.36157151
"Bird Island","BI10","BI10.1",22,26.7,27.8,27.2,382.866666666667,21759.5833333333,52292.1666666667,1.33,-8.17590406053768,-5.78629652032065,-7.1562734256974,-7.26773457615992,-3.30464934232977,-6.70291331440332,-5.30081906285287,-6.14754368823822,-6.10088583933442,-6.3155892135512,-5.10346956634338,-3.88331928060777,-1.91038761723161,0.148022999166667,-8.42652258112747,-7.53384467709377,-8.02401724773771,-8.48378322835999,-5.6628661371908,-7.11189521419194,-7.69795274568913,-6.77777653151846,-6.50066900363333,-6.26599311863502,-6.53714533374295,-6.18923707966522,-5.74375034083128,0.00320273418525427,8.51167617120909,8.75807660650184,6.97603890594798,4.08682416932195,8.42689211285074,0.158035995347025,1.95337492700147,2.93429859087982,4.42020843695187,2.94516564297707,4.80370016784794,3.57352940771241,19.65584023,7.22530484583096,4.56666103966707,2.37326375234184,-1.43675638426703,3.32582393071755,-4.40066167346688,-2.73865550173223,-1.73473839781915,0.185828427196308,-2.20940591853322,-0.174803375279016,-0.391038130230096,1.965584023
"Bird Island","BI10","BI10.1",30,36.3,37.2,36.7,541.72,22119.4,57449,1.346,-7.29190143720988,-5.1750432851041,-6.23716440247127,-6.77547686113222,-1.57468365399816,-5.58425640728806,-5.19522262464297,-5.63726262806277,-6.25435382213697,-6.71374399912544,-4.69940871280571,-3.88437380087466,-1.83094036330463,0.1602627916,-7.44163919718184,-7.14531253196743,-7.25269036114999,-7.71300338593115,-3.79602960418944,-6.55004501221637,-6.80474222351635,-6.63251712200013,-7.28135205747727,-6.96759308912322,-5.852392058504,-5.97219515543959,-6.0211693299047,0.00242683010150897,9.70852820561717,9.04100380665293,7.582225674148,4.99824535279201,9.82855417128756,2.70737906727561,2.28690351891334,3.23458375089402,4.50048585044673,3.76510499590153,5.01434956763412,3.71147308000633,21.79052633,8.28918792007013,4.62895784972354,3.41468147889351,-1.18558461478387,3.50355067375237,-2.98298557894521,-3.19710227347252,-2.37743602876921,-0.1875328838011,-0.182959468216188,0.953145772105413,-0.0862085291763824,2.179052633
"Bird Island","BI10","BI10.1",34,40.9,41.9,41.4,618.7,23491.9090909091,61638.1818181818,1.34909090909091,-8.17960866566867,-5.46525974364459,-7.11020083002609,-7.01574718725223,-1.34371676740077,-5.0591491032681,-5.1847944837352,-5.65380172039836,-7.69654720977453,-8.73972410154726,-5.61110495434336,-3.89174767148897,-1.86475590745683,0.154934023454545,-8.51146820007589,-7.37245297602124,-8.02283232542333,-7.75816329053674,-3.84610366149048,-6.50943669035723,-6.88689597719165,-6.70916476985254,-7.67834584650484,-8.31406966356248,-6.01535472015131,-6.12851905595269,-5.69910822298637,0.00334895066566226,9.28808227205149,9.04402113279338,7.33838856463051,5.00469055174463,10.4469976275415,1.56624775644835,2.30466219731852,3.2228939294629,4.42273332782719,3.04841410108306,4.97818920065822,3.3230000127477,19.47346052,7.69169163362017,3.3115031111118,2.07229394574194,-1.68258174259904,5.15703858194915,-3.27735071370475,-2.33818970094371,-1.60738806979778,-0.391390880337621,-2.36939349502983,0.87431295469437,1.37265009959275,1.947346052
"Bird Island","BI10","BI10.2",45,44,45,44.5,670.06,23876.4,60911.7,1.358,-7.96381695910768,-5.14897803524557,-6.99114846944433,-7.19395746529866,-1.84243040345179,-5.41468580331101,-5.27100149019434,-5.70549476118379,-5.07973652024189,-6.79034787168447,-4.7510250936801,-3.89786813280265,-1.85786302703802,0.1560056543,-8.65659455990268,-7.33834598622214,-8.00036943304194,-7.92363396011245,-3.57507914530664,-6.35811977071925,-7.03806089673721,-7.28205567810481,-6.71949239432225,-6.72940409934392,-6.26966517650603,-5.88193482966304,-6.17839762221595,0.00207374814577925,11.1074916836214,9.28899573342214,8.00856570530786,6.21202271619992,10.1602156930854,1.85250594746283,2.23277431990246,2.51898773373569,4.14889549601093,4.9287008454864,5.11122645283105,4.10353283661237,26.28431951,9.47327168717847,4.54587537966246,2.64601413625186,1.7995215501821,3.64773917300838,-3.8282563326357,-3.56300060263451,-2.57524266727526,-1.14427411693686,0.726607563668417,0.959546236605112,1.90077600329844,2.628431951
"Bird Island","BI10","BI10.2",51,51.9,52.9,52.4,800.245454545455,24296.5454545455,57427.3636363636,1.31909090909091,-8.35684460400214,-5.41437262611466,-8.04880300473801,-7.16490085805971,-3.75376069454476,-6.598334493059,-5.25872591601532,-5.89163590129852,-9.10296027756117,-7.2492745879547,-5.01034336655924,-3.88790480330515,-1.90500440132438,0.148821987636364,-8.65350568648305,-7.96717338468178,-8.11805308006262,-7.91325616670028,-5.5013508954219,-7.17350311083353,-7.28555190214137,-7.12686545625864,-8.4012517468418,-6.61878973162704,-6.10874626831427,-6.16703954186815,-5.64046490563339,0.00355121707675302,7.8159441609251,8.85011583510835,5.70716697941964,4.0200614892263,10.1783639253917,2.83582027716898,2.26923829310479,3.42432388757179,5.03855590993543,1.66473145136415,4.70858561298687,1.84936101446338,15.13709242,6.44958660815693,4.21608464007972,1.25842597536065,-0.373676340690111,5.29616788707133,-2.6204314748365,-2.7918243055358,-2.09545280050523,-0.0910727765916063,-2.91464979278575,0.727265684166521,-2.20321846987363,1.513709242
"Bird Island","BI10","BI10.2",54,55.3,56.3,55.8,856.145454545455,24361,56855.4545454545,1.39818181818182,-8.81418363035824,-5.55609395270816,-8.48111324194804,-7.22359021115963,-3.97673298899806,-7.15939126124484,-5.22883633110961,-5.85645425473815,-8.06347960464387,-7.35339910304857,-5.76461657956939,-3.89387306053905,-1.91602091540663,0.147191485818182,-8.74001140568366,-7.90322367172975,-8.58273041718573,-7.974579450689,-6.30250203003231,-7.19293188528428,-7.26566485184032,-6.7174781502092,-7.65757371966996,-7.14121088344823,-6.15790508199093,-6.57568540349917,-5.63449966522492,0.00357246424196973,10.0604577084739,8.89923601451618,7.55171928570447,5.46278507773667,9.93036942402266,1.74078998486452,1.83882523557302,2.50411667342474,4.03820854355804,4.06764638555692,5.03673035693971,3.44709555981437,22.36604891,8.19178565524037,5.85779993732473,4.53018375524104,2.6100952681528,7.00945463356136,-1.48607349504094,0.569190988181305,-0.994968632570582,0.413134124549874,0.502522350001301,0.667493795763234,-0.51472777392739,2.236604891
"Bird Island","BI10","BI10.2",62,64.4,65.4,64.9,1005.71818181818,22100.0909090909,54142.1818181818,1.27,-7.3112514920674,-4.98199434764984,-6.39360025215407,-6.61741153337336,-2.7267129000849,-6.29608226671114,-5.30835081245172,-5.71086111921764,-4.37934565666729,-5.65745916643924,-4.22359937002681,-3.83129662078723,-1.84151856961901,0.158576433909091,-7.52456022954458,-6.61144426389679,-6.71024277031179,-7.05648213566927,-4.79868284574834,-7.72138067519438,-7.36517215935981,-6.47779343084146,-6.13023758200899,-5.83597451538565,-5.37698938688399,-5.94085890199422,-5.34132966789376,0.00478949806078012,6.76619014300013,8.66848236944953,5.41898367225024,3.59863321185762,7.76434259814642,0.437681308376675,2.03276637087805,3.79810302271528,4.69189223495974,1.2699297134193,4.58307553783376,1.83343076570928,12.20914471,6.00050036388099,4.25898926679981,0.705367728064666,-2.11748363703603,2.27103707812829,-4.53856386671942,-2.50258623265872,-1.88306784036054,-0.299200437521624,-3.26069477451645,0.164149271467765,-1.99353873826423,1.220914471
