"Location","Site","Section","sample","min_depth","max_depth","midpoint","Fe","Fe_sd","Fe_ICP","Fe_ICP_sd","Fe_fit_OLS","Fe_lwr_OLS","Fe_upr_OLS","Fe_fit_WLS","Fe_lwr_WLS","Fe_upr_WLS"
"Bird Island","BI10","BI10.1",1,0,1.1,0.6,-1.94747911924558,-4.25006421223963,9.54388200499906,5.1735301264337,9.2383666197074,7.9229500878123,10.5537831516025,9.24824321725572,7.91140310603942,10.585083328472
"Bird Island","BI10","BI10.1",4,3.9,5,4.5,-2.18566127969683,-4.48824636379434,9.14377187171782,3.304647550641,9.07146358414698,7.75582940702588,10.3870977612681,9.08777802265141,7.70029877269672,10.4752572726061
"Bird Island","BI10","BI10.1",10,11.7,12.8,12.3,-3.58289751158179,-5.88548242468768,8.27949587269265,3.88158857289427,8.09236855849609,6.77215093226142,9.41258618473076,8.14644898510789,6.46040384378681,9.83249412642897
"Bird Island","BI10","BI10.1",22,26.7,27.8,27.2,-3.30578547066899,-5.60837048185318,8.42689211285074,3.32582393071755,8.28655119892166,6.96769043259779,9.60541196524553,8.33314154633089,6.7064784668139,9.95980462584787
"Bird Island","BI10","BI10.1",30,36.3,37.2,36.7,-1.57319543752514,-3.87578052087512,9.82855417128756,3.50355067375237,9.50064101725892,8.1852339344532,10.8160481000646,9.50040107706646,8.24293397671045,10.7578681774225
"Bird Island","BI10","BI10.1",34,40.9,41.9,41.4,-1.34329776252592,-3.64588284019333,10.4469976275415,5.15703858194915,9.6617388079287,8.34613601699266,10.9773415988647,9.65528494867102,8.44643078576198,10.8641391115801
"Bird Island","BI10","BI10.2",45,44,45,44.5,-1.8433501194004,-4.14593520607678,10.1602156930854,3.64773917300838,9.31133365523644,7.99596056710588,10.626706743367,9.31839574334101,8.0036640880871,10.6331273985949
"Bird Island","BI10","BI10.2",51,51.9,52.9,52.4,-3.75440487274134,-6.05699000844418,10.1783639253917,5.29616788707133,7.97218701700594,6.65101916442511,9.29335486958677,8.03090312712929,6.30807234178142,9.75373391247715
"Bird Island","BI10","BI10.2",54,55.3,56.3,55.8,-3.97679776780181,-6.2793829141418,9.93036942402266,7.00945463356136,7.81634810278021,6.49382269261927,9.13887351294114,7.88107528478843,6.11050966075063,9.65164090882622
"Bird Island","BI10","BI10.2",62,64.4,65.4,64.9,-2.7301808626685,-5.03276587898425,7.76434259814642,2.27103707812829,8.68989860401629,7.37314911980099,10.0066480882316,8.72093089740128,7.21736864201253,10.22449315279
"Bird Island","BI10","BI10.2",67,70.1,71.2,70.6,-3.03679429687885,-5.3393793898729,8.73921076841923,2.71722094895158,8.47504324786217,7.1572881478909,9.79279834783343,8.51436301550935,6.94527155257279,10.0834544784459
"Bird Island","BI10","BI10.2",71,74.7,75.8,75.2,-3.02506288103394,-5.32764793283739,8.21468216401249,3.35831851941963,8.48326388416939,7.16555225655536,9.80097551178342,8.52226656262208,6.95568425542833,10.0888488698158
"Bird Island","BI10","BI10.2",81,86.5,87.5,87,-3.19972723493725,-5.50231242603466,8.74585699995511,3.66217734560713,8.36087012128038,7.04247020254418,9.67927004001658,8.40459381380482,6.80063884050715,10.0085487871025
"Bird Island","BI10","BI10.3",88,84.8,85.8,85.3,-3.59839219500776,-5.90097725146237,8.23051471759084,2.46944614218091,8.08151086162264,6.76121085421349,9.4018108690318,8.13601009503078,6.44664260021144,9.82537758985011
"Bird Island","BI10","BI10.3",95,93,94,93.5,-2.49347310531849,-4.79605821041577,9.34055718331538,4.53403149960049,8.85576847087604,7.53960935333229,10.1719275884198,8.88040277504131,7.42735234431045,10.3334532057722
"Bird Island","BI10","BI10.3",98,96.3,97.3,96.8,-2.48761123187513,-4.79019627673918,8.86409264544503,4.16270140553045,8.85987610206855,7.54372954596861,10.1760226581685,8.88435196527895,7.43255149609943,10.3361524344585
"Bird Island","BI10","BI10.3",104,103.2,104.2,103.7,-3.29483677426283,-5.59742175936484,7.5945083648187,3.31438773523264,8.29422335481341,6.97541166259001,9.61303504703682,8.34051776920228,6.71619941827438,9.96483612013018
"Bird Island","BI10","BI10.3",114,114.9,115.9,115.4,-1.7961421692426,-4.09872723210487,9.67361768204715,1.68344586805776,9.34441400923523,8.02905025136013,10.6597777671103,9.35020011061433,8.04548514064133,10.6549150805873
"Bird Island","BI10","BI10.3",120,121.8,122.7,122.3,-3.40021636301834,-5.70280145601238,8.35184985703952,3.72095422651058,8.22037998545241,6.90108164271408,9.53967832819075,8.26952271153323,6.62263198855451,9.91641343451195
"Bird Island","BI10","BI10.4",135,129.4,130.4,129.9,-0.914848112949401,-3.21743321592903,8.01280853633787,2.7498274927808,9.96196929943,8.64559284483495,11.278345754025,9.94393484699754,8.82533700274102,11.0625326912541
"Bird Island","BI10","BI10.4",145,141,142,141.5,-2.79727470525213,-5.09985986384574,10.5121855049979,5.17564528163103,8.6428834708367,7.32593715844312,9.95982978323027,8.67572924801438,7.15783697685644,10.1936215191723
"Bird Island","BI10","BI10.4",155,152.7,153.8,153.2,-1.70790588632624,-4.01049099587247,8.71190613126309,4.50899709495294,9.40624443111656,8.09088077232327,10.7216080899098,9.40964558832143,8.12364163768177,10.6956495389611
"Bird Island","BI10","BI10.4",165,164.8,165.8,165.3,-1.9452652990158,-4.24785041999179,10.8005846115197,6.40102950815504,9.23991792529567,7.92450264436334,10.555333206228,9.24973468535441,7.91336480555131,10.5861045651575
"Bird Island","BI10","BI10.4",168,168.4,170,169.2,-2.02946360319369,-4.33204868096773,10.8571670692609,6.45126665198848,9.18091706423326,7.86544419135157,10.496389937115,9.19300962567882,7.83874954744514,10.5472697039125
"Bird Island","BI10","BI10.5",181,174.6,175.6,175.1,-1.80610646494266,-4.10869157011011,10.4378555921576,5.195126236626,9.33743165927077,8.02206647047802,10.6527968480635,9.34348708624014,8.03665821099659,10.6503159614837
"Bird Island","BI10","BI10.5",191,186.6,187.6,187.1,-1.13678928740083,-3.43937437727813,10.2790078874822,5.48800172047141,9.80644692251643,8.49053764720512,11.1223561978277,9.79441133238341,8.6291196671892,10.9597029975776
"Bird Island","BI10","BI10.5",194,190.3,191.3,190.8,-0.772079441674206,-3.07466453466825,10.1204160254,5.37069039559367,10.0620125796388,8.74526021813366,11.3787649411439,10.0401192235947,8.95148273429137,11.1287557128981
"Bird Island","BI10","BI10.5",197,194,195,194.5,-0.613182080205471,-2.91576717504581,10.2056468348869,5.85054459330883,10.173357828676,8.85611776859907,11.490597888753,10.1471696256143,9.09180250748703,11.2025367437415
"Bird Island","BI10","BI10.5",202,199.9,200.8,200.3,-0.384768343906849,-2.68735342955453,11.1610073177993,6.75009657343813,10.3334157686985,9.01534685983904,11.651484677558,10.3010537560463,9.29335387368469,11.3087536384079
"Bird Island","BI10","BI10.6",218,209.5,210.5,210,-0.522604592575543,-2.82518968388317,11.5829680732906,7.41406967584827,10.2368288191575,8.91927810103856,11.5543795372765,10.2081923913486,9.17175102475965,11.2446337579375
"Bird Island","BI10","BI10.6",228,221.4,222.4,221.9,-1.23279098789321,-3.53537608088726,10.7399098377358,6.26174273085966,9.73917498577362,8.4234235681009,11.0549264034463,9.72973423178667,8.54420429427588,10.9152641692975
"Bird Island","BI10","BI10.6",239,234.2,235.2,234.7,-0.492179982513576,-2.79476508205114,10.2519418682607,5.01178667700049,10.258148466966,8.94048808430989,11.5758088496222,10.228689690412,9.19859868443844,11.2587806963857
