"Location","Site","Section","sample","min_depth","max_depth","midpoint","SH20_age","Rb","Rb_sd","Rb_ICP","Rb_ICP_sd","fit","lwr","upr"
"Bird Island","BI10","BI10.1",1,0,1.1,0.6,-55.4909090909091,0.0495276531430358,0.0745971463045873,2.288761162,0.010158086,8.1183690071988,-16.813218894754,33.0499569091516
"Bird Island","BI10","BI10.1",4,3.9,5,4.5,5.21666666666667,0.0946376790959899,0.119487919370018,1.525038372,0.011740776,10.1826222405729,-14.7380878145986,35.1033322957444
"Bird Island","BI10","BI10.1",10,11.7,12.8,12.3,132.083333333333,0.0535998851777897,0.0839130883631707,4.398970104,0.046912281,8.30471601026985,-16.6254859685168,33.2349179890565
"Bird Island","BI10","BI10.1",22,26.7,27.8,27.2,382.866666666667,0.143158128365599,0.150922091735009,19.01381163,0.109765839,12.4029378394602,-12.5170601010815,37.3229357800019
"Bird Island","BI10","BI10.1",30,36.3,37.2,36.7,541.72,0.0821909742306216,0.063958938199115,43.16823811,0.83280191,9.61305593639951,-15.3096725422492,34.5357844150482
"Bird Island","BI10","BI10.1",34,40.9,41.9,41.4,618.7,0.00948260506332067,0.0169490648844932,21.08188416,0.09353744,6.2858912324047,-18.6635907937525,31.2353732585619
"Bird Island","BI10","BI10.2",45,44,45,44.5,670.06,0.0794427345737734,0.0858957324014482,138.1998527,2.068052956,9.48729536593005,-15.4359797763472,34.4105705082073
"Bird Island","BI10","BI10.2",51,51.9,52.9,52.4,800.245454545455,0.0559833560522104,0.108376896422831,5.28425398,0.054223017,8.41378461209924,-16.5156433644717,33.3432125886702
"Bird Island","BI10","BI10.2",54,55.3,56.3,55.8,856.145454545455,0.0508426900874298,0.0650719391460696,58.41930414,1.652885172,8.17854563550096,-16.7525859536295,33.1096772246314
"Bird Island","BI10","BI10.2",62,64.4,65.4,64.9,1005.71818181818,0.258634821046909,0.216379693467356,3.560602291,0.038361736,17.6871985156865,-7.27688251675398,42.6512795481269
"Bird Island","BI10","BI10.2",67,70.1,71.2,70.6,1100.56666666667,0.0821498884784982,0.0950746468539235,30.36236272,0.256345549,9.61117583558213,-15.3115605466289,34.5339122177931
"Bird Island","BI10","BI10.2",71,74.7,75.8,75.2,1174.81666666667,0.0694887799447572,0.0992778616139092,7.795499709,0.115748702,9.03179833187303,-15.8937625186633,33.9573591824094
"Bird Island","BI10","BI10.2",81,86.5,87.5,87,1349.67272727273,0.101928867159323,0.0745674548644458,50.21714125,0.70380336,10.5162699877626,-14.4036057903514,35.4361457658767
"Bird Island","BI10","BI10.3",88,84.8,85.8,85.3,1324,0.0952747151147943,0.133495168251957,13.30255749,0.023181323,10.2117732692813,-14.708853640532,35.1324001790947
"Bird Island","BI10","BI10.3",95,93,94,93.5,1444.54545454545,0.211958840525194,0.16629089739368,10.28410137,0.050822268,15.5512865609174,-9.38722303163084,40.4897961534657
"Bird Island","BI10","BI10.3",98,96.3,97.3,96.8,1492.28181818182,0.376840111678698,0.234007261246505,9.694363956,0.203712654,23.0963209498671,-1.97930558314254,48.1719474828768
"Bird Island","BI10","BI10.3",104,103.2,104.2,103.7,1595.6,0.107111919599746,0.130327540389072,6.266500548,0.095875453,10.7534485868184,-14.1659905406611,35.6728877142979
"Bird Island","BI10","BI10.3",114,114.9,115.9,115.4,1769.91818181818,0.0544598713943762,0.0758548016627205,6.037782671,0.042295483,8.3440693311945,-16.5858502121595,33.2739888745485
"Bird Island","BI10","BI10.3",120,121.8,122.7,122.3,1872.71,0.0883781740028537,0.117492291150385,2.592646444,0.02182641,9.89618472796088,-15.0254467306216,34.8178161865434
"Bird Island","BI10","BI10.4",135,129.4,130.4,129.9,1986.59090909091,0.0246097553152671,0.0350235139480973,6.954876946,0.093655521,6.9781158135185,-17.9636970360021,31.9199286630391
"Bird Island","BI10","BI10.4",145,141,142,141.5,2162.97272727273,0.0405223134071041,0.0597610452051917,9.787053209,0.059603308,7.70628097854379,-17.228656232919,32.6412181900066
"Bird Island","BI10","BI10.4",155,152.7,153.8,153.2,2335.40833333333,0.0397530892051855,0.0636433094921565,20.81297886,0.274237825,7.67108096452349,-17.264160499093,32.60632242814
"Bird Island","BI10","BI10.4",165,164.8,165.8,165.3,2517.27272727273,0.0341608113401124,0.0567107587585403,4.260143181,0.051289903,7.41517604270094,-17.5223632375508,32.3527153229527
"Bird Island","BI10","BI10.4",168,168.4,170,169.2,2576.01176470588,0.084400210793861,0.0848004593335572,43.16608535,0.550658986,9.71415150490376,-15.208164011372,34.6364670211795
"Bird Island","BI10","BI10.5",181,174.6,175.6,175.1,2667,0.0520653257342499,0.0548015019578542,2.564526013,0.044583218,8.23449394264268,-16.6962208921796,33.165208777465
"Bird Island","BI10","BI10.5",191,186.6,187.6,187.1,2847.45454545455,0.0318293248325778,0.0910376272723683,24.03856275,0.33159449,7.30848626675699,-17.6300555996575,32.2470281331715
"Bird Island","BI10","BI10.5",194,190.3,191.3,190.8,2903.10909090909,0.0203819330209546,0.0383964886301629,58.90663431,0.829134942,6.78464893654823,-18.1591961987095,31.7284940718059
"Bird Island","BI10","BI10.5",197,194,195,194.5,2954.41818181818,0.0591162819957275,0.0646186312061281,12.67353344,0.313961187,8.55714858434725,-16.3713037751798,33.4856009438744
"Bird Island","BI10","BI10.5",202,199.9,200.8,200.3,3041.91111111111,0.0902666107084865,0.0853834210967937,2.553601126,0.066508029,9.98260036380401,-14.9387331499473,34.9039338775553
"Bird Island","BI10","BI10.6",218,209.5,210.5,210,3183,0.0853569764821091,0.0885188460765809,25.70637949,0.437908223,9.75793349402537,-15.1642105041598,34.6800774922105
"Bird Island","BI10","BI10.6",228,221.4,222.4,221.9,3362.6,0.067710314106165,0.0499512474140857,6.149324503,0.106149158,8.95041500787343,-15.9756046753269,33.8764346910737
"Bird Island","BI10","BI10.6",239,234.2,235.2,234.7,3550.09090909091,0.0722128492908909,0.0501116523237666,4.534790413,0.043240663,9.15645285904081,-15.768434850688,34.0813405687696
"Bird Island","BI10","BI10.6",247,243.9,245,244.5,3699.925,0.078481908109249,0.070996323261763,3.037488827,0.043979182,9.44332755402557,-15.4801473280913,34.3668024361425
"Bird Island","BI10","BI10.7",259,250.7,251.7,251.2,3790.45,0.0677772491259168,0.0929464139855938,5.026836978,0.140151798,8.95347798174742,-15.9725241557094,33.8794801192043
"Bird Island","BI10","BI10.7",271,265,266,265.5,3978.94545454545,0.0214449067766733,0.0477151313997185,2.699363842,0.043626306,6.83329105026642,-18.11003500486,31.7766171053928
"Bird Island","BI10","BI10.7",280,275.9,276.9,276.4,4128.55454545455,0.0509338417444439,0.0448662294222328,2.511699688,0.052718839,8.1827167725984,-16.7483834969069,33.1138170421037
"Bird Island","BI10","BI10.8",300,289.7,290.8,290.3,4314.73333333333,0.030953647801374,0.0501242248012011,3.349219592,0.075375837,7.26841492773939,-17.6705102764131,32.2073401318919
"Bird Island","BI10","BI10.8",303,293.4,294.4,293.9,4365.28181818182,0.0412725468260835,0.0643489194379493,3.120629768,0.061658011,7.74061196657134,-17.1940312568994,32.675255190042
"Bird Island","BI10","BI10.8",311,303.1,304,303.6,4492.98,0.0628173158620795,0.0695673780671871,9.077687309,0.090928537,8.72650940744702,-16.2008515461359,33.6538703610299
"Bird Island","BI10","BI10.8",318,311.7,312.8,312.2,4610.66666666667,0.0271395150990332,0.0619766274379678,2.400125578,0.053500798,7.09387865565796,-17.8467594005665,32.0345167118825
