"Location","Site","Section","sample","min_depth","max_depth","midpoint","SH20_age","K","K_sd","K_ICP","K_ICP_sd","fit","lwr","upr"
"Bird Island","BI10","BI10.1",1,0,1.1,0.6,-55.4909090909091,0.0166200094508697,0.0190684881174599,1782.206118,520.9093274,3356.03207167943,-8562.86201352796,15274.9261568868
"Bird Island","BI10","BI10.1",4,3.9,5,4.5,5.21666666666667,0.0173855943359705,0.0148536705886894,1331.46149,522.7119355,3373.59788966657,-8545.17934522813,15292.3751245613
"Bird Island","BI10","BI10.1",10,11.7,12.8,12.3,132.083333333333,0.0189473366674052,0.0164430322482061,1545.22611,589.8765904,3409.43099200529,-8509.11199545004,15327.9739794606
"Bird Island","BI10","BI10.1",22,26.7,27.8,27.2,382.866666666667,0.0219716156617602,0.0177713768306234,4972.490853,1373.757336,3478.82099093424,-8439.28410181557,15396.926083684
"Bird Island","BI10","BI10.1",30,36.3,37.2,36.7,541.72,0.0463819839922912,0.039757305004422,16457.36219,3980.600316,4038.90008266898,-7876.42985731331,15954.2300226513
"Bird Island","BI10","BI10.1",34,40.9,41.9,41.4,618.7,0.0183946763158912,0.0136890305237411,10808.43657,2190.076237,3396.75058081597,-8521.87466869861,15315.3758303306
"Bird Island","BI10","BI10.2",45,44,45,44.5,670.06,0.024744655831081,0.0129945836441187,66668.75515,13007.37375,3542.44648803231,-8375.27531076164,15460.1682868263
"Bird Island","BI10","BI10.2",51,51.9,52.9,52.4,800.245454545455,0.0180530652955216,0.0149174936266344,2479.827204,632.4407929,3388.91255119575,-8529.76389247972,15307.5889948712
"Bird Island","BI10","BI10.2",54,55.3,56.3,55.8,856.145454545455,0.0109436495303064,0.013892354066728,23399.21394,3611.164788,3225.79190218997,-8694.00999845945,15145.5938028394
"Bird Island","BI10","BI10.2",62,64.4,65.4,64.9,1005.71818181818,0.0492569773234493,0.0398229967491521,867.9986358,403.6307052,4104.86482485783,-7810.22723203572,16019.9568817514
"Bird Island","BI10","BI10.2",67,70.1,71.2,70.6,1100.56666666667,0.0442936538041397,0.0275428485865766,7766.606331,2010.436754,3990.98478457988,-7924.52970588222,15906.499275042
"Bird Island","BI10","BI10.2",71,74.7,75.8,75.2,1174.81666666667,0.0330232576005161,0.0206578532388437,1973.319538,728.4065428,3732.39330477328,-8184.28793979366,15649.0745493402
"Bird Island","BI10","BI10.2",81,86.5,87.5,87,1349.67272727273,0.0235910992104725,0.0224687965892844,14359.67839,3663.807136,3515.97892574129,-8401.90020168848,15433.8580531711
"Bird Island","BI10","BI10.3",88,84.8,85.8,85.3,1324,0.00704150037287899,0.00955458989955262,3095.570446,982.5430133,3136.25977689336,-8784.20854249305,15056.7280962798
"Bird Island","BI10","BI10.3",95,93,94,93.5,1444.54545454545,0.0526527852453771,0.0338216490023888,3134.001598,945.8757012,4182.77929918554,-7732.05593799169,16097.6145363628
"Bird Island","BI10","BI10.3",98,96.3,97.3,96.8,1492.28181818182,0.0796796241308266,0.0477006748824142,3044.618396,864.5444411,4802.89150603377,-7110.83264048181,16716.6156525493
"Bird Island","BI10","BI10.3",104,103.2,104.2,103.7,1595.6,0.0350727956630686,0.0327882032708591,1424.582603,617.0473108,3779.41854425377,-8137.02909167874,15695.8661801863
"Bird Island","BI10","BI10.3",114,114.9,115.9,115.4,1769.91818181818,0.01450375601032,0.0156085142009675,1716.680373,574.2556523,3307.47609379273,-8611.74790435017,15226.7000919356
"Bird Island","BI10","BI10.3",120,121.8,122.7,122.3,1872.71,0.0142954446511427,0.0177475451670369,683.2265993,330.288126,3302.69653310498,-8616.56048845993,15221.9535546699
"Bird Island","BI10","BI10.4",135,129.4,130.4,129.9,1986.59090909091,0.0107035804955631,0.0132002201715228,1641.390095,595.6836327,3220.28368350552,-8699.55822065231,15140.1255876633
"Bird Island","BI10","BI10.4",145,141,142,141.5,2162.97272727273,0.014309574405777,0.0129270106547327,5412.77206,1133.053064,3303.02073059495,-8616.23404788275,15222.2755090727
"Bird Island","BI10","BI10.4",155,152.7,153.8,153.2,2335.40833333333,0.00575191540692571,0.0134801805396424,5594.694254,1512.473246,3106.67113789104,-8814.02500511657,15027.3672808986
"Bird Island","BI10","BI10.4",165,164.8,165.8,165.3,2517.27272727273,0.041510772831396,0.0547892868216481,2804.420041,585.0799774,3927.13349702389,-7988.64229928269,15842.9092933305
"Bird Island","BI10","BI10.4",168,168.4,170,169.2,2576.01176470588,0.0258637564746633,0.0184830258263181,21023.43508,4080.69295,3568.12348165774,-8349.44857107268,15485.6955343882
"Bird Island","BI10","BI10.5",181,174.6,175.6,175.1,2667,0.0434780429289362,0.0448613849752852,1243.638909,437.7130837,3972.27115469902,-7943.31809972062,15887.8604091187
"Bird Island","BI10","BI10.5",191,186.6,187.6,187.1,2847.45454545455,0.0138679811857006,0.0156399938881885,11337.75217,2616.583382,3292.88867825278,-8626.43641670564,15212.2137732112
"Bird Island","BI10","BI10.5",194,190.3,191.3,190.8,2903.10909090909,0.0082827449281644,0.00849416019094566,21256.47654,4637.824269,3164.73927846137,-8755.51331611573,15084.9918730385
"Bird Island","BI10","BI10.5",197,194,195,194.5,2954.41818181818,0.00967576604261985,0.0119548271422949,4642.258304,1389.963814,3196.70118866228,-8723.31346018665,15116.7158375112
"Bird Island","BI10","BI10.5",202,199.9,200.8,200.3,3041.91111111111,0.0147318694452588,0.009743915296488,2367.746797,501.3815099,3312.7099994726,-8606.47794886013,15231.8979478053
"Bird Island","BI10","BI10.6",218,209.5,210.5,210,3183,0.0246810797250008,0.0112909725584597,21467.56946,3376.49462,3540.98777805845,-8376.74261304998,15458.7181691669
"Bird Island","BI10","BI10.6",228,221.4,222.4,221.9,3362.6,0.0198655098548327,0.0161668325195864,3810.216932,970.2818044,3430.49784351307,-8487.91000691965,15348.9056939458
"Bird Island","BI10","BI10.6",239,234.2,235.2,234.7,3550.09090909091,0.0119686028274115,0.0159586217959254,2179.747422,564.4911449,3249.30874978277,-8670.32382859714,15168.9413281627
"Bird Island","BI10","BI10.6",247,243.9,245,244.5,3699.925,0.00837370721857088,0.0132316967291832,2601.638721,565.6764383,3166.82634557577,-8753.410577299,15087.0632684505
"Bird Island","BI10","BI10.7",259,250.7,251.7,251.2,3790.45,0.0126052745667236,0.0130808513827291,2160.208858,504.1027803,3263.9167444127,-8655.61185453075,15183.4453433562
"Bird Island","BI10","BI10.7",271,265,266,265.5,3978.94545454545,0.0143811727698546,0.0145693591176239,2135.960113,544.2065152,3304.66350575423,-8614.5799134963,15223.9069250048
"Bird Island","BI10","BI10.7",280,275.9,276.9,276.4,4128.55454545455,0.0209880264547744,0.012190261059428,1942.49545,493.2577849,3456.25321390485,-8461.9920206159,15374.4984484256
"Bird Island","BI10","BI10.8",300,289.7,290.8,290.3,4314.73333333333,0.00435916299578843,0.00652050543869445,643.1526044,288.8626367,3074.71539290273,-8846.2310317124,14995.6618175179
"Bird Island","BI10","BI10.8",303,293.4,294.4,293.9,4365.28181818182,0.0156556224102787,0.0364868739636092,661.9708417,325.0800747,3333.90487513487,-8585.13829411316,15252.9480443829
"Bird Island","BI10","BI10.8",311,303.1,304,303.6,4492.98,0.0453108140171924,0.0177107117912709,1745.183529,636.3270443,4014.32282522561,-7901.10054058432,15929.7461910355
"Bird Island","BI10","BI10.8",318,311.7,312.8,312.2,4610.66666666667,0.014737071023246,0.0119727361867278,543.4726901,321.6442737,3312.82934609758,-8606.35778158128,15232.0164737764
"Bird Island","BI10","BI10.8",326,321.7,322.8,322.2,4729.33333333333,0.0194022500871548,0.0176688906793964,2704.115972,923.7798793,3419.86866715633,-8498.60712713135,15338.344461444
"Bird Island","BI10","BI10.9",342,332.1,333.1,332.6,4891.35454545455,0.0160339119139202,0.0137352412398394,473.7956247,223.0052862,3342.58446729601,-8576.39997112473,15261.5689057167
"Bird Island","BI10","BI10.9",348,339.5,340.5,340,5008.74545454545,0.0171813479893901,0.0268920826320634,519.5682507,257.8592821,3368.91159789359,-8549.8966809393,15287.7198767265
"Bird Island","BI10","BI10.9",361,355.7,356.7,356.2,5262.19090909091,0.0528818977702233,0.0295947157294031,2355.45594,816.8976853,4188.03612829534,-7726.78272364118,16102.8549802319
"Bird Island","BI10","BI10.9",365,360.7,361.7,361.2,5341.56,0.0431756220681249,0.0204861424750212,1070.885179,427.93975,3965.33231630251,-7950.28504340683,15880.9496760119
"Bird Island","BI10","BI10.9",372,369.1,371,370.1,5483.135,0.0184130550820313,0.0138473454865929,1739.758107,627.1074323,3397.17226894896,-8521.45023380453,15315.7947717025
"Bird Island","BI10","BI10.10",379,367.3,368.4,367.9,5447.30909090909,0.030707732577533,0.0186031192857683,1447.271106,470.971649,3679.26517765119,-8237.69145436694,15596.2218096693
"Bird Island","BI10","BI10.10",386,375.7,376.6,376.1,5581.52,0.0336736113350892,0.0125285041800683,1334.018291,545.4493081,3747.3152233627,-8169.29086127351,15663.9213079989
"Bird Island","BI10","BI10.10",390,380.5,381.5,381,5660.04545454545,0.0224580132947949,0.0230632758018827,3262.422113,1005.382976,3489.98104967826,-8428.05555162717,15408.0176509837
"Bird Island","BI10","BI10.10",392,382.9,384,383.4,5698.00833333333,0.0376311195963359,0.0106096599704555,2439.861236,757.6437819,3838.11752517473,-8078.05187851661,15754.2869288661
"Bird Island","BI10","BI10.10",396,387.7,388.8,388.2,5774.45833333333,0.0117279741826455,0.0135265873999119,4192.532888,1214.507924,3243.7876912317,-8675.88442514685,15163.4598076103
"Bird Island","BI10","BI10.10",403,396.3,397.4,396.8,5914.69166666667,0.0296308582273624,0.0177911726699512,2645.007056,831.194612,3654.55703724998,-8262.53181071045,15571.6458852104
"Bird Island","BI10","BI10.10",410,404.6,405.6,405.1,6045.02727272727,0.019364014933204,0.0122152512885846,1279.071246,462.2106416,3418.99138787864,-8499.49003589002,15337.4728116473
"Bird Island","BI10","BI10.11",422,409.9,410.9,410.4,6127.60909090909,0.066928257677325,0.0207094089968718,2999.419337,967.0211811,4510.32018367803,-7403.72162933578,16424.3619966918
"Bird Island","BI10","BI10.11",424,412.2,413.2,412.7,6161.61818181818,0.0669726300673919,0.020729920171319,1873.201141,661.8703278,4511.33827761214,-7402.7017901648,16425.3783453891
"Bird Island","BI10","BI10.11",427,415.8,416.8,416.3,6233.21818181818,0.0368930741872465,0.0230840448785326,2896.949952,901.8791875,3821.18358150028,-8095.06456525439,15737.431728255
"Bird Island","BI10","BI10.11",439,430.3,431.3,430.8,6633.50909090909,0.055401317210124,0.0307578940280072,3339.764406,1047.00677,4245.84247240665,-7668.80405650308,16160.4890013164
"Bird Island","BI10","BI10.11",443,435.2,436.3,435.7,6779.31666666667,0.0676082187601834,0.0175130955689791,1374.155784,526.8474966,4525.92142248548,-7388.09413696939,16439.9369819403
"Bird Island","BI10","BI10.11",449,442.8,443.8,443.3,6996.89090909091,0.0723385077470121,0.0246873670537821,959.6082071,355.1815587,4634.45464588925,-7279.40731536621,16548.3166071447
"Bird Island","BI10","BI10.12",461,447.5,448.7,448.1,7135.69230769231,0.0557093579416123,0.0179611705287939,6631.161901,2065.435552,4252.91025486585,-7661.71619283982,16167.5367025715
"Bird Island","BI10","BI10.12",465,452.8,453.9,453.4,7290.50833333333,0.132555536095445,0.0755029097200402,5147.889503,1470.473436,6016.09289434503,-5900.25157221083,17932.4373609009
"Bird Island","BI10","BI10.12",469,458.3,459.3,458.8,7450.61818181818,0.0561912290079144,0.0298616916005436,5505.035933,1603.539606,4263.96645465331,-7650.62901168028,16178.5619209869
