"Location","Site","Section","sample","min_depth","max_depth","midpoint","SH20_age","Zn","Zn_sd","Zn_ICP","Zn_ICP_sd","fit","lwr","upr"
"Bird Island","BI10","BI10.1",1,0,1.1,0.6,-55.4909090909091,0.0156225433902151,0.0352881049910537,22.90793616,0.057813095,42.2012804482174,-45.9493160765141,130.351876972949
"Bird Island","BI10","BI10.1",4,3.9,5,4.5,5.21666666666667,0.0003295419531622,0.000973539905853925,12.50967591,0.167196198,37.9700976055865,-50.1946279553884,126.134823166561
"Bird Island","BI10","BI10.1",10,11.7,12.8,12.3,132.083333333333,0.00838870188019205,0.024659488133246,13.94648753,0.043639925,40.1998612886427,-47.9568230889249,128.35654566621
"Bird Island","BI10","BI10.1",22,26.7,27.8,27.2,382.866666666667,0.177082793707153,0.118631196352943,83.1136075,1.204215632,86.873207258654,-1.41971995390712,175.166134471215
"Bird Island","BI10","BI10.1",30,36.3,37.2,36.7,541.72,0.131204058655496,0.0470449760839496,90.06087679,0.829001857,74.1797332279871,-14.0186329240388,162.378099380013
"Bird Island","BI10","BI10.1",34,40.9,41.9,41.4,618.7,0.0289959186980307,0.0320360849470355,83.32372544,0.676115824,45.9013517771454,-42.2408053599858,134.043508914277
"Bird Island","BI10","BI10.2",45,44,45,44.5,670.06,0.443045786518933,0.0873305679555854,63.36397587,0.318454995,160.458373427111,70.7822362609428,250.134510593279
"Bird Island","BI10","BI10.2",51,51.9,52.9,52.4,800.245454545455,0.00576549797887265,0.019121993525473,154.2471074,0.912951267,39.4740877780817,-48.6850683315091,127.633243887672
"Bird Island","BI10","BI10.2",54,55.3,56.3,55.8,856.145454545455,0.0231958387608486,0.0395103967257909,56.72463202,1.511547748,44.296617819779,-43.8487507175197,132.441986357078
"Bird Island","BI10","BI10.2",62,64.4,65.4,64.9,1005.71818181818,0.935099219304241,0.150827670434676,109.0593506,0.741410788,296.596988925736,200.841038234603,392.352939616868
"Bird Island","BI10","BI10.2",67,70.1,71.2,70.6,1100.56666666667,0.216204721888853,0.101711424833394,261.6355831,2.462160119,97.6972454289498,9.28987448937052,186.104616368529
"Bird Island","BI10","BI10.2",71,74.7,75.8,75.2,1174.81666666667,0.0192508611156501,0.0386932294746475,140.4650062,0.492872097,43.2051432785889,-44.9428023176242,131.353088874802
"Bird Island","BI10","BI10.2",81,86.5,87.5,87,1349.67272727273,0.137624526386997,0.0822341056311422,67.51751759,0.138761249,75.9561126404269,-12.2529058243188,164.165131105172
"Bird Island","BI10","BI10.3",88,84.8,85.8,85.3,1324,0.0724806733853937,0.0792209591353592,65.03458094,0.286572998,57.9324725945017,-30.2075096345458,146.072454823549
"Bird Island","BI10","BI10.3",95,93,94,93.5,1444.54545454545,0.00974751975591768,0.0192645779616311,71.97280393,0.774294779,40.5758114842728,-47.5796477994855,128.731270768031
"Bird Island","BI10","BI10.3",98,96.3,97.3,96.8,1492.28181818182,0.0222488767388511,0.0652541896814687,41.79884834,0.244174097,44.0346176181448,-44.1113405169036,132.180575753193
"Bird Island","BI10","BI10.3",104,103.2,104.2,103.7,1595.6,0.0442188030815032,0.0542086290209123,45.72842227,0.254790732,50.1131350221692,-38.0238637920254,138.250133836364
"Bird Island","BI10","BI10.3",114,114.9,115.9,115.4,1769.91818181818,0.00260387947407761,0.0086360912148234,35.80217711,0.124414396,38.5993487003738,-49.5629732440904,126.761670644838
"Bird Island","BI10","BI10.3",120,121.8,122.7,122.3,1872.71,0.0755640537808444,0.0562931519451179,87.02811474,1.036590908,58.7855651859224,-29.3557302732211,146.926860645066
"Bird Island","BI10","BI10.4",135,129.4,130.4,129.9,1986.59090909091,0.138563258496371,0.0784756311689704,126.1466188,1.544773235,76.2158358354687,-11.9948105349986,164.426482205936
"Bird Island","BI10","BI10.4",145,141,142,141.5,2162.97272727273,0.347581768537945,0.0850722498547084,36.99629166,0.295665893,134.045918250646,45.0283519258326,223.063484575459
