"Location","Site","Section","sample","field_depth_top","field_depth_bottom","field_depth_mid","water_content_pc","water_content_err","dry_mass_pc","dry_mass_err","density_gcm3","density_gcm3_err","P_ICP","P_ICP_sd","K_ICP","K_ICP_sd","Ca_ICP","Ca_ICP_sd","Ti_ICP","Ti_ICP_sd","Mn_ICP","Mn_ICP_sd","Fe_ICP","Fe_ICP_sd","Co_ICP","Co_ICP_sd","Ni_ICP","Ni_ICP_sd","Cu_ICP","Cu_ICP_sd","Zn_ICP","Zn_ICP_sd","As_ICP","As_ICP_sd","Rb_ICP","Rb_ICP_sd","Sr_ICP","Sr_ICP_sd","Zr_ICP","Zr_ICP_sd","Pb_ICP","Pb_ICP_sd","Th_ICP","Th_ICP_sd"
"Bird Island","BI10","BI10.1",1,0,1.1,0.6,87.48565272,4.374282636,12.51434728,1.251434728,0.106894716,0.010689472,3631.01094,41.22201845,1782.206118,320.79710124,1557.061769,202.41802997,134.9563972,18.893895608,34.34524027,4.1214288324,13959.03161,2512.6256898,0.738789575,0.05171527025,2.467420581,1.33240711374,4.369649931,0.61175099034,22.90793616,2.0617142544,1.593037056,0.008373058,2.288761162,0.36620178592,26.58846642,0.5317693284,2.896325963,0.14481629815,1.440961807,0.005279507,0.193973613,0.004950768
"Bird Island","BI10","BI10.1",4,3.9,5,4.5,89.51385849,4.475692925,10.48614151,1.048614151,0.175709963,0.017570996,2187.768178,58.29252023,1331.46149,239.6630682,1397.543318,181.68063134,79.78694045,11.170171663,28.06949723,3.3683396676,9355.988249,1684.07788482,0.761205508,0.05328438556,2.98969441,1.6144349814,3.255429522,0.45576013308,12.50967591,1.1258708319,1.332775979,0.02334512,1.525038372,0.24400613952,25.05462045,0.501092409,2.113253146,0.1056626573,2.373368867,0.02400569,0.111198299,0.000588647
"Bird Island","BI10","BI10.1",10,11.7,12.8,12.3,86.3842849,4.319214245,13.6157151,1.36157151,0.145233799,0.01452338,2538.801945,60.0436628,1545.22611,278.1406998,2547.021617,331.11281021,340.544392,47.67621488,37.1899001,4.462788012,3942.206507,709.59717126,1.745989306,0.12221925142,3.556521683,1.92052170882,5.828405269,0.81597673766,13.94648753,1.2551838777,1.743850558,0.029034748,4.398970104,0.70383521664,46.4043754,0.928087508,6.431024383,0.32155121915,1.816847326,0.011704502,0.392855167,0.002705738
"Bird Island","BI10","BI10.1",22,26.7,27.8,27.2,80.34415977,4.017207989,19.65584023,1.965584023,0.214200619,0.021420062,6654.725412,133.8869744,4972.490853,895.04835354,6361.863436,827.04224668,1070.668936,149.89365104,59.55046887,7.1460562644,4568.280308,822.29045544,1.171208352,0.08198458464,7.052448962,3.80832243948,18.80830619,2.6331628666,83.1136075,7.480224675,4.803888726,0.047934098,19.01381163,3.0422098608,121.9608593,2.439217186,35.64216716,1.782108358,5.697875838,0.054057547,2.206277124,0.022103189
"Bird Island","BI10","BI10.1",30,36.3,37.2,36.7,78.20947367,3.910473683,21.79052633,2.179052633,0.303817276,0.030381728,3726.942347,91.16765458,16457.36219,2962.3251942,8442.247188,1097.49213444,1962.99309,274.8190326,148.1529747,17.778356964,18556.10587,3340.0990566,14.98993637,1.0492955459,9.844407416,5.31598000464,25.3957986,3.555411804,90.06087679,8.1054789111,7.177832466,0.057235004,43.16823811,6.9069180976,150.558177,3.01116354,40.9140318,2.04570159,4.940056387,0.065822161,4.042046336,0.032130391
"Bird Island","BI10","BI10.1",34,40.9,41.9,41.4,80.52653948,4.026326974,19.47346052,1.947346052,0.25962259,0.025962259,3202.443185,82.71131473,10808.43657,1945.5185826,8467.75867,1100.8086271,1538.231355,215.3523897,149.1109339,17.893312068,34440.81517,6199.3467306,4.788646274,0.33520523918,10.02079263,5.4112280202,25.1006547,3.514091658,83.32372544,7.4991352896,7.880957488,0.074791029,21.08188416,3.3731014656,145.2111951,2.904223902,27.74345656,1.387172828,7.408811877,0.095574739,2.195438664,0.011765005
"Bird Island","BI10","BI10.2",45,44,45,44.5,73.71568049,3.685784024,26.28431951,2.628431951,0.351176997,0.0351177,1394.696114,24.37745178,66668.75515,12000.375927,10818.31417,1406.3808421,3006.601666,420.92423324,498.7089785,59.84507742,25853.87296,4653.6971328,6.375776882,0.44630438174,9.325702706,5.03587946124,12.41602198,1.7382430772,63.36397587,5.7027578283,4.414249569,0.038359467,138.1998527,22.111976432,165.8736664,3.317473328,60.55383697,3.0276918485,3.509034885,0.044750539,10.86384958,0.079884546
"Bird Island","BI10","BI10.2",51,51.9,52.9,52.4,84.86290758,4.243145379,15.13709242,1.513709242,0.178667469,0.017866747,3384.904962,93.00445812,2479.827204,446.36889672,6975.196896,906.77559648,301.0170716,42.142390024,55.70453095,6.684543714,26327.35852,4738.9245336,17.04437568,1.1931062976,9.672030755,5.2228966077,30.70187991,4.2982631874,154.2471074,13.882239666,10.64861794,0.177330122,5.28425398,0.8454806368,110.8952002,2.217904004,6.355756988,0.3177878494,2.861172068,0.011046014,0.732997581,0.006237929
"Bird Island","BI10","BI10.2",54,55.3,56.3,55.8,77.63395109,3.881697554,22.36604891,2.236604891,0.276912503,0.02769125,3001.682437,49.99798666,23399.21394,4211.8585092,7326.374157,952.42864041,1904.013462,266.56188468,235.7531016,28.290372192,20544.92897,3698.0872146,5.701846016,0.39912922112,6.289145655,3.3961386537,12.23274868,1.7125848152,56.72463202,5.1052168818,5.236852561,0.016924834,58.41930414,9.3470886624,153.965778,3.07931556,31.40903404,1.570451702,6.319566267,0.119404834,4.857814687,0.12796856
"Bird Island","BI10","BI10.2",62,64.4,65.4,64.9,87.79085529,4.389542764,12.20914471,1.220914471,0.143757408,0.014375741,4341.206788,110.6435017,867.9986358,156.239754444,5816.665099,756.16646287,225.6496719,31.590954066,36.54824658,4.3857895896,2355.109726,423.91975068,1.54911114,0.1084377798,7.635178907,4.12299660978,44.61646774,6.2463054836,109.0593506,9.815341554,6.931517761,0.104210602,3.560602291,0.56969636656,97.81476508,1.9562953016,6.255310392,0.3127655196,4.714142544,0.009348352,0.621271024,0.00212764
