"depth","SH20_age","surface","kcps","cps","cps_acf_sum","MSE","Si","S","Cl","K","Ca","Ti","V","Cr","Mn","Fe","Co","Ni","Cu","Zn","Br","Rb","Sr","Zr","Ba","Mo_inc","Mo_coh","coh_inc","sum","scatter_sum"
0.1,-63.4,7.46,19704,50127,49325,1.34,0,0.00810947795235682,0.0669031931069437,0,0.0486568677141409,0,0,0.010136847440446,0.0446021287379625,11.385707045109,0,0.283831728332489,0.150025342118601,0,1.61378611251901,0,0,1.71718195641156,0.0141915864166244,73.7617840851495,10.8950836289914,0.147706346,100,84.6568677141409
0.2,-61.7,7.48,19718,50612,49651,1.39,0,0.0140984068800226,0.0161124650057401,0,0.132927836297356,0.0140984068800226,0,0,0.0644498600229603,12.7791988076776,0.128899720045921,0.302108718857626,0.142998126925943,0,1.53471229179674,0.0503514531429377,0,1.28899720045921,0,72.8948057440938,10.6362409619142,0.145912193,100,83.5310467060079
0.3,-60.1,7.5,19924,50481,49794,1.2,0.0281158372494678,0,0.0120496445354862,0,0.0562316744989356,0,0,0.0461903040526971,0.0240992890709724,11.7745109852593,0.238984616620476,0.307265935654898,0.138570912158091,0.0722978672129172,1.72109089448528,0,0,1.70703297586055,0,72.9103908101378,10.9631682532032,0.150364964,100,83.873559063341
0.4,-58.6,7.52,20433,52629,51865,1.37,0.0192808252193194,0.0269931553070471,0.0424178154825026,0.0520582280921623,0.113756868793984,0.0925479610527331,0,0.0115684951315916,0.0173527426973874,13.2150776053215,0.11954111635978,0.289212378289791,0,0,1.65622288633954,0,0.202448664802854,1.19733924611973,0,71.9502554709342,10.9939265400559,0.152798992,100,82.9441820109901
0.5,-57,7.52,20192,50683,49964,1.31,0,0,0.0260187334881114,0.0160115283003763,0.104074933952446,0.0700504363141462,0,0.0620446721639581,0.0400288207509407,10.361460251381,0.0840605235769754,0.362260827796013,0.260187334881114,0,1.74525658474101,0,0.0620446721639581,1.16884156592747,0,74.6197262028661,11.0179329116964,0.147654427,100,85.6376591145625
0.6,-55.5,7.51,20422,51345,50541,1.32,0.0554005658772086,0.0217645080231891,0.0138501414693022,0.0455076076848499,0.0850794404542846,0,0.00989295819235868,0.0178073247462456,0.0494647909617934,8.66227419322926,0,0.38780396114046,0.22753803842425,0,1.56704457766961,0.00989295819235868,0,1.75501078332443,0,76.1065273738153,10.9851407767951,0.144339009,100,87.0916681506104
0.7,-53.9,7.48,21569,53000,52235,1.27,0,0.0306308031013688,0.0153154015506844,0,0.0421173542643821,0,0,0.0248875275198622,0.0325452282952044,7.95826553077438,0.128266487986982,0.367569637216426,0.195271369771226,0.0995501100794486,1.71341054848282,0,0,1.54494113142529,0,76.5750933282282,11.2721355413037,0.14720368,100,87.8472288695319
0.8,-52.4,7.48,22053,54850,54062,1.38,0,0.0351448337094447,0.0351448337094447,0.0240464651696201,0.0832377640486849,0.0240464651696201,0,0.0684399393289186,0.0628907550590063,10.8320076948689,0.388442898893863,0.360696977544301,0.320002959564944,0,1.87747401132034,0.162776071917428,0,1.57966778883504,0,73.7819540527542,10.3640264881062,0.140468311,100,84.1459805408605
0.9,-50.8,7.51,20675,52835,51980,1.33,0.00769526741054252,0.0461716044632551,0.0461716044632551,0.0269334359368988,0.117352828010773,0.0384763370527126,0,0.0173143516737207,0,9.94998076183147,0.130819545979223,0.273181993074259,0.144286263947672,0,1.7333589842247,0,0.252020007695267,1.7872258560985,0,74.3170450173144,11.1119661408234,0.149521098,100,85.4290111581378
1,-49.3,7.53,20757,52197,51500,1.39,0,0.0194174757281553,0.0407766990291262,0,0.0621359223300971,0.0776699029126214,0.0349514563106796,0.0116504854368932,0,8.99223300970874,0.0621359223300971,0.421359223300971,0.0737864077669903,0,1.27766990291262,0.190291262135922,0,1.83495145631068,0,76.1825242718447,10.7184466019417,0.140694296,100,86.9009708737864
