"Location","Site","Section","sample","min_depth","max_depth","midpoint","SH20_age","kcps","cps","cps_acf_sum","MSE","K","Ca","Ti","Mn","Fe","Co","Ni","Cu","Zn","Rb","Sr","Zr","Mo_inc","Mo_coh","coh_inc","K_sd","Ca_sd","Ti_sd","Mn_sd","Fe_sd","Co_sd","Ni_sd","Cu_sd","Zn_sd","Rb_sd","Sr_sd","Zr_sd","Mo_inc_sd","Mo_coh_sd","coh_inc_sd","water_content_pc","water_content_err","dry_mass_pc","dry_mass_err","density_gcm3","density_gcm3_err","P_ICP","P_ICP_sd","K_ICP","K_ICP_sd","Ca_ICP","Ca_ICP_sd","Ti_ICP","Ti_ICP_sd","Mn_ICP","Mn_ICP_sd","Fe_ICP","Fe_ICP_sd","Co_ICP","Co_ICP_sd","Ni_ICP","Ni_ICP_sd","Cu_ICP","Cu_ICP_sd","Zn_ICP","Zn_ICP_sd","As_ICP","As_ICP_sd","Rb_ICP","Rb_ICP_sd","Sr_ICP","Sr_ICP_sd","Zr_ICP","Zr_ICP_sd","Pb_ICP","Pb_ICP_sd","Th_ICP","Th_ICP_sd"
"Isla Hermite","HER42PB","HER42PB_1A",3,2.5,3.7,3.1,-30.6269230769231,19465.1538461538,53638,52728.3846153846,1.33384615384615,0.145033857239193,0.869608944263602,0.256733652841932,0.242745228413806,14.9603577196685,0.15892340624802,0.328555910057723,0.218791344001823,0.023543442654887,0.206028814561023,1.35175321903879,1.29476452386953,61.1425412468801,10.3153775807922,0.168708173846154,0.0324582038184752,0.0811588609966031,0.11530310900035,0.0519879049594131,2.04038033092035,0.0803235833867295,0.0713398489392575,0.0885486259509621,0.0423309041077952,0.149831531545814,0.149922544153717,0.229998119542389,1.89986374165725,0.421545214910723,0.00441999096080199,79.47800322,3.973900161,20.52199678,2.052199678,0.245198178,0.024519818,1827.041566,37.63705626,5443.67845,181.2744924,15948.18938,296.6363225,1607.114721,33.91012061,407.4375349,2.240906442,14682.28264,138.0134568,4.851245271,0.115944762,4.965819612,0.116696761,23.13004442,0.161910311,42.19689147,0.624513994,2.909070465,0.066908621,17.13305574,0.606510173,204.6688961,2.906298325,8.791484806,0.12132249,5.273214186,0.114428748,1.358963465,0.018889592
"Isla Hermite","HER42PB","HER42PB_1A",5,5.3,6.5,5.9,-1.38846153846154,18793.5384615385,53598.8461538462,52693.0769230769,1.42153846153846,0.159139978316018,0.91771921471591,0.324518166189426,0.29506455892362,20.4846308204448,0.175543515905129,0.32391435876965,0.17047422623253,0.0124196284431904,0.331891015654587,1.74510573859343,1.16789275112981,55.7784473365314,10.0822960566405,0.180820653461538,0.0312386031413958,0.160034380391896,0.147068648947767,0.0707211112022237,2.02824432896563,0.0623163818968526,0.0446134274582319,0.0808448392163371,0.0306156378819793,0.175197074243786,0.378631381011555,0.185745059884833,1.74681633836275,0.360495653652502,0.00591109684603813,71.58035749,3.579017875,28.41964251,2.841964251,0.360788755,0.036078875,2039.850817,36.30934454,5975.780316,106.9664677,16588.68048,111.1441592,1837.980819,28.85629885,366.7929674,4.804987873,16189.75967,153.8027168,5.402833637,0.043222669,5.507249153,0.124463831,28.86151963,0.069267647,35.42095591,0.354209559,3.290427423,0.090157711,22.17089462,0.341431777,214.4801797,2.487970085,9.110923126,0.162174432,5.90081533,0.105034513,2.374515933,0.022795353
"Isla Hermite","HER42PB","HER42PB_1A",7,8.1,9.3,8.7,27.85,19866.3076923077,66045.0769230769,65184.6923076923,1.38538461538462,0.182287068449079,0.858201572154039,0.309106013011271,0.224895746384451,38.0697299924537,0.242676301308158,0.285425168904784,0.15958790623876,0.0144471162371273,0.192112062050897,1.44996048552789,0.918522024269972,43.0346467632305,7.99759605309631,0.186126874846154,0.0670620479637933,0.130802353419969,0.0544027682333322,0.0484619662501155,2.78694795970054,0.0746983266802062,0.0471399612802529,0.0672688077698957,0.0230268907304957,0.0598818201610941,0.181192834810201,0.15474096805028,2.32933628110612,0.328585757251641,0.0084470149463899,29.61002281,1.480501141,70.38997719,7.038997719,1.012276019,0.101227602,1919.062535,23.98828169,5333.453521,102.4023076,15380.19155,46.14057465,1832.527324,6.413845634,315.5650704,3.09253769,16934.94085,255.7176068,4.923853521,0.059086242,4.900777465,0.204852498,28.38931831,0.300926774,31.93149296,0.194782107,3.519098592,0.078475899,20.66172394,0.413234479,191.8197183,0.230183662,8.621791549,0.062939078,5.546907042,0.017195412,2.135112113,0.015372807
"Isla Hermite","HER42PB","HER42PB_1A",9,10.9,12.1,11.5,56.4453846153846,20964.6153846154,65795.5384615385,64927.3846153846,1.41076923076923,0.156117788130314,0.843548552539842,0.397551368537439,0.214125011362569,33.3018406445173,0.26730780502393,0.283871167084496,0.15241803492571,0,0.191040735905836,1.28432252025201,1.15917616584298,47.8546637619889,8.45851421804342,0.176783745384615,0.0370064295764462,0.220713333426704,0.202364044799048,0.0814338906364381,5.27044815616229,0.119114992433687,0.0485039362389159,0.0842266824235289,0,0.0911772678782276,0.303970120061823,0.287556287122395,3.66280736859419,0.692455908171305,0.00625635417181775,75.74731616,3.787365808,24.25268384,2.425268384,0.292144605,0.02921446,1818.155266,21.27241661,5207.184,104.6643984,15558.14641,281.60245,1580.648497,25.4484408,291.4015196,1.981530334,17138.00234,174.8076238,4.715790685,0.102332658,5.241528694,0.172446294,33.07658228,0.588763165,27.71352621,0.146881689,3.519010192,0.08621575,18.82353425,0.246588299,198.4859127,1.290158433,8.287638868,0.061328528,5.55327284,0.067749929,2.013655832,0.010672376
"Isla Hermite","HER42PB","HER42PB_1A",13,16.3,17.5,16.9,110.519230769231,18354.5384615385,46608.6923076923,45672,1.35230769230769,0.136590012786175,0.722206746002365,0.20769389066639,0.170570185960656,8.86896390724447,0.203965940514204,0.393719290886902,0.325759570704336,0.0076500906489858,0.240668828514479,1.73872548223083,1.62251526118759,67.9958094673698,12.0151730203003,0.176709254461538,0.0419761182815735,0.129009121635759,0.0432064646303463,0.0412539495934015,0.8220971218758,0.0993464647692793,0.0773924194555071,0.103143050848752,0.0227992193479167,0.153567499451182,0.230448712759601,0.225512793193064,0.946432985247097,0.228888631394153,0.00268037723819358,71.91050025,3.595525013,28.08949975,2.808949975,0.345137645,0.034513765,1537.778135,13.37866977,5837.940234,81.73116327,17669.83951,81.28126176,1819.746676,23.83868146,318.8457154,3.985571442,13667.24784,118.9050562,5.347190156,0.056145497,6.351383957,0.153703492,33.89863255,0.559327437,28.93439766,0.506351959,3.526025127,0.07157831,20.45548446,0.186144909,217.6036906,2.023714323,10.6404829,0.029793352,6.561300175,0.142380214,1.938320973,0.021709195
"Isla Hermite","HER42PB","HER42PB_1A",16,20.5,21.6,21.1,152.406666666667,17416.5833333333,46639,45782.5833333333,1.30666666666667,0.162309815934851,0.813324995191428,0.350064011014525,0.26836490490169,15.0393882451634,0.288640227531366,0.404369002975726,0.332611410001782,0.00458095696190934,0.273820113957377,2.15526047077537,1.47423577964466,61.9577049164684,11.3295676846311,0.183069920666667,0.0530904940814621,0.128716198948442,0.110135300758123,0.0664791770092761,2.27797679156203,0.104961852894421,0.0613646231175266,0.126155376946261,0.0158689004106267,0.100082968052506,0.384378926081894,0.189065626890705,2.72142353121933,0.285520624547548,0.00636049475218899,67.13543578,3.356771789,32.86456422,3.286456422,0.603070633,0.060307063,1081.37795,27.68327553,6956.874444,214.2717329,21182.64262,288.0839396,2092.551562,28.04019092,343.7990278,4.950706,11986.74089,38.35757086,4.922970952,0.064490919,6.39350629,0.235920382,28.97734663,0.156477672,27.00122448,0.615627918,2.560291583,0.019714245,22.53472619,0.574635518,287.7800097,3.53969412,20.13391113,0.39865144,7.959380853,0.217291097,8.55452875,0.111208874
"Isla Hermite","HER42PB","HER42PB_1A",20,26.1,27.3,26.7,210.763076923077,16929.8461538462,45918,45018,1.36230769230769,0.195436500490601,1.08375081858035,0.4885478240541,0.314635729990623,17.0484358345277,0.107855963099524,0.365138343278576,0.243335514536642,0.0221183628339026,0.327662057743336,2.26408323995516,1.45964424368273,60.2908857325761,11.2241896414092,0.186192237846154,0.042046070533082,0.299752769793431,0.197432371121062,0.0764218346429835,1.3091378924621,0.0780209206290858,0.0482578020309781,0.103179707176693,0.0411825995231525,0.104276994058599,0.284065427910599,0.190468252591871,1.32673551620247,0.292918947908478,0.00406954777494389,68.52043629,3.426021815,31.47956371,3.147956371,0.434378762,0.043437876,1396.766862,19.55473607,5864.826617,211.1337582,16828.03623,129.575879,2256.103454,45.34767943,382.915235,1.64653551,14179.20706,59.55266965,6.646599115,0.108339566,7.84225117,0.241541336,41.9704529,0.247625672,36.91192497,0.11811816,3.985506849,0.07572463,22.63461313,0.371207655,192.0094569,1.056052013,11.10116946,0.204261518,7.31800373,0.071716437,2.247212708,0.018651865
"Isla Hermite","HER42PB","HER42PB_1A",25,33.1,34.1,33.6,281.104545454545,15819.5454545455,50811.9090909091,50044.2727272727,1.30363636363636,0.26760178385172,0.949045878339884,0.480835336335614,0.326309449910304,35.3892116708486,0.352407265231254,0.282663550193453,0.246002536861161,0.0193360522370738,0.388830280465286,1.90804298189564,1.14694911291272,45.1231924534653,9.35776710492244,0.207411269363636,0.0961755668806419,0.126912711289099,0.117949636128362,0.0791614484438482,1.61747868621204,0.124339176901158,0.0769724892371064,0.0541029221980645,0.0360908944062964,0.251656599438645,0.371003995039862,0.133524311708993,1.18079726181332,0.377814746701261,0.00730232867287039,59.52633489,2.976316744,40.47366511,4.047366511,0.771593844,0.077159384,1620.284407,23.17006702,8871.994311,120.6591226,23025.53265,198.0195808,3140.602681,31.40602681,585.3572459,7.78525137,35487.97724,670.7227699,9.632847657,0.088622198,11.08791026,0.09757361,61.64578206,1.02948456,47.90043877,0.728086669,6.892109508,0.119922705,34.84930473,0.4460711,237.2807242,5.125263643,16.78597985,0.229967924,10.39092417,0.078971024,3.601557628,0.046460093
"Isla Hermite","HER42PB","HER42PB_1A",28,37.1,38.2,37.7,321.895,16145.25,49209.6666666667,48382.4166666667,1.34416666666667,0.36286073907402,1.61247489980319,0.766504485729531,0.392786869996841,29.3308369668576,0.205134203691075,0.302939817846795,0.269537076174216,0.0322683946644501,0.4216431654954,2.28290769956205,1.21310598649143,48.8162131796381,9.74702194890697,0.19989823275,0.116705688965042,0.40534508057005,0.27763790383369,0.0516952876782062,3.45468572323077,0.154315992830825,0.0870396507458643,0.0806400693042087,0.0416214517047284,0.0967117565211939,0.413638816086385,0.327135782335266,3.09947357451716,0.590573796036618,0.00903294357113845,63.18099355,3.159049677,36.81900645,3.681900645,0.587799686,0.058779969,1400.404816,30.80890594,7746.307975,230.8399776,19806.58483,186.1818974,2780.927179,39.76725866,509.8802514,3.977065961,25321.34917,194.9743886,8.041928644,0.101328301,8.769207812,0.211337908,43.74139458,0.209958694,42.59030524,0.234246679,4.682840687,0.048701543,30.00680597,0.483109576,201.9638553,2.746708433,18.09041528,0.063316453,8.055009204,0.107937123,2.572946266,0.042196319
"Isla Hermite","HER42PB","HER42PB_1A",31,41.2,42.3,41.7,363.2825,18131,55430.9166666667,54581.4166666667,1.35583333333333,0.144632769456611,0.779838246731495,0.422423071872766,0.227165570363337,29.8903121819267,0.238196692166712,0.303574607072349,0.172546953969665,0.00231460049995371,0.283340196011742,1.3491940168928,1.1944869738491,51.0015025387376,9.18024421356821,0.180753975416667,0.0267340812507992,0.119780324499453,0.191299303374651,0.0486982000967139,5.90436390558634,0.123924145737367,0.0644609763254182,0.0874749143282845,0.00801801133028829,0.148007978351551,0.252845998763308,0.193324901867317,5.0365917735285,0.557490763763184,0.0099834761180887,58.6261659,2.931308295,41.3738341,4.13738341,0.743284189,0.074328419,1323.400898,31.62928146,8706.157013,221.1363881,23961.57686,191.6926149,2482.596033,49.15540146,510.7720501,2.24739702,30348.25974,264.0298597,8.722415009,0.070651562,8.979833284,0.241557515,34.73791874,0.340431604,44.27594323,0.509173347,4.573916289,0.065864395,30.61922635,0.814471421,256.1176349,1.075694066,12.6893661,0.16115495,7.76861256,0.122744078,2.073978393,0.01825101
