"rowname","vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se","Q0.25","Q0.75"
"kcps",1,16978,21091.0743903876,2400.11518794778,21702,21356.4557567726,2105.292,9879,26148,16269,-0.947455700404485,0.357709584064457,18.4199658435759,19756,22895.75
"cps",2,16978,58049.8582282952,8348.56324194368,56294.5,57103.9082744403,5602.7454,32827,125546,92719,1.65993396932732,5.39709101384877,64.0720289308388,53127,61236.75
"MSE",3,16978,1.34897219931676,0.0979644282830081,1.34,1.344757803298,0.0889560000000001,1.04,1.93,0.89,0.535019349824759,0.911972635794022,0.000751839508336843,1.28,1.41
"K",4,16978,65.336494286727,130.037965876312,29,37.7123085983478,31.1346,0,2330,2330,5.43673919677717,40.3461693769732,0.997991638833742,12,64
"Ca",5,16978,312.013782542103,313.73916713145,239,254.907979976442,123.0558,5,5527,5522,5.15129358396711,39.8307688236265,2.40782807899093,166,339
"Ti",6,16978,292.551713982775,687.054140220568,89,120.987632508821,80.0604,0,6602,6602,4.41478924323892,21.573197383001,5.27287767649658,46,190
"Mn",7,16978,78.401460713867,111.276522106055,50,59.00655182568,34.0998,0,4373,4373,12.2324660801627,338.275869322832,0.854004735555233,31,84
"Fe",8,16978,11319.542702321,12561.176122922,6117.5,8858.09349234385,6214.3179,440,111070,110630,2.08219179004769,5.45564918759489,96.4022211522287,2821,15668.25
"Zn",9,16978,48.6754623630605,101.49506986851,0,24.3898704358055,0,0,1378,1378,3.79972755077068,21.7084224139931,0.778935831770579,0,57
"Rb",10,16978,89.4319707857241,114.857101873911,55,67.1469375736126,81.543,0,1006,1006,2.30056993882812,7.69641835095961,0.881484315433442,0,131
"Sr",11,16978,490.442042643413,446.02167952175,371,420.651428150806,306.8982,0,3712,3712,2.05847353997218,5.83911640413833,3.42304575361227,199,653.75
"Zr",12,16978,842.489810342806,202.44903437105,833,834.002650176691,185.325,60,3200,3140,1.36971037195212,9.27586229480606,1.55371888687069,707,958
"Mo_inc",13,16978,35529.4992343029,7620.32567430602,37396.5,36606.8063898696,6764.3625,7015,47856,40841,-1.18447949593658,1.00937142302481,58.4830842046633,31793,41439
"Mo_coh",14,16978,5762.38178819647,686.595635911478,5913,5842.09732037693,581.1792,2694,7145,4451,-1.06980665530818,1.00123807929207,5.26935883133658,5424,6253
"Total_scatter",15,16978,41291.8810224996,8280.76855942935,43332.5,42454.5781065963,7293.6507,9736,54856,45120,-1.18297570307915,1.01362760266668,63.5517306790879,37227.75,47673.75
"coh_inc",16,16978,0.168060858926969,0.0303607206445482,0.159023316041863,0.161584487725061,0.0135751118318104,0.133814971890719,0.387883107626515,0.254068135735796,2.91835115753515,9.94850026146726,0.000233006915696038,0.151167609225976,0.171294531219248
