Location,Site,label,ID,section_depth,field_depth,depth,SH20_age,surface,validity,qc,kcps,cps,MSE,K,Ca,Ti,Mn,Fe,Zn,Rb,Sr,Zr,Mo_inc,Mo_coh,inc_coh,coh_inc,Total_scatter,cps_sum2
Bird Island,BI10,BI10.01,ACE_ITRAX_2,0.1,0.1,0.1,-63.4,7.46,1,TRUE,19704,50127,1.34,0,0.047878389,0,0.043888523,11.203543,0,0,0,1.689708141,72.58164263,10.72076925,0.013506074,0.000294664,41757,96.30123067
Bird Island,BI10,BI10.01,ACE_ITRAX_3,0.2,0.2,0.2,-61.7,7.48,1,TRUE,19718,50612,1.39,0,0.130403857,0.013830712,0.063226112,12.5365526,0,0.0493954,0,1.264522248,71.51070892,10.43428436,0.01354113,0.000288296,41474,96.01675363
Bird Island,BI10,BI10.01,ACE_ITRAX_4,0.3,0.3,0.3,-60.1,7.5,1,TRUE,19924,50481,1.2,0,0.055466413,0,0.02377132,11.61427072,0.07131396,0,0,1.683801826,71.91814742,10.81396961,0.013174235,0.000297864,41764,96.19421337
Bird Island,BI10,BI10.01,ACE_ITRAX_5,0.4,0.4,0.4,-58.6,7.52,1,TRUE,20433,52629,1.37,0.051302514,0.112105493,0.091204469,0.017100838,13.02323814,0,0,0.199509776,1.179957818,70.90577438,10.83433088,0.012435246,0.000290332,43019,96.42724989
Bird Island,BI10,BI10.01,ACE_ITRAX_6,0.5,0.5,0.5,-57,7.52,1,TRUE,20192,50683,1.31,0.015784385,0.102598504,0.069056686,0.039460963,10.21447034,0,0,0.061164493,1.152260127,73.56115463,10.86163013,0.013362608,0.000291329,42788,96.09123419
Bird Island,BI10,BI10.01,ACE_ITRAX_7,0.6,0.6,0.6,-55.5,7.51,1,TRUE,20422,51345,1.32,0.044795014,0.0837472,0,0.048690233,8.526633557,0,0.009738047,0,1.727529458,74.91479209,10.81312689,0.013493298,0.000281116,44017,96.1828269
Bird Island,BI10,BI10.01,ACE_ITRAX_8,0.7,0.7,0.7,-53.9,7.48,1,TRUE,21569,53000,1.27,0,0.041509434,0,0.032075472,7.843396226,0.098113208,0,0,1.522641509,75.46981132,11.10943396,0.012817563,0.000277743,45887,96.13007644
Bird Island,BI10,BI10.01,ACE_ITRAX_9,0.8,0.8,0.8,-52.4,7.48,1,TRUE,22053,54850,1.38,0.023701003,0.082041933,0.023701003,0.061987238,10.67639015,0,0.160437557,0,1.556973564,72.72196901,10.21513218,0.012979113,0.000256095,45491,95.53556885
Bird Island,BI10,BI10.01,ACE_ITRAX_10,0.9,0.9,0.9,-50.8,7.51,1,TRUE,20675,52835,1.33,0.026497587,0.115453771,0.037853695,0,9.788965648,0,0,0.247941705,1.758304154,73.11441279,10.93214725,0.012658312,0.000282996,44406,96.03451792
Bird Island,BI10,BI10.01,ACE_ITRAX_11,1,1,1,-49.3,7.53,1,TRUE,20757,52197,1.39,0,0.061306205,0.076632757,0,8.872157404,0,0.187750254,0,1.810448876,75.16523938,10.57532042,0.013616891,0.000269545,44754,96.76274173
Bird Island,BI10,BI10.01,ACE_ITRAX_12,1.1,1.1,1.1,-47.7,7.5,1,TRUE,22141,55665,1.32,0.01796461,0.053893829,0.008982305,0.016168149,10.61169496,0,0.12934519,0.088026588,1.350938651,73.03332435,10.47875685,0.012520714,0.000257755,46487,95.80187395
Bird Island,BI10,BI10.01,ACE_ITRAX_13,1.2,1.2,1.2,-46.1,7.49,1,TRUE,21695,54611,1.33,0,0.047609456,0,0.036622658,10.00347915,0,0.13184157,0,1.72309608,73.30025087,10.63155774,0.012624914,0.00026559,45836,95.88734803
Bird Island,BI10,BI10.01,ACE_ITRAX_14,1.3,1.3,1.3,-44.6,7.51,1,TRUE,21725,55614,1.37,0.012586759,0.086309203,0,0.070126227,11.67152156,0,0.019779192,0,1.341388859,71.76430395,10.73111087,0.01202485,0.000268876,45879,95.70942035
Bird Island,BI10,BI10.01,ACE_ITRAX_15,1.4,1.4,1.4,-43,7.51,1,TRUE,21319,54727,1.34,0.02192702,0.105980595,0.051163046,0.049335794,11.60487511,0,0.056644801,0,1.397847498,71.54786486,10.73510333,0.01217836,0.000274162,45031,95.58319457
Bird Island,BI10,BI10.01,ACE_ITRAX_16,1.5,1.5,1.5,-41.4,7.54,1,TRUE,21311,56074,1.33,0.02318365,0.098084674,0.008916789,0.024967008,14.39169669,0,0,0.135535186,1.508720619,70.07169098,10.32385776,0.012104282,0.000262747,45081,96.59902038
Bird Island,BI10,BI10.01,ACE_ITRAX_17,1.6,1.6,1.6,-39.8,7.57,1,TRUE,21163,53422,1.35,0,0.071131743,0,0,11.22384037,0,0.228370334,0,1.121260904,72.91003706,10.57242335,0.012909001,0.000271436,44598,96.14024419
Bird Island,BI10,BI10.01,ACE_ITRAX_18,1.7,1.7,1.7,-38.3,7.58,1,TRUE,21090,53056,1.38,0.030156815,0.060313631,0.030156815,0.033926417,10.23635404,0.020732811,0,0,1.558730398,74.18388118,10.44556695,0.01338576,0.000265392,44901,96.61347021
Bird Island,BI10,BI10.01,ACE_ITRAX_19,1.8,1.8,1.8,-36.7,7.59,1,TRUE,21093,53106,1.42,0.032011449,0.082853162,0.041426581,0,8.869054344,0,0,0,1.62128573,73.89560502,10.64474824,0.013071927,0.000271252,44896,95.2003277
Bird Island,BI10,BI10.01,ACE_ITRAX_20,1.9,1.9,1.9,-35.1,7.58,1,TRUE,21223,52649,1.34,0,0.070276738,0,0.032289312,8.84347281,0,0.037987426,0,1.584075671,74.78964463,10.82831583,0.013118689,0.000274998,45077,96.1994561
Bird Island,BI10,BI10.01,ACE_ITRAX_21,2,2,2,-33.6,7.58,1,TRUE,21729,54454,1.27,0,0.101002681,0.014691299,0.034891835,10.73933963,0,0,0,1.597678775,72.94046351,10.74301245,0.012468455,0.000270475,45569,96.18381911
Bird Island,BI10,BI10.01,ACE_ITRAX_22,2.1,2.1,2.1,-32,7.58,1,TRUE,22073,55695,1.32,0,0.091570159,0.0269324,0.01077296,10.37436036,0,0,0.351916689,1.292755184,73.02271299,10.60777449,0.012359972,0.000260826,46578,95.79141602
Bird Island,BI10,BI10.01,ACE_ITRAX_23,2.2,2.2,2.2,-30.4,7.59,1,TRUE,22172,55100,1.34,0.029038113,0.094373866,0,0.058076225,9.921960073,0,0.068965517,0,1.422867514,73.53720508,10.84210526,0.012309542,0.000267581,46493,95.98716877
Bird Island,BI10,BI10.01,ACE_ITRAX_24,2.3,2.3,2.3,-28.8,7.61,1,TRUE,22196,55101,1.28,0,0.058075171,0.021778189,0.063519718,9.66951598,0,0.098001851,0,1.14335493,75.0186022,10.44445654,0.013035378,0.000252672,47091,96.53059264
Bird Island,BI10,BI10.01,ACE_ITRAX_25,2.4,2.4,2.4,-27.2,7.62,1,TRUE,22616,55584,1.38,0.061168682,0.089953944,0.028785262,0.077360391,9.736614853,0,0,0,1.277345999,73.38442717,11.36118307,0.011620654,0.000278529,47105,96.02873856
Bird Island,BI10,BI10.01,ACE_ITRAX_26,2.5,2.5,2.5,-25.7,7.62,1,TRUE,22901,57742,1.36,0,0.038100516,0,0,10.07412282,0,0.024245783,0,1.556925635,73.01963908,10.81535104,0.011692496,0.000256513,48408,95.54033389
Bird Island,BI10,BI10.01,ACE_ITRAX_27,2.6,2.6,2.6,-24.1,7.63,1,TRUE,22895,57183,1.42,0.008743857,0.068202088,0,0.062955774,9.961002396,0,0,0,1.362292989,73.73694979,10.43142193,0.012361601,0.000247395,48130,95.64417782
Bird Island,BI10,BI10.01,ACE_ITRAX_28,2.7,2.7,2.7,-22.5,7.65,1,TRUE,23449,58191,1.24,0,0.097953292,0.032651097,0.079050025,9.580519324,0,0,0,1.39196783,74.41356911,10.79720232,0.011843637,0.000249347,49585,96.40500598
Bird Island,BI10,BI10.01,ACE_ITRAX_29,2.8,2.8,2.8,-20.9,7.66,1,TRUE,23788,60176,1.32,0.023265089,0.094722148,0.033235842,0.11964903,11.48464504,0,0,0,1.492289285,71.84924222,10.63048391,0.011231709,0.000245871,49633,95.73901015
Bird Island,BI10,BI10.01,ACE_ITRAX_30,2.9,2.9,2.9,-19.4,7.68,1,TRUE,23421,58991,1.42,0.011866217,0.133918733,0.033903477,0.025427608,11.33562747,0,0.155955993,0,1.547693716,71.63465613,10.62873998,0.011424985,0.00025152,48528,95.51946583
