"Location","Site","Section","sample","min_depth","max_depth","midpoint","Ca","Ca_sd","Ca_ICP","Ca_ICP_sd","Ca_fit_OLS","Ca_lwr_OLS","Ca_upr_OLS","Ca_fit_WLS","Ca_lwr_WLS","Ca_upr_WLS"
"Bird Island","BI10","BI10.1",1,0,1.1,0.6,-6.80758541593921,-7.74113782174074,7.35055584285185,3.16584007729043,8.05922960252671,7.26554176645348,8.85291743859994,8.11852285330549,6.99033876030183,9.24670694630915
"Bird Island","BI10","BI10.1",4,3.9,5,4.5,-6.95635233262163,-8.22632137470304,7.24247120132883,2.83029653665937,7.9695087160431,7.17462561635628,8.76439181572993,8.03295252339987,6.87787108230831,9.18803396449142
"Bird Island","BI10","BI10.1",10,11.7,12.8,12.3,-6.61499894187169,-7.93194069902791,7.84267996218333,3.49737575689997,8.17537793418149,7.38311074429172,8.96764512407127,8.22929807463039,7.13592140802714,9.32267474123364
"Bird Island","BI10","BI10.1",22,26.7,27.8,27.2,-5.78629652032065,-7.53384467709377,8.75807660650184,4.56666103966707,8.67516590822005,7.88736454853953,9.46296726790058,8.7059654761407,7.76216739653779,9.64976355574361
"Bird Island","BI10","BI10.1",30,36.3,37.2,36.7,-5.1750432851041,-7.14531253196743,9.04100380665293,4.62895784972354,9.04381092253244,8.25757277224496,9.83004907281992,9.05755669117555,8.22380913021036,9.89130425214073
"Bird Island","BI10","BI10.1",34,40.9,41.9,41.4,-5.46525974364459,-7.37245297602124,9.04402113279338,3.3115031111118,8.86878223663199,8.08198608229845,9.65557839096553,8.89062496566049,8.00466305174638,9.7765868795746
"Bird Island","BI10","BI10.2",45,44,45,44.5,-5.14897803524557,-7.33834598622214,9.28899573342214,4.54587537966246,9.05953079746079,8.27332643627005,9.84573515865153,9.07254935271083,8.2434876551448,9.90161105027685
"Bird Island","BI10","BI10.2",51,51.9,52.9,52.4,-5.41437262611466,-7.96717338468178,8.85011583510835,4.21608464007972,8.89947210637721,8.1127978983541,9.68614631440031,8.91989509864495,8.04309367908102,9.79669651820888
"Bird Island","BI10","BI10.2",54,55.3,56.3,55.8,-5.55609395270816,-7.90322367172975,8.89923601451618,5.85779993732473,8.81400039439204,8.02696111284101,9.60103967594307,8.8383773731875,7.93605884141824,9.74069590495676
"Bird Island","BI10","BI10.2",62,64.4,65.4,64.9,-4.98199434764984,-6.61144426389679,8.66848236944953,4.25898926679981,9.16023816448496,8.37418637036929,9.94628995860063,9.16859792019527,8.36953968996858,9.96765615042196
"Bird Island","BI10","BI10.2",67,70.1,71.2,70.6,-4.70870176364323,-6.50736659212948,9.11437754626484,3.8295549773079,9.32506011181894,8.53901941336692,10.1111008102709,9.3257950786477,8.57577574884587,10.0758144084495
"Bird Island","BI10","BI10.2",71,74.7,75.8,75.2,-5.15280892334931,-6.91381905988913,8.79883085915351,2.53000541148801,9.05722040020075,8.27101124172333,9.84342955867817,9.07034583618861,8.24059548369783,9.90009618867939
"Bird Island","BI10","BI10.2",81,86.5,87.5,87,-5.24324040548484,-7.28693609631697,9.20085797360353,4.11739559205492,9.00268144137736,8.21634214791067,9.78902073484405,9.01832989116025,8.17231923916363,9.86434054315686
"Bird Island","BI10","BI10.3",88,84.8,85.8,85.3,-5.1946205961298,-7.45901800370214,8.87915750034754,4.24660761374236,9.03200390428294,8.24573860472481,9.81826920384107,9.04629587458747,8.20902839415661,9.88356335501833
"Bird Island","BI10","BI10.3",95,93,94,93.5,-5.05550019276608,-6.71587923387116,8.8147196915889,2.64000307582772,9.11590700717776,8.32980167554649,9.90201233880902,9.1263175560064,8.31405534912476,9.93857976288804
"Bird Island","BI10","BI10.3",98,96.3,97.3,96.8,-5.15080995864012,-6.85266265340604,8.79563762526239,4.18805042109457,9.05842596989163,8.27221932190482,9.84463261787845,9.07149563530692,8.24210462601793,9.90088664459591
"Bird Island","BI10","BI10.3",104,103.2,104.2,103.7,-5.14084682119248,-6.66359262971511,8.86638463037066,4.10991629289742,9.06443470855406,8.27824033703095,9.85062908007717,9.07722640514004,8.24962635875204,9.90482645152804
"Bird Island","BI10","BI10.3",114,114.9,115.9,115.4,-5.33880155415136,-7.25089589058988,8.62807448322606,4.1592873995816,8.94504879587423,8.15853678018598,9.73156081156247,8.96336337575541,8.10016207004492,9.8265646814659
"Bird Island","BI10","BI10.3",120,121.8,122.7,122.3,-5.45941132050221,-7.6508917040107,8.58487534895951,4.48016058343282,8.87230940329355,8.08552778510776,9.65909102147935,8.89398896290451,8.00907996311723,9.77889796269179
"Bird Island","BI10","BI10.4",135,129.4,130.4,129.9,-5.15374668930943,-7.22187122089969,8.63892667704869,4.53399877767637,9.05665483632989,8.27044449465871,9.84286517800106,9.06980643573338,8.23988750475308,9.89972536671368
"Bird Island","BI10","BI10.4",145,141,142,141.5,-5.37883354462537,-7.33815889858374,8.61036395885455,2.90213194172611,8.9209056210802,8.13431050320519,9.70750073895522,8.94033708262498,8.06993202678572,9.81074213846424
"Bird Island","BI10","BI10.4",155,152.7,153.8,153.2,-5.5302334621362,-7.50547989298911,8.76969936588547,4.31011366097826,8.8295967796016,8.04263003708391,9.61656352211928,8.85325225773248,7.95559109204773,9.75091342341723
