"Location","Site","Section","sample","min_depth","max_depth","midpoint","Ni","Ni_sd","Ni_ICP","Ni_ICP_sd","Ni_fit_OLS","Ni_lwr_OLS","Ni_upr_OLS","Ni_fit_WLS","Ni_lwr_WLS","Ni_upr_WLS"
"Bird Island","BI10","BI10.1",1,0,1.1,0.6,-5.40169528600943,-7.45795430161441,0.903173305789281,-4.19525273760664,1.41302113964707,0.565406814601403,2.26063546469274,1.41278913880285,0.498938609479074,2.32663966812663
"Bird Island","BI10","BI10.1",4,3.9,5,4.5,-5.24377275314157,-7.16864727328069,1.09517117816603,-3.81636561318177,1.92424047304677,1.08029038598967,2.76819056010386,1.92416966318503,1.05942926238688,2.78891006398318
"Bird Island","BI10","BI10.1",10,11.7,12.8,12.3,-5.39093296930901,-7.50002109745376,1.26878301189716,-4.24873329038062,1.44786040083109,0.60061422880678,2.2951065728554,1.44763938504626,0.53721598868566,2.35806278140686
"Bird Island","BI10","BI10.1",22,26.7,27.8,27.2,-5.30081906285287,-7.69795274568913,1.95337492700147,-2.73865550173223,1.73957286485988,0.89473062880977,2.58441510090998,1.73944382802734,0.857264497508493,2.62162315854619
"Bird Island","BI10","BI10.1",30,36.3,37.2,36.7,-5.19522262464297,-6.80474222351635,2.28690351891334,-3.19710227347252,2.08140464637149,1.23782777745157,2.92498151529142,2.08138339145781,1.23119639896653,2.93157038394909
"Bird Island","BI10","BI10.1",34,40.9,41.9,41.4,-5.1847944837352,-6.88689597719165,2.30466219731852,-2.33818970094371,2.11516212952894,1.2716190503861,2.95870520867179,2.11515151858257,1.26805446305082,2.96224857411433
"Bird Island","BI10","BI10.2",45,44,45,44.5,-5.27100149019434,-7.03806089673721,2.23277431990246,-3.56300060263451,1.83609689687274,0.991782047469177,2.68041174627631,1.83599829473338,0.96297857716183,2.70901801230493
"Bird Island","BI10","BI10.2",51,51.9,52.9,52.4,-5.25872591601532,-7.28555190214137,2.26923829310479,-2.7918243055358,1.87583480339523,1.03169821757972,2.71997138921074,1.87574873089193,1.00647178820549,2.74502567357836
"Bird Island","BI10","BI10.2",54,55.3,56.3,55.8,-5.22883633110961,-7.26566485184032,1.83882523557302,0.569190988181305,1.97259195003925,1.12879452655196,2.81638937352654,1.97253638573177,1.11230227719255,2.83277049427098
"Bird Island","BI10","BI10.2",62,64.4,65.4,64.9,-5.30835081245172,-7.36517215935981,2.03276637087805,-2.50258623265872,1.7151914422767,0.870194859638564,2.56018802491483,1.71505471781343,0.830546665668756,2.5995627699581
"Bird Island","BI10","BI10.2",67,70.1,71.2,70.6,-5.27026605262003,-7.350765840596,1.78510366492264,-2.67471088895355,1.83847762050774,0.99417408956637,2.6827811514491,1.83837976902696,0.965584750652694,2.71117478740122
"Bird Island","BI10","BI10.2",71,74.7,75.8,75.2,-5.22642249034196,-7.19769162304396,1.89825515343819,-3.02013611984136,1.98040592088788,1.13663001323186,2.8241818285439,1.98035282037931,1.12084457528739,2.83986106547123
"Bird Island","BI10","BI10.2",81,86.5,87.5,87,-5.26441034592321,-6.88940722408746,1.85125704597165,-3.92358205457498,1.85743343650036,1.01321712179956,2.70164975120116,1.85734156191913,0.986333525086395,2.72834959875187
