"Location","Site","Section","sample","min_depth","max_depth","midpoint","Ti","Ti_sd","Ti_ICP","Ti_ICP_sd","Ti_fit_OLS","Ti_lwr_OLS","Ti_upr_OLS","Ti_fit_WLS","Ti_lwr_WLS","Ti_upr_WLS"
"Bird Island","BI10","BI10.1",1,0,1.1,0.6,-1.37872007844385,-0.0689360039221923,1.3049526576182,0.06524763288091,1.50770712951678,0.687763350913793,2.32765090811976,1.59027639917183,0.471843799995026,2.70870899834863
"Bird Island","BI10","BI10.1",4,3.9,5,4.5,-1.20646118298129,-0.0603230591490644,1.0281289082459,0.0514064454122948,1.62906767981436,0.809848951218868,2.44828640840986,1.70147060543489,0.628894665346228,2.77404654552354
"Bird Island","BI10","BI10.1",10,11.7,12.8,12.3,-1.26291733910905,-0.0631458669554525,1.97090735948023,0.0985453679740117,1.58929295493323,0.769848700117576,2.40873720974888,1.66502779966609,0.577423438628528,2.75263216070365
"Bird Island","BI10","BI10.1",22,26.7,27.8,27.2,-1.2158157039933,-0.060790785199665,2.18038714473554,0.109019357236777,1.62247719393705,0.803221912967129,2.44173247490697,1.69543220297034,0.620366169209776,2.7704982367309
"Bird Island","BI10","BI10.1",30,36.3,37.2,36.7,-0.81944771201243,-0.0409723856006215,2.05065592068389,0.102532796034195,1.90172801287432,1.08373678540485,2.71971924034378,1.9512902481415,0.9817162660313,2.9208642302517
"Bird Island","BI10","BI10.1",34,40.9,41.9,41.4,-1.18173200656464,-0.0590866003282322,2.00602850843823,0.100301425421912,1.64648998157865,0.827366319073558,2.46561364408374,1.71743344518145,0.651440112258366,2.78342677810453
"Bird Island","BI10","BI10.2",45,44,45,44.5,-1.48318241596533,-0.0741591207982665,2.20240610833466,0.110120305416733,1.43411089094264,0.613673977184829,2.25454780470045,1.52284529975665,0.376601297194302,2.669089302319
"Bird Island","BI10","BI10.2",51,51.9,52.9,52.4,-1.73129755123555,-0.0865648775617776,0.8436445763641,0.042182228818205,1.25930778848051,0.437538352599816,2.08107722436121,1.36268541103718,0.150377505641509,2.57499331643286
"Bird Island","BI10","BI10.2",54,55.3,56.3,55.8,-2.11060390830465,-0.105530195415232,2.17022093152237,0.108511046576118,0.992077303217796,0.167834301605007,1.81632030483058,1.11784075908714,-0.195479275874069,2.43116079404834
"Bird Island","BI10","BI10.2",62,64.4,65.4,64.9,-1.11629450884487,-0.0558147254422436,1.18035775986724,0.0590178879933618,1.69259227842691,0.873709236586094,2.51147532026772,1.75967376373946,0.711098464145657,2.80824906333327
"Bird Island","BI10","BI10.2",67,70.1,71.2,70.6,-1.33591072305371,-0.0667955361526853,2.03417261627581,0.10170863081379,1.53786735383542,0.718114016908575,2.35762069076226,1.61791010877189,0.51087423237597,2.72494598516781
"Bird Island","BI10","BI10.2",71,74.7,75.8,75.2,-1.03522996943664,-0.051761498471832,1.50628944908492,0.0753144724542462,1.74970420339186,0.931097207804507,2.56831119897922,1.8120014365216,0.785002411103794,2.83900046193942
"Bird Island","BI10","BI10.2",81,86.5,87.5,87,-1.50968204762407,-0.0754841023812033,2.39385073836139,0.11969253691807,1.41544126072034,0.594872844613908,2.23600967682677,1.50573961995623,0.352440216956401,2.65903902295606
"Bird Island","BI10","BI10.3",88,84.8,85.8,85.3,-1.3768662592819,-0.0688433129640951,1.67726057865771,0.0838630289328854,1.5090131898688,0.689077798525301,2.32894858121229,1.59147305116309,0.473533983510746,2.70941211881544
"Bird Island","BI10","BI10.3",95,93,94,93.5,-0.295947512143852,-0.0147973756071926,1.60030995577748,0.0800154977888741,2.27054654132446,1.45332827677047,3.08776480587845,2.28921293739727,1.45889494818163,3.11953092661291
"Bird Island","BI10","BI10.3",98,96.3,97.3,96.8,-0.678603836695197,-0.0339301918347598,1.72501753913816,0.0862508769569081,2.00095592310006,1.18327313926446,2.81863870693566,2.04220586025464,1.11010695666206,2.97430476384722
"Bird Island","BI10","BI10.3",104,103.2,104.2,103.7,-0.73836963246412,-0.036918481623206,1.80425442055466,0.0902127210277329,1.95884947719482,1.14104483407754,2.77665412031211,2.00362666116968,1.05562628530236,2.95162703703701
