Site,Site_Section,ID_Sample_No.,Core_section,Sample_ID,Radius_1_cm,Radius_2_cm,Thickness_cm,Depth_T_field_cm,Depth_B_field_cm,Depth_field_cm,Depth_T_cm,Depth_B_cm,Depth_cm,Wet_bag_g,Dry_bag_g,Wet_mass_g,Dry_mass_g,Ash_Mass ,Water_Content_pc,Dry_mass,LOI550,C_content,Volume_cm3,Wet_density_g_cm3,Dry_density_g_cm3
HER42PB,HER42PB1A,HER42PB1A_1,A,1,2.1,1.5,1,0,1,0.5,0,1,0.5,4.1761,1.8575,2.3186,0.7099,NA,76.6,23.4,NA,NA,2.5,1.19,0.28
HER42PB,HER42PB1A,HER42PB1A_2,A,2,2.2,2.5,1.1,1.21,2.31,1.76,1.21,2.31,1.76,6.6902,2.3847,4.3055,1.2371,NA,77.7,22.3,NA,NA,4.8,1.16,0.26
HER42PB,HER42PB1A,HER42PB1A_3,A,3,2.4,2.3,1.2,2.52,3.72,3.12,2.52,3.72,3.12,7.2317,2.3962,4.8355,1.2486,NA,79.5,20.5,NA,NA,5.1,1.19,0.25
HER42PB,HER42PB1A,HER42PB1A_4,A,4,2.5,2.6,1.2,3.92,5.12,4.52,3.92,5.12,4.52,7.6345,2.6223,5.0122,1.4747,NA,77.3,22.7,NA,NA,5.9,1.1,0.25
HER42PB,HER42PB1A,HER42PB1A_5,A,5,2.7,2.3,1.2,5.33,6.53,5.93,5.33,6.53,5.93,8.4731,3.2295,5.2436,2.0819,NA,71.6,28.4,NA,NA,5.8,1.27,0.36
HER42PB,HER42PB1A,HER42PB1A_6,A,6,2.1,2.7,1.2,6.74,7.94,7.34,6.74,7.94,7.34,7.9727,3.2161,4.7566,2.0685,NA,69.7,30.3,NA,NA,5.4,1.26,0.38
HER42PB,HER42PB1A,HER42PB1A_7,A,7,2.2,2.6,1.2,8.15,9.3,8.72,8.15,9.3,8.72,8.6255,6.4113,2.2142,5.2637,NA,29.6,70.4,NA,NA,5.2,1.44,1.01
HER42PB,HER42PB1A,HER42PB1A_8,A,8,2.8,2.1,1.2,9.5,10.7,10.1,9.5,10.7,10.1,7.7589,3.2228,4.5361,2.0752,NA,68.6,31.4,NA,NA,5.7,1.17,0.37
HER42PB,HER42PB1A,HER42PB1A_9,A,9,2.8,2.2,1.2,10.91,12.11,11.51,10.91,12.11,11.51,8.0985,2.8334,5.2651,1.6858,NA,75.7,24.3,NA,NA,5.8,1.2,0.29
HER42PB,HER42PB1A,HER42PB1A_10,A,10,2.7,2.3,1.1,12.32,13.42,12.87,12.32,13.42,12.87,8.2046,3.1004,5.1042,1.9528,NA,72.3,27.7,NA,NA,5.4,1.31,0.36
