"Location","Site","Section","sample","min_depth","max_depth","depth","SH20_age","kcps","cps","MSE","K","K_sd","Ca","Ca_sd","Ti","Ti_sd","Mn","Mn_sd","Fe","Fe_sd","Co","Co_sd","Ni","Ni_sd","Cu","Cu_sd","Zn","Zn_sd","Rb","Rb_sd","Sr","Sr_sd","Zr","Zr_sd","Mo_inc","Mo_coh","coh_inc","Mo_inc_sd","Mo_coh_sd","coh_inc_sd","K_ICP","K_ICP_sd","Ca_ICP","Ca_ICP_sd","Ti_ICP","Ti_ICP_sd","Mn_ICP","Mn_ICP_sd","Fe_ICP","Fe_ICP_sd","Co_ICP","Co_ICP_sd","Ni_ICP","Ni_ICP_sd","Cu_ICP","Cu_ICP_sd","Zn_ICP","Zn_ICP_sd","Rb_ICP","Rb_ICP_sd","Sr_ICP","Sr_ICP_sd","Zr_ICP","Zr_ICP_sd","dry_mass_pc","K_ICP_sd_FDV2023","Ca_ICP_sd_FDV2023","Ti_ICP_sd_FDV2023","Mn_ICP_sd_FDV2023","Fe_ICP_sd_FDV2023","Co_ICP_sd_FDV2023","Ni_ICP_sd_FDV2023","Cu_ICP_sd_FDV2023","Zn_ICP_sd_FDV2023","Rb_ICP_sd_FDV2023","Sr_ICP_sd_FDV2023","Zr_ICP_sd_FDV2023","dry_mass_err"
"Bird Island","BI10","BI10.1",1,0,1.1,0.6,-55.49090909,20689.81818,52220.36364,1.329090909,8.636363636,0.8636363636,42,4.2,15.27272727,1.527272727,16.36363636,1.636363636,5450.545455,545.0545455,68.90909091,6.890909091,172.7272727,17.27272727,88,8.8,8,0.8,26.18181818,2.618181818,28.72727273,2.872727273,792.3636364,79.23636364,38213.72727,5590.272727,0.146376585,1611.558568,191.8406062,0.003886984,1782.206118,320.79710124,1557.061769,202.41802997,134.9563972,18.893895608,34.34524027,4.1214288324,13959.03161,2512.6256898,0.738789575,0.05171527025,2.467420581,1.33240711374,4.369649931,0.61175099034,22.90793616,2.0617142544,2.288761162,0.36620178592,26.58846642,0.5317693284,2.896325963,0.14481629815,12.51434728,520.9093274,23.70865277,2.246361623,0.178633186,176.5369365,0.008034972,0.015066934,0.022750235,0.057813095,0.010158086,0.463509298,0.085387528,1.251434728
"Bird Island","BI10","BI10.1",4,3.9,5,4.5,5.216666667,24515.91667,60507.16667,1.321666667,10.41666667,1.041666667,43.08333333,4.308333333,12.83333333,1.283333333,35.66666667,3.566666667,5083.583333,508.3583333,81.58333333,8.158333333,238.75,23.875,98.91666667,9.891666667,0.181818182,0.0181818182,56.5,5.65,2.083333333,0.2083333333,898.5,89.85,45226.25,6602.416667,0.145989152,654.3573009,185.3877795,0.003613515,1331.46149,239.6630682,1397.543318,181.68063134,79.78694045,11.170171663,28.06949723,3.3683396676,9355.988249,1684.07788482,0.761205508,0.05328438556,2.98969441,1.6144349814,3.255429522,0.45576013308,12.50967591,1.1258708319,1.525038372,0.24400613952,25.05462045,0.501092409,2.113253146,0.1056626573,10.48614151,522.7119355,16.95048652,0.954822132,0.234649235,27.23893955,0.003005595,0.02200764,0.010150183,0.167196198,0.011740776,0.186955871,0.03629458,1.048614151
"Bird Island","BI10","BI10.1",10,11.7,12.8,12.3,132.0833333,21782.66667,52798.33333,1.291666667,9.833333333,0.9833333333,56.5,5.65,12.5,1.25,12.91666667,1.291666667,1170,117,33.08333333,3.308333333,191.9166667,19.19166667,71.25,7.125,4.333333333,0.4333333333,28.58333333,2.858333333,10.25,1.025,921.5,92.15,42093.83333,6060.5,0.143955505,1322.154016,252.6443782,0.003010999,1545.22611,278.1406998,2547.021617,331.11281021,340.544392,47.67621488,37.1899001,4.462788012,3942.206507,709.59717126,1.745989306,0.12221925142,3.556521683,1.92052170882,5.828405269,0.81597673766,13.94648753,1.2551838777,4.398970104,0.70383521664,46.4043754,0.928087508,6.431024383,0.32155121915,13.6157151,589.8765904,33.02866289,4.893302391,0.366072293,48.5012016,0.00454165,0.014282314,0.020076539,0.043639925,0.046912281,0.519109914,0.078886265,1.36157151
"Bird Island","BI10","BI10.1",22,26.7,27.8,27.2,382.8666667,21759.58333,52292.16667,1.33,11.33333333,1.133333333,125.0833333,12.50833333,31.91666667,3.191666667,28.5,2.85,1496.25,149.625,50.16666667,5.016666667,203.3333333,20.33333333,87.41666667,8.741666667,90.91666667,9.091666667,74.33333333,7.433333333,248.0833333,24.80833333,840.25,84.025,40802.66667,6037.25,0.148022999,1078.149453,98.40650847,0.003202734,4972.490853,895.04835354,6361.863436,827.04224668,1070.668936,149.89365104,59.55046887,7.1460562644,4568.280308,822.29045544,1.171208352,0.08198458464,7.052448962,3.80832243948,18.80830619,2.6331628666,83.1136075,7.480224675,19.01381163,3.0422098608,121.9608593,2.439217186,35.64216716,1.782108358,19.65584023,1373.757336,96.22229039,10.73236296,0.237697509,27.82191253,0.012269219,0.06465722,0.176446353,1.204215632,0.109765839,0.839622095,0.676354366,1.965584023
"Bird Island","BI10","BI10.1",30,36.3,37.2,36.7,541.72,22119.4,57449,1.346,26.3,2.63,217.7,21.77,75.3,7.53,44.1,4.41,7994.7,799.47,144.2,14.42,213,21.3,137.5,13.75,74.1,7.41,47,4.7,349.4,34.94,793.2,79.32,38550.7,6177,0.160262792,967.395593,126.3232186,0.00242683,16457.36219,2962.3251942,8442.247188,1097.49213444,1962.99309,274.8190326,148.1529747,17.778356964,18556.10587,3340.0990566,14.98993637,1.0492955459,9.844407416,5.31598000464,25.3957986,3.555411804,90.06087679,8.1054789111,43.16823811,6.9069180976,150.558177,3.01116354,40.9140318,2.04570159,21.79052633,3980.600316,102.4072847,30.40726253,0.305567488,33.23324312,0.050641414,0.040880493,0.092788179,0.829001857,0.83280191,2.59385652,0.917402906,2.179052633
"Bird Island","BI10","BI10.1",34,40.9,41.9,41.4,618.7,23491.90909,61638.18182,1.349090909,11.09090909,1.109090909,171.7272727,17.17272727,33.09090909,3.309090909,36.45454545,3.645454545,10621.27273,1062.127273,258.1818182,25.81818182,227.4545455,22.74545455,143,14.3,17.45454545,1.745454545,5.636363636,0.5636363636,148.1818182,14.81818182,831.4545455,83.14545455,40697.09091,6303.272727,0.154934023,1249.597652,167.3362429,0.003348951,10808.43657,1945.5185826,8467.75867,1100.8086271,1538.231355,215.3523897,149.1109339,17.893312068,34440.81517,6199.3467306,4.788646274,0.33520523918,10.02079263,5.4112280202,25.1006547,3.514091658,83.32372544,7.4991352896,21.08188416,3.3731014656,145.2111951,2.904223902,27.74345656,1.387172828,19.47346052,2190.076237,27.42631931,7.943023099,0.185893427,173.6494448,0.037728077,0.096502178,0.200410389,0.676115824,0.09353744,2.397227724,3.945793598,1.947346052
"Bird Island","BI10","BI10.2",45,44,45,44.5,670.06,23876.4,60911.7,1.358,14.7,1.47,248,24.8,39.4,3.94,32,3.2,6755.8,675.58,189.9,18.99,219.5,21.95,142.2,14.22,265.8,26.58,47.9,4.79,369.7,36.97,866.8,86.68,42680.9,6658.3,0.156005654,801.7086545,145.3142572,0.002073748,66668.75515,12000.375927,10818.31417,1406.3808421,3006.601666,420.92423324,498.7089785,59.84507742,25853.87296,4653.6971328,6.375776882,0.44630438174,9.325702706,5.03587946124,12.41602198,1.7382430772,63.36397587,5.7027578283,138.1998527,22.111976432,165.8736664,3.317473328,60.55383697,3.0276918485,26.28431951,13007.37375,94.24288942,14.09773486,6.046753704,38.38777974,0.021747503,0.028353619,0.076135345,0.318454995,2.068052956,2.61051165,6.691084732,2.628431951
"Bird Island","BI10","BI10.2",51,51.9,52.9,52.4,800.2454545,24296.54545,57427.36364,1.319090909,10.18181818,1.018181818,201.4545455,20.14545455,13.90909091,1.390909091,34.81818182,3.481818182,1059.545455,105.9545455,61.54545455,6.154545455,235.4545455,23.54545455,125.0909091,12.50909091,3.272727273,0.3272727273,31.63636364,3.163636364,301.6363636,30.16363636,927.1818182,92.71818182,45251.90909,6734.363636,0.148821988,298.8807302,161.2279583,0.003551217,2479.827204,446.36889672,6975.196896,906.77559648,301.0170716,42.142390024,55.70453095,6.684543714,26327.35852,4738.9245336,17.04437568,1.1931062976,9.672030755,5.2228966077,30.70187991,4.2982631874,154.2471074,13.882239666,5.28425398,0.8454806368,110.8952002,2.217904004,6.355756988,0.3177878494,15.13709242,632.4407929,67.76762951,3.519876752,0.688199618,199.5705658,0.072771457,0.061309265,0.12301453,0.912951267,0.054223017,2.069414432,0.110447115,1.513709242
"Bird Island","BI10","BI10.2",54,55.3,56.3,55.8,856.1454545,24361,56855.45455,1.398181818,6.090909091,0.6090909091,175,17.5,8.454545455,0.8454545455,33,3.3,848.8181818,84.88181818,34.90909091,3.490909091,242.6363636,24.26363636,129.4545455,12.94545455,13,1.3,28.27272727,2.827272727,142,14.2,922.1818182,92.21818182,45281,6665,0.147191486,466.7517541,176.81742,0.003572464,23399.21394,4211.8585092,7326.374157,952.42864041,1904.013462,266.56188468,235.7531016,28.290372192,20544.92897,3698.0872146,5.701846016,0.39912922112,6.289145655,3.3961386537,12.23274868,1.7125848152,56.72463202,5.1052168818,58.41930414,9.3470886624,153.965778,3.07931556,31.40903404,1.570451702,22.36604891,3611.164788,349.9533771,92.77560752,13.60034647,1107.050592,0.226259322,1.766837081,0.369735042,1.511547748,1.652885172,1.949345735,0.597663272,2.236604891
"Bird Island","BI10","BI10.2",62,64.4,65.4,64.9,1005.718182,22100.09091,54142.18182,1.27,25.81818182,2.581818182,270.9090909,27.09090909,65.45454545,6.545454545,53,5.3,2591.363636,259.1363636,73.27272727,7.327272727,197,19.7,131.8181818,13.18181818,495.4545455,49.54545455,137.6363636,13.76363636,578.8181818,57.88181818,860.4545455,86.04545455,39740.27273,6298.272727,0.158576434,1545.351746,213.911239,0.004789498,867.9986358,156.239754444,5816.665099,756.16646287,225.6496719,31.590954066,36.54824658,4.3857895896,2355.109726,423.91975068,1.54911114,0.1084377798,7.635178907,4.12299660978,44.61646774,6.2463054836,109.0593506,9.815341554,3.560602291,0.56969636656,97.81476508,1.9562953016,6.255310392,0.3127655196,12.20914471,403.6307052,70.73844961,2.024591047,0.120334052,9.689444316,0.010688746,0.081872982,0.152122701,0.741410788,0.038361736,1.178390202,0.136212551,1.220914471
