"Location","Site","label","ID","section_depth","field_depth","depth","SH20_age","surface","validity","qc","kcps","cps","MSE","K","Ca","Ti","Mn","Fe","Zn","Rb","Sr","Zr","Mo_coh","Total_scatter","inc_coh","coh_inc"
"Bird Island","BI10","BI10.01","ACE_ITRAX_2",0.1,0.1,0.1,-63.4,7.46,1,TRUE,19704,50127,1.34,-0.326703797956017,-0.512420496404117,-0.334902480004246,-0.306135856112403,-0.365313583152915,-0.484254286227654,-0.541991697452443,-0.705309595350591,-0.174343439893133,-0.670422576417508,41757,6.770189802754,0.147706346370558
"Bird Island","BI10","BI10.01","ACE_ITRAX_3",0.2,0.2,0.2,-61.7,7.48,1,TRUE,19718,50612,1.39,-0.326703797956017,-0.45883257789657,-0.330364665260066,-0.273912572173022,-0.339675179369472,-0.484254286227654,-0.429541950524592,-0.705309595350591,-0.742622938325716,-0.729517135669651,41474,6.85343684908161,0.145912192965491
"Bird Island","BI10","BI10.01","ACE_ITRAX_4",0.3,0.3,0.3,-60.1,7.5,1,TRUE,19924,50481,1.2,-0.326703797956017,-0.507282516010032,-0.334902480004246,-0.337745065667334,-0.356582689041506,-0.202610450654773,-0.541991697452443,-0.705309595350591,-0.160875435718706,-0.582854920688315,41764,6.6504854368932,0.15036496350365
"Bird Island","BI10","BI10.01","ACE_ITRAX_5",0.4,0.4,0.4,-58.6,7.52,1,TRUE,20433,52629,1.37,-0.246431019876812,-0.469997984189814,-0.30472327330897,-0.348047911135367,-0.329446049334292,-0.484254286227654,-0.541991697452443,-0.596186304545184,-0.848394284773782,-0.502684593337668,43019,6.54454577341284,0.152798992416325
"Bird Island","BI10","BI10.01","ACE_ITRAX_6",0.5,0.5,0.5,-57,7.52,1,TRUE,20192,50683,1.31,-0.302897580966392,-0.478576009560731,-0.312876740520284,-0.314004056415284,-0.384281379506497,-0.484254286227654,-0.541991697452443,-0.673062862412804,-0.947613384193129,-0.672132661647198,42788,6.77257039055404,0.147654426950621
"Bird Island","BI10","BI10.01","ACE_ITRAX_7",0.6,0.6,0.6,-55.5,7.51,1,TRUE,20422,51345,1.32,-0.260364121222114,-0.491322014243951,-0.334902480004246,-0.300916927399902,-0.414920557949033,-0.484254286227654,-0.520830154800372,-0.705309595350591,-0.19669831692991,-0.781333543282739,44017,6.92813400576369,0.144339009489146
"Bird Island","BI10","BI10.01","ACE_ITRAX_8",0.7,0.7,0.7,-53.9,7.48,1,TRUE,21569,53000,1.27,-0.326703797956017,-0.517468240037359,-0.334902480004246,-0.326851694349022,-0.427022685414139,-0.115006074866383,-0.541991697452443,-0.705309595350591,-0.489555201541334,-0.686979043717512,45887,6.79330842391304,0.147203680092002
"Bird Island","BI10","BI10.01","ACE_ITRAX_9",0.8,0.8,0.8,-52.4,7.48,1,TRUE,22053,54850,1.38,-0.290545136690992,-0.490849654974346,-0.327255773950619,-0.277574785595768,-0.374548170552388,-0.484254286227654,-0.182835415092577,-0.705309595350591,-0.364221428955062,-0.908823870765496,45491,7.11904336962342,0.14046831127156
"Bird Island","BI10","BI10.01","ACE_ITRAX_10",0.9,0.9,0.9,-50.8,7.51,1,TRUE,20675,52835,1.33,-0.286495602795718,-0.4700884664135,-0.322755212592826,-0.375855866284942,-0.390364492424246,-0.484254286227654,-0.541991697452443,-0.573792725059531,-0.0963107354129733,-0.610649580801448,44406,6.68801939058172,0.149521097592545
"Bird Island","BI10","BI10.01","ACE_ITRAX_11",1,1,1,-49.3,7.53,1,TRUE,20757,52197,1.39,-0.326703797956017,-0.505239408870779,-0.310981954944187,-0.375855866284942,-0.409759650835424,-0.484254286227654,-0.135355023470839,-0.705309595350591,-0.092494720276108,-0.901380552968012,44754,7.10760869565217,0.140694295763878
"Bird Island","BI10","BI10.01","ACE_ITRAX_12",1.1,1.1,1.1,-47.7,7.5,1,TRUE,22141,55665,1.32,-0.299413519384898,-0.508816101320415,-0.332016854111941,-0.350330469956987,-0.376397986583424,-0.484254286227654,-0.253673356604995,-0.658565401419862,-0.659917395113106,-0.809656093761935,46487,6.96965540888051,0.143479116446106
"Bird Island","BI10","BI10.01","ACE_ITRAX_13",1.2,1.2,1.2,-46.1,7.49,1,TRUE,21695,54611,1.33,-0.326703797956017,-0.512887165697942,-0.334902480004246,-0.318248546090826,-0.387198821866697,-0.484254286227654,-0.249178961284267,-0.705309595350591,-0.151268975999215,-0.75820465893374,45836,6.89459180158457,0.145041219085686
"Bird Island","BI10","BI10.01","ACE_ITRAX_14",1.3,1.3,1.3,-44.6,7.51,1,TRUE,21725,55614,1.37,-0.307244969825397,-0.487418786097504,-0.334902480004246,-0.263186652199292,-0.355182878643891,-0.484254286227654,-0.497123034080283,-0.705309595350591,-0.640218027125422,-0.61026709028138,45879,6.6875,0.149532710280374
"Bird Island","BI10","BI10.01","ACE_ITRAX_15",1.4,1.4,1.4,-43,7.51,1,TRUE,21319,54727,1.34,-0.292702603195667,-0.474592653042128,-0.318124757148376,-0.296350084618017,-0.355720677621732,-0.484254286227654,-0.413105494155527,-0.705309595350591,-0.55435900029179,-0.593529941060441,45031,6.66485106382979,0.150040862192257
"Bird Island","BI10","BI10.01","ACE_ITRAX_16",1.5,1.5,1.5,-41.4,7.54,1,TRUE,21311,56074,1.33,-0.289996664683612,-0.47834403073779,-0.331916828089714,-0.334773337547304,-0.302873581085447,-0.484254286227654,-0.541991697452443,-0.630295248054185,-0.351920731597873,-0.682726499800305,45081,6.78735532907238,0.147332790389901
"Bird Island","BI10","BI10.01","ACE_ITRAX_17",1.6,1.6,1.6,-39.8,7.57,1,TRUE,21163,53422,1.35,-0.326703797956017,-0.497873222124131,-0.334902480004246,-0.375855866284942,-0.365823668693343,-0.484254286227654,-0.0320794712667782,-0.705309595350591,-0.976578529163726,-0.759350896562828,44598,6.89624645892351,0.145006418485237
"Bird Island","BI10","BI10.01","ACE_ITRAX_18",1.7,1.7,1.7,-38.3,7.58,1,TRUE,21090,53056,1.38,-0.281602693353552,-0.505358670700843,-0.325364657598125,-0.323125387242451,-0.385346719625875,-0.404873970871851,-0.541991697452443,-0.705309595350591,-0.404654479226513,-0.89768738755054,44901,7.10194875496211,0.140806422927412
"Bird Island","BI10","BI10.01","ACE_ITRAX_19",1.8,1.8,1.8,-36.7,7.59,1,TRUE,21093,53106,1.42,-0.278642225839934,-0.491169171584069,-0.321749208487963,-0.375855866284942,-0.407329441044819,-0.484254286227654,-0.541991697452443,-0.705309595350591,-0.3103827238002,-0.7908142513094,44896,6.94197771094994,0.144051168361236
"Bird Island","BI10","BI10.01","ACE_ITRAX_20",1.9,1.9,1.9,-35.1,7.58,1,TRUE,21223,52649,1.34,-0.326703797956017,-0.499528458691236,-0.334902480004246,-0.326076359141889,-0.409503615358647,-0.484254286227654,-0.459303893905923,-0.705309595350591,-0.387526089133495,-0.766689126276687,45077,6.90685844588669,0.144783624542869
"Bird Island","BI10","BI10.01","ACE_ITRAX_21",2,2,2,-33.6,7.58,1,TRUE,21729,54454,1.27,-0.326703797956017,-0.479036875989205,-0.330176792649548,-0.320700399732362,-0.374030259045372,-0.484254286227654,-0.541991697452443,-0.705309595350591,-0.31407274319269,-0.684311295817116,45569,6.78957264957265,0.147284674840756
"Bird Island","BI10","BI10.01","ACE_ITRAX_22",2.1,2.1,2.1,-32,7.58,1,TRUE,22073,55695,1.32,-0.326703797956017,-0.48505596111263,-0.326249008032833,-0.35884563003682,-0.380349204890386,-0.484254286227654,-0.541991697452443,-0.518406378231354,-0.740542621465728,-0.750775246163378,46578,6.88388625592417,0.14526678141136
"Bird Island","BI10","BI10.01","ACE_ITRAX_23",2.2,2.2,2.2,-30.4,7.59,1,TRUE,22172,55100,1.34,-0.282893872339679,-0.483704510136276,-0.334902480004246,-0.284796520205505,-0.389093391288835,-0.484254286227654,-0.389316695363279,-0.705309595350591,-0.573476018824472,-0.679293957034403,46493,6.78255775025109,0.147437004861917
