"Location","Site","label","ID","section_depth","field_depth","depth","SH20_age","surface","validity","qc","kcps","cps","MSE","K","Ca","Ti","Mn","Fe","Zn","Rb","Sr","Zr","Mo_coh","Total_scatter","inc_coh","coh_inc"
"Bird Island","BI10","BI10.01","ACE_ITRAX_2",0.1,0.1,0.1,-63.4,7.46,1,TRUE,19704,50127,1.34,NA,-2.78782914397432,NA,-0.921305308801661,-0.164204502781525,NA,NA,NA,-0.0742302727003979,-0.77450509841778,41757,6.770189802754,0.147706346370558
"Bird Island","BI10","BI10.01","ACE_ITRAX_3",0.2,0.2,0.2,-61.7,7.48,1,TRUE,19718,50612,1.39,NA,-1.59425483888611,-1.91855790400662,-0.558448262395581,-0.064288278326742,NA,-1.17684428313989,NA,-1.02902598701836,-0.855819512083817,41474,6.85343684908161,0.145912192965491
"Bird Island","BI10","BI10.01","ACE_ITRAX_4",0.3,0.3,0.3,-60.1,7.5,1,TRUE,19924,50481,1.2,NA,-2.60436618407434,NA,-1.49815439148202,-0.128732416934902,-0.689510087427528,NA,NA,-0.0545028582416888,-0.655809894752743,41764,6.6504854368932,0.15036496350365
"Bird Island","BI10","BI10.01","ACE_ITRAX_5",0.4,0.4,0.4,-58.6,7.52,1,TRUE,20433,52629,1.37,-0.328961288103593,-1.76175832954886,-0.60966406881407,-1.79916741351767,-0.0277217944062387,NA,NA,-1.17526217028569,-1.23984869512812,-0.548967520878439,43019,6.54454577341284,0.152798992416325
"Bird Island","BI10","BI10.01","ACE_ITRAX_6",0.5,0.5,0.5,-57,7.52,1,TRUE,20192,50683,1.31,-1.27855780080915,-1.90893334001633,-0.827230559596582,-1.03567047113142,-0.247279866686419,NA,NA,-2.27094038976123,-1.44997081601527,-0.776844275225503,42788,6.77257039055404,0.147654426950621
"Bird Island","BI10","BI10.01","ACE_ITRAX_7",0.6,0.6,0.6,-55.5,7.51,1,TRUE,20422,51345,1.32,-0.477900631333504,-2.16864476791067,NA,-0.852362765777336,-0.403371338000553,NA,-2.66548303062027,NA,-0.107224310133905,-0.927946140443825,44017,6.92813400576369,0.144339009489146
"Bird Island","BI10","BI10.01","ACE_ITRAX_8",0.7,0.7,0.7,-53.9,7.48,1,TRUE,21569,53000,1.27,NA,-3.00118597126273,NA,-1.25804380303236,-0.474730168191864,-0.463905026295634,NA,NA,-0.571180988770704,-0.797186853863996,45887,6.79330842391304,0.147203680092002
"Bird Island","BI10","BI10.01","ACE_ITRAX_9",0.8,0.8,0.8,-52.4,7.48,1,TRUE,22053,54850,1.38,-0.952019005239665,-2.15792131807337,-1.55806993315529,-0.593389465200546,-0.203553557760043,NA,-0.141903331913117,NA,-0.364989613536552,-1.1088096419792,45491,7.11904336962342,0.14046831127156
"Bird Island","BI10","BI10.01","ACE_ITRAX_10",0.9,0.9,0.9,-50.8,7.51,1,TRUE,20675,52835,1.33,-0.869085958706154,-1.76321827996891,-1.23834019137587,NA,-0.275899050441183,NA,NA,-1.00749725257536,0.0385429051955996,-0.693255800465511,44406,6.68801939058172,0.149521097592545
"Bird Island","BI10","BI10.01","ACE_ITRAX_11",1,1,1,-49.3,7.53,1,TRUE,20757,52197,1.39,NA,-2.53869949828789,-0.770220898472153,NA,-0.374808789359004,NA,-0.031246112456544,NA,0.0439649878825735,-1.09811399157477,44754,7.10760869565217,0.140694295763878
"Bird Island","BI10","BI10.01","ACE_ITRAX_12",1.1,1.1,1.1,-47.7,7.5,1,TRUE,22141,55665,1.32,-1.17185174716771,-2.65618863715298,-2.23129277208412,-1.88096701423237,-0.211678519620601,NA,-0.337699610694162,-1.93724430372413,-0.872657531596104,-0.967703141383054,46487,6.96965540888051,0.143479116446106
"Bird Island","BI10","BI10.01","ACE_ITRAX_13",1.2,1.2,1.2,-46.1,7.49,1,TRUE,21695,54611,1.33,NA,-2.8060054120128,NA,-1.10356764554866,-0.260875403885116,NA,-0.323914024998919,NA,-0.0404998605326265,-0.895654895642423,45836,6.89459180158457,0.145041219085686
"Bird Island","BI10","BI10.01","ACE_ITRAX_14",1.3,1.3,1.3,-44.6,7.51,1,TRUE,21725,55614,1.37,-1.43609363358822,-2.08284192921231,NA,-0.462904086524675,-0.123191418017208,NA,-1.99567606473465,NA,-0.836428548851872,-0.692739063602123,45879,6.6875,0.149532710280374
"Bird Island","BI10","BI10.01","ACE_ITRAX_15",1.4,1.4,1.4,-43,7.51,1,TRUE,21319,54727,1.34,-1.00008215769241,-1.83828977090406,-1.01524280547867,-0.795864863021442,-0.125315613211207,NA,-1.05525973028797,NA,-0.682796412187189,-0.670166727329242,45031,6.66485106382979,0.150040862192257
"Bird Island","BI10","BI10.01","ACE_ITRAX_16",1.5,1.5,1.5,-41.4,7.54,1,TRUE,21311,56074,1.33,-0.940257608559835,-1.90470058961202,-2.20775233024023,-1.42644316446997,0.0600002075998638,NA,NA,-1.5121270587742,-0.345397808804593,-0.791353640496077,45081,6.78735532907238,0.147332790389901
"Bird Island","BI10","BI10.01","ACE_ITRAX_17",1.6,1.6,1.6,-39.8,7.57,1,TRUE,21163,53422,1.35,NA,-2.32845209157453,NA,NA,-0.166327294971243,NA,0.170455549578336,NA,-1.51378909961153,-0.897251522522318,44598,6.89624645892351,0.145006418485237
"Bird Island","BI10","BI10.01","ACE_ITRAX_18",1.7,1.7,1.7,-38.3,7.58,1,TRUE,21090,53056,1.38,-0.779370427928295,-2.54243332972299,-1.40540640662374,-1.18804884088124,-0.25221719507936,-1.74444886754958,NA,NA,-0.430179136040673,-1.09281348496245,44901,7.10194875496211,0.140806422927412
"Bird Island","BI10","BI10.01","ACE_ITRAX_19",1.8,1.8,1.8,-36.7,7.59,1,TRUE,21093,53106,1.42,-0.729701530109507,-2.1651642176579,-1.18337455827176,NA,-0.361710660569854,NA,NA,NA,-0.280043854848123,-0.941227990003279,44896,6.94197771094994,0.144051168361236
"Bird Island","BI10","BI10.01","ACE_ITRAX_20",1.9,1.9,1.9,-35.1,7.58,1,TRUE,21223,52649,1.34,NA,-2.37252396478842,NA,-1.24305123816524,-0.373418486924048,NA,-1.45083871636397,NA,-0.402413754929526,-0.907482238646728,45077,6.90685844588669,0.144783624542869
"Bird Island","BI10","BI10.01","ACE_ITRAX_21",2,2,2,-33.6,7.58,1,TRUE,21729,54454,1.27,NA,-1.91738799275707,-1.89053326415162,-1.14510701574292,-0.201293718985356,NA,NA,NA,-0.285800028071023,-0.793526907026023,45569,6.78957264957265,0.147284674840756
"Bird Island","BI10","BI10.01","ACE_ITRAX_22",2.1,2.1,2.1,-32,7.58,1,TRUE,22073,55695,1.32,NA,-2.0337932043563,-1.47262593904028,-2.26858816160239,-0.229320378239568,NA,NA,-0.691612926671145,-1.02500522089661,-0.885315535185742,46578,6.88388625592417,0.14526678141136
"Bird Island","BI10","BI10.01","ACE_ITRAX_23",2.2,2.2,2.2,-30.4,7.59,1,TRUE,22172,55100,1.34,-0.802062871942649,-2.00663379177835,NA,-0.666280080473279,-0.269832065426267,NA,-0.904301885128009,NA,-0.716420029908981,-0.786648949540213,46493,6.78255775025109,0.147437004861917
"Bird Island","BI10","BI10.01","ACE_ITRAX_24",2.3,2.3,2.3,-28.8,7.61,1,TRUE,22196,55101,1.28,NA,-2.59996078372718,-1.63799798560112,-0.599760440234202,-0.305719385201995,NA,-0.608917255685437,NA,-1.54502622439151,-1.16796930940384,47091,7.18262380538662,0.139224888716857
"Bird Island","BI10","BI10.01","ACE_ITRAX_25",2.4,2.4,2.4,-27.2,7.62,1,TRUE,22616,55584,1.38,-0.218386552228144,-2.06049606879597,-1.43007701724777,-0.39045910778101,-0.283002059372547,NA,NA,NA,-1.08379523505823,-0.461653797848905,47105,6.45922406967538,0.154817357195391
"Bird Island","BI10","BI10.01","ACE_ITRAX_26",2.5,2.5,2.5,-25.7,7.62,1,TRUE,22901,57742,1.36,NA,-3.06303243933593,NA,NA,-0.252340444856576,NA,-1.82966593797384,NA,-0.37927940695057,-0.756093239205899,48408,6.75148118494796,0.148115646419847
"Bird Island","BI10","BI10.01","ACE_ITRAX_27",2.6,2.6,2.6,-24.1,7.63,1,TRUE,22895,57183,1.42,-1.74188322018807,-2.39105875363052,NA,-0.591819866703212,-0.268878567887235,NA,NA,NA,-0.876888331972916,-1.06162290938158,48130,7.06873428331936,0.141468042215107
"Bird Island","BI10","BI10.01","ACE_ITRAX_28",2.7,2.7,2.7,-22.5,7.65,1,TRUE,23449,58191,1.24,NA,-1.97684278873132,-1.35264459533821,-0.383124774941439,-0.30662106327348,NA,NA,NA,-0.833783561114262,-0.893086227300566,49585,6.89193060639822,0.145097224146691
"Bird Island","BI10","BI10.01","ACE_ITRAX_29",2.8,2.8,2.8,-20.9,7.66,1,TRUE,23788,60176,1.32,-0.957089303076848,-1.9750523256888,-1.31615665014673,0.0462245439721156,-0.136790409601995,NA,NA,NA,-0.470397164280185,-0.763295320973162,49633,6.75879318430514,0.147955407530761
"Bird Island","BI10","BI10.01","ACE_ITRAX_30",2.9,2.9,2.9,-19.4,7.68,1,TRUE,23421,58991,1.42,-1.48073558487876,-1.56506784429624,-1.30035092656518,-1.4300531915647,-0.144694641354254,NA,-0.153726730853373,NA,-0.333440939600458,-0.744485484128888,48528,6.73971291866029,0.148374272327133
"Bird Island","BI10","BI10.01","ACE_ITRAX_31",3,3,3,-17.8,7.67,1,TRUE,23170,57641,1.33,NA,-1.93660881258616,NA,-1.07145345623971,-0.311600020860739,NA,NA,NA,-0.225278955501847,-0.824303460970125,48819,6.82105094520987,0.146604974516758
"Bird Island","BI10","BI10.01","ACE_ITRAX_32",3.1,3.1,3.1,-16.2,7.66,1,TRUE,23818,60935,1.27,1.02577360753947,-0.461040693311954,0.0817000835714089,0.497266105262005,-0.113102793526139,NA,NA,NA,-0.406321245122965,-0.818274380500851,49812,6.81487292124255,0.14673787927621
"Bird Island","BI10","BI10.01","ACE_ITRAX_33",3.2,3.2,3.2,-14.6,7.65,1,TRUE,24827,63214,1.23,0.594885652960287,-1.49645233738579,-0.467079026371177,-0.180108625445339,-0.161184514420435,NA,-0.310407069202138,-1.44107290662096,-0.98141424060747,-0.521180773210426,51794,6.51727140783745,0.153438446463567
"Bird Island","BI10","BI10.01","ACE_ITRAX_34",3.3,3.3,3.3,-13,7.65,1,TRUE,24712,61223,1.35,-0.632208146872343,-1.72706006631802,NA,-2.08678001945819,-0.315971697398986,NA,NA,NA,-0.97114500414062,-0.766704102222708,51456,6.76225675064112,0.147879626118188
"Bird Island","BI10","BI10.01","ACE_ITRAX_35",3.4,3.4,3.4,-11.5,7.67,1,TRUE,23758,58939,1.19,-0.815030620603642,-1.53435121848092,NA,-0.526916866556948,-0.325014231182467,NA,NA,NA,-1.03809575492031,-1.04910524951376,49976,7.05544809800129,0.141734442109111
"Bird Island","BI10","BI10.01","ACE_ITRAX_36",3.5,3.5,3.5,-9.9,7.68,1,TRUE,23605,61215,1.35,-0.384766784706326,-1.23072458846598,-0.488381890371819,-0.922435421904151,0.045336221200001,NA,-0.0440117838700568,NA,-0.724569667121594,-1.01270229702683,49184,7.01695191524042,0.142512021185161
"Bird Island","BI10","BI10.01","ACE_ITRAX_37",3.6,3.6,3.6,-8.3,7.69,1,TRUE,24367,64087,1.31,-0.451192845906014,-1.23572974217336,-0.68954615509707,0.0374074524738862,0.137707698441703,NA,-1.45746833931505,NA,-0.281514060199204,-0.705148824259622,50150,6.69998464609243,0.149254073378097
"Bird Island","BI10","BI10.01","ACE_ITRAX_38",3.7,3.7,3.7,-6.7,7.69,1,TRUE,24164,60214,1.58,-0.5231345879984,-2.5108849829022,NA,-0.234267664136766,-0.260098218626177,NA,0.0702007068709884,NA,-0.44086645098192,-0.863236620613375,50759,6.8610809973672,0.145749627556318
"Bird Island","BI10","BI10.01","ACE_ITRAX_39",3.8,3.8,3.8,-5.1,7.69,1,TRUE,23726,58135,1.31,NA,-2.83075950275646,-1.88031823873705,-0.378464792229681,-0.444396578922501,NA,NA,NA,0.00951705635717135,-1.21458234363807,50115,7.23311976343026,0.138252929953666
"Bird Island","BI10","BI10.01","ACE_ITRAX_40",3.9,3.9,3.9,-3.5,7.68,1,TRUE,23359,57116,1.28,-0.961108429831341,-2.18281071047112,-0.823815512680611,-0.827196073317162,-0.603759319165387,NA,-1.23889482235449,NA,-0.666757673870872,-0.712777515577029,49938,6.70767093687297,0.149083043788398
"Bird Island","BI10","BI10.01","ACE_ITRAX_41",4,4,4,-1.9,7.65,1,TRUE,24215,60269,1.22,NA,-2.50303279432386,-1.82562102114646,-0.488421636770332,-0.500054136355798,NA,-2.50932863891757,NA,0.0769706243119466,-0.847397663320262,51799,6.84476752991065,0.14609699973449
