depth	min	max	median	wmean
15	-57.4	-54.4	-56	-55.9
16.4	-56.4	-53.8	-55.2	-55.2
17.8	-55.8	-52.9	-54.4	-54.4
19.2	-55	-51.6	-53.4	-53.4
20.7	-51.9	-49.4	-50.8	-50.7
22.2	-49.5	-46.7	-48.2	-48.1
23.7	-47.5	-43.6	-45.5	-45.5
25	-44	-40.7	-42.3	-42.3
26.4	-40.1	-37.1	-38.7	-38.6
27.8	-36.8	-33	-34.9	-34.9
29.3	-32.2	-27.6	-29.9	-29.9
30.6	-23.9	-20.1	-22	-22
32.1	-15.8	-10.7	-12.8	-12.9
33.5	-8.9	-1.5	-4.2	-4.4
34.6	-1.4	66.9	18.2	22.9
36.1	2.1	234.8	67.3	83.3
37.6	5.9	403	116.2	144.2
39.2	16.3	566.8	170.4	208.6
40.8	50.2	621.6	242.8	271.9
42.3	73.6	693	306.3	331.6
43.8	91.4	806	363.8	390.9
45.2	137.3	845.2	425.2	448.5
46.7	171.1	894.2	494	510.9
48.3	199.2	985.9	568.3	577.4
49.9	263.4	1048.4	636.5	643.8
51.4	326.8	1082.1	705.5	707.4
52.9	369.5	1132.7	776.9	770.9
54.3	412.4	1193.6	838.4	829.8
55.9	497.4	1222.7	905	896.9
57.5	558.4	1263.4	981.5	963.7
59	598.9	1320.6	1043.6	1026.4
60.4	721	1337.1	1099.8	1083.8
61.9	825.8	1358.9	1162.4	1146.6
63.3	891.5	1395.4	1224.5	1204.2
64.7	985.3	1429.1	1274.8	1257.1
66.2	1130	1452.9	1314.7	1310.3
67.5	1210.1	1485.4	1351.7	1356
68.9	1254	1542	1400.4	1405.7
70.3	1294.6	1592.9	1439.7	1445.7
71.6	1323.3	1671.1	1471.7	1482.1
72.8	1340.9	1761.1	1499.3	1515.6
74.1	1352.4	1856.8	1527.9	1551
75.3	1381.7	1891.4	1567.6	1588.3
76.7	1402.5	1942	1613.5	1632.6
78	1418.4	2004.8	1652.1	1673.5
79.3	1437.5	2073.2	1689.2	1714
80.8	1472.2	2111.6	1740.9	1759.9
82.1	1494.2	2158.5	1784.3	1799.6
83.6	1513.6	2222.8	1830.4	1845.5
85	1558.9	2265.6	1877	1890.2
86.4	1593.7	2308.8	1924.6	1935.1
87.7	1623.4	2360	1967.3	1976.9
89.1	1648.2	2426.2	2012.2	2021.9
90.4	1690.1	2453	2053.5	2061.6
91.7	1725.1	2486.6	2093.9	2101.3
93.2	1754.8	2535.6	2141.5	2146.9
94.6	1795.6	2574.6	2183	2190.1
96	1846.2	2602.3	2230	2234.8
97.4	1882.2	2645.5	2279.5	2279.7
98.6	1907.6	2688.7	2319.7	2318.1
99.3	1928.7	2710.5	2342.1	2339.5
100.9	1980.5	2736.5	2395.6	2387.7
102.4	2020.3	2767	2444.1	2432.8
103.9	2051.4	2809.7	2491.3	2478.2
105.3	2120	2831.6	2536	2522.1
106.8	2177.3	2856.1	2588.2	2568.9
108.3	2219.5	2893.8	2636.1	2616.1
109.7	2280.4	2925.8	2677.4	2660
111.1	2351.3	2946.4	2719.5	2704.6
112.5	2402.7	2971	2764.9	2749.1
114.1	2450	3016	2818.5	2800
115.6	2522.1	3031.2	2854.4	2842.1
117.1	2555	3055.4	2895.1	2885.2
118.6	2586.4	3097.9	2937.2	2928.6
120.1	2616.1	3127.5	2964.1	2956.1
121.8	2648.6	3158.1	2986.9	2980.7
123.1	2671.4	3192.3	3003.8	2999.5
124.5	2699	3223.2	3022.6	3019.3
125.9	2721.1	3240.3	3041.7	3038.5
127.4	2754.8	3266.9	3061	3058.8
129	2794.6	3303.2	3080.2	3080.4
130.4	2820.2	3321.3	3099.6	3099.4
131.8	2841.3	3341.9	3119.4	3118.7
133.2	2862.6	3369.3	3138.4	3137.6
134.5	2881.5	3391.7	3155.8	3155.6
136	2902.7	3413.6	3177.2	3176.5
137.4	2926.3	3435.4	3196.3	3195.7
138.8	2942.1	3457.8	3215.3	3215.3
140.2	2963.1	3477.4	3234.6	3235
141.3	2980.7	3493.9	3249	3250.2
141.9	2987.6	3502.9	3257.2	3258.9
143.2	3000.3	3528.3	3275.6	3277.4
144.4	3015.5	3546.9	3292.3	3294.4
145.6	3034.2	3562.2	3309.2	3311.6
146.8	3052.6	3578.3	3327.4	3328.8
148	3067.6	3597.6	3344.4	3345.9
149.2	3081.2	3621.4	3361	3363.4
150.3	3097.9	3634.2	3376.2	3378.4
151.3	3111.4	3646.9	3390	3392
152.5	3124	3666.1	3406.4	3408.9
153.5	3133.7	3684.5	3420.2	3422.6
154.6	3150.5	3698.9	3435.9	3437.3
155.7	3168.6	3709.3	3450.8	3452.7
