\\Mac\Home\Documents\Steve\23-10_Manchester2_Mo\Marion\MI1F_xrf\XRF data     26/02/2025  re-evaluated data
peakarea
filename	position (mm)	sample surface	validity	E-gain	E-offset	F-slope	F-offset	cps	MSE	Mg	Al	Si	P	S	Cl	Ar	K	Ca	Ti	V	Cr	Mn	Fe	Co	Ni	Cu	Zn	As	Se	Br	Rb	Sr	Y	Zr	Sn	I	Cs	Ba	Ta	W	Ir	Pt	Au	Hg	Pb	Th	U	Fe a*2	Fe a+b	Fe X1	Fe X2	Fe X3	W La	W Lb1	W lb2	W La in	W Lb1 in	W Lb2 in	Mo inc	Mo coh	Dt	
\\Mac\Home\Documents\Steve\23-10_Manchester2_Mo\Marion\MI1F_xrf\XRF data\L000000.spe	1120.00	4.58	0	0.017526	-0.012928	0.010011	0.091030	23444	1.33	32	41	0	11	0	0	198	0	35	0	5	5	4	97	0	120	0	9	111	0	155	7	86	219	0	0	0	0	0	88	176	21	94	0	0	0	0	7	0	0	17	11	13	0	0	65	0	0	0	36565	5523	0.289	
\\Mac\Home\Documents\Steve\23-10_Manchester2_Mo\Marion\MI1F_xrf\XRF data\L000001.spe	1121.00	4.58	1	0.017526	-0.012928	0.010011	0.091030	40400	1.15	0	22	20	18	0	0	147	0	51	31	0	34	0	557	59	157	48	16	121	0	301	0	0	98	0	14	0	0	0	0	67	9	132	0	0	0	0	0	0	51	0	20	0	93	142	202	140	93	57	54161	7769	0.320	
\\Mac\Home\Documents\Steve\23-10_Manchester2_Mo\Marion\MI1F_xrf\XRF data\L000002.spe	1122.00	4.58	1	0.017526	-0.012928	0.010011	0.091030	54420	1.19	13	40	0	22	0	0	137	9	83	77	6	0	9	1276	40	159	56	38	59	0	755	0	0	0	198	11	0	0	0	148	278	0	0	0	0	0	33	0	0	241	0	0	0	0	208	453	82	142	325	63317	9273	0.351	
\\Mac\Home\Documents\Steve\23-10_Manchester2_Mo\Marion\MI1F_xrf\XRF data\L000003.spe	1123.00	4.60	1	0.017526	-0.012928	0.010011	0.091030	60940	1.12	15	7	0	0	14	0	113	0	117	107	0	0	0	1675	0	151	80	35	0	0	560	110	0	0	91	5	0	11	8	0	227	0	0	0	21	139	0	44	24	0	26	0	90	0	233	16	330	356	285	68229	9983	0.365	
\\Mac\Home\Documents\Steve\23-10_Manchester2_Mo\Marion\MI1F_xrf\XRF data\L000004.spe	1124.00	4.68	1	0.017526	-0.012928	0.010011	0.091030	60900	1.83	0	7	0	7	0	0	138	18	145	100	17	34	0	1737	90	198	105	109	0	0	536	430	178	0	170	0	6	12	15	0	1041	59	175	0	116	193	0	269	157	0	0	23	0	0	0	0	128	102	64	67343	9474	0.366	
\\Mac\Home\Documents\Steve\23-10_Manchester2_Mo\Marion\MI1F_xrf\XRF data\L000005.spe	1125.00	4.68	1	0.017526	-0.012928	0.010011	0.091030	63195	1.14	0	37	0	13	0	0	111	17	75	74	15	0	0	1694	57	187	80	19	97	0	665	0	0	38	94	14	0	20	4	82	0	26	10	0	0	0	0	39	80	254	0	0	0	449	714	467	109	98	212	69851	9731	0.372	
\\Mac\Home\Documents\Steve\23-10_Manchester2_Mo\Marion\MI1F_xrf\XRF data\L000006.spe	1126.00	4.72	1	0.017526	-0.012928	0.010011	0.091030	63514	1.10	17	50	27	11	21	0	113	0	99	94	0	17	0	2208	51	217	101	36	48	0	709	5	10	0	0	14	0	16	17	0	100	8	50	0	0	0	0	0	214	221	0	13	0	117	249	549	258	237	155	69907	10012	0.375	
\\Mac\Home\Documents\Steve\23-10_Manchester2_Mo\Marion\MI1F_xrf\XRF data\L000007.spe	1127.00	4.77	1	0.017526	-0.012928	0.010011	0.091030	63205	3.00	0	27	0	29	0	0	154	0	104	117	0	0	0	2097	0	169	80	0	17	0	441	0	0	35	0	0	10	0	0	195	1685	42	0	0	0	0	74	8	0	128	0	9	85	0	0	62	0	30	72	70575	9906	0.373	
\\Mac\Home\Documents\Steve\23-10_Manchester2_Mo\Marion\MI1F_xrf\XRF data\L000008.spe	1128.00	4.78	1	0.017526	-0.012928	0.010011	0.091030	64823	1.66	16	41	7	0	0	0	101	0	103	106	7	0	0	2711	0	169	120	0	0	0	575	0	29	138	20	0	0	19	0	16	1046	78	0	0	0	64	17	0	0	100	0	4	79	0	0	0	216	138	104	70977	10155	0.377	
\\Mac\Home\Documents\Steve\23-10_Manchester2_Mo\Marion\MI1F_xrf\XRF data\L000009.spe	1129.00	4.80	1	0.017526	-0.012928	0.010011	0.091030	66062	1.15	17	27	18	18	0	19	160	17	114	83	0	9	14	2812	0	191	121	81	94	0	836	0	15	0	204	0	9	6	20	108	0	18	0	19	0	37	0	28	21	0	0	0	194	215	479	670	96	205	286	70455	10142	0.380	
