"Location","Site","Section","sample","min_depth","max_depth","midpoint","SH20_age","Mn","Mn_sd","Mn_ICP","Mn_ICP_sd","fit","lwr","upr"
"Bird Island","BI10","BI10.1",1,0,1.1,0.6,-55.4909090909091,16.3636363636364,11.5695525174721,34.34524027,0.178633186,72.3395678709409,-167.864475113335,312.543610855217
"Bird Island","BI10","BI10.1",4,3.9,5,4.5,5.21666666666667,35.6666666666667,18.9560896108172,28.06949723,0.234649235,110.432233180373,-129.609242437535,350.473708798282
"Bird Island","BI10","BI10.1",10,11.7,12.8,12.3,132.083333333333,12.9166666666667,12.287897470374,37.1899001,0.366072293,65.5373062085423,-174.701809918196,305.77642233528
"Bird Island","BI10","BI10.1",22,26.7,27.8,27.2,382.866666666667,28.5,8.63923397277581,59.55046887,0.237697509,96.2895089328368,-143.805616662095,336.384634527768
"Bird Island","BI10","BI10.1",30,36.3,37.2,36.7,541.72,44.1,17.5337769272149,148.1529747,0.305567488,127.074601713521,-112.913894913755,367.063098340797
"Bird Island","BI10","BI10.1",34,40.9,41.9,41.4,618.7,36.4545454545455,17.2705740284661,149.1109339,0.185893427,111.987035846065,-128.049025251908,352.023096944037
"Bird Island","BI10","BI10.2",45,44,45,44.5,670.06,32,16.0069429380573,498.7089785,6.046753704,103.196420774657,-136.871513590834,343.264355140148
"Bird Island","BI10","BI10.2",51,51.9,52.9,52.4,800.245454545455,34.8181818181818,16.9871609271131,55.70453095,0.688199618,108.757830309629,-131.289583480499,348.805244099757
"Bird Island","BI10","BI10.2",54,55.3,56.3,55.8,856.145454545455,33,15.5434873821804,235.7531016,13.60034647,105.169824158034,-134.890688426176,345.230336742245
"Bird Island","BI10","BI10.2",62,64.4,65.4,64.9,1005.71818181818,53,34.3016034610629,36.54824658,0.120334052,144.637891825578,-95.3066074462517,384.582391097408
"Bird Island","BI10","BI10.2",67,70.1,71.2,70.6,1100.56666666667,41.3333333333333,19.2227768939649,88.46094721,0.148073757,121.614852352844,-118.389814350422,361.61951905611
"Bird Island","BI10","BI10.2",71,74.7,75.8,75.2,1174.81666666667,39.0833333333333,11.9503391609028,46.49996193,0.203261185,117.174694740245,-122.843993841079,357.19338332157
"Bird Island","BI10","BI10.2",81,86.5,87.5,87,1349.67272727273,42.9090909090909,13.9603334161799,125.5077224,1.234445563,124.724457684226,-115.270854431153,364.719769799606
"Bird Island","BI10","BI10.3",88,84.8,85.8,85.3,1324,21.4545454545455,15.154957184787,57.22472424,0.585720892,82.3859850954067,-157.769605385587,322.541575576401
"Bird Island","BI10","BI10.3",95,93,94,93.5,1444.54545454545,52.3636363636364,22.8397579990364,60.2997145,0.569052976,143.38208967252,-96.5651492254422,383.329328570482
"Bird Island","BI10","BI10.3",98,96.3,97.3,96.8,1492.28181818182,54.6363636363636,16.4211615135637,54.01867077,0.421691157,147.867097362013,-92.0706445215173,387.804839245544
"Bird Island","BI10","BI10.3",104,103.2,104.2,103.7,1595.6,50.5454545454545,9.5954534688428,47.40786167,0.811856875,139.794083520925,-100.161327692457,379.749494734307
"Bird Island","BI10","BI10.3",114,114.9,115.9,115.4,1769.91818181818,33.0909090909091,13.064873098921,38.81328375,0.081961578,105.349224465614,-134.710621062812,345.40906999404
"Bird Island","BI10","BI10.3",120,121.8,122.7,122.3,1872.71,26.1,19.3186726022031,32.12024806,0.26750503,91.5533408127316,-148.561522289439,331.668203914902
"Bird Island","BI10","BI10.4",135,129.4,130.4,129.9,1986.59090909091,45.4545454545455,20.6512161209147,37.52718028,0.316767608,129.747666296459,-110.233344632173,369.728677225092
"Bird Island","BI10","BI10.4",145,141,142,141.5,2162.97272727273,30,17.5271218401653,51.81193098,0.049962394,99.2496140079026,-140.833626797559,339.332854813364
"Bird Island","BI10","BI10.4",155,152.7,153.8,153.2,2335.40833333333,37.0833333333333,18.5592825749534,82.80022216,1.100044802,113.227887973491,-126.803920670856,353.259696617839
"Bird Island","BI10","BI10.4",165,164.8,165.8,165.3,2517.27272727273,45.7272727272727,17.7374795790772,42.83579617,0.699855742,130.285867219198,-109.693670796872,370.265405235269
"Bird Island","BI10","BI10.4",168,168.4,170,169.2,2576.01176470588,52.5882352941176,14.9166803592883,219.4284939,1.571294805,143.825313961834,-96.1209508635168,383.771578787186
"Bird Island","BI10","BI10.5",181,174.6,175.6,175.1,2667,34.1818181818182,14.7161012623465,41.17278862,0.168930879,107.502028156571,-132.549912179932,347.553968493074
"Bird Island","BI10","BI10.5",191,186.6,187.6,187.1,2847.45454545455,35.8181818181818,22.2702410486199,122.3868181,1.392426748,110.731233693006,-129.309193229829,350.771660615842
"Bird Island","BI10","BI10.5",194,190.3,191.3,190.8,2903.10909090909,27.6363636363636,14.6987940136103,243.6402038,1.438405031,94.5852060108292,-145.516919776812,334.687331798471
"Bird Island","BI10","BI10.5",197,194,195,194.5,2954.41818181818,26.4545454545455,19.4595150831856,67.78989286,0.637151851,92.2530020122927,-147.858889400493,332.364893425078
"Bird Island","BI10","BI10.5",202,199.9,200.8,200.3,3041.91111111111,46,13.9731886124821,42.2400533,0.50833131,130.824068141938,-109.154008450921,370.802144734797
"Bird Island","BI10","BI10.6",218,209.5,210.5,210,3183,41.7272727272727,18.6445214960905,160.5283798,4.267333565,122.39225368569,-117.610038422718,362.394545794097
"Bird Island","BI10","BI10.6",228,221.4,222.4,221.9,3362.6,37.6363636363636,14.8072463832593,73.63658302,0.458479319,114.319239844601,-125.708879135525,354.347358824727
"Bird Island","BI10","BI10.6",239,234.2,235.2,234.7,3550.09090909091,36,10.3633971264253,51.31483509,0.280653345,111.090034308166,-128.949138857871,351.129207474203
"Bird Island","BI10","BI10.6",247,243.9,245,244.5,3699.925,24.1666666666667,18.0898431237649,64.81180749,1.00218427,87.7380942715357,-152.393314454923,327.869502997994
"Bird Island","BI10","BI10.7",259,250.7,251.7,251.2,3790.45,30.5,9.76672354932241,41.07148346,0.20369105,100.236315699591,-139.843040640778,340.31567203996
"Bird Island","BI10","BI10.7",271,265,266,265.5,3978.94545454545,38.2727272727273,20.5965575234839,56.87091915,0.770254564,115.575041997659,-124.448889763477,355.598973758796
"Bird Island","BI10","BI10.7",280,275.9,276.9,276.4,4128.55454545455,24,13.4833230325465,39.2756349,0.284820113,87.4091937076394,-152.723668348086,327.542055763364
"Bird Island","BI10","BI10.8",300,289.7,290.8,290.3,4314.73333333333,42.4166666666667,18.7687280207038,55.60667563,0.815337755,123.75270601817,-116.245488214935,363.750900251274
"Bird Island","BI10","BI10.8",303,293.4,294.4,293.9,4365.28181818182,37.4545454545455,21.2620019582524,54.76131918,0.753154456,113.960439229442,-126.068887581486,353.98976604037
"Bird Island","BI10","BI10.8",311,303.1,304,303.6,4492.98,68.3,12.552556180582,80.6250656,1.855020668,174.830963591249,-65.0665113882544,414.728438570753
