"Location","Site","Section","sample","min_depth","max_depth","midpoint","SH20_age","Co","Co_sd","Co_ICP","Co_ICP_sd","fit","lwr","upr"
"Bird Island","BI10","BI10.1",1,0,1.1,0.6,-55.4909090909091,68.9090909090909,58.9108725880962,0.738789575,0.008034972,2.84405425922797,-9.12804452428699,14.8161530427429
"Bird Island","BI10","BI10.1",4,3.9,5,4.5,5.21666666666667,81.5833333333333,41.3047616302689,0.761205508,0.003005595,3.79061219246862,-8.17675107064437,15.7579754555816
"Bird Island","BI10","BI10.1",10,11.7,12.8,12.3,132.083333333333,33.0833333333333,34.6579607366654,1.745989306,0.00454165,0.168458045064769,-11.8253487414943,12.1622648316238
"Bird Island","BI10","BI10.1",22,26.7,27.8,27.2,382.866666666667,50.1666666666667,34.2234192365758,1.171208352,0.012269219,1.4443027189785,-10.5376212906363,13.4262267285933
"Bird Island","BI10","BI10.1",30,36.3,37.2,36.7,541.72,144.2,53.0236844354588,14.98993637,0.050641414,8.46704969480411,-3.49956355637415,20.4336629459824
"Bird Island","BI10","BI10.1",34,40.9,41.9,41.4,618.7,258.181818181818,60.4480242552528,4.788646274,0.037728077,16.9796211475032,4.91803556108961,29.0412067339167
"Bird Island","BI10","BI10.2",45,44,45,44.5,670.06,189.9,73.9541149031689,6.375776882,0.021747503,11.8800897883372,-0.109737304303106,23.8699168809775
"Bird Island","BI10","BI10.2",51,51.9,52.9,52.4,800.245454545455,61.5454545454545,35.16920140226,17.04437568,0.072771457,2.29411145521726,-9.6814462061978,14.2696691166323
"Bird Island","BI10","BI10.2",54,55.3,56.3,55.8,856.145454545455,34.9090909090909,34.7000130992902,5.701846016,0.226259322,0.30481217651187,-11.6875916616091,12.2972160146328
"Bird Island","BI10","BI10.2",62,64.4,65.4,64.9,1005.71818181818,73.2727272727273,18.1333444741499,1.54911114,0.010688746,3.16994629123432,-8.80034811728306,15.1402406997517
"Bird Island","BI10","BI10.2",67,70.1,71.2,70.6,1100.56666666667,64.75,34.1097826543541,4.068857773,0.02443965,2.53343841622192,-9.44055011775088,14.5074269501947
"Bird Island","BI10","BI10.2",71,74.7,75.8,75.2,1174.81666666667,94.75,37.8204490142088,2.041238975,0.011991471,4.77394613626554,-7.19013084834567,16.7380231208768
"Bird Island","BI10","BI10.2",81,86.5,87.5,87,1349.67272727273,73.1818181818182,50.7303029397976,2.439569014,0.01043611,3.16315687390085,-8.80717326281575,15.1334870106175
"Bird Island","BI10","BI10.3",88,84.8,85.8,85.3,1324,54.3636363636364,34.6562338613783,2.601276107,0.027240957,1.75774748587349,-10.2216840761013,13.7371790478483
"Bird Island","BI10","BI10.3",95,93,94,93.5,1444.54545454545,60.0909090909091,38.7232605689514,5.745017677,0.069473871,2.18548077788182,-9.79082157844306,14.1617831342067
"Bird Island","BI10","BI10.3",98,96.3,97.3,96.8,1492.28181818182,90.0909090909091,38.949851207558,3.633220643,0.018650539,4.42598849792544,-7.53906098474687,16.3910379805977
"Bird Island","BI10","BI10.3",104,103.2,104.2,103.7,1595.6,64.3636363636364,29.1454035047475,1.389287804,0.01419095,2.5045833925547,-9.46958910960391,14.4787558947133
"Bird Island","BI10","BI10.3",114,114.9,115.9,115.4,1769.91818181818,135.090909090909,51.3720829740328,1.543818014,0.018208205,7.78675007799086,-4.17763022385182,19.7511303798335
"Bird Island","BI10","BI10.3",120,121.8,122.7,122.3,1872.71,49.9,38.4402855810874,0.741821487,0.012050585,1.42438709480033,-10.5577009739018,13.4064751635025
"Bird Island","BI10","BI10.4",135,129.4,130.4,129.9,1986.59090909091,180.181818181818,65.1625938431217,1.001920559,0.002420104,11.1543010753897,-0.828915656381099,23.1375178071606
