"Location","Site","Section","sample","min_depth","max_depth","midpoint","SH20_age","Mn","Mn_sd","Mn_ICP","Mn_ICP_sd","fit","lwr","upr"
"Bird Island","BI10","BI10.1",1,0,1.1,0.6,-55.4909090909091,0.0319881973176655,0.0225898354199711,34.34524027,0.178633186,94.3907418365969,-129.58154407873,318.363027751924
"Bird Island","BI10","BI10.1",4,3.9,5,4.5,5.21666666666667,0.0598473471720287,0.0316044835226841,28.06949723,0.234649235,114.404702286109,-109.441113379208,338.250517951426
"Bird Island","BI10","BI10.1",10,11.7,12.8,12.3,132.083333333333,0.0245817785563953,0.0233704997327662,37.1899001,0.366072293,89.0699846370598,-134.942865876235,313.082835150355
"Bird Island","BI10","BI10.1",22,26.7,27.8,27.2,382.866666666667,0.0553453013330347,0.016270123645334,59.55046887,0.237697509,111.170441088817,-112.693015496489,335.033897674123
"Bird Island","BI10","BI10.1",30,36.3,37.2,36.7,541.72,0.0778176122520302,0.0303161488081067,148.1529747,0.305567488,127.31450665769,-96.4716430725411,351.100656387922
"Bird Island","BI10","BI10.1",34,40.9,41.9,41.4,618.7,0.0601002473174079,0.0283283763294072,149.1109339,0.185893427,114.586385271188,-109.258471423857,338.431241966232
"Bird Island","BI10","BI10.2",45,44,45,44.5,670.06,0.0531884661469314,0.0264947506907605,498.7089785,6.046753704,109.620974779312,-114.251315330715,333.493264889339
"Bird Island","BI10","BI10.2",51,51.9,52.9,52.4,800.245454545455,0.0616688768816489,0.0300421605291775,55.70453095,0.688199618,115.713285776866,-108.125698884537,339.55227043827
"Bird Island","BI10","BI10.2",54,55.3,56.3,55.8,856.145454545455,0.05909143906275,0.0280077291638715,235.7531016,13.60034647,113.861659333196,-109.987042948091,337.710361614482
"Bird Island","BI10","BI10.2",62,64.4,65.4,64.9,1005.71818181818,0.0995760877090462,0.0637837090304097,36.54824658,0.120334052,142.945754183723,-80.7911752553616,366.682683622808
"Bird Island","BI10","BI10.2",67,70.1,71.2,70.6,1100.56666666667,0.0740963280003564,0.0344139811764804,88.46094721,0.148073757,124.641143104828,-99.1559504506017,348.438236660257
"Bird Island","BI10","BI10.2",71,74.7,75.8,75.2,1174.81666666667,0.0738258637855305,0.0224319894609851,46.49996193,0.203261185,124.446842125551,-99.3510755820881,348.244759833189
"Bird Island","BI10","BI10.2",81,86.5,87.5,87,1349.67272727273,0.0814605148482103,0.0272293445344262,125.5077224,1.234445563,129.931560977815,-93.8445899322661,353.707711887897
"Bird Island","BI10","BI10.3",88,84.8,85.8,85.3,1324,0.0420947968275756,0.0297476291897089,57.22472424,0.585720892,101.651303767876,-122.27033136463,325.572938900382
"Bird Island","BI10","BI10.3",95,93,94,93.5,1444.54545454545,0.104571031887809,0.0477445629734331,60.2997145,0.569052976,146.534112614037,-77.1950785540203,370.263303782095
"Bird Island","BI10","BI10.3",98,96.3,97.3,96.8,1492.28181818182,0.11307827655017,0.035718320448848,54.01867077,0.421691157,152.645701054348,-71.0733721977364,376.364774306433
"Bird Island","BI10","BI10.3",104,103.2,104.2,103.7,1595.6,0.0911237689318273,0.0164793222475998,47.40786167,0.811856875,136.873624395189,-86.8794286331062,360.626677423484
