"Location","Site","Section","sample","min_depth","max_depth","midpoint","Rb","Rb_sd","Rb_ICP","Rb_ICP_sd","Rb_fit_OLS","Rb_lwr_OLS","Rb_upr_OLS","Rb_fit_WLS","Rb_lwr_WLS","Rb_upr_WLS"
"Bird Island","BI10","BI10.1",1,0,1.1,0.6,-0.839723577711161,-0.0419861788855581,-2.77198839105349,-0.138599419552675,-2.93381640744934,-4.37041250454272,-1.49722031035596,-2.93194923440631,-4.35834595509359,-1.50555251371903
"Bird Island","BI10","BI10.1",4,3.9,5,4.5,0.275733502545482,0.0137866751272741,-2.92921135759837,-0.146460567879918,-2.3159654104375,-3.76134707007648,-0.870583750798523,-2.30437969325994,-3.69476750104434,-0.913991885475531
"Bird Island","BI10","BI10.1",10,11.7,12.8,12.3,-0.435822186039367,-0.0217911093019683,-2.37826768433896,-0.118913384216948,-2.7100956727336,-4.1484248714941,-1.2717664739731,-2.70470946379897,-4.11646681362293,-1.29295211397501
"Bird Island","BI10","BI10.1",22,26.7,27.8,27.2,-0.370384560593939,-0.0185192280296969,-1.85048611823537,-0.0925243059117683,-2.67384981187606,-4.11261505198649,-1.23508457176563,-2.66789347033641,-4.07744751425241,-1.25833942642042
"Bird Island","BI10","BI10.1",30,36.3,37.2,36.7,-1.29078024510822,-0.064539012255411,-1.76646475756258,-0.088323237878129,-3.18365642065361,-4.62027064581814,-1.74704219548907,-3.1857191290976,-4.63052951605192,-1.74090874214328
"Bird Island","BI10","BI10.1",34,40.9,41.9,41.4,-2.95175148915629,-0.147587574457815,-2.28394595510923,-0.114197297755461,-4.10366738056161,-5.55802034833969,-2.64931441278354,-4.12020148609222,-5.65024010606895,-2.59016286611549
"Bird Island","BI10","BI10.2",45,44,45,44.5,-1.28783272785235,-0.0643916363926175,-0.8774587514868,-0.04387293757434,-3.18202379264175,-4.61863120438645,-1.74541638089706,-3.18406082051314,-4.62874397232318,-1.7393776687031
"Bird Island","BI10","BI10.2",51,51.9,52.9,52.4,-0.909532992853513,-0.0454766496426756,-3.19879095169139,-0.159939547584569,-2.97248379995591,-4.4089477901355,-1.53601980977632,-2.97122484922289,-4.40033072964387,-1.5421189688019
"Bird Island","BI10","BI10.2",54,55.3,56.3,55.8,-0.903410489278668,-0.0451705244639334,-1.31385196862518,-0.0656925984312589,-2.96909254895676,-4.40556614916835,-1.53261894874518,-2.96778025522896,-4.39664645021912,-1.5389140602388
"Bird Island","BI10","BI10.2",62,64.4,65.4,64.9,-0.373035286857576,-0.0186517643428788,-2.9686961989637,-0.148434809948185,-2.67531804753818,-4.11406478483688,-1.23657131023947,-2.66938480074654,-4.07902717198682,-1.25974242950626
"Bird Island","BI10","BI10.2",67,70.1,71.2,70.6,-1.20419256755336,-0.0602096283776682,-1.82641050004624,-0.0913205250023122,-3.13569555882116,-4.57214633031181,-1.69924478733051,-3.13700386247387,-4.57811400359983,-1.69589372134791
"Bird Island","BI10","BI10.2",71,74.7,75.8,75.2,-1.16733665744633,-0.0583668328723167,-2.57554472711918,-0.128777236355959,-3.1152810926723,-4.55168534949987,-1.67887683584473,-3.11626828510044,-4.55582704831021,-1.67670952189067
"Bird Island","BI10","BI10.2",81,86.5,87.5,87,-0.879365445856536,-0.0439682722928268,-1.38478940475059,-0.0692394702375293,-2.95577401405792,-4.3922890324161,-1.51925899569974,-2.95425222520938,-4.38218097040694,-1.52632348001181
"Bird Island","BI10","BI10.3",88,84.8,85.8,85.3,-0.651304420037677,-0.0325652210018838,-2.08879233356822,-0.104439616678411,-2.82945115083372,-4.26665029575978,-1.39225200590766,-2.82594235487928,-4.24528868712086,-1.40659602263771
"Bird Island","BI10","BI10.3",95,93,94,93.5,-0.234739598956851,-0.0117369799478426,-2.47601023557822,-0.123800511778911,-2.59871615028522,-4.03852279161584,-1.1589095089546,-2.59157798689906,-3.99671666125241,-1.18643931254571
"Bird Island","BI10","BI10.3",98,96.3,97.3,96.8,0.127892344258752,0.00639461721293759,-2.33622473123766,-0.116811236561883,-2.3978545379204,-3.84135337009389,-0.954355705746919,-2.38755690331199,-3.78191034838276,-0.993203458241212
"Bird Island","BI10","BI10.3",104,103.2,104.2,103.7,-0.793320352446538,-0.0396660176223269,-2.44978119481115,-0.122489059740557,-2.90811368925267,-4.34482492554008,-1.47140245296527,-2.90584222293767,-4.33046703318438,-1.48121741269097
"Bird Island","BI10","BI10.3",114,114.9,115.9,115.4,-1.0775893211792,-0.0538794660589601,-2.63776827740641,-0.131888413870321,-3.06557009780458,-4.50191868635545,-1.6292215092537,-3.06577535656274,-4.50161575257374,-1.62993496055174
"Bird Island","BI10","BI10.3",120,121.8,122.7,122.3,-0.667015641740448,-0.0333507820870224,-3.18034618618153,-0.159017309309077,-2.83815358696071,-4.27528870781752,-1.4010184661039,-2.83478167677645,-4.254701208953,-1.41486214459989
"Bird Island","BI10","BI10.4",135,129.4,130.4,129.9,-2.19486920826397,-0.109743460413198,-2.56346956839811,-0.128173478419905,-3.68443074640773,-5.1272779606793,-2.24158353213615,-3.69437043070807,-5.18232286817473,-2.20641799324141
"Bird Island","BI10","BI10.4",145,141,142,141.5,-1.68201744144488,-0.0841008720722439,-2.51902115262141,-0.125951057631071,-3.40036246529058,-4.83866178756944,-1.96206314301172,-3.40583387141283,-4.86831929505091,-1.94334844777476
"Bird Island","BI10","BI10.4",155,152.7,153.8,153.2,-1.79295526689297,-0.0896477633446483,-2.02501836325217,-0.101250918162609,-3.46181085920248,-4.9008695753009,-2.02275214310405,-3.46824882349348,-4.93602580396132,-2.00047184302563
"Bird Island","BI10","BI10.4",165,164.8,165.8,165.3,-2.15410916697438,-0.107705458348719,-3.45533706865026,-0.172766853432513,-3.66185378437596,-5.10424292642736,-2.21946464232456,-3.67143834227368,-5.15727406472779,-2.18560261981956
"Bird Island","BI10","BI10.4",168,168.4,170,169.2,-1.12725291599286,-0.056362645799643,-1.8531102017329,-0.0926555100866448,-3.09307873270764,-4.52944803455323,-1.65670943086205,-3.09371669107085,-4.53160429915792,-1.65582908298377
"Bird Island","BI10","BI10.5",181,174.6,175.6,175.1,-1.68781052309889,-0.0843905261549445,-3.58810117966018,-0.179405058983009,-3.40357124968852,-4.8419071530278,-1.96523534634923,-3.40909312868035,-4.87185185362923,-1.94633440373147
"Bird Island","BI10","BI10.5",191,186.6,187.6,187.1,-2.00870306559046,-0.100435153279523,-1.98971295858181,-0.0994856479290906,-3.58131343342764,-5.02220408704589,-2.14042277980939,-3.58963112446087,-5.06804465456041,-2.11121759436134
"Bird Island","BI10","BI10.5",194,190.3,191.3,190.8,-2.06916363708632,-0.103458181854316,-1.37972746288172,-0.0689863731440859,-3.61480250713546,-5.05629048433581,-2.17331452993511,-3.62364696763646,-5.10512211747495,-2.14217181779796
"Bird Island","BI10","BI10.5",197,194,195,194.5,-1.26537740271361,-0.0632688701356803,-2.49852551485568,-0.124926275742784,-3.16958580173133,-4.60614419666731,-1.73302740679535,-3.1714271850797,-4.61514395671708,-1.72771041344232
"Bird Island","BI10","BI10.5",202,199.9,200.8,200.3,-0.98068483925721,-0.0490342419628605,-3.80357548260856,-0.190178774130428,-3.01189476432008,-4.44827494235072,-1.57551458628944,-3.01125573197905,-4.44317635217261,-1.57933511178549
"Bird Island","BI10","BI10.6",218,209.5,210.5,210,-1.31239353937518,-0.0656196769687588,-2.3546936862884,-0.11773468431442,-3.19562801117727,-4.63229488683358,-1.75896113552096,-3.19787902785646,-4.6436251314225,-1.75213292429043
"Bird Island","BI10","BI10.6",228,221.4,222.4,221.9,-1.51556218976259,-0.0757781094881293,-3.33432295630276,-0.166716147815138,-3.30816300281902,-4.74555608703507,-1.87076991860296,-3.31218414900879,-4.76696008375761,-1.85740821425996
"Bird Island","BI10","BI10.6",239,234.2,235.2,234.7,-1.2245786274711,-0.061228931373555,-3.26107321584368,-0.163053660792184,-3.14698738498665,-4.58346979997598,-1.71050496999732,-3.14847330445851,-4.59044762882288,-1.70649898009414
"Bird Island","BI10","BI10.6",247,243.9,245,244.5,-0.896618923703189,-0.0448309461851595,-3.92871160445238,-0.196435580222619,-2.96533070492318,-4.40181540987741,-1.52884599996895,-2.96395923892335,-4.39256002382123,-1.53535845402547
"Bird Island","BI10","BI10.7",259,250.7,251.7,251.2,-0.623676380057762,-0.0311838190028881,-2.77561219298976,-0.138780609649488,-2.81414799632495,-4.25146578641315,-1.37683020623675,-2.81039848799291,-4.22874337327499,-1.39205360271084
"Bird Island","BI10","BI10.7",271,265,266,265.5,-2.38808345928098,-0.119404172964049,-4.11019770852193,-0.205509885426096,-3.79145200230427,-5.23669643079628,-2.34620757381225,-3.80307508730121,-5.30127380676077,-2.30487636784165
"Bird Island","BI10","BI10.7",280,275.9,276.9,276.4,-1.66252914803107,-0.0831264574015537,-3.99246467502808,-0.199623233751404,-3.38956791144453,-4.82774666053608,-1.95138916235299,-3.39486952363836,-4.85643799700249,-1.93330105027423
"Bird Island","BI10","BI10.8",300,289.7,290.8,290.3,-1.82419213496153,-0.0912096067480767,-3.77460014570102,-0.188730007285051,-3.47911294139039,-4.918407877767,-2.03981800501377,-3.48582306037593,-4.95511190668522,-2.01653421406663
"Bird Island","BI10","BI10.8",303,293.4,294.4,293.9,-1.87264072751345,-0.0936320363756727,-3.68804297474531,-0.184402148737266,-3.50594858728107,-4.94562935359622,-2.06626782096593,-3.51308082002904,-4.98473351402004,-2.04142812603804
"Bird Island","BI10","BI10.8",311,303.1,304,303.6,-1.60064585171877,-0.0800322925859387,-2.98432564755135,-0.149216282377567,-3.35529079132787,-4.7931121072877,-1.91746947536805,-3.3600532384054,-4.8187351573202,-1.90137131949061
"Bird Island","BI10","BI10.8",318,311.7,312.8,312.2,-1.92453567886851,-0.0962267839434256,-3.80516655208257,-0.190258327604129,-3.53469316921266,-4.97481342751902,-2.0945729109063,-3.54227754250823,-5.01648766162481,-2.06806742339166
"Bird Island","BI10","BI10.8",326,321.7,322.8,322.2,-0.886250844850686,-0.0443125422425343,-2.5552210113299,-0.127761050566495,-2.95958783236493,-4.39609039165284,-1.52308527307701,-2.95812603332252,-4.38632259010537,-1.52992947653968
"Bird Island","BI10","BI10.9",342,332.1,333.1,332.6,-1.80152214249162,-0.0900761071245808,-3.99438339535503,-0.199719169767752,-3.46655604637605,-4.90567856828456,-2.02743352446754,-3.47306865052552,-4.94125931346469,-2.00487798758635
"Bird Island","BI10","BI10.9",348,339.5,340.5,340,-1.01907319876221,-0.0509536599381107,-3.82433674638688,-0.191216837319344,-3.03315805325663,-4.46951432903399,-1.59680177747927,-3.03285348377634,-4.46631504550048,-1.5993919220522
"Bird Island","BI10","BI10.9",361,355.7,356.7,356.2,-1.40057246188313,-0.0700286230941567,-2.49487317102256,-0.124743658551128,-3.24447026261955,-4.68140098728734,-1.80753953795176,-3.24748954798904,-4.69710299746095,-1.79787609851713
"Bird Island","BI10","BI10.9",365,360.7,361.7,361.2,-2.17668775656678,-0.108834387828339,-3.72281679099047,-0.186140839549524,-3.67436005139215,-5.11700088351326,-2.23171921927104,-3.68414132776817,-5.17114763835056,-2.19713501718579
"Bird Island","BI10","BI10.9",372,369.1,371,370.1,-1.97567142864191,-0.0987835714320957,-3.19576178248908,-0.159788089124454,-3.56301722985081,-5.00359705147397,-2.12243740822764,-3.5710471290656,-5.047802854844,-2.0942914032872
"Bird Island","BI10","BI10.10",379,367.3,368.4,367.9,-0.678060336217256,-0.0339030168108628,-3.14830952255078,-0.157415476127539,-2.84427123650095,-4.28136284532366,-1.40717962767823,-2.84099555444829,-4.2613196422923,-1.42067146660429
"Bird Island","BI10","BI10.10",386,375.7,376.6,376.1,-0.405038866613732,-0.0202519433306866,-3.22891941786982,-0.161445970893491,-2.69304481086262,-4.13157374959004,-1.25451587213521,-2.68739039882656,-4.09810534963251,-1.2766754480206
"Bird Island","BI10","BI10.10",390,380.5,381.5,381,-1.62596999324138,-0.0812984996620688,-2.52668218138099,-0.126334109069049,-3.36931781788511,-4.80728072641601,-1.9313549093542,-3.37430090436815,-4.83415944114107,-1.91444236759522
"Bird Island","BI10","BI10.10",392,382.9,384,383.4,-1.56891224959462,-0.0784456124797311,-3.09479925274576,-0.154739962637288,-3.33771356844928,-4.77536660675896,-1.90006053013959,-3.34219953298144,-4.79941611776988,-1.88498294819301
"Bird Island","BI10","BI10.10",396,387.7,388.8,388.2,-1.50581255023945,-0.0752906275119725,-2.07101424958192,-0.103550712479096,-3.30276268342843,-4.74011137310525,-1.86541399375161,-3.30669888479721,-4.76103190040911,-1.85236586918532
"Bird Island","BI10","BI10.10",403,396.3,397.4,396.8,-1.45296006743331,-0.0726480033716657,-2.7972535031149,-0.139862675155745,-3.27348772540959,-4.71061249507171,-1.83636295574748,-3.27696344363128,-4.72891217320558,-1.82501471405698
