"Location","Site","Section","sample","min_depth","max_depth","midpoint","Sr","Sr_sd","Sr_ICP","Sr_ICP_sd","Sr_fit_OLS","Sr_lwr_OLS","Sr_upr_OLS","Sr_fit_WLS","Sr_lwr_WLS","Sr_upr_WLS"
"Bird Island","BI10","BI10.1",1,0,1.1,0.6,-0.746941844260196,-0.0373470922130098,-0.319521556420211,-0.0159760778210106,-0.329901831653661,-1.21359453065539,0.553790867348071,-0.409850445189877,-1.74271195409408,0.923011063714328
"Bird Island","BI10","BI10.1",10,11.7,12.8,12.3,-1.46136827783289,-0.0730684138916444,-0.0222443783921444,-0.00111221891960722,-0.470062309343644,-1.3711050164621,0.430980397774811,-0.581344239693264,-2.10955593205035,0.946867452663824
"Bird Island","BI10","BI10.1",22,26.7,27.8,27.2,0.834820667841827,0.0417410333920914,0.00804840663550585,0.00040242033177529,-0.0195821418016909,-0.885090680334098,0.845926396730716,-0.0301578100125072,-0.938833175277554,0.87851755525254
"Bird Island","BI10","BI10.1",30,36.3,37.2,36.7,0.715289550881678,0.0357644775440839,-0.517220185829997,-0.0258610092914999,-0.0430324757544408,-0.908907860236104,0.822842908727222,-0.0588505400759985,-0.998930683475492,0.881229603323495
"Bird Island","BI10","BI10.1",34,40.9,41.9,41.4,0.317449419599422,0.0158724709799711,-0.354170855534067,-0.0177085427767033,-0.121083147208345,-0.989378517975821,0.747212223559132,-0.154349685282777,-1.19992905687762,0.891229686312067
"Bird Island","BI10","BI10.2",45,44,45,44.5,0.755743633673368,0.0377871816836684,-0.694933144142148,-0.0347466572071074,-0.0350959503094924,-0.900828502859995,0.83063660224101,-0.0491397793383148,-0.978574285116629,0.88029472644
"Bird Island","BI10","BI10.2",51,51.9,52.9,52.4,1.34538199812241,0.0672690999061203,-0.154936790068664,-0.00774683950343319,0.0805828529120419,-0.785238807763222,0.946404513587306,0.0923993851610464,-0.684184858903725,0.868983629225818
"Bird Island","BI10","BI10.2",54,55.3,56.3,55.8,0.710518928941729,0.0355259464470864,-0.344767997242385,-0.0172383998621192,-0.0439684050797847,-0.909861892294088,0.821925082134518,-0.0599956993536748,-1.00133235660561,0.881340957898265
"Bird Island","BI10","BI10.2",62,64.4,65.4,64.9,1.06333795916205,0.0531668979581026,0.344449625450754,0.0172224812725377,0.0252497557971884,-0.840022180819522,0.890521692413899,0.024696399681504,-0.824403023836104,0.873795823199112
"Bird Island","BI10","BI10.2",67,70.1,71.2,70.6,1.07600216082398,0.0538001080411988,-0.115409782043269,-0.00577048910216343,0.0277342951018469,-0.837542386127506,0.8930109763312,0.0277363655832409,-0.818081182736472,0.873553913902954
"Bird Island","BI10","BI10.2",71,74.7,75.8,75.2,1.23035151169592,0.0615175755847958,0.115839186611447,0.00579195933057234,0.0580154797455401,-0.807469726411225,0.923500685902305,0.0647870045521731,-0.741219593049615,0.870793602153962
"Bird Island","BI10","BI10.2",81,86.5,87.5,87,1.12432592538283,0.0562162962691413,0.0454717545773718,0.00227358772886859,0.0372147420814974,-0.828097274519117,0.902526758682112,0.0393361963837935,-0.79397924083313,0.872651633600717
"Bird Island","BI10","BI10.3",88,84.8,85.8,85.3,1.40752272029365,0.0703761360146827,0.198157303612609,0.00990786518063047,0.0927739937968581,-0.77329368407247,0.958841671666186,0.107315894038013,-0.653471698423149,0.868103486499175
"Bird Island","BI10","BI10.3",95,93,94,93.5,1.57938591301782,0.0789692956508912,-0.0202243680759352,-0.00101121840379676,0.126491149346498,-0.740491288432882,0.99347358712588,0.14857062604498,-0.568928683063427,0.866069935153388
"Bird Island","BI10","BI10.3",98,96.3,97.3,96.8,1.47297314952906,0.073648657476453,0.114352066092137,0.00571760330460685,0.105614452933812,-0.76076103602003,0.971989941887653,0.123026878310145,-0.621202900905174,0.867256657525464
"Bird Island","BI10","BI10.3",104,103.2,104.2,103.7,1.42488695022108,0.0712443475110538,0.56028778323782,0.028014389161891,0.0961806129349217,-0.76996386183471,0.962325087704554,0.111484073627887,-0.644902440776844,0.867870588032618
"Bird Island","BI10","BI10.3",114,114.9,115.9,115.4,0.849061883926185,0.0424530941963093,0.111828561776536,0.0055914280888268,-0.0167882143159902,-0.882264171899106,0.848687743267126,-0.0267392912261348,-0.931683423376761,0.878204840924492
"Bird Island","BI10","BI10.3",120,121.8,122.7,122.3,0.419795052127571,0.0209897526063785,0.386017631949145,0.0193008815974572,-0.101004365026541,-0.968501477100522,0.76649274704744,-0.129782228021531,-1.14809398671529,0.88852953067223
"Bird Island","BI10","BI10.4",135,129.4,130.4,129.9,0.607802230142014,0.0303901115071007,0.110203674502797,0.00551018372513985,-0.0641199852760979,-0.930467628909199,0.802227658357003,-0.0846522288551582,-1.05309739457566,0.883792936865348
"Bird Island","BI10","BI10.4",145,141,142,141.5,1.15373017421307,0.0576865087106535,-0.286457725040992,-0.0143228862520496,0.0429834445937375,-0.822363434595446,0.908330323782921,0.0463945105354724,-0.779330169611108,0.872119190682053
"Bird Island","BI10","BI10.4",155,152.7,153.8,153.2,0.411861754507785,0.0205930877253893,-0.264678148521627,-0.0132339074260814,-0.102560767102099,-0.970115414455762,0.764993880251563,-0.131686568689525,-1.15210905930927,0.888735921930223
"Bird Island","BI10","BI10.4",165,164.8,165.8,165.3,0.767933934759437,0.0383966967379719,-0.457328249386817,-0.0228664124693409,-0.0327043836720937,-0.898397641542454,0.832988874198267,-0.0462135704368128,-0.972443502583526,0.8800163617099
"Bird Island","BI10","BI10.4",168,168.4,170,169.2,0.729045074372769,0.0364522537186384,-0.820632363424326,-0.0410316181712163,-0.0403338343649478,-0.906158508701978,0.825490839972082,-0.0555486088931462,-0.992007041707464,0.880909823921172
"Bird Island","BI10","BI10.5",181,174.6,175.6,175.1,0.693218190991508,0.0346609095495754,0.0273702452402232,0.00136851226201116,-0.0473625679796173,-0.913323932749507,0.818598796790272,-0.064148638073978,-1.01004398924479,0.881746713096831
"Bird Island","BI10","BI10.5",191,186.6,187.6,187.1,1.15263238152258,0.0576316190761288,-0.388948083438678,-0.0194474041719339,0.0427680730163812,-0.822577322945646,0.908113468978409,0.046130991962778,-0.779876854408677,0.872138838334233
"Bird Island","BI10","BI10.5",194,190.3,191.3,190.8,0.697646007055725,0.0348823003527862,-0.655489740745735,-0.0327744870372867,-0.0464938923742362,-0.912437552588478,0.819449767840006,-0.0630857672974611,-1.00781411578454,0.881642581189617
"Bird Island","BI10","BI10.5",197,194,195,194.5,0.644074983664934,0.0322037491832467,-0.259786017007985,-0.0129893008503993,-0.0570037781734583,-0.923176994041877,0.809169437694961,-0.0759451712122543,-1.03480576128015,0.882915418855641
"Bird Island","BI10","BI10.5",202,199.9,200.8,200.3,0.695002458718089,0.0347501229359045,-0.289101891506206,-0.0144550945753103,-0.0470125195979613,-0.912966722486832,0.81894168329091,-0.063720335272651,-1.00914539825481,0.881704727709508
"Bird Island","BI10","BI10.6",218,209.5,210.5,210,0.509385450614032,0.0254692725307016,-0.889844505552269,-0.0444922252776134,-0.0834279814295579,-0.950326076224603,0.783470113365488,-0.108276588440587,-1.10278763653128,0.886234459650103
"Bird Island","BI10","BI10.6",228,221.4,222.4,221.9,0.696149869327442,0.0348074934663721,-0.236840025374015,-0.0118420012687008,-0.0467874136786447,-0.912737030591828,0.819162203234538,-0.0634449062151518,-1.00856755736343,0.881677744933124
"Bird Island","BI10","BI10.6",239,234.2,235.2,234.7,0.864318072979491,0.0432159036489745,-0.0124610716162341,-0.0006230535808117,-0.0137951633243761,-0.879238847250526,0.851648520601774,-0.023077134246124,-0.924026672509799,0.877872404017551
"Bird Island","BI10","BI10.6",247,243.9,245,244.5,0.610911217116085,0.0305455608558043,-0.485059694603968,-0.0242529847301984,-0.0635100454993198,-0.929842137954941,0.802822046956302,-0.0839059351177068,-1.05152910936915,0.883717239133731
"Bird Island","BI10","BI10.7",259,250.7,251.7,251.2,1.50818180302068,0.0754090901510339,0.227613833508727,0.0113806916754364,0.112521898487762,-0.754039821606047,0.979083618581571,0.131478505101777,-0.603880040760064,0.866837050963617
"Bird Island","BI10","BI10.7",271,265,266,265.5,0.198317180376132,0.00991585901880658,-0.318243762810069,-0.0159121881405034,-0.144455226925934,-1.01383241945999,0.724921965608119,-0.182946667130046,-1.26036316759409,0.894469833333999
"Bird Island","BI10","BI10.7",280,275.9,276.9,276.4,0.61237668092034,0.030618834046017,-0.309893259501681,-0.015494662975084,-0.0632225419899457,-0.929547343235516,0.803102259255624,-0.0835541592921088,-1.05078990777654,0.883681589192318
"Bird Island","BI10","BI10.8",300,289.7,290.8,290.3,0.318946227571709,0.0159473113785854,-0.27861321399949,-0.0139306606999745,-0.120789494411433,-0.989072316370123,0.747493327547256,-0.15399038547702,-1.19917039469525,0.891189623741209
"Bird Island","BI10","BI10.8",303,293.4,294.4,293.9,0.449973647356164,0.0224986823678082,-0.271649223103383,-0.0135824611551692,-0.0950837465772773,-0.962368666499894,0.77220117334534,-0.122538036646008,-1.13282510868535,0.887749035393336
"Bird Island","BI10","BI10.8",311,303.1,304,303.6,0.861455832765602,0.0430727916382801,-0.490485152178551,-0.0245242576089276,-0.0143566948366355,-0.879806226397807,0.851092836724536,-0.0237641978988578,-0.925462965153662,0.877934569355946
"Bird Island","BI10","BI10.8",318,311.7,312.8,312.2,1.1742225488089,0.0587111274404449,-0.1481836226736,-0.00740918113368002,0.0470037619803581,-0.818373390543413,0.912380914504129,0.051313582552796,-0.769128603151693,0.871755768257285
"Bird Island","BI10","BI10.9",342,332.1,333.1,332.6,0.858864532273623,0.0429432266136812,-0.717770039090375,-0.0358885019545188,-0.014865071763533,-0.880319979998203,0.850589836471137,-0.0243862240910378,-0.926763379693332,0.877990931511257
"Bird Island","BI10","BI10.9",348,339.5,340.5,340,0.783074894957952,0.0391537447478976,-0.0953955820079637,-0.00476977910039818,-0.0297339389707458,-0.895380806947211,0.835912929005719,-0.0425790734545509,-0.96483096641142,0.879672819502319
"Bird Island","BI10","BI10.9",361,355.7,356.7,356.2,1.29934074798089,0.0649670373990444,0.0314232990145739,0.0015711649507287,0.0715502033486592,-0.79411824306795,0.937218649765269,0.0813474583013924,-0.706985979856915,0.8696808964597
"Bird Island","BI10","BI10.9",365,360.7,361.7,361.2,1.07978648185843,0.0539893240929214,-0.402880189954779,-0.020144009497739,0.0284767259792548,-0.836801736979361,0.893755188937871,0.0286447692247066,-0.816192521174873,0.873482059624286
"Bird Island","BI10","BI10.9",372,369.1,371,370.1,1.11566423685749,0.0557832118428743,-0.261084557571507,-0.0130542278785754,0.0355154398940875,-0.829788234622622,0.900819114410797,0.0372570098332781,-0.798296878341939,0.872810898008496
"Bird Island","BI10","BI10.10",379,367.3,368.4,367.9,1.19803447341728,0.0599017236708638,-0.206861416439491,-0.0103430708219746,0.0516753286679712,-0.813743167129022,0.917093824464964,0.0570294927062018,-0.757282563814301,0.871341549226705
"Bird Island","BI10","BI10.10",386,375.7,376.6,376.1,1.23772457337573,0.0618862286687864,-0.323478250465121,-0.016173912523256,0.0594619713624754,-0.806040164471605,0.924964107196556,0.0665568639318925,-0.7375572023893,0.870670930253085
"Bird Island","BI10","BI10.10",390,380.5,381.5,381,1.19032058527238,0.059516029263619,-0.158497705746765,-0.00792488528733826,0.0501619716637663,-0.815242405219809,0.915566348547342,0.0551778199710146,-0.761119134455336,0.871474774397365
"Bird Island","BI10","BI10.10",392,382.9,384,383.4,0.902882765054003,0.0451441382527002,-0.409317582844966,-0.0204658791422483,-0.00622930992208771,-0.871603541358505,0.85914492151433,-0.0138199104552299,-0.904683953890032,0.877044132979572
"Bird Island","BI10","BI10.10",396,387.7,388.8,388.2,1.04202286984984,0.0521011434924918,-0.0460096262243035,-0.00230048131121517,0.021068033285797,-0.844200152411938,0.886336218983532,0.0195798399147417,-0.835048282446917,0.8742079622764
"Bird Island","BI10","BI10.10",403,396.3,397.4,396.8,0.494701395554734,0.0247350697777367,-0.360817299522044,-0.0180408649761022,-0.086308787730698,-0.953298672649205,0.780681097187809,-0.111801408075581,-1.11020884981171,0.886606033660546
"Bird Island","BI10","BI10.10",410,404.6,405.6,405.1,0.581611483380916,0.0290805741690458,-0.147154474220953,-0.00735772371104765,-0.069258243611159,-0.935741363047903,0.797224875825585,-0.0909391610456102,-1.0663124969527,0.884434174861478
"Bird Island","BI10","BI10.11",422,409.9,410.9,410.4,1.49816794068204,0.0749083970341018,-0.0117532092712976,-0.00058766046356487,0.110557318703268,-0.755949965513154,0.977064602919689,0.129074737310739,-0.608804280844147,0.866953755465625
"Bird Island","BI10","BI10.11",424,412.2,413.2,412.7,1.23028624071752,0.061514312035876,-0.136618505388373,-0.00683092526941866,0.0580026744921481,-0.807482384629011,0.923487733613307,0.0647713366440012,-0.741252018758616,0.870794692046619
"Bird Island","BI10","BI10.11",427,415.8,416.8,416.3,1.18714628767666,0.0593573143838331,-0.520807156178686,-0.0260403578089343,0.0495392188561451,-0.815859550021587,0.914937987733877,0.0544158488092664,-0.762698168159515,0.871529865778048
"Bird Island","BI10","BI10.11",439,430.3,431.3,430.8,0.789505438363117,0.0394752719181558,-0.677075748337784,-0.0338537874168892,-0.0284723562617091,-0.894100331884855,0.837155619361436,-0.0410354599522402,-0.961598577779958,0.879527657875477
"Bird Island","BI10","BI10.11",443,435.2,436.3,435.7,0.911814224985645,0.0455907112492823,-0.301397629561071,-0.0150698814780535,-0.00447708235650378,-0.869837708093367,0.86088354338036,-0.0116759668913382,-0.900206753248875,0.876854819466198
"Bird Island","BI10","BI10.11",449,442.8,443.8,443.3,1.07481404426164,0.0537407022130818,0.369749908223693,0.0184874954111847,0.0275012032436745,-0.837774953139849,0.892777359627198,0.0274511653050694,-0.818674183747588,0.873576514357727
"Bird Island","BI10","BI10.12",461,447.5,448.7,448.1,0.688867662580658,0.0344433831290329,0.0450809231877911,0.00225404615938955,-0.0482160808279861,-0.914195063881596,0.817762902225623,-0.0651929564113335,-1.01223513072808,0.881849217905414
"Bird Island","BI10","BI10.12",465,452.8,453.9,453.4,1.4795285778054,0.07397642889027,-0.0142422579425013,-0.00071211289712506,0.106900536308526,-0.759508532869714,0.973309605486765,0.124600469679213,-0.617975641044387,0.867176580402813
"Bird Island","BI10","BI10.12",469,458.3,459.3,458.8,1.4492478901152,0.07246239450576,-0.209629267380679,-0.010481463369034,0.100959888745675,-0.765298252285472,0.967218029776823,0.117331771618595,-0.632890243417573,0.867553786654763
"Bird Island","BI10","BI10.12",475,466.1,467.2,466.6,1.19824473508237,0.0599122367541183,0.167358827088417,0.00836794135442087,0.0517165790669402,-0.813702311313929,0.917135469447809,0.0570799647619522,-0.757178001308191,0.871337930832095
"Bird Island","BI10","BI10.12",479,471.4,472.4,471.9,1.22318097025283,0.0611590485126416,0.0615381860374479,0.0030769093018724,0.0566087197675625,-0.80886063102179,0.922078070556916,0.0630657589446025,-0.74478222759244,0.870913745481645
"Bird Island","BI10","BI10.12",484,478.2,479.2,478.7,1.65722387751383,0.0828611938756917,0.0764623046142933,0.00382311523071467,0.141761869708313,-0.725747907740788,1.00927164715741,0.167255164103135,-0.53085401636835,0.86536434457462
"Bird Island","BI10","BI10.13",506,473.4,474.5,474,1.41330201143247,0.0706651005716234,-0.505850776693471,-0.0252925388346735,0.0939078099165609,-0.77218503772376,0.960000657556882,0.108703178327005,-0.650618967930442,0.868025324584452
"Bird Island","BI10","BI10.13",519,491,492,491.5,1.39895660841561,0.0699478304207806,0.0745391525883321,0.0037269576294166,0.0910934424113672,-0.774937645140221,0.957124529962955,0.10525965009032,-0.657701215671681,0.868220515852322
"Bird Island","BI10","BI10.13",522,494.8,495.8,495.3,1.41174058206281,0.0705870291031404,0.187793466514411,0.00938967332572054,0.0936014793049732,-0.772484529652715,0.959687488262661,0.108328366541118,-0.651389645667643,0.86804637874988
"Bird Island","BI10","BI10.13",525,498.7,499.7,499.2,1.23663016880912,0.0618315084404562,-0.0463487606408843,-0.00231743803204422,0.059247264487654,-0.806252318281181,0.924746847256489,0.0662941586580811,-0.738100765830178,0.87068908314634
"Bird Island","BI10","BI10.13",529,503.9,505.1,504.5,1.43580704684888,0.071790352342444,-0.0649445627849989,-0.00324722813924994,0.0983229832166584,-0.767871588454926,0.964517554888243,0.114105377542525,-0.639516373694534,0.867727128779584
"Isla Hermite","HER42PB","HER42PB_1A",3,2.5,3.7,3.1,1.25029293792747,0.0625146468963735,0.182454313854721,0.00912271569273604,0.0619277087660376,-0.803604750172134,0.927460167704209,0.0695738247082472,-0.731316208837973,0.870463858254467
"Isla Hermite","HER42PB","HER42PB_1A",5,5.3,6.5,5.9,1.43803703816909,0.0719018519084547,0.157836179102922,0.00789180895514611,0.0987604763356099,-0.767444496534482,0.964965449205702,0.114640673627946,-0.638416774152227,0.867698121408119
"Isla Hermite","HER42PB","HER42PB_1A",7,8.1,9.3,8.7,1.2846685653658,0.0642334282682902,0.118242357495825,0.00591211787479125,0.0686717262550811,-0.796953095272061,0.934296547782223,0.0778254885756566,-0.714259876734222,0.869910853885535
"Isla Hermite","HER42PB","HER42PB_1A",9,10.9,12.1,11.5,1.4847824399697,0.074239121998485,0.176689172734314,0.00883445863671571,0.107931270609583,-0.758505072853661,0.974367614072828,0.125861627883912,-0.61538978610666,0.867113041874484
"Isla Hermite","HER42PB","HER42PB_1A",13,16.3,17.5,16.9,1.58628672856246,0.079314336428123,0.180599856982026,0.00902999284910131,0.127844992874306,-0.739181353363604,0.994871339112217,0.150227125563062,-0.565547364141171,0.866001615267296
"Isla Hermite","HER42PB","HER42PB_1A",16,20.5,21.6,21.1,1.6404270369397,0.0820213518469849,0.364077413338901,0.018203870666945,0.138466564428552,-0.728923464082976,1.00585659294008,0.16322318293564,-0.539057933320867,0.865504299192146
"Isla Hermite","HER42PB","HER42PB_1A",20,26.1,27.3,26.7,1.56680207150659,0.0783401035753293,-0.0524117866505647,-0.00262058933252823,0.124022375579872,-0.742881419019189,0.990926170178932,0.145549950117022,-0.575097415348987,0.866197315583031
"Isla Hermite","HER42PB","HER42PB_1A",25,33.1,34.1,33.6,1.26633982031297,0.0633169910156484,-0.242317761214666,-0.0121158880607333,0.0650758827345443,-0.80049797410903,0.930649739578119,0.0734257828958483,-0.723351687794289,0.870203253585985
"Isla Hermite","HER42PB","HER42PB_1A",28,37.1,38.2,37.7,1.30323021495632,0.0651615107478162,-0.237210607281755,-0.0118605303640877,0.0723132623896153,-0.793367170152903,0.937993694932134,0.0822811015974228,-0.705058353556327,0.869620556751173
"Isla Hermite","HER42PB","HER42PB_1A",31,41.2,42.3,41.7,1.33204026618111,0.0666020133090556,-0.0157507050559935,-0.00078753525279967,0.0779653916392934,-0.787809324396041,0.943740107674627,0.0891967821660555,-0.690788260066146,0.869181824398257
"Isla Hermite","HER42PB","HER42PB_1B",40,43.1,44.2,43.7,1.11436929873617,0.0557184649368086,-0.0659963107491479,-0.0032998155374574,0.0352613911395425,-0.830041111596538,0.900563893875623,0.0369461676784579,-0.798942466498704,0.87283480185562
"Isla Hermite","HER42PB","HER42PB_1B",48,54,55.1,54.5,1.5019914740992,0.0750995737049602,0.124157224698192,0.00620786123490959,0.111307442501925,-0.755220488855214,0.977835373859064,0.129992553650261,-0.606923837662526,0.866908944963048
"Isla Hermite","HER42PB","HER42PB_1B",50,56.7,57.8,57.2,1.4901118615633,0.074505593078165,0.0195991538490673,0.00097995769245336,0.108976828614254,-0.75748750983598,0.975441167064488,0.127140923677916,-0.612767326903962,0.867049174259794
"Isla Hermite","HER42PB","HER42PB_1B",56,64.7,65.8,65.2,1.40523429336489,0.0702617146682443,0.0661754327069417,0.00330877163534709,0.0923250364285121,-0.773732782610119,0.958382855467143,0.106766570834091,-0.65460147184285,0.868134613511032
"Isla Hermite","HER42PB","HER42PB_1B",60,69.9,70.9,70.4,1.66764181865656,0.0833820909328282,-0.0198305420515142,-0.00099152710257571,0.143805724104641,-0.723779970495748,1.01139141870503,0.169755928595492,-0.52576919347159,0.865281050662573
"Isla Hermite","HER42PB","HER42PB_1B",63,73.7,74.8,74.3,1.654524642878,0.0827262321439001,0.0857784365383726,0.00428892182691863,0.141232317611446,-0.726257995501578,1.00872263072447,0.166607228964959,-0.532171908247496,0.865386366177414
"Isla Hermite","HER42PB","HER42PB_1B",69,81.5,82.5,82,1.44394953996459,0.0721974769982296,-0.205527214737565,-0.0102763607368783,0.0999204265237014,-0.766312404199406,0.96615325724681,0.116059934338734,-0.635501820394401,0.86762168907187
"Isla Hermite","HER42PB","HER42PB_1C",80,86.5,87.8,87.2,1.42738266496197,0.0713691332480983,-0.0553149548112073,-0.00276574774056036,0.0966702372738643,-0.769485564256494,0.962826038804223,0.112083155031935,-0.643671285268425,0.867837595332295
"Isla Hermite","HER42PB","HER42PB_1C",86,94.8,96,95.4,1.67230570648865,0.0836152853244323,0.13126209874675,0.00656310493733751,0.1447207136903,-0.722899375389877,1.01234080277048,0.170875466988638,-0.523493708634619,0.865244642611895
"Isla Hermite","HER42PB","HER42PB_1C",90,100.2,101.4,100.8,1.80773057519793,0.0903865287598963,-0.0353526582620007,-0.00176763291310003,0.171289179521659,-0.697439515380277,1.0400178744236,0.203383397145893,-0.457671607765147,0.864438402056932
"Isla Hermite","HER42PB","HER42PB_1C",91,101.6,103.1,102.3,1.48046823346574,0.0740234116732868,0.00005165591729472,0.00000258279586473,0.107084883611521,-0.75932903997676,0.973498807199801,0.124826028403171,-0.617513117814297,0.867165174620639
"Isla Hermite","HER42PB","HER42PB_1C",97,109.8,111,110.4,1.40397734433814,0.070198867216907,0.132212686704986,0.00661063433524931,0.0920784406031866,-0.773973989325858,0.958130870532231,0.106464847734322,-0.655222057613793,0.868151753082437
"Isla Hermite","HER42PB","HER42PB_1C",104,119.2,120.3,119.8,1.56954096277375,0.0784770481386874,0.102991317695585,0.00514956588477925,0.124559707753356,-0.742361046896884,0.991480462403595,0.14620740459248,-0.573754476050995,0.866169285235954
"Isla Hermite","HER42PB","HER42PB_1D",118,127.3,128.4,127.8,1.31320751578573,0.0656603757892866,0.164935186289202,0.00824675931446008,0.0742706693171747,-0.79144131792792,0.939982656562269,0.0846760930167363,-0.700114785851729,0.869466971885201
"Isla Hermite","HER42PB","HER42PB_1D",121,130.9,132.2,131.6,1.64611099252557,0.0823055496262786,0.458809679416045,0.0229404839708023,0.139581677045677,-0.727848507275177,1.00701186136653,0.164587582495067,-0.536280998234829,0.865456163224962
"Isla Hermite","HER42PB","HER42PB_1D",131,143.2,144.4,143.8,1.28247898958363,0.0641239494791816,0.298872527836923,0.0149436263918462,0.0682421620996331,-0.797376364742473,0.933860688941739,0.0772998939985365,-0.71534569809213,0.869945486089203
"Isla Hermite","HER42PB","HER42PB_1D",137,150.7,151.9,151.3,1.66822164807209,0.0834110824036046,0.566150272533587,0.0283075136266793,0.143919478529226,-0.723670478368001,1.01150943542645,0.169895113180442,-0.525486268166143,0.865276494527026
"Isla Hermite","HER42PB","HER42PB_1D",144,159.2,160.3,159.8,1.8474504696204,0.09237252348102,0.162235415204505,0.00811177076022527,0.17908166747344,-0.690012409010428,1.04817574395731,0.212917920354559,-0.438464351771771,0.864300192480889
"Isla Hermite","HER42PB","HER42PB_1D",147,162.9,164.1,163.5,1.27202501963955,0.0636012509819774,0.255474601284791,0.0127737300642395,0.0661912393562071,-0.799398005875169,0.931780484587583,0.0747904810077975,-0.720530990581728,0.870111952597323
"Isla Hermite","HER42PB","HER42PB_1E",158,169.3,170.5,169.9,1.2804254755496,0.0640212737774799,0.483257591109248,0.0241628795554624,0.0678392913568564,-0.79777338284027,0.933451965553983,0.0768069602306737,-0.716364119634984,0.869978040096332
"Isla Hermite","HER42PB","HER42PB_1E",162,175.6,176.8,176.2,1.52689401620896,0.0763447008104482,0.0569862519832202,0.00284931259916101,0.116192973095109,-0.750473596234194,0.982859542424412,0.135970260015109,-0.594684177657937,0.866624697688154
