"Location","Site","Section","sample","min_depth","max_depth","midpoint","Ni","Ni_sd","Ni_ICP","Ni_ICP_sd","Ni_fit_OLS","Ni_lwr_OLS","Ni_upr_OLS","Ni_fit_WLS","Ni_lwr_WLS","Ni_upr_WLS"
"Bird Island","BI10","BI10.1",1,0,1.1,0.6,1.04692510730743,0.104692510730743,-2.69682577915677,-1.45628592074466,-2.50036647700499,-3.53877293772318,-1.46196001628679,-2.45912979250326,-3.37785942173314,-1.54040016327338
"Bird Island","BI10","BI10.1",4,3.9,5,4.5,1.71690984375393,0.171690984375393,-2.25605975114237,-1.21827226561688,-2.32899502859885,-3.37322207032986,-1.28476798686784,-2.24752513029019,-3.06161988255525,-1.43343037802514
"Bird Island","BI10","BI10.1",10,11.7,12.8,12.3,1.46841526661538,0.146841526661538,-2.59085511869527,-1.39906176409545,-2.39255599243687,-3.43419780849746,-1.35091417637628,-2.32600842729196,-3.17813670306441,-1.47388015151951
"Bird Island","BI10","BI10.1",22,26.7,27.8,27.2,0.635902625113298,0.0635902625113298,-2.84227683421096,-1.53482949047392,-2.60549949611626,-3.64215466692577,-1.56884432530675,-2.58894509839808,-3.57471400310708,-1.60317619368909
"Bird Island","BI10","BI10.1",30,36.3,37.2,36.7,0.220364318891147,0.0220364318891147,-3.24466623455077,-1.75211976665742,-2.71178759124992,-3.74808847414284,-1.67548670835699,-2.72018665979707,-3.77542626754807,-1.66494705204607
"Bird Island","BI10","BI10.1",34,40.9,41.9,41.4,0.745959816825469,0.0745959816825469,-3.02769785887377,-1.63495684379183,-2.57734861546895,-3.61433633218577,-1.54036089875213,-2.55418517983652,-3.52182526394062,-1.58654509573242
"Bird Island","BI10","BI10.2",45,44,45,44.5,0.234404000246007,0.0234404000246007,-3.57338527707074,-1.9296280496182,-2.70819646387334,-3.74448604243159,-1.67190688531509,-2.71575243634531,-3.76862060635626,-1.66288426633435
"Bird Island","BI10","BI10.2",51,51.9,52.9,52.4,1.09767768206559,0.109767768206559,-2.59428410995075,-1.4009134193734,-2.48738477492506,-3.52610383282921,-1.4486657170209,-2.44310035055641,-3.35368597150203,-1.53251472961079
"Bird Island","BI10","BI10.2",54,55.3,56.3,55.8,1.24625574794662,0.124625574794662,-3.54267311860907,-1.9130434840489,-2.4493808668264,-3.48913640712117,-1.40962532653163,-2.39617418980568,-3.28310625464361,-1.50924212496774
"Bird Island","BI10","BI10.2",62,64.4,65.4,64.9,-0.014446719318614,-0.0014446719318614,-2.20585954150495,-1.19116415241267,-2.77184852328425,-3.80857966614016,-1.73511738042835,-2.79434821560774,-3.88947588914033,-1.69922054207515
"Bird Island","BI10","BI10.2",67,70.1,71.2,70.6,0.36751897743146,0.036751897743146,-3.45451060807486,-1.86543572836042,-2.6741477681287,-3.71041105333112,-1.63788448292627,-2.67371006097385,-3.70417441349286,-1.64324570845484
"Bird Island","BI10","BI10.2",71,74.7,75.8,75.2,0.632363863154533,0.0632363863154533,-2.73083618048623,-1.47465153746256,-2.60640465518847,-3.64305079098313,-1.56975851939382,-2.59006276345551,-3.57641659186272,-1.6037089350483
"Bird Island","BI10","BI10.2",81,86.5,87.5,87,0.508633945514436,0.0508633945514436,-3.44988878635606,-1.86293994463227,-2.63805280184569,-3.6744480063142,-1.60165759737718,-2.62914100808351,-3.63602197415774,-1.62226004200928
"Bird Island","BI10","BI10.3",88,84.8,85.8,85.3,0.84292687226522,0.084292687226522,-2.89972105920762,-1.56584937197212,-2.55254598365598,-3.58990941745087,-1.5151825498611,-2.52355958510886,-3.47533123182681,-1.57178793839092
"Bird Island","BI10","BI10.3",95,93,94,93.5,0.391321288386723,0.0391321288386723,-2.84369058443919,-1.53559291559716,-2.66805951524483,-3.70433352231414,-1.63178550817552,-2.66619245692172,-3.69266657565637,-1.63971833818707
"Bird Island","BI10","BI10.3",98,96.3,97.3,96.8,0.281099388114273,0.0281099388114273,-2.83997552874376,-1.53358678552163,-2.69625252572437,-3.7325162170564,-1.65998883439234,-2.70100439621953,-3.74599676931729,-1.65601202312177
"Bird Island","BI10","BI10.3",104,103.2,104.2,103.7,0.495638879278403,0.0495638879278403,-2.76581280485718,-1.49353891462288,-2.64137673327555,-3.67775291572544,-1.60500055082567,-2.6332453054678,-3.6422905400291,-1.62420007090651
"Bird Island","BI10","BI10.3",114,114.9,115.9,115.4,0.87277517822549,0.087277517822549,-2.68068793572493,-1.44757148529146,-2.5449112613308,-3.58240593309617,-1.50741658956543,-2.51413244392673,-3.4610399272331,-1.56722496062036
"Bird Island","BI10","BI10.3",120,121.8,122.7,122.3,0.892326907296078,0.0892326907296078,-2.25589124231759,-1.2181812708515,-2.53991023974419,-3.57749485155974,-1.50232562792863,-2.50795732261336,-3.45168395001703,-1.56423069520969
"Bird Island","BI10","BI10.4",135,129.4,130.4,129.9,0.324932817374648,0.0324932817374648,-2.2548264894846,-1.21760630432169,-2.68504063110599,-3.7212964079666,-1.64878485424539,-2.68716026293154,-3.72477591764732,-1.64954460821576
"Bird Island","BI10","BI10.4",145,141,142,141.5,0.627601678206545,0.0627601678206545,-2.83220701451176,-1.52939178783635,-2.60762274641909,-3.64425688666539,-1.5709886061728,-2.59156682837296,-3.57870799464252,-1.6044256621034
"Bird Island","BI10","BI10.4",155,152.7,153.8,153.2,0.482551698951896,0.0482551698951896,-3.21731020108871,-1.7373475085879,-2.64472422602591,-3.68108266070223,-1.60836579134959,-2.63737869571039,-3.64860510474711,-1.62615228667368
"Bird Island","BI10","BI10.4",165,164.8,165.8,165.3,0.327491694679124,0.0327491694679124,-2.11919505981825,-1.14436533230186,-2.68438611095634,-3.72064191601038,-1.6481303059023,-2.68635207979213,-3.72353759875932,-1.64916656082494
"Bird Island","BI10","BI10.4",168,168.4,170,169.2,0.412578439755529,0.0412578439755529,-3.10927192863729,-1.67900684146413,-2.66262227373634,-3.69890981135698,-1.62633473611571,-2.65947870347285,-3.68239342996929,-1.63656397697641
"Bird Island","BI10","BI10.5",181,174.6,175.6,175.1,0.368745007524215,0.0368745007524215,-2.3857427452032,-1.28830108240973,-2.67383416911464,-3.71009789229096,-1.63757044593831,-2.67332283769916,-3.7035815381646,-1.64306413723372
"Bird Island","BI10","BI10.5",191,186.6,187.6,187.1,0.366080923381844,0.0366080923381844,-3.44239700632826,-1.85889438341726,-2.67451559950151,-3.71077838680899,-1.63825281219403,-2.6741642488454,-3.70486983441998,-1.64345866327082
"Bird Island","BI10","BI10.5",194,190.3,191.3,190.8,0.568880007698094,0.0568880007698094,-3.85185837181402,-2.08000352077957,-2.6226428165497,-3.6591444210655,-1.5861412120339,-2.61011319006835,-3.60698097131794,-1.61324540881876
"Bird Island","BI10","BI10.5",197,194,195,194.5,0.391575385328006,0.0391575385328006,-3.12681185855307,-1.68847840361866,-2.66799452128528,-3.7042686680549,-1.63172037451565,-2.66611220420176,-3.69254375248888,-1.63968065591465
"Bird Island","BI10","BI10.5",202,199.9,200.8,200.3,0.221329100583392,0.0221329100583392,-2.35393223017144,-1.27112340429258,-2.71154081542504,-3.74784086941944,-1.67524076143063,-2.71988194792381,-3.7749585440482,-1.66480535179943
"Bird Island","BI10","BI10.6",218,209.5,210.5,210,-0.0600929986337109,-0.00600929986337109,-3.32904223209048,-1.79768280532886,-2.78352411613741,-3.82039171416149,-1.74665651811334,-2.80876491048199,-3.91169396801727,-1.70583585294672
"Bird Island","BI10","BI10.6",228,221.4,222.4,221.9,0.0846163972587135,0.00846163972587135,-3.02706936783235,-1.63461745862947,-2.74650975234221,-3.78300387951112,-1.7100156251733,-2.76306061130753,-3.84130929823292,-1.68481192438214
"Bird Island","BI10","BI10.6",239,234.2,235.2,234.7,0.22375112456824,0.022375112456824,-2.73249094070519,-1.4755451079808,-2.71092130017972,-3.74721930714591,-1.67462329321353,-2.71911698785934,-3.77378438641171,-1.66444958930697
"Bird Island","BI10","BI10.6",247,243.9,245,244.5,0.59001363469419,0.059001363469419,-2.47544087226108,-1.33673807102098,-2.61723717061274,-3.65378319658322,-1.58069114464226,-2.60343844994581,-3.59680184507905,-1.61007505481258
"Bird Island","BI10","BI10.7",259,250.7,251.7,251.2,1.04037356433838,0.104037356433838,-2.88504226380521,-1.55792282245481,-2.5020422575815,-3.54040990611263,-1.46367460905038,-2.46119899939936,-3.38098221948819,-1.54141577931054
"Bird Island","BI10","BI10.7",271,265,266,265.5,0.294132538266472,0.0294132538266472,-2.41740959246356,-1.30540117993032,-2.69291885303397,-3.72917853346351,-1.65665917260442,-2.6968880705997,-3.73968542555827,-1.65409071564113
"Bird Island","BI10","BI10.7",280,275.9,276.9,276.4,0.345824280774148,0.0345824280774148,-2.1985513038357,-1.18721770407128,-2.67969692676866,-3.71595451537896,-1.64343933815836,-2.68056200656046,-3.71466752123158,-1.64645649188933
"Bird Island","BI10","BI10.8",300,289.7,290.8,290.3,-0.0386055248405599,-0.00386055248405599,-2.31389819524843,-1.24950502543415,-2.77802796181298,-3.81482918479945,-1.74122673882651,-2.80197841313889,-3.90123321524977,-1.70272361102802
"Bird Island","BI10","BI10.8",303,293.4,294.4,293.9,-0.063688857745027,-0.0063688857745027,-2.28766460205534,-1.23533888510988,-2.78444387975388,-3.8213229572504,-1.74756480225736,-2.80990060882141,-3.91344485860773,-1.70635635903508
"Bird Island","BI10","BI10.8",311,303.1,304,303.6,-0.164222293423071,-0.0164222293423071,-2.70032413138217,-1.45817503094637,-2.81015873495606,-3.84740189460197,-1.77291557531015,-2.84165259142716,-3.96243260005963,-1.7208725827947
"Bird Island","BI10","BI10.8",318,311.7,312.8,312.2,0.457747115758043,0.0457747115758043,-2.46526709458231,-1.33124423107445,-2.65106884422063,-3.68739752109324,-1.61474016734802,-2.64521285246434,-3.66057758925313,-1.62984811567554
"Bird Island","BI10","BI10.8",326,321.7,322.8,322.2,0.318005205476297,0.0318005205476297,-2.94025724076606,-1.58773891001367,-2.68681260413826,-3.72306857605581,-1.65055663222072,-2.68934824557644,-3.7281286775198,-1.65056781363308
"Bird Island","BI10","BI10.9",342,332.1,333.1,332.6,-0.109080874465422,-0.0109080874465422,-1.78145164252356,-0.961983886962723,-2.79605443627597,-3.83308758870218,-1.75902128384976,-2.82423699865655,-3.93555481751454,-1.71291917979855
"Bird Island","BI10","BI10.9",348,339.5,340.5,340,0.0669285823139667,0.00669285823139667,-2.19145461242822,-1.18338549071124,-2.75103401431615,-3.7875645226476,-1.71450350598469,-2.76864704321122,-3.84990417979333,-1.68738990662911
"Bird Island","BI10","BI10.9",361,355.7,356.7,356.2,0.013430768372964,0.0013430768372964,-2.81508020013128,-1.52014330807089,-2.76471790495261,-3.80137416270406,-1.72806164720115,-2.78554352791051,-3.8759140032312,-1.69517305258982
"Bird Island","BI10","BI10.9",365,360.7,361.7,361.2,-0.281869268669178,-0.0281869268669178,-1.90388730022592,-1.028099142122,-2.84025096161701,-3.87802586496501,-1.802476058269,-2.87880962964475,-4.01984506234924,-1.73777419694026
"Bird Island","BI10","BI10.9",372,369.1,371,370.1,0.0362162977785916,0.00362162977785916,-2.47053484797546,-1.33408881790675,-2.75888972863078,-3.79548954082958,-1.72228991643197,-2.77834705910915,-3.86483345232439,-1.69186066589391
"Bird Island","BI10","BI10.10",379,367.3,368.4,367.9,-0.0530600749747032,-0.00530600749747032,-2.35007559750051,-1.26904082265027,-2.78172520603035,-3.81857066018977,-1.74487975187092,-2.80654366669198,-3.90826976941111,-1.70481756397285
"Bird Island","BI10","BI10.10",386,375.7,376.6,376.1,0.0363191645550396,0.00363191645550396,-2.337301562759,-1.26214284388986,-2.75886341694409,-3.79546298402822,-1.72226384985996,-2.77831457017575,-3.86478343706149,-1.69184570329
"Bird Island","BI10","BI10.10",390,380.5,381.5,381,0.164220848214054,0.0164220848214054,-2.88783019552372,-1.55942830558281,-2.72614819883556,-3.76251055553402,-1.68978584213711,-2.73791873562182,-3.80265720591972,-1.67318026532392
"Bird Island","BI10","BI10.10",392,382.9,384,383.4,-0.0767064224135456,-0.00767064224135456,-2.73517869299072,-1.47699649421499,-2.78777356592523,-3.82469509231613,-1.75085203953433,-2.81401201199923,-3.91978410945332,-1.70823991454514
