"Location","Site","Section","sample","top","bottom","mp","depth","depth_err","SH20_min_age_95CI","SH20_max_age_95CI","SH20_median_age","SH20_mean_age","SH20_mean_95CI","accrate","accrate_err","Water_Content_pc","Dry_mass","Dry_mass_err","LOI550","LOI550_err","C_org_pc","C_org_pc_err","Volume_cm3","Volume_err_cm3","Wet_density_g_cm3","Dry_density_g_cm3","Dry_density_err_g_cm3","DMAR_g_cm2_yr","DMAR_err_g_cm2_yr","DMAR_err_pc"
"Kerguelen","KER1","CAT1.1A",1,0,1.4,0.7,0.7,0.7,-66,-37,-57,-55,15,0.06522,0.04802,74.05,25.95,1.3,51.46,2.57,29.74,2.57,4.396,0.2198,0.7873,0.2043,0.0204,0.0133,0.0111,83.6
"Kerguelen","KER1","CAT1.1A",2,1.5,3,2.2,2.2,0.75,-64,25,-37,-32,45,0.068,-0.07138,73.34,26.66,1.33,22.15,1.11,12.81,1.11,5.0699,0.3118,1.3295,0.5808,0.0648,0.0395,-0.0371,-93.8
"Kerguelen","KER1","CAT1.1A",3,3.1,4.7,3.9,3.9,0.8,-62,96,-15,-7,79,0.064,-0.70916,67.64,32.36,1.62,30.69,1.53,17.74,1.54,4.5342,0.3083,1.0018,0.5773,0.0681,0.0369,-0.405,-1096.3
"Kerguelen","KER1","CAT1.1A",4,4.8,6.3,5.5,5.5,0.75,-54,145,9,18,100,0.05926,0.33565,55.55,44.45,2.22,21.33,1.07,12.33,1.07,5.1928,0.4258,1.112,0.7153,0.0944,0.0424,0.2457,579.6
"Kerguelen","KER1","CAT1.1A",5,6.4,7.8,7.1,7.1,0.7,-44,156,39,45,100,0.06087,0.14127,41.4,58.6,2.93,16.32,0.82,9.44,0.82,3.5608,0.3062,1.644,1.2856,0.1748,0.0783,0.1923,245.7
"Kerguelen","KER1","CAT1.1A",6,7.9,9.2,8.5,8.5,0.65,-38,182,65,68,110,0.05833,0.09882,75.67,24.33,1.22,48.91,2.45,28.27,2.45,3.4927,0.3388,1.1072,0.598,0.0879,0.0349,0.0642,184.1
"Kerguelen","KER1","CAT1.1A",7,9.3,10.6,9.9,9.9,0.675,-33,222,88,92,128,0.05357,0.0779,82.51,17.49,0.87,50.79,2.54,29.36,2.54,4.6735,0.5234,0.9849,0.4178,0.0677,0.0224,0.0362,161.6
"Kerguelen","KER1","CAT1.1A",8,10.7,12,11.4,11.4,0.65,-2,231,125,120,117,0.05185,0.0533,71.8,28.2,1.41,28.93,1.45,16.72,1.45,4.2887,0.5189,1.1106,0.5808,0.0993,0.0301,0.0361,119.9
"Kerguelen","KER1","CAT1.1A",9,12.1,13.6,12.8,12.8,0.725,17,240,179,147,112,0.05172,0.04216,80.86,19.14,0.96,51.36,2.57,29.69,2.57,5.0197,0.6626,0.9577,0.412,0.075,0.0213,0.0212,99.7
"Kerguelen","KER1","CAT1.1A",10,13.7,15,14.3,14.3,0.65,30,265,226,176,118,0.04167,0.02971,80.05,19.95,1,41.02,2.05,23.71,2.05,5.1663,0.7491,1.1523,0.452,0.0881,0.0188,0.0171,90.8
"Kerguelen","KER1","CAT1.1A",11,15.1,16.5,15.8,15.8,0.7,75,310,242,212,118,0.0359,0.02149,80.23,19.77,0.99,60.37,3.02,34.9,3.02,5.0801,0.7773,1.1536,0.454,0.0922,0.0163,0.0131,80.2
"Kerguelen","KER1","CAT1.1A",12,16.5,17.9,17.2,17.2,0.7,113,357,266,251,122,0.03571,0.01881,82.12,17.88,0.89,78.54,3.93,45.4,3.93,5.9408,0.9891,1.1664,0.4017,0.087,0.0143,0.0107,74.3
"Kerguelen","KER1","CAT1.1A",13,18,19.4,18.7,18.7,0.7,137,410,302,293,137,0.03488,0.01756,84.04,15.96,0.8,86.82,4.34,50.19,4.34,6.3302,1.1268,1.0035,0.3415,0.0779,0.0119,0.0087,73.1
"Kerguelen","KER1","CAT1.1A",14,19.5,20.9,20.2,20.2,0.7,169,468,340,336,150,0.03125,0.01499,84.04,15.96,0.8,87.5,4.37,50.58,4.38,6.199,1.1623,1.0766,0.357,0.0848,0.0112,0.008,71.7
"Kerguelen","KER1","CAT1.1A",15,21,22.4,21.7,21.7,0.7,264,479,386,384,108,0.03191,0.00996,77.67,22.33,1.12,75,3.75,43.35,3.75,6.3302,1.2534,0.9993,0.4045,0.1003,0.0129,0.0072,56
"Kerguelen","KER1","CAT1.1A",16,22.5,23.9,23.2,23.2,0.7,352,493,435,431,71,0.03125,0.00605,76.38,23.62,1.18,65.29,3.26,37.74,3.27,6.7321,1.4104,0.9302,0.3902,0.1013,0.0122,0.0055,45.3
"Kerguelen","KER1","CAT1.1A",17,24,25.5,24.7,24.7,0.725,419,522,483,479,52,0.04571,0.00626,68.35,31.65,1.58,32.27,1.61,18.65,1.62,6.0213,1.3006,0.9932,0.505,0.1343,0.0231,0.0093,40.3
"Kerguelen","KER1","CAT1.1A",18,25.6,27,26.3,26.3,0.7,486,538,515,514,26,0.05,0.00386,76.68,23.32,1.17,45.77,2.29,26.45,2.29,6.0692,1.3777,1.0836,0.4418,0.1224,0.0221,0.0078,35.4
"Kerguelen","KER1","CAT1.1A",19,27.1,28.5,27.8,27.8,0.7,518,573,543,544,28,0.05172,0.00392,80.34,19.66,0.98,75.78,3.79,43.81,3.79,6.3302,1.5066,1.1352,0.4044,0.1165,0.0209,0.0076,36.4
"Kerguelen","KER1","CAT1.1A",20,28.6,30,29.3,29.3,0.7,525,645,568,573,60,0.05172,0.00665,81.83,18.17,0.91,81.98,4.1,47.39,4.1,6.3302,1.5699,1.0461,0.3713,0.1107,0.0192,0.0082,42.7
"Kerguelen","KER1","CAT1.1A",21,30.1,31.5,30.8,30.8,0.7,539,688,596,602,75,0.056,0.0082,81.52,18.48,0.92,64.31,3.22,37.17,3.22,6.4628,1.6706,1.1474,0.3896,0.1202,0.0218,0.0099,45.5
"Kerguelen","KER1","CAT1.1A",22,31.5,32.9,32.2,32.2,0.7,548,715,626,627,84,0.05357,0.0083,70.83,29.17,1.46,27.53,1.38,15.91,1.38,5.5637,1.4744,1.1336,0.5369,0.1691,0.0288,0.0135,47
"Kerguelen","KER1","CAT1.1A",23,33,34.4,33.7,33.7,0.675,557,763,653,655,103,0.05357,0.0095,57.79,42.21,2.11,14.51,0.73,8.39,0.73,5.365,1.4754,1.2629,0.747,0.2428,0.04,0.0201,50.2
"Kerguelen","KER1","CAT1.1A",24,34.5,35.8,35.2,35.2,0.675,569,820,678,683,126,0.05185,0.01052,63.28,36.72,1.84,25.28,1.26,14.62,1.27,5.4849,1.5659,1.314,0.6918,0.2321,0.0359,0.0193,53.8
"Kerguelen","KER1","CAT1.1A",25,35.9,37.2,36.6,36.6,0.625,599,838,708,710,120,0.05185,0.00961,69.13,30.87,1.54,28.34,1.42,16.38,1.42,4.7493,1.3963,1.3733,0.6656,0.229,0.0345,0.0183,52.9
"Kerguelen","KER1","CAT1.1A",26,37.3,38.7,38,38,0.7,614,859,738,737,123,0.05185,0.00957,54.08,45.92,2.3,19.21,0.96,11.1,0.96,5.4407,1.6567,1.3405,0.8266,0.293,0.0429,0.0231,53.9
"Kerguelen","KER1","CAT1.1A",27,38.8,40.1,39.4,39.4,0.675,624,899,763,764,138,0.05556,0.01095,62.72,37.28,1.86,20.61,1.03,11.91,1.03,4.6735,1.4581,1.3068,0.7328,0.2653,0.0407,0.0228,55.9
"Kerguelen","KER1","CAT1.1A",28,40.2,41.6,40.9,40.9,0.675,654,927,791,791,137,0.05769,0.01091,45.35,54.65,2.73,9.22,0.46,5.33,0.47,4.3456,1.3928,1.5287,1.0996,0.4074,0.0634,0.0355,56
"Kerguelen","KER1","CAT1.1A",29,41.7,43.1,42.4,42.4,0.7,687,943,818,817,128,0.01667,0.00289,49,51,2.55,10.67,0.53,6.17,0.54,4.6185,1.5287,1.5549,1.0415,0.3968,0.0174,0.0096,55.4
"Kerguelen","KER1","CAT1.1B",34,42.4,43.5,42.9,42.9,0.55,726,970,850,847,122,0.05385,0.00845,51.63,48.37,2.42,12.22,0.61,7.07,0.62,3.6289,1.3826,1.9927,1.2801,0.5517,0.0689,0.0405,58.8
"Kerguelen","KER1","CAT1.1B",35,43.7,44.9,44.3,44.3,0.6,744,995,880,873,126,0.05417,0.00852,58.47,41.53,2.08,15.94,0.8,9.22,0.8,4.2537,1.6696,1.8255,1.0279,0.4548,0.0557,0.0334,60
"Kerguelen","KER1","CAT1.1B",36,45.1,46.2,45.6,45.6,0.55,779,1017,901,897,119,0.05417,0.00784,45.01,54.99,2.75,10.36,0.52,5.99,0.53,3.454,1.3816,2.265,1.5777,0.71,0.0855,0.0508,59.5
"Kerguelen","KER1","CAT1.1B",37,46.4,47.5,46.9,46.9,0.55,841,1026,918,921,93,0.05652,0.00634,66.05,33.95,1.7,29.18,1.46,16.87,1.46,3.2835,1.3429,2.1247,1.0708,0.4915,0.0605,0.0346,57.1
"Kerguelen","KER1","CAT1.1B",38,47.6,48.8,48.2,48.2,0.6,900,1035,934,944,68,0.05517,0.00463,59.38,40.62,2.03,23.56,1.18,13.62,1.18,4.1542,1.7531,1.7287,0.9784,0.4618,0.054,0.03,55.6
"Kerguelen","KER1","CAT1.1B",39,49,50.5,49.8,49.8,0.75,935,1063,962,973,64,0.01111,9e-04,53.52,46.48,2.32,12.27,0.61,7.09,0.62,6.5027,2.8417,1.197,0.7329,0.3569,0.0081,0.0046,56.8
"Kerguelen","KER1","CAT1.1B",40,50.7,52.1,51.4,51.4,0.7,975,1321,1107,1117,173,0.00994,0.00167,59.8,40.2,2.01,21.69,1.08,12.54,1.09,6.3302,2.8359,1.2363,0.6783,0.3378,0.0067,0.0045,66.6
"Kerguelen","KER1","CAT1.1B",41,52.3,53.6,53,53,0.65,995,1716,1252,1278,361,0.00993,0.00292,47.93,52.07,2.6,11.61,0.58,6.71,0.59,5.8781,2.6922,1.4783,0.965,0.4902,0.0096,0.0077,80.2
"Kerguelen","KER1","CAT1.1B",42,53.8,55.1,54.5,54.5,0.65,1013,2087,1390,1429,537,0.01079,0.00418,54.91,45.09,2.25,14.88,0.74,8.6,0.75,4.9392,2.2918,1.4428,0.8829,0.4538,0.0095,0.0086,90.2
"Kerguelen","KER1","CAT1.1B",43,55.3,56.7,56,56,0.7,1105,2265,1528,1568,580,0.01128,0.00431,66.8,33.2,1.66,29.13,1.46,16.84,1.46,6.199,2.96,1.2121,0.5876,0.3099,0.0066,0.006,91
"Kerguelen","KER1","CAT1.1B",44,56.9,58.2,57.5,57.5,0.65,1192,2375,1686,1701,592,0.01128,0.00405,68.05,31.95,1.6,33.47,1.67,19.35,1.68,5.3984,2.6236,1.2339,0.6068,0.3252,0.0068,0.0061,89.5
