depth	min	max	median	mean
5	-66.93	-57.49	-63.73	-63.39
5.1	-66.12	-56.51	-62.56	-62.29
5.2	-65.63	-54.86	-61.48	-61.19
5.3	-65.26	-52.76	-60.43	-60.09
5.4	-65.01	-50.3	-59.44	-58.98
5.5	-64.78	-47.48	-58.52	-57.88
5.6	-64.56	-44.6	-57.58	-56.78
5.7	-64.37	-41.83	-56.62	-55.68
5.8	-64.16	-38.84	-55.68	-54.58
5.9	-63.96	-35.9	-54.74	-53.47
6	-63.82	-32.8	-53.85	-52.37
6.1	-63.64	-29.8	-52.94	-51.27
6.2	-63.51	-26.73	-52.01	-50.17
6.3	-63.37	-23.73	-51.1	-49.06
6.4	-63.23	-20.51	-50.14	-47.96
6.5	-63.12	-17.34	-49.21	-46.86
6.6	-62.92	-14.24	-48.28	-45.76
6.7	-62.82	-11.13	-47.34	-44.66
6.8	-62.72	-8.08	-46.38	-43.55
6.9	-62.61	-5.04	-45.53	-42.45
7	-62.47	-2.05	-44.56	-41.35
7.1	-62.39	1.06	-43.65	-40.25
7.2	-62.29	4.11	-42.73	-39.14
7.3	-62.18	7.21	-41.81	-38.04
7.4	-62.06	10.33	-40.89	-36.94
7.5	-61.95	13.45	-39.94	-35.84
7.6	-61.81	16.57	-39.04	-34.74
7.7	-61.7	19.68	-38.11	-33.63
7.8	-61.61	22.8	-37.17	-32.53
7.9	-61.49	25.92	-36.28	-31.43
8	-61.38	29.04	-35.38	-30.33
8.1	-61.26	32.16	-34.41	-29.23
8.2	-61.15	35.22	-33.42	-28.12
8.3	-61.02	38.2	-32.48	-27.02
8.4	-60.93	41.03	-31.52	-25.92
8.5	-60.88	44.13	-30.54	-24.82
8.6	-60.77	47.19	-29.57	-23.71
8.7	-60.67	50.32	-28.65	-22.61
8.8	-60.56	53.45	-27.71	-21.51
8.9	-60.43	56.58	-26.78	-20.41
9	-60.31	59.71	-25.84	-19.31
9.1	-60.18	62.84	-24.9	-18.2
9.2	-60.1	65.97	-24	-17.1
9.3	-60.02	69.1	-23.08	-16
9.4	-59.91	72.23	-22.17	-14.9
9.5	-59.82	75.36	-21.23	-13.79
9.6	-59.73	78.49	-20.28	-12.69
9.7	-59.64	81.63	-19.33	-11.59
9.8	-59.56	84.76	-18.35	-10.49
9.9	-59.49	87.89	-17.39	-9.39
10	-59.42	90.97	-16.43	-8.28
10.1	-57.96	91.35	-15.65	-7.13
10.2	-56.64	91.71	-14.43	-5.98
10.3	-55.76	92.61	-13.36	-4.83
10.4	-54.93	93.32	-12.14	-3.68
10.5	-54.25	94.09	-10.8	-2.52
10.6	-53.72	95.01	-9.52	-1.37
10.7	-53.17	95.58	-8.09	-0.22
10.8	-52.74	96.14	-6.79	0.93
10.9	-52.34	97.27	-5.54	2.08
11	-51.86	98.32	-4.35	3.23
11.1	-51.23	99.21	-3.07	4.39
11.2	-50.7	99.93	-1.35	5.54
11.3	-50.08	101.13	0.05	6.69
11.4	-49.56	101.9	1.28	7.84
11.5	-49.05	103.02	2.53	8.99
11.6	-48.72	104.32	3.96	10.14
11.7	-48.28	106.51	5.36	11.3
11.8	-47.92	107.09	6.61	12.45
11.9	-47.49	107.61	7.84	13.6
12	-47.1	109.08	9.31	14.75
12.1	-46.48	110.42	10.66	15.9
12.2	-46.2	111.27	11.91	17.06
12.3	-45.67	112.51	13.2	18.21
12.4	-45.24	113.24	14.23	19.36
12.5	-44.69	114.69	15.3	20.51
12.6	-44.5	115.56	16.45	21.66
12.7	-44.02	116.75	17.79	22.81
12.8	-43.64	119.35	19.08	23.97
12.9	-43.31	121.18	19.91	25.12
13	-43.07	123.3	21.25	26.27
13.1	-42.94	124.5	22.3	27.42
13.2	-42.81	126.37	23.38	28.57
13.3	-42.63	129.09	24.45	29.72
13.4	-42.38	129.97	25.69	30.88
13.5	-42.13	131.85	26.71	32.03
13.6	-41.97	134.41	28.03	33.18
13.7	-41.78	136.19	29.12	34.33
13.8	-41.42	138.32	30.05	35.48
13.9	-41.13	140.34	31.07	36.64
14	-40.76	142.88	32.15	37.79
14.1	-40.55	145.2	33.48	38.94
14.2	-40.17	148.3	34.55	40.09
14.3	-39.81	150.14	35.72	41.24
14.4	-39.53	152.23	36.91	42.39
14.5	-39.35	155.01	38.18	43.55
14.6	-39.15	157.94	39.09	44.7
14.7	-38.92	159.92	40.21	45.85
14.8	-38.68	162.8	41.23	47
14.9	-38.39	165.86	42.32	48.15
15	-38.19	168.8	43.44	49.3
15.1	-36.63	169.42	44.8	50.53
15.2	-35.21	170.22	45.92	51.75
15.3	-34.03	170.47	47.12	52.97
15.4	-32.6	171.41	48.36	54.19
15.5	-30.72	172.06	49.74	55.42
15.6	-29.35	173.24	50.84	56.64
15.7	-27.86	173.76	52.11	57.86
15.8	-26.61	174.55	53.37	59.08
15.9	-25.43	174.86	54.6	60.31
16	-24.34	175.17	56.04	61.53
16.1	-23.29	175.63	57.48	62.75
16.2	-22.06	175.88	58.5	63.98
16.3	-21.32	176.91	59.88	65.2
16.4	-20.04	177.2	61.42	66.42
16.5	-18.92	178.04	63.18	67.64
16.6	-17.85	178.81	64.86	68.87
16.7	-16.66	179.87	66.32	70.09
16.8	-15.97	180.56	67.95	71.31
16.9	-14.69	180.95	69.22	72.53
17	-13.89	181.88	70.41	73.76
17.1	-13.32	182.86	71.64	74.98
17.2	-12.88	183.68	73.15	76.2
17.3	-12.1	184.87	74.68	77.42
17.4	-11.25	185.86	76.52	78.65
17.5	-10.52	186.37	78.1	79.87
17.6	-10.14	187.27	79.69	81.09
17.7	-9.64	188.65	81.11	82.31
17.8	-9.3	189.35	82.43	83.54
17.9	-8.51	190.04	83.79	84.76
18	-8.04	191.16	85.27	85.98
18.1	-7.69	192.29	86.6	87.2
18.2	-7.34	193.2	87.94	88.43
18.3	-6.64	193.95	89.28	89.65
18.4	-6.15	195.03	90.7	90.87
18.5	-5.49	195.97	91.91	92.09
18.6	-4.65	197.03	93.27	93.32
18.7	-4.25	198.39	94.73	94.54
18.8	-3.83	199.2	96.05	95.76
18.9	-3.27	200.62	97.21	96.98
19	-2.74	201.72	98.64	98.21
19.1	-2.37	203.36	99.86	99.43
19.2	-2.08	205.09	101.11	100.65
19.3	-1.68	206.61	102.35	101.87
19.4	-1.39	207.94	103.47	103.1
19.5	-0.98	210.07	104.85	104.32
19.6	-0.58	211.89	106.27	105.54
19.7	-0.27	213.66	107.45	106.76
19.8	0.18	215.47	108.81	107.99
19.9	0.63	216.17	109.89	109.21
20	1.05	217.63	110.83	110.43
20.1	2.64	218.01	112.12	111.63
20.2	3.99	218.4	113.28	112.82
20.3	5.64	218.68	114.82	114.02
20.4	6.87	219.35	115.95	115.21
20.5	8.39	220.08	116.79	116.4
20.6	10.04	220.78	118.3	117.6
20.7	11.15	221.43	119.65	118.79
20.8	11.76	221.64	121.29	119.99
20.9	13.67	222.07	122.7	121.18
21	14.2	222.77	124.45	122.38
21.1	15.22	223.03	126.27	123.57
21.2	16.45	223.3	127.35	124.77
21.3	17.48	223.55	128.72	125.96
21.4	18.42	224.12	130.31	127.16
21.5	19.27	224.77	131.76	128.35
21.6	20.19	225.6	133.06	129.54
21.7	21.1	225.97	134.48	130.74
21.8	21.63	226.23	135.57	131.93
21.9	22.46	226.53	136.86	133.13
22	23.56	226.96	138.28	134.32
