C:\Data\BAS2023_Mo_batch\MST1B__xrf     2023-08-21  re-evaluated data
peakarea
filename	position (mm)	sample surface	validity	E-gain	E-offset	F-slope	F-offset	cps	MSE	Mg	Al	Si	P	S	Cl	Ar	K	Ca	Fe	Ni	Cu	Zn	Se	Br	Rb	Sr	Y	Zr	Tc	Rh	Pd	Ag	Cd	In	Sb	Te	I	Dy	Tm	Yb	Lu	Hf	Pb	Fe a*2	Fe a+b	Fe X1	Fe X2	Fe X3	W La	W Lb1	W lb2	W La in	W Lb1 in	W Lb2 in	Mo inc	Mo coh	Dt	
C:\Data\BAS2023_Mo_batch\MST1B__xrf\XRF data\L000000.spe	170.06	6.01	1	0.017521	-0.011353	0.009873	0.089277	43798	1.84	0.000	0.152	0.127	0.146	0.224	0.120	0.523	0.000	0.752	1.652	1.188	0.697	0.132	0.112	11.305	1.060	1.151	0.384	1.977	0.130	0.097	0.188	0.000	0.205	0.167	0.211	0.114	0.000	0.071	1.089	0.507	1.015	0.971	0.000	0.083	0.000	0.262	0.590	0.780	1.690	0.917	0.415	1.365	0.458	0.746	232.080	30.031	0.395	
C:\Data\BAS2023_Mo_batch\MST1B__xrf\XRF data\L000001.spe	171.06	5.99	1	0.017530	-0.011353	0.009873	0.089277	39881	1.42	0.000	0.069	0.102	0.162	0.157	0.026	0.390	0.000	0.619	1.417	1.251	0.584	0.141	0.000	8.088	0.644	0.686	0.386	1.979	0.129	0.139	0.120	0.124	0.084	0.134	0.110	0.163	0.000	0.437	0.783	0.165	1.038	1.100	0.000	0.099	0.000	0.351	0.421	0.617	1.468	0.734	0.257	1.191	0.389	0.516	213.147	28.116	0.378	
C:\Data\BAS2023_Mo_batch\MST1B__xrf\XRF data\L000002.spe	172.06	5.95	1	0.017534	-0.011353	0.009794	0.089277	41184	1.28	0.000	0.083	0.128	0.227	0.190	0.093	0.446	0.000	0.470	0.821	1.097	0.667	0.000	0.094	7.289	0.743	0.526	0.348	1.538	0.159	0.151	0.057	0.000	0.206	0.197	0.111	0.222	0.028	0.449	0.608	0.346	0.930	0.913	0.000	0.578	0.000	0.530	0.246	0.525	1.095	0.748	0.000	1.443	0.314	0.601	222.120	28.315	0.389	
C:\Data\BAS2023_Mo_batch\MST1B__xrf\XRF data\L000003.spe	173.06	5.90	1	0.017533	-0.011353	0.009794	0.089277	43742	1.33	0.000	0.028	0.066	0.122	0.129	0.000	0.256	0.000	0.622	1.100	1.153	0.794	0.156	0.255	9.349	0.109	0.446	0.029	2.122	0.169	0.111	0.172	0.015	0.204	0.172	0.164	0.095	0.038	0.314	0.694	0.551	1.089	1.116	0.000	0.612	0.050	0.371	0.324	0.404	1.421	0.547	0.053	1.600	0.187	0.594	235.794	29.522	0.400	
C:\Data\BAS2023_Mo_batch\MST1B__xrf\XRF data\L000004.spe	174.06	5.95	1	0.017533	-0.011353	0.009840	0.089277	42956	1.34	0.000	0.013	0.000	0.150	0.145	0.089	0.619	0.000	0.626	1.196	1.163	0.694	0.118	0.000	9.738	0.523	0.857	0.000	1.731	0.123	0.127	0.127	0.000	0.274	0.119	0.116	0.105	0.000	0.212	0.660	0.416	1.063	1.259	0.000	0.452	0.000	0.353	0.425	0.608	1.317	0.994	0.000	1.358	0.284	0.481	232.400	29.401	0.397	
C:\Data\BAS2023_Mo_batch\MST1B__xrf\XRF data\L000005.spe	175.06	5.98	1	0.017532	-0.011353	0.009870	0.089277	42333	1.30	0.000	0.057	0.102	0.180	0.223	0.037	0.317	0.000	0.654	0.803	1.057	0.569	0.042	0.000	9.167	1.056	0.782	0.391	2.086	0.081	0.133	0.099	0.108	0.081	0.162	0.114	0.034	0.064	0.428	0.818	0.680	1.234	1.318	0.000	0.200	0.000	0.353	0.333	0.609	1.133	0.670	0.361	1.683	0.368	0.755	227.691	28.571	0.393	
C:\Data\BAS2023_Mo_batch\MST1B__xrf\XRF data\L000006.spe	176.06	6.00	1	0.017531	-0.011353	0.009847	0.089277	42591	1.35	0.000	0.000	0.013	0.113	0.167	0.111	0.500	0.000	0.793	0.636	1.058	0.840	0.072	0.000	10.448	0.922	0.811	0.013	1.831	0.094	0.080	0.103	0.057	0.159	0.204	0.112	0.106	0.064	0.467	0.699	0.454	0.972	0.953	0.000	0.910	0.000	0.562	0.303	0.742	1.127	0.741	0.157	1.325	0.240	0.625	229.108	28.624	0.394	
C:\Data\BAS2023_Mo_batch\MST1B__xrf\XRF data\L000007.spe	177.06	6.00	1	0.017532	-0.011353	0.009803	0.089277	42144	1.37	0.000	0.102	0.070	0.141	0.157	0.028	0.379	0.034	0.570	0.888	1.015	0.785	0.000	0.171	11.213	0.459	0.822	0.000	1.314	0.091	0.111	0.105	0.114	0.030	0.157	0.121	0.121	0.050	0.015	0.938	0.625	1.044	1.160	0.000	0.000	0.158	0.405	0.330	0.464	1.123	0.225	0.342	1.232	0.314	0.608	225.615	28.745	0.392	
C:\Data\BAS2023_Mo_batch\MST1B__xrf\XRF data\L000008.spe	178.06	5.99	1	0.017530	-0.011353	0.009792	0.089277	41837	1.50	0.000	0.025	0.000	0.138	0.130	0.075	0.365	0.000	0.764	0.934	1.014	0.768	0.255	0.312	10.510	0.383	1.195	0.344	1.459	0.149	0.097	0.103	0.130	0.049	0.170	0.116	0.075	0.046	0.398	0.560	0.529	0.967	1.136	0.091	0.374	0.270	0.332	0.614	0.679	1.467	0.977	0.000	1.403	0.942	0.484	224.493	28.358	0.390	
C:\Data\BAS2023_Mo_batch\MST1B__xrf\XRF data\L000009.spe	179.06	6.00	1	0.017534	-0.011353	0.009703	0.089277	41113	1.41	0.000	0.057	0.138	0.173	0.216	0.080	0.445	0.000	0.558	0.401	1.088	0.684	0.273	0.000	10.533	0.384	0.610	0.206	1.559	0.139	0.133	0.086	0.121	0.151	0.167	0.198	0.101	0.048	0.299	0.677	0.435	0.788	0.984	0.000	0.697	1.373	0.319	0.331	0.447	0.949	0.578	0.000	1.069	0.506	0.778	220.450	27.814	0.387	
C:\Data\BAS2023_Mo_batch\MST1B__xrf\XRF data\L000010.spe	180.06	5.97	1	0.017533	-0.011353	0.009703	0.089277	42920	1.45	0.013	0.056	0.053	0.106	0.114	0.058	0.355	0.000	0.659	0.526	0.871	0.629	0.094	0.013	10.885	0.973	0.492	0.000	1.133	0.134	0.085	0.133	0.113	0.075	0.161	0.161	0.000	0.000	0.335	0.746	0.803	1.110	1.194	0.000	0.450	0.000	0.389	0.281	0.510	1.212	0.949	0.656	1.613	0.419	0.572	227.127	27.971	0.395	
C:\Data\BAS2023_Mo_batch\MST1B__xrf\XRF data\L000011.spe	181.06	5.99	1	0.017530	-0.011353	0.009667	0.089277	41611	1.26	0.000	0.098	0.147	0.176	0.193	0.113	0.470	0.000	0.639	0.388	0.753	0.554	0.024	0.000	10.676	0.923	0.568	0.253	1.570	0.127	0.153	0.088	0.020	0.170	0.243	0.175	0.061	0.033	0.121	0.697	0.753	1.027	0.796	0.000	0.019	0.000	0.325	0.234	0.561	0.793	0.864	0.302	1.303	0.735	0.372	223.802	27.989	0.389	
C:\Data\BAS2023_Mo_batch\MST1B__xrf\XRF data\L000012.spe	182.06	5.98	1	0.017529	-0.011353	0.009652	0.089277	41915	1.41	0.000	0.000	0.143	0.161	0.136	0.019	0.650	0.000	0.691	0.176	1.154	0.880	0.075	0.065	10.131	0.469	0.608	0.033	1.605	0.123	0.121	0.107	0.000	0.219	0.100	0.183	0.086	0.032	0.440	0.636	0.534	0.860	1.005	0.026	1.067	0.000	0.426	0.226	0.408	0.868	0.617	0.351	0.988	0.448	0.813	223.685	28.181	0.389	
