# A tibble: 47 × 9
   position       Ca      Ti     Mn         Fe       Sr       Zr    `Mo inc`   `Mo coh`
      <dbl>    (err)   (err)  (err)      (err)    (err)    (err)       (err)      (err)
 1     1122     0(0)    2(4)   0(0)       8(2)   50(40)     0(0)  13700(200)   1790(70)
 2     1124    97(7)  60(10)   0(0)   1130(30)   30(30) 400(200)  70700(500) 10000(100)
 3     1125  100(10)  70(10)   0(0)   1440(40)   20(20)   432(6)  72700(500) 10500(200)
 4     1126    92(2)  101(8)   4(5)   1770(10)  100(70)  310(90)  73000(800) 10700(300)
 5     1127  120(10)  70(10)   0(0)   2070(10)   70(60) 400(100)   73740(70) 10500(100)
 6     1128   123(6)  50(20)   0(0)   2010(30)   30(40) 300(100)   74090(90)  10580(50)
 7     1129   121(4)   80(2)   4(6)   2000(40)  90(100) 400(100)  74200(600)  10630(30)
 8     1130  120(30) 100(10)   4(5)   1960(40)   70(90) 300(100)  74100(400) 10600(300)
 9     1131   107(6)  80(20)   0(0)   1670(30)   60(20)  230(10)  74700(400)   10676(2)
10     1132   90(20)  90(30)   0(0)   1950(60)   70(90) 100(100)  75000(400) 10600(300)
11     1133  110(20)  80(30)   3(4)   2220(10)   40(60) 200(200)  74200(600) 10600(100)
12     1134  120(20)  80(60)   0(0)   2390(30)   40(50) 200(200)  74700(200) 10600(200)
13     1135   103(4)  80(20) 20(20)   2100(50)   50(60) 300(200)   74630(80) 10600(200)
14     1136    99(4)  70(30)   0(0)   1770(60)     0(0)   237(1)  74400(700) 10600(200)
15     1137   105(8) 100(20)   0(0)   1920(20)   10(20) 100(200)  75200(300) 10700(100)
16     1138  110(30)  70(40)   0(0)   1740(60)     0(0)   166(1)   74000(10) 10200(100)
17     1139    91(1)   66(8)   6(9)   1680(40)   30(40)  170(10)  73300(300) 10400(200)
18     1140   112(0)  50(10)   6(8)   1960(20)     0(0)  110(70)  75100(400) 10400(200)
19     1141 100.5(7)  70(50)  12(3)   1980(30)   70(10)  180(40)  74200(200)  10510(40)
20     1142  100(10) 100(30)   0(0)   2070(60)   20(10)   178(2)  75100(800)  10340(60)
21     1143   70(20)  80(40)   6(8)    2012(6) 100(200) 200(200)  73900(900)  10360(90)
22     1144   90(30)  90(20)   0(0)   2020(10)  110(70)  90(100)  74000(300) 10300(200)
23     1145  110(20) 120(10)   0(0)   2050(20)   80(60)   70(70)  74200(200) 10400(100)
24     1146  160(20)  149(4)   0(0)   2720(40)   60(20)  220(90)  73600(600)  10420(80)
25     1147  140(30) 100(20)   5(7)   2720(40)   70(90)  210(10)  74300(500) 10400(300)
26     1148  120(10)   85(6)   0(0)   2430(20)  90(100)   70(10)  73600(800) 10200(400)
27     1149   108(2)  80(20)   2(4)   2520(80)   50(70)  140(30)  73700(500) 10200(100)
28     1150  100(20)   90(3)  8(10)   2450(30)  80(100)     0(0)  73300(300) 10300(100)
29     1151    92(2) 110(50)   0(0)   3690(20)   60(80)  170(40)  72000(400)   10318(2)
30     1152   80(10)  100(4)   0(0) 15400(100)     0(0)     0(0)  71800(100)    9974(5)
31     1153   100(2) 100(20)   0(0)   3190(60)   40(60) 200(100)  73100(300) 10200(200)
32     1154   90(50)  60(10)   2(4)   2950(10)     0(0) 100(200)  73800(600)  10310(80)
33     1155   80(30)  80(40)   0(0)   2700(20)   20(30)  140(30)  74500(300) 10400(200)
34     1156   114(6)   88(9)   0(0)   2710(70)   90(50)   30(50)  74500(400) 10400(400)
35     1157   90(20)  70(40)   0(0)   2560(20) 100(100)   30(40)  74700(900)  10210(80)
36     1158  100(10) 110(20)   0(0)  3000(100)   50(80)   50(80)  73800(600) 10300(100)
37     1159    88(4) 110(10)   0(0)    2481(3)  120(60)     0(0)   72250(20)  10070(60)
38     1160  110(10)  124(4)   0(0)   2650(10)   30(40)   70(20)  72500(400) 10100(100)
39     1161    83(7)  70(10)   0(0)   2260(20)   60(40)     0(0)  73200(800) 10300(200)
40     1162   60(20)   90(8)   0(0)   2270(30)    58(5) 200(200) 74000(1000) 10400(200)
41     1163   90(10)  60(50)   0(0)   2300(40)   30(40)     4(5)  74200(400) 10300(100)
42     1164   90(10) 100(30)   0(0)   2580(40)   60(80)     0(0)  74300(400)  10440(80)
43     1165    83(6)   84(4)   0(0)   2600(20)     0(0)     0(0)  74500(700)  10300(70)
44     1166    94(3)  70(10)   0(0)   2600(30)   20(20)     0(0)  74400(600) 10200(100)
45     1167   80(20)   86(7)   0(0)   2470(40)    32(8)   30(40)   73550(60)  9900(300)
46     1168   80(20)  100(2)   0(0)   2800(20)     0(0)   30(30)  73500(200)  10220(30)
47     1169  80.5(7)  113(1) 10(10)   2220(20)    18(1) 100(100)  73200(800)  10140(20)
