"Location","Site","Section","sample","min_depth","max_depth","midpoint","Cu","Cu_sd","Cu_ICP","Cu_ICP_sd","Cu_fit_OLS","Cu_lwr_OLS","Cu_upr_OLS","Cu_fit_WLS","Cu_lwr_WLS","Cu_upr_WLS"
"Bird Island","BI10","BI10.1",1,0,1.1,0.6,0.372548029429469,0.0186274014714735,-2.12531618636997,-0.106265809318499,-1.79463160467564,-3.205437462511,-0.383825746840289,-1.73307443585438,-3.35044813284804,-0.115700738860717
"Bird Island","BI10","BI10.1",4,3.9,5,4.5,0.835770609214755,0.0417885304607377,-2.17090670474982,-0.108545335237491,-1.64542539491801,-3.06201419591687,-0.228836593919152,-1.53599877052244,-3.33400471591969,0.262007174874818
"Bird Island","BI10","BI10.1",10,11.7,12.8,12.3,0.477548835731455,0.0238774417865727,-2.09689470641358,-0.104844735320679,-1.76081034247146,-3.17262874375272,-0.348991941190204,-1.68840238257937,-3.34660328863197,-0.0302014765267775
"Bird Island","BI10","BI10.1",22,26.7,27.8,27.2,-0.20825808477765,-0.0104129042388825,-1.86135317033261,-0.0930676585166307,-1.98171203358105,-3.39009655328523,-0.573327513876875,-1.98017541145726,-3.37332280690596,-0.587028016008563
"Bird Island","BI10","BI10.1",30,36.3,37.2,36.7,-0.217303929711652,-0.0108651964855826,-2.29698600257009,-0.114849300128505,-1.9846257435243,-3.39301523828386,-0.576236248764736,-1.98402391968345,-3.37370475780967,-0.594343081557221
"Bird Island","BI10","BI10.1",34,40.9,41.9,41.4,0.281854028856893,0.0140927014428446,-2.10946612672938,-0.105473306336469,-1.8238445762874,-3.23391720318826,-0.413771949386526,-1.77165973217724,-3.35383212062609,-0.1894873437284
"Bird Island","BI10","BI10.2",45,44,45,44.5,-0.199713714900078,-0.00998568574500391,-3.28717186323751,-0.164358593161876,-1.97895985115335,-3.38734087490756,-0.570578827399144,-1.97654025321596,-3.37296286782485,-0.580117638607068
"Bird Island","BI10","BI10.2",51,51.9,52.9,52.4,0.465200545865302,0.0232600272932651,-1.43919851548374,-0.0719599257741872,-1.76478778573162,-3.17647800924865,-0.353097562214584,-1.69365589902542,-3.34705156212012,-0.0402602359307305
"Bird Island","BI10","BI10.2",54,55.3,56.3,55.8,0.618021690514015,0.0309010845257007,-2.87738168075736,-0.143869084037868,-1.71556336369583,-3.12901034992441,-0.302116377467247,-1.62863892862559,-3.34157264750406,0.0842947902528772
"Bird Island","BI10","BI10.2",62,64.4,65.4,64.9,-0.416226885440351,-0.0208113442720176,-0.44052288966772,-0.022026144483386,-2.04869977953485,-3.45752982426397,-0.639869734805737,-2.06865466861672,-3.38234915147199,-0.754960185761443
"Bird Island","BI10","BI10.2",67,70.1,71.2,70.6,0.0166962420825117,0.000834812104125586,-1.63981914139546,-0.0819909570697731,-1.90925316835272,-3.31793537850651,-0.500570958198922,-1.88446974949274,-3.36410123760226,-0.404838261383214
"Bird Island","BI10","BI10.2",71,74.7,75.8,75.2,0.481847500254394,0.0240923750127197,-1.10084599198705,-0.0550422995993527,-1.75942572205684,-3.17128931313284,-0.347562130980832,-1.68657353785576,-3.34644747338117,-0.0266996023303605
"Bird Island","BI10","BI10.2",81,86.5,87.5,87,0.290058309935004,0.0145029154967502,-1.62204439811832,-0.0811022199059159,-1.82120193808954,-3.23133549792839,-0.411068378250679,-1.76816926296741,-3.35352348789601,-0.182815038038814
"Bird Island","BI10","BI10.3",88,84.8,85.8,85.3,0.327176862888552,0.0163588431444276,-1.06551795879487,-0.0532758979397433,-1.80924587454779,-3.21966852945213,-0.398823219643441,-1.75237736542461,-3.35213346028179,-0.152621270567442
"Bird Island","BI10","BI10.3",95,93,94,93.5,-0.313228524271031,-0.0156614262135516,-1.57964606443596,-0.078982303221798,-2.01552351449085,-3.424046376158,-0.607000652823708,-2.02483454532965,-3.37781298649852,-0.671856104160781
"Bird Island","BI10","BI10.3",98,96.3,97.3,96.8,-0.515232028680904,-0.0257616014340452,-1.67315492911032,-0.0836577464555159,-2.08058980997396,-3.48987509178071,-0.671304528167215,-2.11077589786349,-3.38684231213949,-0.834709483587478
"Bird Island","BI10","BI10.3",104,103.2,104.2,103.7,-0.241807094331257,-0.0120903547165628,-1.32002689646471,-0.0660013448232353,-1.99251833011119,-3.40092788257109,-0.58410877765129,-1.99444866511012,-3.37474401187053,-0.614153318349707
"Bird Island","BI10","BI10.3",114,114.9,115.9,115.4,0.355870508383117,0.0177935254191559,-0.695703770737642,-0.0347851885368821,-1.80000351401701,-3.21066470121614,-0.389342326817871,-1.74016980145124,-3.35106589525521,-0.129273707647275
"Bird Island","BI10","BI10.3",120,121.8,122.7,122.3,0.585451512524099,0.0292725756262049,0.00793031335121253,0.000396515667560627,-1.72605437389498,-3.13909587773926,-0.313012870050707,-1.64249574342145,-3.34272809274557,0.0577366059026849
"Bird Island","BI10","BI10.4",135,129.4,130.4,129.9,0.116765720249992,0.00583828601249962,-0.154838744258429,-0.00774193721292145,-1.87702031054014,-3.28609522511931,-0.467945395960974,-1.84189570442262,-3.36015568111099,-0.323635727734245
"Bird Island","BI10","BI10.4",145,141,142,141.5,0.28879025923216,0.014439512961608,-1.09512188719655,-0.0547560943598275,-1.82161038328934,-3.23173445519555,-0.411486311383118,-1.76870874862041,-3.35357115672398,-0.183846340516832
"Bird Island","BI10","BI10.4",155,152.7,153.8,153.2,0.338366039766199,0.0169183019883099,-0.847155394083254,-0.0423577697041627,-1.80564178712831,-3.216155897508,-0.395127676748617,-1.747616987641,-3.3517164461155,-0.143517529166499
"Bird Island","BI10","BI10.4",165,164.8,165.8,165.3,-0.0281194822424473,-0.00140597411212236,-0.840453530858274,-0.0420226765429137,-1.92368852762896,-3.33224681126191,-0.515130243996011,-1.90353636902749,-3.36589801921498,-0.44117471884001
"Bird Island","BI10","BI10.4",168,168.4,170,169.2,-0.144278725740812,-0.0072139362870406,-2.09151305849895,-0.104575652924947,-1.96110397585417,-3.36949071395321,-0.552717237755135,-1.95295572204674,-3.37064699512067,-0.535264448972812
"Bird Island","BI10","BI10.5",181,174.6,175.6,175.1,-0.0428107170517003,-0.00214053585258502,-1.08319265479248,-0.054159632739624,-1.92842064466774,-3.3369452996614,-0.519895989674083,-1.90978667935546,-3.36649120874311,-0.453082149967823
"Bird Island","BI10","BI10.5",191,186.6,187.6,187.1,0.220579208272423,0.0110289604136211,-1.80298447800585,-0.0901492239002924,-1.84358148923586,-3.25323300154983,-0.433929976921894,-1.79772878960613,-3.35615359625984,-0.239303982952414
"Bird Island","BI10","BI10.5",194,190.3,191.3,190.8,0.338356349086262,0.0169178174543131,-2.16242190382251,-0.108121095191126,-1.80564490854269,-3.21615893885148,-0.395130878233907,-1.74762111049096,-3.35171680688503,-0.143525414096899
"Bird Island","BI10","BI10.5",197,194,195,194.5,0.0774048117675059,0.00387024058837529,-1.19367513015904,-0.059683756507952,-1.88969864752883,-3.29859998634899,-0.480797308708676,-1.85864160059817,-3.36169694738784,-0.355586253808502
"Bird Island","BI10","BI10.5",202,199.9,200.8,200.3,-0.0917713379502046,-0.00458856689751023,-0.52020035502762,-0.026010017751381,-1.94419109496624,-3.35262862214907,-0.535753567783406,-1.93061672383022,-3.36848342619607,-0.492750021464367
"Bird Island","BI10","BI10.6",218,209.5,210.5,210,-0.460253054512182,-0.0230126527256091,-2.06152070582245,-0.103076035291123,-2.06288081928555,-3.47189394915902,-0.653867689412082,-2.08738537592781,-3.38433042174426,-0.79044033011136
"Bird Island","BI10","BI10.6",228,221.4,222.4,221.9,-0.197808202127319,-0.00989041010636595,-1.05295225548103,-0.0526476127740515,-1.97834607637018,-3.38672647990168,-0.569965672838678,-1.97572956260225,-3.37288270680227,-0.578576418402229
"Bird Island","BI10","BI10.6",239,234.2,235.2,234.7,-0.0733738886838181,-0.0036686944341909,-0.47969291655899,-0.0239846458279495,-1.93826518851427,-3.34673095397222,-0.529799423056318,-1.92278962361359,-3.36773203116889,-0.477847216058295
"Bird Island","BI10","BI10.6",247,243.9,245,244.5,0.205230661414715,0.0102615330707358,-0.278331566861719,-0.013916578343086,-1.8485253296311,-3.2580807465075,-0.438969912754693,-1.80425874996614,-3.35673972460703,-0.251777775325252
"Bird Island","BI10","BI10.7",259,250.7,251.7,251.2,0.324260865073745,0.0162130432536873,-0.894622417170144,-0.0447311208585072,-1.8101851313988,-3.22058428005992,-0.399785982737688,-1.75361796170497,-3.35224228889522,-0.154993634514724
"Bird Island","BI10","BI10.7",271,265,266,265.5,0.0165008016681916,0.000825040083409579,-0.122807639357244,-0.00614038196786218,-1.90931612064547,-3.31799772057753,-0.50063452071342,-1.88455289861233,-3.3641090322876,-0.404996764937063
"Bird Island","BI10","BI10.7",280,275.9,276.9,276.4,-0.104853170155565,-0.00524265850777827,-1.00729598009005,-0.0503647990045025,-1.94840481572431,-3.3568255601773,-0.539984071271306,-1.93618232209364,-3.36901980312199,-0.5033448410653
"Bird Island","BI10","BI10.8",300,289.7,290.8,290.3,0.00481371311608725,0.000240685655804363,-0.596804139959854,-0.0298402069979927,-1.91308058779811,-3.32172680840165,-0.50443436719457,-1.88952511035828,-3.36457579250524,-0.414474428211329
"Bird Island","BI10","BI10.8",303,293.4,294.4,293.9,-0.00797825073102088,-0.000398912536551044,-0.462628806483747,-0.0231314403241873,-1.91720094057078,-3.32581094276701,-0.50859093837456,-1.89496738561879,-3.36508814979643,-0.42484662144114
"Bird Island","BI10","BI10.8",311,303.1,304,303.6,-0.526870486197603,-0.0263435243098801,-1.25713100769457,-0.0628565503847283,-2.08433861283736,-3.49368770273425,-0.674989522940475,-2.11572741978542,-3.38737960282221,-0.84407523674863
"Bird Island","BI10","BI10.8",318,311.7,312.8,312.2,-0.103318998755028,-0.00516594993775142,-0.757900174947881,-0.037895008747394,-1.94791065177423,-3.35633322259625,-0.539488080952199,-1.93552961675783,-3.36895680915481,-0.502102424360854
"Bird Island","BI10","BI10.8",326,321.7,322.8,322.2,0.0215049845736296,0.00107524922868148,-1.57782899496413,-0.0788914497482064,-1.9077042493835,-3.31640166636274,-0.499006832404252,-1.88242389471967,-3.36390956390419,-0.400938225535145
"Bird Island","BI10","BI10.9",342,332.1,333.1,332.6,-0.185560103980571,-0.00927800519902855,-0.705229190540346,-0.0352614595270173,-1.97440090534233,-3.38277871017765,-0.566023100507004,-1.97051867220818,-3.37236840933135,-0.568668935084999
"Bird Island","BI10","BI10.9",348,339.5,340.5,340,0.102253260740148,0.0051126630370074,-0.400683947362403,-0.0200341973681202,-1.88169484319943,-3.2907028766117,-0.47268680978715,-1.84806995571846,-3.36072237567057,-0.335417535766361
"Bird Island","BI10","BI10.9",361,355.7,356.7,356.2,-0.00400989873604402,-0.000200494936802201,-0.882016866915705,-0.0441008433457853,-1.91592271540216,-3.32454367316153,-0.507301757642801,-1.8932790706622,-3.36492903984695,-0.421629101477439
"Bird Island","BI10","BI10.9",365,360.7,361.7,361.2,-0.572628266625438,-0.0286314133312719,-0.898240145166787,-0.0449120072583394,-2.09907741289267,-3.50869835147502,-0.68945647431032,-2.13519483224642,-3.3895114564801,-0.880878208012735
"Bird Island","BI10","BI10.9",372,369.1,371,370.1,0.0707024738497612,0.00353512369248806,-1.17119051239138,-0.058559525619569,-1.891857502647,-3.30073175394154,-0.482983251352463,-1.8614930758113,-3.36196075118239,-0.3610254004402
"Bird Island","BI10","BI10.10",379,367.3,368.4,367.9,-0.419714341996689,-0.0209857170998344,-0.60329200886533,-0.0301646004432665,-2.0498231059813,-3.45866652282159,-0.640979689141018,-2.07013838908102,-3.38250514174269,-0.75777163641936
"Bird Island","BI10","BI10.10",386,375.7,376.6,376.1,-0.0236713100846284,-0.00118356550423142,-0.871518254409114,-0.0435759127204557,-1.92225575008965,-3.330824897077,-0.513686603102302,-1.90164391704918,-3.36571882617264,-0.437569007925728
"Bird Island","BI10","BI10.10",390,380.5,381.5,381,0.0495726113630407,0.00247863056815204,-1.18103017657962,-0.0590515088289812,-1.89866353247354,-3.30745709096718,-0.489869973979894,-1.8704826671863,-3.36279505449404,-0.37817027987855
"Bird Island","BI10","BI10.10",392,382.9,384,383.4,-0.303348651186353,-0.0151674325593176,-0.773078610781154,-0.0386539305390577,-2.01234116008893,-3.42084348044597,-0.603838839731885,-2.02063120411416,-3.37738483344041,-0.663877574787912
"Bird Island","BI10","BI10.10",396,387.7,388.8,388.2,0.19290132992471,0.00964506649623549,-2.1000229039025,-0.105001145195125,-1.85249666630756,-3.26197761595485,-0.44301571666028,-1.80950420066852,-3.35721192857062,-0.261796472766421
"Bird Island","BI10","BI10.10",403,396.3,397.4,396.8,-0.212247208009604,-0.0106123604004802,-0.894515340057921,-0.0447257670028961,-1.98299694926451,-3.39138350141773,-0.574610397111276,-1.98187256342985,-3.37349113046594,-0.590253996393756
"Bird Island","BI10","BI10.10",410,404.6,405.6,405.1,0.0105408164707281,0.000527040823536406,-0.52768383986991,-0.0263841919934955,-1.91123586039982,-3.31989914506061,-0.502572575739034,-1.88708854367675,-3.36434690331477,-0.409830184038729
"Bird Island","BI10","BI10.11",422,409.9,410.9,410.4,0.000925256543246513,0.0000462628271623257,-1.44208610796724,-0.0721043053983618,-1.91433307826891,-3.32296801229199,-0.505698144245834,-1.89117943421824,-3.36473137385058,-0.417627494585889
"Bird Island","BI10","BI10.11",424,412.2,413.2,412.7,-0.170586650032605,-0.00852933250163027,-0.749379949961514,-0.0374689974980757,-1.96957788416838,-3.37795577542447,-0.561199992912282,-1.96414829319841,-3.3717419017209,-0.556554684675924
"Bird Island","BI10","BI10.11",427,415.8,416.8,416.3,-0.010802823993855,-0.000540141199692748,-1.12905214306352,-0.0564526071531758,-1.91811074913609,-3.32671310697858,-0.509508391293589,-1.89616908579348,-3.36520149121692,-0.427136680370048
"Bird Island","BI10","BI10.11",439,430.3,431.3,430.8,-0.0771457120851203,-0.00385728560425602,-1.27289201492281,-0.0636446007461404,-1.93948011088236,-3.34793964536589,-0.531020576398825,-1.92439432649028,-3.36788580415896,-0.480902848821588
"Bird Island","BI10","BI10.11",443,435.2,436.3,435.7,-0.0746374901933724,-0.00373187450966862,-0.605499562537626,-0.0302749781268813,-1.93867220060762,-3.34713585325154,-0.530208547963694,-1.92332721638017,-3.36778353092918,-0.478870901831171
"Bird Island","BI10","BI10.11",449,442.8,443.8,443.3,-0.519066316141549,-0.0259533158070775,-0.892467186928336,-0.0446233593464168,-2.08182485231449,-3.49113091658529,-0.672518788043687,-2.11240717575312,-3.38701910447418,-0.837795247032052
"Bird Island","BI10","BI10.12",461,447.5,448.7,448.1,-0.196995388156936,-0.00984976940784681,-2.17100655416143,-0.108550327708072,-1.9780842651005,-3.38646442176,-0.569704108440986,-1.97538375507689,-3.37284852559154,-0.577918984562247
"Bird Island","BI10","BI10.12",465,452.8,453.9,453.4,-1.05865758151463,-0.0529328790757315,-1.77353917071898,-0.0886769585359493,-2.25562978117171,-3.6701967918436,-0.841062770499823,-2.34197350578823,-3.41443439540938,-1.26951261616708
"Bird Island","BI10","BI10.12",469,458.3,459.3,458.8,-0.428445867215468,-0.0214222933607734,-1.95593354012219,-0.0977966770061094,-2.05263557204006,-3.46151332189191,-0.643757822188217,-2.07385317160016,-3.38289640594431,-0.764809937256004
"Bird Island","BI10","BI10.12",475,466.1,467.2,466.6,-0.229061776803402,-0.0114530888401701,-2.2896600104052,-0.11448300052026,-1.98841300234118,-3.39681092204432,-0.580015082638038,-1.98902623528635,-3.37420259426517,-0.603849876307532
"Bird Island","BI10","BI10.12",479,471.4,472.4,471.9,-0.215280035453098,-0.0107640017726549,-0.94689653845626,-0.047344826922813,-1.98397383749802,-3.39236210537112,-0.575585569624925,-1.98316286427516,-3.37361922154963,-0.59270650700068
"Bird Island","BI10","BI10.12",484,478.2,479.2,478.7,0.201284375411498,0.0100642187705749,-0.880661673572347,-0.0440330836786174,-1.84979644723817,-3.259327764948,-0.440265129528338,-1.80593767705997,-3.35689073059484,-0.254984623525101
"Bird Island","BI10","BI10.13",506,473.4,474.5,474,-0.359153254184365,-0.0179576627092183,-1.37773631263946,-0.0688868156319731,-2.0303160897744,-3.4389549448378,-0.621677234710993,-2.04437298559104,-3.37981892640013,-0.708927044781947
"Bird Island","BI10","BI10.13",519,491,492,491.5,0.111856478490041,0.00559282392450205,-0.44213008246959,-0.0221065041234795,-1.8786016008048,-3.28765351405913,-0.469549687550475,-1.84398431609299,-3.36034717729374,-0.327621454892226
"Bird Island","BI10","BI10.13",522,494.8,495.8,495.3,-0.0379048866373655,-0.00189524433186828,-0.6273838064526,-0.03136919032263,-1.92684045321383,-3.33537595357473,-0.518304952852919,-1.90769951902455,-3.36629289273796,-0.449106145311147
"Bird Island","BI10","BI10.13",525,498.7,499.7,499.2,0.0440310068590745,0.00220155034295372,-1.24884095456733,-0.0624420477283665,-1.9004485098043,-3.30922208772468,-0.491674931883914,-1.87284031433539,-3.36301452967703,-0.382666098993743
"Bird Island","BI10","BI10.13",529,503.9,505.1,504.5,0.715034791209707,0.0357517395604854,0.25451588515715,0.0127257942578575,-1.68431497969359,-3.0990692407102,-0.269560718676979,-1.58736520363926,-3.33816819908361,0.163437791805103
"Isla Hermite","HER42PB","HER42PB_1A",3,2.5,3.7,3.1,-0.56744768922628,-0.028372384461314,-1.99780682187059,-0.0998903410935295,-2.09740872412011,-3.50699720575114,-0.687820242489082,-2.13299078222318,-3.38926851297673,-0.876713051469623
"Isla Hermite","HER42PB","HER42PB_1A",5,5.3,6.5,5.9,-0.883728817684341,-0.044186440884217,-1.84787194547315,-0.0923935972736574,-2.1992843891988,-3.61163882244665,-0.786929955950953,-2.26755096245381,-3.4049279876505,-1.13017393725713
"Isla Hermite","HER42PB","HER42PB_1A",7,8.1,9.3,8.7,-0.922221088435862,-0.0461110544217931,-1.79230064766584,-0.0896150323832919,-2.21168293381738,-3.62448261717417,-0.798883250460585,-2.28392730117204,-3.40696206081808,-1.160892541526
"Isla Hermite","HER42PB","HER42PB_1A",9,10.9,12.1,11.5,-0.638788121987886,-0.0319394060993943,-1.61520340809858,-0.0807601704049292,-2.12038781892106,-3.53046093506386,-0.710314702778261,-2.16334220260963,-3.39265073759499,-0.934033667624271
"Isla Hermite","HER42PB","HER42PB_1A",13,16.3,17.5,16.9,-0.086979225405613,-0.00434896127028065,-1.67870094251917,-0.0839350471259586,-1.94264753258238,-3.35109189327045,-0.53420317189431,-1.92857794418241,-3.36828737666967,-0.488868511695149
"Isla Hermite","HER42PB","HER42PB_1A",16,20.5,21.6,21.1,-0.227019492944658,-0.0113509746472329,-1.93160454566303,-0.0965802272831516,-1.98775517293668,-3.39615147041167,-0.579358875461689,-1.9881573561172,-3.37411601031447,-0.602198701919924
"Isla Hermite","HER42PB","HER42PB_1A",20,26.1,27.3,26.7,-0.662117596469526,-0.0331058798234763,-1.57299054382438,-0.0786495271912189,-2.12790235429768,-3.53815157691633,-0.71765313167902,-2.17326760760057,-3.39377443389955,-0.952760781301576
"Isla Hermite","HER42PB","HER42PB_1A",25,33.1,34.1,33.6,-0.771594990510279,-0.038579749525514,-1.59015688193847,-0.0795078440969234,-2.16316554683578,-3.57435706317718,-0.751974030494369,-2.21984420211672,-3.39917136926344,-1.04051703497001
"Isla Hermite","HER42PB","HER42PB_1A",28,37.1,38.2,37.7,-0.83118557753443,-0.0415592788767215,-1.76700445637164,-0.088350222818582,-2.18235996009436,-3.59414458985857,-0.770575330330145,-2.24519671103533,-3.40220017534953,-1.08819324672113
"Isla Hermite","HER42PB","HER42PB_1A",31,41.2,42.3,41.7,-0.723797418590277,-0.0361898709295138,-2.01355570591665,-0.100677785295833,-2.14776972017917,-3.55852634704764,-0.737013093310691,-2.19950897085112,-3.39678930491339,-1.00222863678885
"Isla Hermite","HER42PB","HER42PB_1B",40,43.1,44.2,43.7,-0.363723279753058,-0.0181861639876529,-1.73864771442254,-0.0869323857211272,-2.0317881168805,-3.44044036125252,-0.623135872508475,-2.04631727947661,-3.38001998268751,-0.712614576265705
"Isla Hermite","HER42PB","HER42PB_1B",48,54,55.1,54.5,-0.572514273122972,-0.0286257136561486,-1.84512762915814,-0.0922563814579069,-2.09904069504,-3.50866091482714,-0.689420475252856,-2.13514633429679,-3.38950610634524,-0.880786562248336
"Isla Hermite","HER42PB","HER42PB_1B",50,56.7,57.8,57.2,-0.377155160172899,-0.0188577580086449,-1.98884329984377,-0.0994421649921886,-2.03611458984365,-3.44480812182245,-0.62742105786484,-2.05203180395343,-3.38061245196126,-0.723451155945598
"Isla Hermite","HER42PB","HER42PB_1B",56,64.7,65.8,65.2,-0.517321316802687,-0.0258660658401343,-1.63029924331478,-0.081514962165739,-2.08126277967653,-3.49055935663372,-0.671966202719345,-2.11166477475472,-3.38693861910397,-0.836390930405473
"Isla Hermite","HER42PB","HER42PB_1B",60,69.9,70.9,70.4,-0.394263416356588,-0.0197131708178294,-1.84739946390685,-0.0923699731953427,-2.04162524103408,-3.45037554158686,-0.632874940481312,-2.05931042360024,-3.3813704435357,-0.737250403664767
"Isla Hermite","HER42PB","HER42PB_1B",63,73.7,74.8,74.3,-0.166413885185073,-0.00832069425925365,-1.70255501827266,-0.0851277509136331,-1.9682338166417,-3.37661237162371,-0.559855261659703,-1.96237301184451,-3.37156774101815,-0.553178282670859
"Isla Hermite","HER42PB","HER42PB_1B",69,81.5,82.5,82,-0.980148105227803,-0.0490074052613902,-1.85335439299391,-0.0926677196496953,-2.23034150314294,-3.64385553452468,-0.816827471761205,-2.30857205268708,-3.41008294844144,-1.20706115693273
"Isla Hermite","HER42PB","HER42PB_1C",80,86.5,87.8,87.2,-0.72089353729073,-0.0360446768645365,-1.9083035102178,-0.09541517551089,-2.1468343661157,-3.55756574430756,-0.736102987923843,-2.19827352947989,-3.3966458965515,-0.999901162408281
"Isla Hermite","HER42PB","HER42PB_1C",86,94.8,96,95.4,-0.304605407413374,-0.0152302703706687,-1.71501356582656,-0.0857506782913282,-2.01274596728401,-3.42125081383054,-0.604241120737485,-2.02116588459048,-3.37743923050367,-0.664892538677285
"Isla Hermite","HER42PB","HER42PB_1C",90,100.2,101.4,100.8,0.10007892817629,0.00500394640881453,-1.72275211231341,-0.0861376056156706,-1.88239520612378,-3.2913935091373,-0.473396903110263,-1.8489950143304,-3.36080743825552,-0.337182590405287
"Isla Hermite","HER42PB","HER42PB_1C",91,101.6,103.1,102.3,-0.174546309716948,-0.00872731548584741,-1.43146924666088,-0.0715734623330441,-1.97085330950214,-3.37923082874402,-0.562475790260265,-1.96583291005613,-3.37190734190228,-0.559758478209969
"Isla Hermite","HER42PB","HER42PB_1C",97,109.8,111,110.4,-0.813254174076764,-0.0406627087038382,-2.04341759145365,-0.102170879572683,-2.1765841692277,-3.5881843843627,-0.764983954092702,-2.23756788761227,-3.40128168933567,-1.07385408588887
"Isla Hermite","HER42PB","HER42PB_1C",104,119.2,120.3,119.8,-0.277101760411173,-0.0138550880205587,-1.90574355623657,-0.0952871778118287,-2.00388691096251,-3.41234225105182,-0.595431570873203,-2.00946459935838,-3.37625309522612,-0.642676103490643
"Isla Hermite","HER42PB","HER42PB_1D",118,127.3,128.4,127.8,0.324105864342442,0.0162052932171221,-1.97875035941952,-0.098937517970976,-1.81023505787613,-3.22063296085051,-0.39983715490175,-1.75368390596931,-3.35224807546679,-0.15511973647183
"Isla Hermite","HER42PB","HER42PB_1D",121,130.9,132.2,131.6,-0.221291068780981,-0.0110645534390491,-1.58499920663119,-0.0792499603315593,-1.98591002009948,-3.39430212374613,-0.577517916452823,-1.98572022750424,-3.37387340170925,-0.597567053299236
"Isla Hermite","HER42PB","HER42PB_1D",131,143.2,144.4,143.8,0.377519823719028,0.0188759911859514,-1.90680738442633,-0.0953403692213167,-1.79303016594184,-3.20388000943066,-0.382180322453022,-1.73095921153185,-3.35026435390822,-0.111654069155478
"Isla Hermite","HER42PB","HER42PB_1D",137,150.7,151.9,151.3,0.0207799377550565,0.00103899688775282,-1.70254313202684,-0.0851271566013418,-1.90793779043356,-3.31663289088659,-0.499242689980529,-1.88273236216146,-3.36393845011241,-0.401526274210515
"Isla Hermite","HER42PB","HER42PB_1D",144,159.2,160.3,159.8,-0.29606379300296,-0.014803189650148,-1.85858128281646,-0.0929290641408228,-2.00999467240547,-3.4184828476208,-0.60150649719014,-2.01753189864851,-3.37706989254171,-0.657993904755311
"Isla Hermite","HER42PB","HER42PB_1D",147,162.9,164.1,163.5,-0.634947261689348,-0.0317473630844674,-1.62961389461787,-0.0814806947308933,-2.11915065943799,-3.52919561461669,-0.709105704259298,-2.16170812833991,-3.39246658871097,-0.93094966796885
"Isla Hermite","HER42PB","HER42PB_1E",158,169.3,170.5,169.9,0.265266822038113,0.0132633411019057,-1.77365084150291,-0.0886825420751455,-1.82918739498385,-3.23914010985507,-0.419234680112631,-1.77871667405025,-3.35445767397053,-0.202975674129974
"Isla Hermite","HER42PB","HER42PB_1E",162,175.6,176.8,176.2,-0.226131780363326,-0.0113065890181663,-1.39104666139333,-0.0695523330696668,-1.98746923646597,-3.395864849636,-0.579073623295949,-1.98777968336283,-3.3740783898873,-0.601480976838371
"Isla Hermite","HER42PB","HER42PB_1E",166,181.9,183.1,182.5,0.395010455631546,0.0197505227815773,-1.67990097705875,-0.0839950488529374,-1.78739634969924,-3.19840406223982,-0.376388637158661,-1.72351791209685,-3.34961921468687,-0.097416609506825
"Isla Hermite","HER42PB","HER42PB_1E",174,194.9,196.1,195.5,-0.0498578654871717,-0.00249289327435858,-1.92129907903311,-0.0960649539516556,-1.9306905649038,-3.33920031489217,-0.522180814915431,-1.91278485243083,-3.36677649737288,-0.45879320748878
"Isla Hermite","HER42PB","HER42PB_1E",179,202.5,203.6,203,0.0226769294393122,0.00113384647196561,-1.49112749480247,-0.0745563747401233,-1.90732676033377,-3.31602793946666,-0.498625581200886,-1.88192529680105,-3.36386288336639,-0.399987710235716
"Isla Hermite","HER42PB","HER42PB_1F",184,201.4,202.5,202,-0.529284616000936,-0.0264642308000468,-1.94013285273413,-0.0970066426367066,-2.08511621560013,-3.49447881207433,-0.675753619125933,-2.11675449890019,-3.38749129926447,-0.846017698535913
