"Location","Site","Section","sample","min_depth","max_depth","midpoint","SH20_age","Ca","Ca_sd","Ca_ICP","Ca_ICP_sd","fit","lwr","upr"
"Bird Island","BI10","BI10.1",1,0,1.1,0.6,-55.4909090909091,42,15.8113883008419,1557.061769,23.70865277,3479.02815486804,-4956.84701300047,11914.9033227366
"Bird Island","BI10","BI10.1",4,3.9,5,4.5,5.21666666666667,43.0833333333333,12.12404322998,1397.543318,16.95048652,3512.76850972409,-4922.60454710282,11948.141566551
"Bird Island","BI10","BI10.1",10,11.7,12.8,12.3,132.083333333333,56.5,15.8200103436353,2547.021617,33.02866289,3930.62982755672,-4498.71406765523,12359.9737227687
"Bird Island","BI10","BI10.1",22,26.7,27.8,27.2,382.866666666667,125.083333333333,20.7822403785423,6361.863436,96.22229039,6066.65383113591,-2337.36475437867,14470.6724166505
"Bird Island","BI10","BI10.1",30,36.3,37.2,36.7,541.72,217.7,27.9087799805008,8442.247188,102.4072847,8951.19463013705,566.68892362282,17335.7003366513
"Bird Island","BI10","BI10.1",34,40.9,41.9,41.4,618.7,171.727272727273,21.74898116736,8467.75867,27.42631931,7519.37666224575,-872.697558882406,15911.4508833739
"Bird Island","BI10","BI10.2",45,44,45,44.5,670.06,248,30.2397824801113,10818.31417,94.24288942,9894.88640134166,1513.08139793989,18276.6914047434
"Bird Island","BI10","BI10.2",51,51.9,52.9,52.4,800.245454545455,201.454545454545,15.5843744588202,6975.196896,67.76762951,8445.23087521875,58.5283432972628,16831.9334071402
"Bird Island","BI10","BI10.2",54,55.3,56.3,55.8,856.145454545455,175,17.3723918905832,7326.374157,349.9533771,7621.30556642625,-770.091715200999,16012.7028480535
"Bird Island","BI10","BI10.2",62,64.4,65.4,64.9,1005.71818181818,270.909090909091,43.279220292086,5816.665099,70.73844961,10608.3887306053,2227.41763016082,18989.3598310497
"Bird Island","BI10","BI10.2",67,70.1,71.2,70.6,1100.56666666667,387.833333333333,65.1513389708682,9084.977882,46.04204392,14249.9875896842,5857.07155391309,22642.9036254553
"Bird Island","BI10","BI10.2",71,74.7,75.8,75.2,1174.81666666667,238.5,43.0591559263638,6626.492173,12.55357407,9599.00944337322,1216.55346051241,17981.465426234
"Bird Island","BI10","BI10.2",81,86.5,87.5,87,1349.67272727273,217.363636363636,28.0081157069615,9905.624178,61.39912548,8940.71860387404,556.172709159322,17325.2644985888
"Bird Island","BI10","BI10.3",88,84.8,85.8,85.3,1324,223.545454545455,26.1241789779646,7180.738417,69.86799065,9133.25097843726,749.407894836346,17517.0940620382
"Bird Island","BI10","BI10.3",95,93,94,93.5,1444.54545454545,242,36.428011200174,6732.62029,14.01324671,9708.01674367738,1325.82140640389,18090.2120809509
"Bird Island","BI10","BI10.3",98,96.3,97.3,96.8,1492.28181818182,210.363636363636,43.6469305387509,6605.365982,65.89419971,8722.70400326571,337.270915804398,17108.137090727
"Bird Island","BI10","BI10.3",104,103.2,104.2,103.7,1595.6,254.272727272727,55.9608629474044,7089.603048,60.94161611,10090.2501343543,1708.77690732797,18471.7233613807
"Bird Island","BI10","BI10.3",114,114.9,115.9,115.4,1769.91818181818,203.545454545455,31.0237445720649,5586.311354,64.02588147,8510.35211955633,123.961626076565,16896.7426130361
"Bird Island","BI10","BI10.3",120,121.8,122.7,122.3,1872.71,187.9,22.8057010416255,5350.125775,88.24884284,8023.07533040446,-365.859795443674,16412.0104562526
"Bird Island","BI10","BI10.4",135,129.4,130.4,129.9,1986.59090909091,225.272727272727,29.2612060896024,5647.265231,93.13022455,9187.04678897696,803.386549873736,17570.7070280802
"Bird Island","BI10","BI10.4",145,141,142,141.5,2162.97272727273,202.545454545455,29.2758044684126,5488.24581,18.21293292,8479.20717661228,92.6685267478078,16865.7458264768
"Bird Island","BI10","BI10.4",155,152.7,153.8,153.2,2335.40833333333,163.666666666667,21.9351661756075,6436.237221,74.4489504,7268.32954639374,-1125.50215105102,15662.1612438385
"Bird Island","BI10","BI10.4",165,164.8,165.8,165.3,2517.27272727273,298.727272727273,40.172355940599,5642.915643,47.45052762,11474.7844161397,3093.42692653282,19856.1419057465
"Bird Island","BI10","BI10.4",168,168.4,170,169.2,2576.01176470588,221.529411764706,30.4817930227596,6500.001765,157.0216455,9070.46144105808,686.397470331818,17454.5254117843
"Bird Island","BI10","BI10.5",181,174.6,175.6,175.1,2667,234.454545454545,45.6100068764819,6176.904031,61.73924486,9473.01399237229,1090.2264972828,17855.8014874618
"Bird Island","BI10","BI10.5",191,186.6,187.6,187.1,2847.45454545455,223.363636363636,49.106563160687,6093.055388,99.46457719,9127.58826153832,743.72558736662,17511.45093571
"Bird Island","BI10","BI10.5",194,190.3,191.3,190.8,2903.10909090909,184,38.3431871393081,9697.311696,71.12002695,7901.61005292268,-488.034758717211,16291.2548645626
"Bird Island","BI10","BI10.5",197,194,195,194.5,2954.41818181818,212.727272727273,48.779280251129,7288.66125,112.260405,8796.31932295166,411.1966559293,17181.441989974
"Bird Island","BI10","BI10.5",202,199.9,200.8,200.3,3041.91111111111,262.666666666667,48.163783074007,5866.599826,19.40433341,10351.6788978544,1970.52760853213,18732.8301871766
"Bird Island","BI10","BI10.6",218,209.5,210.5,210,3183,277.636363636364,68.2924193849841,6764.508083,155.9717551,10817.9092558652,2436.98538101863,19198.8331307119
"Bird Island","BI10","BI10.6",228,221.4,222.4,221.9,3362.6,240.272727272727,23.6224084677702,8457.047616,112.1937561,9654.22093313766,1271.89999980966,18036.5418664657
"Bird Island","BI10","BI10.6",239,234.2,235.2,234.7,3550.09090909091,285.545454545455,48.5208483775039,7198.222186,31.09232618,11064.2374409682,2683.25431973735,19445.220562199
"Bird Island","BI10","BI10.6",247,243.9,245,244.5,3699.925,135.083333333333,30.7525559420627,6524.805309,142.7736565,6378.10326057638,-2022.99358090239,14779.2001020552
"Bird Island","BI10","BI10.7",259,250.7,251.7,251.2,3790.45,216.5,30.8949834115508,6240.983611,108.9028532,8913.82069860419,529.170591821858,17298.4708053865
"Bird Island","BI10","BI10.7",271,265,266,265.5,3978.94545454545,229.181818181818,36.3615681230009,7771.356271,103.9511198,9308.79520230369,925.526945650505,17692.0634589569
"Bird Island","BI10","BI10.7",280,275.9,276.9,276.4,4128.55454545455,210.090909090909,31.998295409145,6196.60628,108.1773992,8714.20992791735,328.740310989642,17099.6795448451
