"Location","Site","Section","sample","min_depth","max_depth","midpoint","SH20_age","Sr","Sr_sd","Sr_ICP","Sr_ICP_sd","fit","lwr","upr"
"Bird Island","BI10","BI10.1",1,0,1.1,0.6,-55.4909090909091,28.7272727272727,47.4027233586656,26.58846642,0.463509298,79.7088045643113,-9.91148549897265,169.329094627595
"Bird Island","BI10","BI10.1",4,3.9,5,4.5,5.21666666666667,2.08333333333333,7.21687836487032,25.05462045,0.186955871,76.0886469257659,-13.5767503818017,165.754044233333
"Bird Island","BI10","BI10.1",10,11.7,12.8,12.3,132.083333333333,10.25,24.8344518763753,46.4043754,0.519109914,77.1982659005603,-12.4530203654362,166.849552166557
"Bird Island","BI10","BI10.1",22,26.7,27.8,27.2,382.866666666667,248.083333333333,60.5436857053473,121.9608593,0.839622095,109.513087880798,20.1617827444592,198.864393017137
"Bird Island","BI10","BI10.1",30,36.3,37.2,36.7,541.72,349.4,106.557444080125,150.558177,2.59385652,123.279156753809,33.9901741760397,212.568139331578
"Bird Island","BI10","BI10.1",34,40.9,41.9,41.4,618.7,148.181818181818,98.6679463471478,145.2111951,2.397227724,95.939298065757,6.48817953822599,185.390416593288
"Bird Island","BI10","BI10.2",45,44,45,44.5,670.06,369.7,85.4375015240185,165.8736664,2.61051165,126.037352491155,36.7561375717884,215.318567410522
"Bird Island","BI10","BI10.2",51,51.9,52.9,52.4,800.245454545455,301.636363636364,99.87519484564,110.8952002,2.069414432,116.78942974798,27.475954139437,206.102905356522
"Bird Island","BI10","BI10.2",54,55.3,56.3,55.8,856.145454545455,142,97.4546048168069,153.965778,1.949345735,95.0993638510704,5.64082013162343,184.557907570517
"Bird Island","BI10","BI10.2",62,64.4,65.4,64.9,1005.71818181818,578.818181818182,175.582925241504,97.81476508,1.178390202,154.450597697681,65.157595185659,243.743600209704
"Bird Island","BI10","BI10.2",67,70.1,71.2,70.6,1100.56666666667,449,84.3693179904983,168.0404108,1.955006557,136.811979189261,47.5459957633606,226.077962615161
"Bird Island","BI10","BI10.2",71,74.7,75.8,75.2,1174.81666666667,402.333333333333,105.814875508068,114.9998151,1.529219743,130.471299333293,41.1992666903659,219.743331976219
"Bird Island","BI10","BI10.2",81,86.5,87.5,87,1349.67272727273,395.090909090909,102.365477135072,209.897137,2.629036009,129.487258758243,40.2135401183968,218.760977398089
"Bird Island","BI10","BI10.3",88,84.8,85.8,85.3,1324,379.727272727273,88.6353100170478,130.9618352,0.711514938,127.399775195272,38.1218154224854,216.677734968058
"Bird Island","BI10","BI10.3",95,93,94,93.5,1444.54545454545,657.636363636364,307.69929240324,119.867266,2.07053159,165.159758934937,75.8189023247587,254.500615545115
"Bird Island","BI10","BI10.3",98,96.3,97.3,96.8,1492.28181818182,687.090909090909,135.948118446306,112.4064678,0.932757371,169.161798428444,79.7969677608561,258.526629096031
"Bird Island","BI10","BI10.3",104,103.2,104.2,103.7,1595.6,547.272727272727,137.91380707463,127.1397723,0.326624311,150.16446280803,60.8839574580098,239.44496815805
"Bird Island","BI10","BI10.3",114,114.9,115.9,115.4,1769.91818181818,219.727272727273,87.0759334249032,94.40874214,1.478332239,105.660301403381,16.2845320609703,195.036070745792
"Bird Island","BI10","BI10.3",120,121.8,122.7,122.3,1872.71,143.2,55.8684963900845,91.74775016,0.40610632,95.2624099045096,5.80531891544102,184.719500893578
"Bird Island","BI10","BI10.4",135,129.4,130.4,129.9,1986.59090909091,263.818181818182,93.684383097524,100.7977844,1.025597866,111.651008669896,22.311954884037,200.990062455756
"Bird Island","BI10","BI10.4",145,141,142,141.5,2162.97272727273,395.090909090909,90.5179038041144,91.25190224,0.699750267,129.487258758243,40.2135401183968,218.760977398089
"Bird Island","BI10","BI10.4",155,152.7,153.8,153.2,2335.40833333333,209.333333333333,95.655949140974,121.0153008,1.039947828,104.248059071824,14.8625541643257,193.633563979323
"Bird Island","BI10","BI10.4",165,164.8,165.8,165.3,2517.27272727273,341.181818181818,66.8966638657238,85.39705279,1.57965392,122.162538327225,32.8699628622603,211.45511379219
"Bird Island","BI10","BI10.4",168,168.4,170,169.2,2576.01176470588,306.823529411765,104.520473648777,121.2110164,1.417347214,117.494218838158,28.1838253637631,206.804612312553
"Bird Island","BI10","BI10.5",181,174.6,175.6,175.1,2667,331.363636363636,116.187153099878,95.32051892,1.284724348,120.828525162723,31.5313186782548,210.125731647191
"Bird Island","BI10","BI10.5",191,186.6,187.6,187.1,2847.45454545455,409.818181818182,79.4919092509649,119.1548845,2.957478603,131.488278504997,42.2177773548952,220.758779655098
"Bird Island","BI10","BI10.5",194,190.3,191.3,190.8,2903.10909090909,203.909090909091,73.9735825081556,121.5336821,2.37450858,103.511057971683,14.1203088305141,192.901807112851
"Bird Island","BI10","BI10.5",197,194,195,194.5,2954.41818181818,252.181818181818,92.715498361189,118.8967341,1.10170535,110.069956030486,20.7219330617273,199.417978999245
"Bird Island","BI10","BI10.5",202,199.9,200.8,200.3,3041.91111111111,303.333333333333,45.453272709454,85.79649547,1.323999276,117.01999992456,27.7075439478768,206.332455901244
"Bird Island","BI10","BI10.6",218,209.5,210.5,210,3183,347.363636363636,113.030325777884,111.2286921,1.368956728,123.002472541912,33.7126237655606,212.292321318263
"Bird Island","BI10","BI10.6",228,221.4,222.4,221.9,3362.6,360.272727272727,72.5190883962159,136.1592518,2.420949669,124.756452813758,35.4718266721186,214.041078955397
"Bird Island","BI10","BI10.6",239,234.2,235.2,234.7,3550.09090909091,367.090909090909,81.4241420531461,116.7915838,1.35786783,125.682850844662,36.4007258652629,214.964975824061
"Bird Island","BI10","BI10.6",247,243.9,245,244.5,3699.925,193.416666666667,53.556186864966,95.07661499,0.69914278,102.085434335235,12.684222680466,191.486645990005
"Bird Island","BI10","BI10.7",259,250.7,251.7,251.2,3790.45,309.4,84.4290629266171,101.292967,0.811859205,117.844288305836,28.5353875032339,207.153189108438
"Bird Island","BI10","BI10.7",271,265,266,265.5,3978.94545454545,179.909090909091,62.3561617572066,119.6977813,1.823339563,100.250136902899,10.8348385304166,189.665435275381
"Bird Island","BI10","BI10.7",280,275.9,276.9,276.4,4128.55454545455,298,113.489206535247,99.83622626,1.333664845,116.295350798164,26.9796532040384,205.611048392289
"Bird Island","BI10","BI10.8",300,289.7,290.8,290.3,4314.73333333333,230.916666666667,85.6880795075778,110.4667193,1.25507819,107.18062350521,17.8148742572367,196.546372753183
"Bird Island","BI10","BI10.8",303,293.4,294.4,293.9,4365.28181818182,320.909090909091,67.937404344668,95.05242503,0.168162163,119.408048182003,30.1055052910241,208.710591072981
"Bird Island","BI10","BI10.8",311,303.1,304,303.6,4492.98,541.9,71.3168984182571,109.9097917,0.96047458,149.434461159677,60.1557048720472,238.713217447308
"Bird Island","BI10","BI10.8",318,311.7,312.8,312.2,4610.66666666667,412,90.1927229477372,92.99111859,0.763475857,131.784725874886,42.5146307906167,221.054820959155
"Bird Island","BI10","BI10.8",326,321.7,322.8,322.2,4729.33333333333,419.083333333333,174.247190316898,54.97448254,0.904111945,132.747150495881,43.4782481200064,222.016052871756
"Bird Island","BI10","BI10.9",342,332.1,333.1,332.6,4891.35454545455,357.545454545455,86.023675388074,53.58134359,0.512470791,124.385893601396,35.1002171981552,213.671570004637
"Bird Island","BI10","BI10.9",348,339.5,340.5,340,5008.74545454545,439.818181818182,92.4065129542482,126.2966844,0.909448982,135.564429840976,46.2979149323282,224.830944749624
"Bird Island","BI10","BI10.9",361,355.7,356.7,356.2,5262.19090909091,589.727272727273,86.4292669286173,152.5618881,1.310436979,155.932834547128,66.6346245210928,245.231044573164
