"Location","Site","Section","sample","min_depth","max_depth","midpoint","SH20_age","kcps","cps","MSE","K","Ca","Ti","Mn","Fe","Co","Ni","Cu","Zn","Rb","Sr","Zr","Mo_inc","Mo_coh","coh_inc","K_sd","Ca_sd","Ti_sd","Mn_sd","Fe_sd","Co_sd","Ni_sd","Cu_sd","Zn_sd","Rb_sd","Sr_sd","Zr_sd","Mo_inc_sd","Mo_coh_sd","coh_inc_sd","water_content_pc","water_content_err","dry_mass_pc","dry_mass_err","density_gcm3","density_gcm3_err","P_ICP","P_ICP_sd","K_ICP","K_ICP_sd","Ca_ICP","Ca_ICP_sd","Ti_ICP","Ti_ICP_sd","Mn_ICP","Mn_ICP_sd","Fe_ICP","Fe_ICP_sd","Co_ICP","Co_ICP_sd","Ni_ICP","Ni_ICP_sd","Cu_ICP","Cu_ICP_sd","Zn_ICP","Zn_ICP_sd","As_ICP","As_ICP_sd","Rb_ICP","Rb_ICP_sd","Sr_ICP","Sr_ICP_sd","Zr_ICP","Zr_ICP_sd","Pb_ICP","Pb_ICP_sd","Th_ICP","Th_ICP_sd"
"Bird Island","BI10","BI10.1",1,0,1.1,0.6,-55.4909090909091,20689.8181818182,52220.3636363636,1.32909090909091,-2.98103715973509,-0.767578791661458,-2.34588420177402,-1.94656024290338,4.15532400618554,-0.803575425408757,0.703849505569334,-0.25161032652718,-3.18506235260846,-2.78558991011846,-2.32179753288151,2.22545399628247,6.11298118482811,4.19108725075286,0.146376584727273,1.28388792077058,0.367948291331046,1.16741432438919,1.06899620455099,0.307593461934599,1.31776358374423,0.304640481832513,1.11813211208488,1.36429354547249,1.92409278206784,1.58074749652243,0.392618831781483,0.293902227067899,0.301206975206951,0.00388698448403857,87.48565272,4.374282636,12.51434728,1.251434728,0.106894716,0.010689472,3631.01094,41.22201845,1782.206118,520.9093274,1557.061769,23.70865277,134.9563972,2.246361623,34.34524027,0.178633186,13959.03161,176.5369365,0.738789575,0.008034972,2.467420581,0.015066934,4.369649931,0.022750235,22.90793616,0.057813095,1.593037056,0.008373058,2.288761162,0.010158086,26.58846642,0.463509298,2.896325963,0.085387528,1.440961807,0.005279507,0.193973613,0.004950768
"Bird Island","BI10","BI10.1",4,3.9,5,4.5,5.21666666666667,24515.9166666667,60507.1666666667,1.32166666666667,-2.75592168906363,-0.894428332532572,-2.50227831833464,-1.16327089061904,3.90878939193416,-0.414430660480748,0.849372726097798,-0.118906828557777,-3.92221383724044,-1.94086195135147,-3.50718819484339,2.17789346435139,6.10397446463339,4.17947065600695,0.145989151583333,1.08315321477009,0.340467127838656,1.0769101042843,0.581624815960261,0.277884527058812,0.758865334177465,0.265649770459469,0.473087311677549,0.224443366060094,2.04502138238008,0.612504826876004,0.216116952432934,0.226915702616547,0.220032284087588,0.00361351532498803,89.51385849,4.475692925,10.48614151,1.048614151,0.175709963,0.017570996,2187.768178,58.29252023,1331.46149,522.7119355,1397.543318,16.95048652,79.78694045,0.954822132,28.06949723,0.234649235,9355.988249,27.23893955,0.761205508,0.003005595,2.98969441,0.02200764,3.255429522,0.010150183,12.50967591,0.167196198,1.332775979,0.02334512,1.525038372,0.011740776,25.05462045,0.186955871,2.113253146,0.03629458,2.373368867,0.02400569,0.111198299,0.000588647
"Bird Island","BI10","BI10.1",10,11.7,12.8,12.3,132.083333333333,21782.6666666667,52798.3333333333,1.29166666666667,-2.50514814934914,-0.231118570303328,-1.88855062279972,-2.10058977497618,2.82080103005757,-1.63347957648134,1.01659989920013,-0.405780056676609,-3.16626988241932,-2.63646217213006,-2.74533740710062,2.58443710554307,6.41467556482952,4.47622261260603,0.143955505083333,1.31463004705547,0.378746993294012,0.679412571231081,0.977399828943883,0.338205829687419,1.61495761971849,0.318311159017584,0.999989198171812,0.881485308208598,2.01366231935185,1.10743997982009,0.309446066204637,0.30471300241294,0.307527432388703,0.00301099939000146,86.3842849,4.319214245,13.6157151,1.36157151,0.145233799,0.01452338,2538.801945,60.0436628,1545.22611,589.8765904,2547.021617,33.02866289,340.544392,4.893302391,37.1899001,0.366072293,3942.206507,48.5012016,1.745989306,0.00454165,3.556521683,0.014282314,5.828405269,0.020076539,13.94648753,0.043639925,1.743850558,0.029034748,4.398970104,0.046912281,46.4043754,0.519109914,6.431024383,0.078886265,1.816847326,0.011704502,0.392855167,0.002705738
"Bird Island","BI10","BI10.1",22,26.7,27.8,27.2,382.866666666667,21759.5833333333,52292.1666666667,1.33,-3.16768959284922,-0.386396844288942,-1.84893818651003,-1.89632969286202,2.10387080496908,-1.80874692349829,0.108090450228588,-0.875523249821299,-1.08609642705162,-1.86475887959706,0.283182208526952,1.52460140142263,5.41266796441758,3.50206696691365,0.148022999166667,0.949485010705832,0.301932795427159,0.608291525745148,0.22123153216159,0.288948287034449,1.25667605812402,0.27438160136635,0.547861214671422,1.09160098148664,1.77264785915093,0.314768051446147,0.250917833211091,0.263318891492245,0.26998562875392,0.00320273418525427,80.34415977,4.017207989,19.65584023,1.965584023,0.214200619,0.021420062,6654.725412,133.8869744,4972.490853,1373.757336,6361.863436,96.22229039,1070.668936,10.73236296,59.55046887,0.237697509,4568.280308,27.82191253,1.171208352,0.012269219,7.052448962,0.06465722,18.80830619,0.176446353,83.1136075,1.204215632,4.803888726,0.047934098,19.01381163,0.109765839,121.9608593,0.839622095,35.64216716,0.676354366,5.697875838,0.054057547,2.206277124,0.022103189
"Bird Island","BI10","BI10.1",30,36.3,37.2,36.7,541.72,22119.4,57449,1.346,-2.74064100898686,-0.302412590156198,-1.41893039363365,-1.96497955503949,3.30091060207756,-0.773030156016006,-0.331505887724262,-0.828806927773318,-1.47297916233904,-2.51570687307001,0.126757140982421,0.990172414840892,4.88109810342691,3.05005429341106,0.1602627916,0.726742895531561,0.212248436443866,0.282803929632384,0.427379647705108,0.245574025286817,0.513425694820981,0.287999243969849,0.355437930008067,0.536815790065978,1.5324020726678,0.431967210448666,0.28697658267262,0.201212240008024,0.200007215507805,0.00242683010150897,78.20947367,3.910473683,21.79052633,2.179052633,0.303817276,0.030381728,3726.942347,91.16765458,16457.36219,3980.600316,8442.247188,102.4072847,1962.99309,30.40726253,148.1529747,0.305567488,18556.10587,33.23324312,14.98993637,0.050641414,9.844407416,0.040880493,25.3957986,0.092788179,90.06087679,0.829001857,7.177832466,0.057235004,43.16823811,0.83280191,150.558177,2.59385652,40.9140318,0.917402906,4.940056387,0.065822161,4.042046336,0.032130391
"Bird Island","BI10","BI10.1",34,40.9,41.9,41.4,618.7,23491.9090909091,61638.1818181818,1.34909090909091,-3.15606776617078,-0.062600473885565,-1.81133849040097,-1.74950326888188,4.06544465656571,0.323763739982119,0.211139681259287,-0.302331378897078,-3.04005715959588,-4.27094648291396,-0.682451987257203,1.51521494838699,5.41235149415546,3.54738248765375,0.154934023454545,0.979891886741614,0.230876179634152,0.629043987924356,0.605818561379865,0.235029473152092,0.196695285352056,0.262360577649337,0.432887738620109,1.34485041534697,1.19346960663859,1.39786666628641,0.276251155630602,0.230843386774144,0.230620371735019,0.00334895066566226,80.52653948,4.026326974,19.47346052,1.947346052,0.25962259,0.025962259,3202.443185,82.71131473,10808.43657,2190.076237,8467.75867,27.42631931,1538.231355,7.943023099,149.1109339,0.185893427,34440.81517,173.6494448,4.788646274,0.037728077,10.02079263,0.096502178,25.1006547,0.200410389,83.32372544,0.676115824,7.880957488,0.074791029,21.08188416,0.09353744,145.2111951,2.397227724,27.74345656,3.945793598,7.408811877,0.095574739,2.195438664,0.011765005
"Bird Island","BI10","BI10.2",45,44,45,44.5,670.06,23876.4,60911.7,1.358,-3.21753763526297,-0.167829958851294,-2.06170205977456,-2.44024756033871,3.13064495343902,-0.487779104336839,-0.297864024283879,-0.739098520023771,-0.11493732274581,-3.01276149359839,0.213719165959814,1.07951737989123,4.98690962946099,3.12896655046518,0.1560056543,0.959730269738132,0.222421999516807,0.369069843310807,0.808312593754628,0.282652559131718,0.325470406668854,0.259666392653249,0.224401578089992,0.263511624196331,1.88351679336231,0.198882457432703,0.183496032147827,0.225848729075292,0.229966921666681,0.00207374814577925,73.71568049,3.685784024,26.28431951,2.628431951,0.351176997,0.0351177,1394.696114,24.37745178,66668.75515,13007.37375,10818.31417,94.24288942,3006.601666,14.09773486,498.7089785,6.046753704,25853.87296,38.38777974,6.375776882,0.021747503,9.325702706,0.028353619,12.41602198,0.076135345,63.36397587,0.318454995,4.414249569,0.038359467,138.1998527,2.068052956,165.8736664,2.61051165,60.55383697,6.691084732,3.509034885,0.044750539,10.86384958,0.079884546
"Bird Island","BI10","BI10.2",51,51.9,52.9,52.4,800.245454545455,24296.5454545455,57427.3636363636,1.31909090909091,-3.11358067086354,0.435687655661518,-2.72157036132231,-1.54655211533585,2.08618090797972,-1.09540720866485,0.586172162986861,-0.0786720351049108,-3.91116996615977,-3.19570650663308,0.793750600658151,1.96032415129942,5.85290209972974,3.9476412857689,0.148821987636364,1.43907880290793,0.198061322428166,1.16119589300979,0.887641729299311,0.232555353435691,1.10965760283415,0.120638561453253,0.29369261966613,0.853848797396892,2.01294722313704,0.324085747183648,0.174258299566574,0.155747045992436,0.160285993601763,0.00355121707675302,84.86290758,4.243145379,15.13709242,1.513709242,0.178667469,0.017866747,3384.904962,93.00445812,2479.827204,632.4407929,6975.196896,67.76762951,301.0170716,3.519876752,55.70453095,0.688199618,26327.35852,199.5705658,17.04437568,0.072771457,9.672030755,0.061309265,30.70187991,0.12301453,154.2471074,0.912951267,10.64861794,0.177330122,5.28425398,0.054223017,110.8952002,2.069414432,6.355756988,0.110447115,2.861172068,0.011046014,0.732997581,0.006237929
"Bird Island","BI10","BI10.2",54,55.3,56.3,55.8,856.145454545455,24361,56855.4545454545,1.39818181818182,-3.54123151864842,0.470610207789016,-2.91636872910224,-1.30990427624507,2.04969272761868,-1.76567370590008,0.794082134883672,0.0607860909084168,-3.05417889768617,-2.70351764097836,-0.364787396906295,2.13492106403208,6.03093087751692,4.11463906271786,0.147191485818182,1.34555472646592,0.244546017867388,1.04194595266949,0.508476621747355,0.276313552958125,1.27765966446428,0.316061930670037,0.636905214077317,1.3104689913192,1.87083520286034,1.67968663704709,0.243331896326479,0.266683558462437,0.269287267078786,0.00357246424196973,77.63395109,3.881697554,22.36604891,2.236604891,0.276912503,0.02769125,3001.682437,49.99798666,23399.21394,3611.164788,7326.374157,349.9533771,1904.013462,92.77560752,235.7531016,13.60034647,20544.92897,1107.050592,5.701846016,0.226259322,6.289145655,1.766837081,12.23274868,0.369735042,56.72463202,1.511547748,5.236852561,0.016924834,58.41930414,1.652885172,153.965778,1.949345735,31.40903404,0.597663272,6.319566267,0.119404834,4.857814687,0.12796856
"Bird Island","BI10","BI10.2",62,64.4,65.4,64.9,1005.71818181818,22100.0909090909,54142.1818181818,1.27,-2.93486980785844,-0.17822718449002,-2.00962106610527,-1.94070622245283,2.08689642328799,-1.50208270215177,-0.494394774757677,-1.0080628502351,0.427841346383605,-1.7824915530383,0.552432146519452,0.98277649218133,4.82122033170848,2.97928942100855,0.158576433909091,0.932408726366022,0.266109537412171,1.0734942891327,0.491961659010732,0.257649039315468,0.266205002598399,0.407359975703773,0.55300883220753,0.227728374103486,1.86423904373834,0.230451258714062,0.29165635138142,0.334020780317304,0.309851137862916,0.00478949806078012,87.79085529,4.389542764,12.20914471,1.220914471,0.143757408,0.014375741,4341.206788,110.6435017,867.9986358,403.6307052,5816.665099,70.73844961,225.6496719,2.024591047,36.54824658,0.120334052,2355.109726,9.689444316,1.54911114,0.010688746,7.635178907,0.081872982,44.61646774,0.152122701,109.0593506,0.741410788,6.931517761,0.104210602,3.560602291,0.038361736,97.81476508,1.178390202,6.255310392,0.136212551,4.714142544,0.009348352,0.621271024,0.00212764
