"depth","SH20_age","surface","kcps","cps","MSE","K","Ca","Ti","Mn","Fe","Co","Ni","Cu","Zn","Rb","Sr","Zr","Mo_inc","Mo_coh","coh_inc"
31,-21.04,5.95,43071,280450,2.24,65,377,259,7,11328,17,103,449,0,420,170,3159,210870,35947,0.170469957793901
31.5,-19.36,5.96,47068,294347,2.21,63,430,271,41,10560,0,90,426,0,0,0,3128,224149,37402,0.16686222111185
32,-17.69,5.98,41690,279516,2.03,193,643,773,77,16911,50,60,478,9,0,368,2977,204729,34433,0.168188190241734
32.5,-16.02,6.01,44043,282722,2.08,94,430,421,65,9781,180,37,372,0,183,239,2700,214437,35950,0.167648306961952
33,-14.34,6.14,44632,283525,2.47,82,328,338,117,10344,157,0,462,0,301,216,3234,213944,35724,0.166978274688704
33.5,-12.67,6.27,45881,289835,2.25,31,288,373,43,12838,209,24,403,0,233,271,3215,214985,36984,0.17203060678652
34,-10.99,6.35,43823,279867,2.3,45,404,295,39,12330,74,0,360,0,192,180,2836,210206,34861,0.165842078722777
34.5,-9.32,6.38,43981,278052,2.49,55,504,404,143,12774,0,115,345,0,22,23,2631,206416,34858,0.168872568017983
35,-7.65,6.42,46022,287275,2.56,140,600,523,199,17152,24,50,420,0,37,480,3145,209185,35547,0.169930922389273
35.5,-5.97,6.44,48935,296443,2.12,68,435,430,20,11986,0,27,324,0,322,99,2915,222266,37712,0.169670574896745
36,-4.3,6.57,40536,265671,2.18,57,472,405,55,11518,0,0,379,0,0,120,2862,197631,33916,0.171612753059996
36.5,-2.62,6.63,45907,287794,2.22,95,350,520,60,11765,38,19,266,0,148,411,2927,214797,36793,0.171291964040466
37,-0.95,6.75,48496,293546,2.52,113,487,582,153,15770,236,0,461,0,279,250,2934,214617,36495,0.170047107172312
37.5,0.72,6.81,50308,303504,2.28,75,454,675,132,16347,269,32,448,0,473,743,3331,222470,37589,0.168962107250416
38,2.4,6.84,50739,299939,2.14,129,482,810,170,17344,75,0,364,0,178,317,3223,219076,36775,0.16786412021399
38.5,4.07,6.91,53686,306602,2.25,88,485,676,130,16021,98,0,509,0,233,623,3536,224715,38448,0.171096722515186
39,5.75,6.96,52839,306968,2.54,144,650,894,62,16336,0,44,337,0,223,400,3392,226178,37758,0.166939313284227
39.5,7.42,6.98,51821,309417,2.21,437,751,1431,199,18375,122,0,368,0,180,920,3231,225335,38076,0.168975081545255
40,9.1,6.99,51211,307478,2.18,178,776,1311,164,17817,0,67,301,0,251,614,3230,225946,37148,0.164410965451922
40.5,35.79,6.88,54808,313055,2.25,168,685,1001,83,15759,0,0,416,0,92,482,3233,230816,38475,0.166691217246638
41,62.48,6.89,53181,308422,2.36,190,615,978,131,13918,53,55,535,0,84,113,3274,230673,38896,0.168619647726435
41.5,89.17,6.93,51548,309958,2.28,326,864,1256,169,19143,75,97,451,0,186,695,3564,224600,38947,0.173406055209261
42,115.86,6.88,59848,323418,2.72,332,909,1262,139,18366,108,0,447,0,489,529,3670,234929,39800,0.169412886446543
42.5,142.56,6.87,58685,326789,2.42,491,1055,1831,229,22380,59,0,354,0,322,1205,3723,231321,40585,0.175448835168446
43,169.25,6.87,58775,321863,2.22,371,1009,1719,155,19874,114,0,541,0,226,517,3317,232438,38739,0.166663798518315
43.5,195.94,6.83,60612,326384,2.35,441,974,1674,135,19976,0,25,610,0,121,321,3317,236351,39998,0.169231355060905
44,222.63,6.83,51887,307172,2.31,568,1141,2027,199,20725,0,47,443,0,0,344,3120,220573,37589,0.170415236679013
44.5,249.32,6.86,56321,319520,2.14,275,944,1281,219,19543,0,92,511,0,183,262,3092,234205,39034,0.166665955039389
45,276.02,6.83,64895,326806,2.49,121,553,455,14,12029,154,131,502,0,173,0,3653,247346,41816,0.169058727450616
45.5,302.71,6.81,60827,323085,2.37,82,526,253,42,10932,37,42,533,0,121,0,3517,247528,40813,0.16488235674348
46,329.4,6.93,59023,318014,2.41,28,491,428,45,11008,0,60,556,0,224,57,3228,243341,40119,0.164867408287136
46.5,356.09,6.9,61193,318797,2.51,124,538,373,83,13210,111,0,579,0,0,148,3248,241169,39787,0.164975598024622
47,382.78,6.88,57669,318673,2.3,167,530,569,94,12578,0,70,631,0,0,386,3901,240974,40177,0.166727530770955
47.5,409.48,6.96,59285,320441,2.6,66,496,466,57,12606,55,67,381,0,79,294,3326,242720,40124,0.165309822017139
48,436.17,6.95,56114,313701,2.34,65,422,384,70,10860,87,0,584,0,154,0,3266,240879,39987,0.166004508487664
48.5,462.86,7.01,55093,318022,2.21,183,802,693,91,15113,0,0,334,0,0,323,3493,240286,40080,0.166801228535995
49,489.55,6.96,52893,309997,2.17,60,605,425,90,11334,117,43,426,0,87,0,3155,238255,39468,0.165654445866823
49.5,516.24,6.91,56501,311779,2.26,58,581,368,28,10731,70,14,388,0,0,0,2994,240777,39240,0.16297237692969
50,542.94,6.89,54390,311166,2.35,40,480,357,58,9844,121,0,395,0,75,32,3493,239122,39408,0.164802903956976
50.5,569.63,6.93,54852,314594,2.19,45,539,374,83,10688,0,24,494,0,0,145,3216,242215,40155,0.165782465990958
51,596.32,6.96,50610,306528,2.13,222,521,636,37,10061,129,77,441,0,0,108,3384,235961,39471,0.167277643339365
51.5,623.01,6.93,51964,303728,2.19,40,452,348,57,10267,96,33,312,0,0,185,3068,233686,39211,0.167793534914372
52,649.7,6.84,54169,310661,2.37,96,591,343,115,10953,39,53,387,0,184,305,3131,235626,40260,0.170863996333172
52.5,676.4,6.9,58726,318929,2.51,56,599,512,14,11058,0,107,452,0,151,223,3234,244108,40383,0.165430874858669
53,703.09,6.88,50083,302953,2.48,220,608,1511,160,20800,198,27,383,0,284,674,3062,215528,37673,0.174793994283805
53.5,729.78,6.96,49347,306785,2.34,549,592,1314,207,25728,48,65,306,0,416,891,3313,214310,37655,0.175703420279035
54,756.47,7.01,53201,315316,2.25,157,521,990,72,19261,144,65,323,0,303,179,3359,230219,38059,0.165316502981943
54.5,783.16,7.09,53031,308096,2.17,69,408,814,122,17049,20,39,549,0,157,70,3129,227535,37404,0.164387896367592
55,809.86,7.13,48435,292647,2.36,272,671,1330,148,17390,61,60,581,0,465,889,3556,209130,35419,0.169363553770382
55.5,836.55,7.12,35713,245759,2.09,613,1137,2462,314,28349,272,0,305,0,748,2676,3403,154871,31832,0.20553880326207
56,863.24,7.18,48448,303935,2.09,332,1123,1810,272,24537,44,0,362,0,653,1259,3311,211773,38106,0.179937952430196
56.5,889.93,7.27,49565,301741,2.3,247,566,1496,114,19554,37,0,444,0,397,506,3395,216304,37583,0.173750832162142
57,916.62,7.3,49916,302391,2.21,275,659,1463,196,20070,0,11,393,0,395,714,3281,217742,37378,0.171661875063148
57.5,943.32,7.36,51911,305014,2.27,272,559,1306,154,18679,72,7,429,0,246,172,3320,222114,36855,0.165928307085551
58,970.01,7.37,49887,300883,2.25,240,558,1196,154,16112,43,0,451,0,484,1034,3277,217655,38210,0.175553054145322
58.5,996.7,7.4,51901,303520,2.37,189,418,920,176,14267,136,0,555,0,0,214,3483,225200,37831,0.167988454706927
59,1023.39,7.43,50910,301599,2.53,169,430,1063,113,13762,0,0,453,0,364,409,3369,222047,38151,0.171814976108662
59.5,1050.08,7.47,49364,301162,2.27,485,1163,2043,198,19603,0,0,320,0,381,1113,3628,214633,37401,0.174255589774173
60,1076.78,7.47,47554,296952,2.14,428,1197,1967,163,19570,116,0,622,0,244,1182,3818,211144,37242,0.176381995226007
60.5,1096.81,7.48,54042,309998,2.25,108,552,1076,88,15355,159,116,709,0,348,336,3171,228082,38002,0.166615515472505
61,1116.84,7.52,53611,309588,2.29,190,556,921,48,15654,12,38,736,0,228,403,3471,229230,37706,0.164489813724207
61.5,1136.88,7.58,53475,311924,2.28,339,778,1223,101,16208,54,72,356,0,342,118,3603,231378,37997,0.164220453111359
62,1156.91,7.6,53940,308408,2.14,109,510,636,66,12970,5,83,546,0,123,0,3508,232214,38536,0.165950373362502
62.5,1176.94,7.63,55233,310784,2.26,50,472,387,21,12896,83,6,363,0,22,142,3477,234420,39345,0.167839774763245
63,1196.98,7.66,52875,305514,2.15,62,530,466,53,11575,141,38,507,0,0,20,3196,231280,38684,0.167260463507437
63.5,1217.01,7.69,54287,306830,2.15,24,319,354,24,9967,41,12,471,0,128,0,3596,235062,38354,0.163165462728982
64,1237.05,7.73,54066,308486,2.32,16,491,438,49,11299,61,0,306,0,0,0,3145,234205,38432,0.164095557310903
64.5,1257.08,7.76,53319,306172,2.22,78,511,617,97,12484,0,83,476,0,247,102,3488,230357,38190,0.165786149324744
65,1277.11,7.78,54787,311908,2.28,76,509,784,62,14794,0,0,427,0,140,503,3796,230609,38485,0.166884206600783
65.5,1297.15,7.81,55119,313184,2.25,44,547,750,116,17108,137,0,493,0,43,0,3012,231263,38014,0.164375624289229
66,1317.18,7.85,54823,310307,2.26,109,539,628,50,15142,0,0,375,0,65,298,3180,232216,38265,0.164781927171254
66.5,1337.21,7.87,54945,313885,2.1,120,552,922,100,15883,0,33,549,0,258,414,3457,232935,38751,0.166359714083328
67,1357.25,7.88,56161,316457,2.23,99,708,709,114,16922,0,0,295,0,106,46,3381,235447,39016,0.165710329713269
67.5,1377.28,7.88,56666,311941,2.39,69,584,523,71,13818,50,0,463,0,87,104,3286,233533,38823,0.166242030034299
68,1397.31,7.9,54109,306317,2.26,48,475,769,83,11643,50,68,540,0,24,0,3370,231043,38874,0.168254394203676
68.5,1417.35,7.93,54555,309163,2.28,80,434,1136,79,14631,0,10,514,0,202,258,3182,228909,38520,0.168276476678505
69,1437.38,7.92,51979,313176,2.28,397,673,1677,230,26680,35,12,556,0,87,1031,3559,219436,38035,0.173330720574564
69.5,1457.41,7.92,52423,313419,2.08,261,549,1654,242,26165,0,102,428,0,545,794,3416,219521,37584,0.171209132611459
70,1477.45,7.9,54687,316612,2.16,117,464,1198,132,23299,0,142,491,0,217,520,3228,225874,38019,0.16831950556505
70.5,1497.48,7.9,55507,320737,2.24,179,514,1103,145,23286,59,87,600,0,320,683,3695,228122,39400,0.172714600082412
71,1517.52,7.9,57916,322214,2.13,17,570,719,108,18523,71,5,487,0,71,133,3408,237536,39567,0.166572645830527
71.5,1537.55,7.89,57655,314852,2.16,10,379,260,10,11461,124,100,455,0,0,0,3034,240402,39489,0.164262360546085
72,1557.58,7.91,56106,311915,2.19,0,444,210,52,9798,0,90,451,0,5,0,2842,239938,39542,0.164800906900949
72.5,1577.62,7.93,56377,312562,2.58,16,406,256,68,9799,92,135,529,0,33,0,3343,240376,39079,0.162574466668885
73,1597.65,7.95,57812,315230,2.24,16,507,263,110,11181,16,15,466,0,0,0,3388,241019,39373,0.163360564934715
73.5,1617.68,7.93,57684,316215,2.17,0,579,289,72,14449,99,11,492,0,0,0,3443,237884,39067,0.164227102285147
74,1637.72,7.91,57362,320071,2.34,35,597,651,74,18653,161,0,374,0,101,81,3526,236694,39036,0.164921797764202
74.5,1657.75,7.89,58181,322108,2.45,53,511,663,92,17804,0,59,513,0,214,170,3430,238504,39469,0.165485694160266
75,1677.78,7.88,56837,317752,2.25,57,497,378,88,16785,0,57,382,0,195,0,3325,237618,39469,0.166102736324689
75.5,1697.82,7.87,58395,321459,2.05,10,480,557,80,13875,72,97,654,0,228,129,3206,242868,39496,0.162623318016371
76,1717.85,7.83,55613,313782,2.28,21,642,395,77,12334,30,0,432,0,0,0,3494,239209,39036,0.163187839922411
76.5,1737.89,7.76,59620,320643,2.48,51,634,437,113,13937,25,0,457,0,0,0,3275,242567,39820,0.164160829791357
77,1757.92,7.73,57754,317421,2.29,118,701,563,94,14188,0,106,544,0,309,83,3401,238611,39279,0.164615210530948
77.5,1777.95,7.67,58113,317275,2.42,323,873,1095,138,17344,0,31,477,0,143,0,3404,235979,38399,0.162722106628132
78,1797.99,7.62,58897,321760,2.49,278,806,936,183,18468,162,0,423,0,66,252,3301,237852,39643,0.166670870961775
78.5,1818.02,7.6,57042,316770,2.32,66,664,406,134,12898,67,43,394,0,108,33,3687,239569,39615,0.165359458026706
79,1838.05,7.67,50430,298919,2.17,41,589,242,31,10543,118,26,446,0,0,200,3426,228455,37616,0.164653870565319
79.5,1858.09,7.64,55481,311370,2.39,73,606,459,13,13942,114,0,441,0,48,266,3527,234486,37740,0.160947775133697
80,1878.12,7.61,55632,310400,2.46,112,710,477,32,14376,154,25,416,0,0,0,3088,232623,37432,0.16091272144199
80.5,1892.93,7.59,57505,311239,2.69,42,584,517,126,13107,0,0,374,0,0,0,3353,234969,38438,0.163587537079359
81,1907.73,7.63,57282,309666,2.64,33,492,423,23,11919,0,123,594,0,0,27,3554,233709,37658,0.161132006041701
81.5,1922.54,7.63,56996,313103,2.45,0,627,375,44,14529,195,90,409,0,363,0,3596,233802,38399,0.164237260588019
82,1937.34,7.59,56728,310093,2.61,77,515,451,63,13496,61,0,378,0,164,229,3127,232382,38094,0.163928359339364
82.5,1952.15,7.62,56876,314721,2.45,53,574,722,96,16775,166,0,301,0,107,182,3257,232718,38556,0.16567691368953
83,1966.95,7.62,57150,313396,2.33,118,508,718,73,13792,209,109,442,0,204,141,3525,233334,38743,0.166040954168702
83.5,1981.76,7.62,59475,319133,2.65,95,508,784,105,16686,0,0,448,0,353,307,3538,235212,38717,0.164604697039267
84,1996.57,7.54,61975,319083,2.65,84,689,708,112,15184,92,0,431,0,246,279,3290,236579,38975,0.164744123527447
84.5,2011.37,7.5,62559,322072,2.41,117,803,928,172,17246,87,0,564,0,63,501,3254,236720,39070,0.165047313281514
85,2026.18,7.44,60890,315199,2.57,100,619,699,106,12791,182,0,333,0,0,141,3258,235775,38791,0.164525501007316
85.5,2040.98,7.41,58966,314699,2.53,163,659,1038,124,17698,0,51,474,0,464,476,3294,228340,37890,0.165936760970483
86,2055.79,7.44,58053,319146,2.47,164,662,1555,245,21162,23,33,469,0,390,866,3727,227115,38267,0.168491733262884
86.5,2070.59,7.44,55933,314385,2.38,337,642,1826,136,20210,14,16,450,0,179,787,3300,224438,37892,0.168830590185263
87,2085.4,7.41,56297,314808,2.98,283,620,1629,153,18594,0,0,446,0,458,827,3532,224936,38372,0.170590745812142
87.5,2100.21,7.39,55137,314056,2.34,301,697,1896,193,19931,79,0,393,0,411,828,3447,224281,38356,0.171017607376461
