"Location","Site","Section","sample","min_depth","max_depth","midpoint","Sr","Sr_sd","Sr_ICP","Sr_ICP_sd","Sr_fit_OLS","Sr_lwr_OLS","Sr_upr_OLS","Sr_fit_WLS","Sr_lwr_WLS","Sr_upr_WLS"
"Bird Island","BI10","BI10.1",1,0,1.1,0.6,-7.14531261316221,-0.714531261316221,3.28047752852584,0.0656095505705169,3.83587698480325,3.07885541018787,4.59289855941864,3.83508448205546,3.07540635195675,4.59476261215417
"Bird Island","BI10","BI10.1",4,3.9,5,4.5,-9.18863245308603,-0.918863245308603,3.22105825962403,0.0644211651924805,3.00653555979956,2.23479156770613,3.77827955189299,3.00513845686765,2.22877131134294,3.78150560239237
"Bird Island","BI10","BI10.1",10,11.7,12.8,12.3,-8.17678378207948,-0.817678378207948,3.83739375220028,0.0767478750440056,3.4172240884892,2.65375217053943,4.18069600643897,3.41612638258797,2.64899141857326,4.18326134660268
"Bird Island","BI10","BI10.1",22,26.7,27.8,27.2,-5.10346956634338,-0.510346956634338,4.80370016784794,0.0960740033569588,4.66461900991164,3.91427915187847,5.41495886794481,4.664430670378,3.9134809485068,5.4153803922492
"Bird Island","BI10","BI10.1",30,36.3,37.2,36.7,-4.69940871280571,-0.469940871280571,5.01434956763412,0.100286991352682,4.82861898559515,4.07862682211147,5.57861114907883,4.82855020407767,4.07835749209429,5.57874291606106
"Bird Island","BI10","BI10.1",34,40.9,41.9,41.4,-5.61110495434336,-0.561110495434336,4.97818920065822,0.0995637840131643,4.45858026461081,3.70734505277412,5.2098154764475,4.4582417202766,3.70588349921712,5.21059994133609
"Bird Island","BI10","BI10.2",45,44,45,44.5,-4.7510250936801,-0.47510250936801,5.11122645283105,0.102224529056621,4.80766896003797,4.0576504279772,5.55768749209875,4.80758490569205,4.05731351542463,5.55785629595946
"Bird Island","BI10","BI10.2",51,51.9,52.9,52.4,-5.01034336655924,-0.501034336655924,4.70858561298687,0.0941717122597375,4.70241701574759,3.95218601056874,5.45264802092644,4.70225623142897,3.95150965444788,5.45300280841007
"Bird Island","BI10","BI10.2",54,55.3,56.3,55.8,-5.76461657956939,-0.576461657956939,5.03673035693971,0.100734607138794,4.39627305869421,3.64466676476615,5.14787935262228,4.39588909163418,3.64300499250959,5.14877319075877
"Bird Island","BI10","BI10.2",62,64.4,65.4,64.9,-4.22359937002681,-0.422359937002681,4.58307553783376,0.0916615107566751,5.02174019484501,4.27174201061973,5.7717383790703,5.02181220108412,4.27209567807774,5.7715287240905
"Bird Island","BI10","BI10.2",67,70.1,71.2,70.6,-4.56137621890712,-0.456137621890712,5.12420449095423,0.102484089819085,4.88464353101871,4.13469590110092,5.6345911609365,4.88461559208965,4.13460731307315,5.63462387110614
"Bird Island","BI10","BI10.2",71,74.7,75.8,75.2,-4.62828626682757,-0.462828626682757,4.74493052053587,0.0948986104107174,4.85748612109923,4.10752162731417,5.60745061488429,4.85743838408154,4.107345424636,5.60753134352708
"Bird Island","BI10","BI10.2",81,86.5,87.5,87,-4.64514625219977,-0.464514625219977,5.34661758690507,0.106932351738101,4.85064300039883,4.10067285537475,5.60061314542292,4.85059027466128,4.10047457592448,5.60070597339809
"Bird Island","BI10","BI10.3",88,84.8,85.8,85.3,-4.66678470493162,-0.466678470493162,4.87490594640391,0.0974981189280782,4.84186039824675,4.09188217347572,5.59183862301778,4.84180126988331,4.09165556056903,5.59194697919759
"Bird Island","BI10","BI10.3",95,93,94,93.5,-4.03931769760471,-0.403931769760471,4.78638501391686,0.0957277002783371,5.0965363289707,4.34641508221804,5.84665757572335,5.09666286251918,4.34700992581612,5.84631579922225
"Bird Island","BI10","BI10.3",98,96.3,97.3,96.8,-3.95739899655976,-0.395739899655976,4.7221214785087,0.094442429570174,5.12978544197378,4.37958785707067,5.87998302687689,5.12993621453799,4.38028986892543,5.87958256015056
"Bird Island","BI10","BI10.3",104,103.2,104.2,103.7,-4.37409423949972,-0.437409423949972,4.84528705056754,0.0969057410113507,4.96065742793513,4.21070974488982,5.71060511098044,4.96068490407963,4.21086638596134,5.71050342219791
"Bird Island","BI10","BI10.3",114,114.9,115.9,115.4,-5.26239047602626,-0.526239047602626,4.54763367627891,0.0909526735255781,4.60011628688019,3.84955097709771,5.35068159666266,4.59988092406151,3.84854493254885,5.35121691557417
"Bird Island","BI10","BI10.3",120,121.8,122.7,122.3,-5.72465348496619,-0.572465348496619,4.51904296521713,0.0903808593043426,4.41249325544374,3.66098804131771,5.16399846956978,4.4121211131083,3.65937837047641,5.16486385574019
"Bird Island","BI10","BI10.4",135,129.4,130.4,129.9,-4.99523828934966,-0.499523828934966,4.61311637523697,0.0922623275047394,4.70854785538074,3.95833288537885,5.45876282538263,4.70839154052024,3.95767629608842,5.45910678495206
"Bird Island","BI10","BI10.4",145,141,142,141.5,-4.71022365563952,-0.471022365563952,4.51362383871107,0.0902724767742214,4.82422942311654,4.07423217266344,5.57422667356965,4.82415744155358,4.07394868208451,5.57436620102265
"Bird Island","BI10","BI10.4",155,152.7,153.8,153.2,-5.2838773461566,-0.52838773461566,4.79591699049481,0.0959183398098962,4.59139520898304,3.84079557765342,5.34199484031266,4.59115348839042,3.83976144233932,5.34254553444153
