"Location","Site","Section","sample","min_depth","max_depth","midpoint","Ni","Ni_sd","Ni_ICP","Ni_ICP_sd","Ni_fit_OLS","Ni_lwr_OLS","Ni_upr_OLS","Ni_fit_WLS","Ni_lwr_WLS","Ni_upr_WLS"
"Bird Island","BI10","BI10.1",1,0,1.1,0.6,1.04692510730743,0.0523462553653713,-2.69682577915677,-0.134841288957839,-2.56727106877053,-3.42572647327152,-1.70881566426954,-2.52432205681557,-3.24189831936058,-1.80674579427057
"Bird Island","BI10","BI10.1",4,3.9,5,4.5,1.71690984375393,0.0858454921876963,-2.25605975114237,-0.112802987557118,-2.41630663019666,-3.28056771258833,-1.552045547805,-2.33132371459053,-2.93387694858196,-1.72877048059911
"Bird Island","BI10","BI10.1",10,11.7,12.8,12.3,1.46841526661538,0.0734207633307691,-2.59085511869527,-0.129542755934763,-2.47229871820353,-3.33398425134141,-1.61061318506565,-2.40290600420212,-3.04720028835812,-1.75861172004611
"Bird Island","BI10","BI10.1",22,26.7,27.8,27.2,0.635902625113298,0.0317951312556649,-2.84227683421096,-0.142113841710548,-2.65988478799461,-3.51658254465256,-1.80318703133666,-2.64272275069022,-3.43405150428685,-1.85139399709359
"Bird Island","BI10","BI10.1",30,36.3,37.2,36.7,0.220364318891147,0.0110182159445574,-3.24466623455077,-0.162233311727539,-2.75351603612942,-3.609843062818,-1.89718900944085,-2.76242428994802,-3.63002174052623,-1.89482683936981
"Bird Island","BI10","BI10.1",34,40.9,41.9,41.4,0.745959816825469,0.0372979908412735,-3.02769785887376,-0.151384892943688,-2.63508613027299,-3.49211914199198,-1.778053118554,-2.61101925896136,-3.38241489367234,-1.83962362425039
"Bird Island","BI10","BI10.2",45,44,45,44.5,0.234404000246008,0.0117202000123004,-3.57338527707074,-0.178669263853537,-2.75035254224935,-3.60666897739497,-1.89403610710373,-2.75837996613069,-3.62337734893431,-1.89338258332707
"Bird Island","BI10","BI10.2",51,51.9,52.9,52.4,1.0976776820656,0.0548838841032798,-2.59428410995075,-0.129714205497537,-2.55583523517948,-3.41460327902178,-1.69706719133718,-2.50970207779347,-3.21831386027802,-1.80109029530891
"Bird Island","BI10","BI10.2",62,64.4,65.4,64.9,-0.0144467193186137,-0.00072233596593068,-2.20585954150495,-0.110292977075248,-2.80642487811632,-3.66316860792015,-1.9496811483125,-2.8300648474792,-3.7413566923152,-1.9187730026432
"Bird Island","BI10","BI10.2",67,70.1,71.2,70.6,0.36751897743146,0.018375948871573,-3.45451060807485,-0.172725530403743,-2.72035838461651,-3.57665474058345,-1.86406202864956,-2.7200343613362,-3.56045549502261,-1.87961322764979
"Bird Island","BI10","BI10.2",71,74.7,75.8,75.2,0.632363863154534,0.0316181931577267,-2.73083618048623,-0.136541809024312,-2.66068216020817,-3.5173707830236,-1.80399353739273,-2.64374213987092,-3.43571385129062,-1.85177042845123
"Bird Island","BI10","BI10.2",81,86.5,87.5,87,0.508633945514436,0.0254316972757218,-3.44988878635606,-0.172494439317803,-2.68856162750827,-3.54499541261734,-1.8321278423992,-2.67938424884617,-3.49391181627409,-1.86485668141826
"Bird Island","BI10","BI10.3",88,84.8,85.8,85.3,0.84292687226522,0.042146343613261,-2.89972105920762,-0.144986052960381,-2.61323701000457,-3.47064752921694,-1.7558264907922,-2.58308656149489,-3.33702647892819,-1.82914664406159
"Bird Island","BI10","BI10.3",95,93,94,93.5,0.391321288386724,0.0195660644193362,-2.84369058443919,-0.14218452922196,-2.714995124359,-3.57130320956548,-1.85868703915251,-2.7131777774387,-3.54921944134209,-1.87713611353532
"Bird Island","BI10","BI10.3",98,96.3,97.3,96.8,0.281099388114273,0.0140549694057137,-2.83997552874376,-0.141998776437188,-2.73983089506838,-3.59612373491228,-1.88353805522449,-2.74492871573963,-3.60128916316752,-1.88856826831174
"Bird Island","BI10","BI10.3",104,103.2,104.2,103.7,0.495638879278404,0.0247819439639202,-2.76581280485718,-0.138290640242859,-2.69148974328738,-3.54790404565805,-1.83507544091671,-2.68312765687359,-3.5000324505006,-1.86622286324657
"Bird Island","BI10","BI10.3",114,114.9,115.9,115.4,0.872775178225491,0.0436387589112746,-2.68068793572493,-0.134034396786246,-2.60651143476898,-3.46405362785713,-1.74896924168082,-2.57448834536371,-3.3230763010079,-1.82590038971952
"Bird Island","BI10","BI10.3",120,121.8,122.7,122.3,0.892326907296078,0.0446163453648039,-2.25589124231759,-0.112794562115879,-2.60210593768565,-3.45973832646995,-1.74447354890134,-2.56885620019236,-3.31394403658678,-1.82376836379794
"Bird Island","BI10","BI10.4",135,129.4,130.4,129.9,0.324932817374649,0.0162466408687324,-2.2548264894846,-0.11274132447423,-2.72995411925681,-3.58624108590604,-1.87366715260757,-2.73230189199114,-3.5805701891445,-1.88403359483777
"Bird Island","BI10","BI10.4",145,141,142,141.5,0.627601678206546,0.0313800839103273,-2.83220701451176,-0.141610350725588,-2.6617552004402,-3.51843169357152,-1.80507870730889,-2.64511395291432,-3.43795110028844,-1.8522768055402
"Bird Island","BI10","BI10.4",155,152.7,153.8,153.2,0.482551698951897,0.0241275849475948,-3.21731020108871,-0.160865510054435,-2.6944386146915,-3.55083469569021,-1.8380425336928,-2.68689759963499,-3.50619799976428,-1.8675971995057
