depth	min	max	median	mean
0.5	-67.04	-60.74	-64.8	-64.6
1.8	-65.62	-51.91	-62.13	-61.26
3.1	-64.98	-41.32	-59.65	-57.93
4.5	-64.52	-30.3	-57.04	-54.34
5.9	-64.09	-18.78	-54.29	-50.75
7.3	-63.7	-7.03	-51.62	-47.16
8.7	-63.44	4.42	-48.83	-43.57
10.1	-62.05	16.95	-45.03	-39.02
11.5	-55.68	37.68	-26.75	-21.99
12.9	-51.98	68.98	-10.13	-4.97
14.2	-49.41	105.86	4.26	10.84
15.5	-47.2	148.13	18.36	26.65
16.9	-44.85	192.33	33.44	43.68
18.4	-42.49	239.37	48.55	61.92
19.7	-40.28	282.09	62.02	77.73
21.1	-27.35	300.63	78.77	94.53
22.4	-14.46	311.92	95.78	110.07
23.9	-3.98	321.87	116.95	128.01
25.3	3.79	337.19	134.99	144.74
26.7	11.26	351	155.29	161.48
28.1	16.42	370.66	172.65	178.22
29.5	22.41	394.23	190.92	194.96
30.8	36.64	409.16	205.26	210.02
32.2	55.75	415.43	219.82	225.91
33.6	71.15	424.32	236.45	241.8
34.9	82.28	432.15	252.9	256.55
36.3	94.34	440.63	271.28	272.45
37.7	104.53	450.56	288.84	288.34
39	112.24	463.98	304.54	303.09
40.4	129.37	479.3	320.38	319.13
41.7	161.91	482.1	333.98	334.35
43.1	195.52	487.38	349.96	350.75
44.4	224.22	491.94	368.45	365.98
45	236.23	493.6	377.73	373.01
46.3	261.1	499.41	398.51	388.23
47.6	284.63	507.33	420.98	403.46
49	306.29	517.94	441.71	419.86
50.4	323.75	532.43	458.2	435.68
51.8	336.4	550.24	471.41	450.06
53.2	343	575.65	482.32	464.44
54.5	347.06	604.43	492.4	477.79
55.9	350.41	637.56	502.42	492.17
57.2	353.86	673.19	512.06	505.52
58.6	357.47	708.69	521.6	519.9
59.9	359.8	746.96	531.42	533.25
61.2	371.82	758.12	544	546.7
62.5	382.67	771.75	556.78	560.16
63.9	392.53	786.98	571.18	574.66
65.2	400.13	807.42	584.1	588.11
66.5	405.92	836.96	596.16	601.57
67.8	412.33	859.83	607.86	615.03
69.1	419.1	893.28	620.32	628.49
70.4	427.38	913.21	633.17	641.92
71.7	441.31	924.56	648.17	655.29
73	454.79	937.22	660.74	668.66
74.3	465.03	947.16	675.72	682.03
75.5	473.36	958.12	688.91	694.37
76.8	482.67	971.09	701.73	707.74
78.1	488.05	986.27	715.54	721.11
79.4	496.17	1001.39	726.11	734.47
80.7	507.32	1017.01	738.36	747.6
82	520.34	1028.27	753.75	760.53
83.3	529.78	1038.44	766.84	773.45
84.5	543.26	1047.41	779.48	785.39
85.8	555.31	1056.78	794.23	798.31
87.2	564.51	1071.74	808.73	812.23
88.6	573.67	1089.22	823.71	826.15
90	582.35	1110.67	837.09	840.07
91.4	602.11	1122.52	851.12	854.96
92.7	623.46	1134.06	865.19	868.78
94.1	641.98	1143.16	881.74	883.66
95.4	655.25	1154.66	896.54	897.48
96.8	662.99	1168.9	909.91	912.37
98.1	673.16	1184.69	924.59	926.19
99.4	680.55	1202.26	938.97	940.01
100.8	695.33	1215.93	954.77	954.94
102.3	720.35	1223.49	971.32	970.96
103.8	738.71	1234.84	987.8	986.97
